Geneid	Chr	Start	End	Strand	Length	SRR11247594	SRR11247595	SRR11247596	SRR11247597	SRR11247598	SRR9592126	SRR9592127	SRR9592128	SRR9592129	SRR9592130	SRR9592131	SRR9592132	SRR9592133	SRR9592134	SRR9592135	SRR9592136	SRR9592137	SRR9592138	SRR9592139	SRR9592140	SRR9592141	SRR9592142	SRR9592143	SRR9592144	SRR9592145	SRR9592146	SRR9592147	SRR9592148	SRR9592149	SRR9592150	SRR9592151	SRR9592152	SRR9592153	SRR9592154	SRR9592155	SRR9592156	SRR9592157	SRR9592158	SRR9592159	SRR9592160	SRR9592161	SRR9592162	SRR9592163	SRR9592164	SRR9592165	SRR9974581	SRR9974582	SRR9974583	SRR9974584	SRR9974585	SRR9974586	SRR9974587	SRR9974588	SRR9974589	SRR9974590
gene:PF3D7_0102900	1	128960	130840	-	1881	2451	1725	2240	4477	1774	6147	2235	6418	7519	2864	2004	4887	5441	7565	5561	3869	3377	4062	6340	9757	10247	5245	4104	5072	5651	8140	3667	11519	5393	4088	13165	5878	1203	2006	6419	7199	7068	5029	1872	4341	7402	12045	3457	4252	3910	4432	7990	3311	2433	8858	3731	5	8619	4761	2270
gene:PF3D7_0103000	1	132086	133624	-	1539	85	44	52	92	38	100	70	117	40	1283	831	72	78	98	68	720	610	85	88	62	53	1004	779	75	22	837	140	48	471	131	55	523	81	161	32	37	2766	2118	68	155	107	167	1180	60	142	65	52	344	79	43	365	0	48	412	733
gene:PF3D7_0103100	1	134353	139257	-	4905	224	137	102	259	101	231	177	447	254	2011	1511	90	105	286	258	2433	2126	233	209	255	452	2284	1656	275	146	2485	311	417	1586	420	479	1938	169	263	269	262	4173	3201	100	212	462	749	2189	153	422	258	222	1070	190	317	1145	1	296	1567	1404
gene:PF3D7_0103200	1	140662	142219	-	1558	1396	868	1112	2251	714	2316	886	5392	3450	7229	3705	1225	1331	4850	3379	6639	5839	1488	1573	5541	5377	7039	4713	1837	2999	8468	1459	5909	5252	1615	6481	6022	661	1071	3051	3166	12375	9155	647	1462	3833	6295	5427	1190	1493	1544	4038	3380	898	4347	3875	4	4223	4883	3709
gene:PF3D7_0103300	1	143640	146396	-	2757	1696	1144	1372	2792	1402	3556	1646	1218	1867	1786	1534	2833	3095	2799	1955	1975	1753	2057	3331	2275	2451	2578	2142	2701	1412	3056	2474	2745	1872	2838	3136	2141	859	1500	1639	1768	4531	3281	1160	2734	1623	2789	2412	3102	3151	2383	2052	1352	1552	2082	1310	7	2098	1698	1559
gene:PF3D7_0103400	1	147915	152777	-	4863	5015	3502	1310	2551	2292	4248	3349	2645	4893	5381	4441	3999	4445	5716	4143	8938	7972	2071	1343	4750	8294	4525	5746	2927	2481	7190	4569	5855	4933	5094	7858	5973	5076	8551	4633	4731	10710	7973	1849	4111	6407	10842	6522	3189	4520	2419	3438	3015	2937	4449	3610	12	5137	4688	4395
gene:PF3D7_0103500	1	154176	160426	+	6251	628	422	122	321	208	534	245	837	448	748	520	262	268	295	198	1100	971	188	168	195	337	533	756	279	201	1115	328	234	1311	377	298	1689	255	415	400	415	2541	1880	113	281	688	1070	694	119	403	275	281	414	183	153	974	0	237	1384	442
gene:PF3D7_0103600	1	161131	166229	+	5099	582	393	374	659	224	704	407	1892	1628	1274	1006	393	446	2049	1422	2555	2267	392	273	2025	2926	2537	1850	444	1024	3365	798	3001	3249	956	3472	3706	225	384	1709	1849	4753	3438	289	660	2203	3625	1811	371	817	422	1487	1325	550	2325	2264	2	2464	3067	1260
gene:PF3D7_0103700	1	166513	168687	+	2175	272	188	234	467	181	697	243	392	460	362	306	500	569	718	480	634	505	328	486	493	640	539	520	466	318	794	456	531	624	470	602	802	171	274	430	472	1198	911	205	479	511	747	478	354	411	360	538	333	294	397	472	2	384	621	331
gene:PF3D7_0103800	1	169079	171273	-	2195	194	124	161	294	64	208	182	125	60	1053	771	161	181	90	61	901	750	155	166	142	62	744	509	140	80	708	452	70	427	391	85	633	85	140	36	40	1587	1084	124	291	35	54	662	142	276	113	113	298	261	47	339	1	51	439	510
gene:PF3D7_0103900	1	172864	174591	+	1728	139	89	163	286	105	368	173	1009	694	1420	1048	307	317	1157	864	2962	2677	240	259	864	1431	2929	2357	315	446	3550	341	1298	2411	410	1577	2791	98	138	662	724	4667	3260	91	262	1518	2501	2047	170	339	287	616	1469	235	967	1836	2	1014	2147	1305
gene:PF3D7_0104000	1	175609	176376	+	768	53	20	20	50	21	35	22	5	4	216	136	26	19	10	7	122	104	7	17	6	10	173	150	23	6	181	37	4	118	50	14	145	18	23	3	3	521	415	45	54	7	18	139	17	27	15	9	54	20	6	95	0	9	119	128
gene:PF3D7_0104100	1	178087	180790	+	2704	201	142	45	98	138	193	217	6	12	1897	1824	171	184	13	12	2436	2050	76	66	18	12	1671	2047	112	20	1458	272	4	1106	292	3	1370	205	322	19	15	3895	2934	131	314	9	36	2200	118	267	106	13	627	177	3	825	2	1	1061	1469
gene:PF3D7_0104200	1	182822	184222	-	1401	11866	8174	2301	4529	2668	5504	5292	1741	1720	3999	3290	3915	4414	2016	1392	4602	4135	3197	1984	2867	2824	3770	2823	4566	1401	4651	5348	3093	2490	5687	3830	2927	7226	12488	1719	1749	6686	4930	2052	4582	1783	2981	4604	5338	6787	4021	2053	2010	3481	2361	1927	12	2570	2380	3033
gene:PF3D7_0104300	1	190269	201230	+	10962	36785	25705	23836	47992	25432	46341	25470	3915	9593	3649	4358	46861	52441	15522	11314	8063	7148	34937	26261	13262	16275	6350	6887	46926	9443	10571	42663	11305	7360	45372	15011	8814	29110	49376	9602	10221	12578	9108	22660	55695	8329	14153	8669	62934	71739	40059	13229	4387	27237	8419	5402	110	10056	7053	5693
gene:PF3D7_0104400	1	202536	204143	+	1608	367	218	283	523	108	395	396	638	749	1408	1286	218	247	747	520	1993	1603	418	438	667	1341	2039	1952	523	400	2594	652	1050	2099	686	1281	2282	187	389	771	815	3673	2666	226	505	1165	1953	1724	462	769	423	515	1025	456	820	1409	2	817	1789	1240
gene:PF3D7_0104500	1	204622	205455	-	834	813	558	771	1566	575	3050	818	3747	2828	831	487	1818	2083	3057	2224	989	909	1341	2070	3212	3551	1294	1051	1497	1712	2295	1290	4489	2289	1353	4869	2473	523	792	2276	2451	1708	1224	529	1288	2660	4541	765	1329	996	1296	2450	899	826	3624	1632	1	3212	2051	510
gene:PF3D7_0104600	1	206170	210189	+	4020	160	122	175	367	181	584	234	512	356	339	261	688	804	1121	797	397	346	304	272	510	619	456	349	375	296	615	412	906	633	459	1059	684	87	141	385	422	1058	754	94	220	525	878	373	294	383	341	397	254	259	686	441	1	743	545	217
gene:PF3D7_0104700	1	210870	213005	+	2136	38	21	13	29	7	26	15	9	8	10	15	11	16	8	2	6	11	14	11	3	1	8	5	8	4	7	26	2	13	17	7	22	10	20	4	5	69	54	16	29	8	17	8	9	30	12	5	5	20	3	13	0	6	22	5
gene:PF3D7_0104800	1	215776	217509	+	1734	1149	843	311	647	186	569	443	489	129	1564	863	426	459	161	121	2078	1890	528	303	184	292	1952	978	513	79	2231	1453	227	1205	1628	294	1572	421	704	138	152	2805	2050	423	963	377	641	1509	597	909	436	142	955	970	169	941	6	184	1271	982
gene:PF3D7_0105100	1	221202	221633	+	432	31	20	42	53	21	84	42	358	76	536	453	26	29	73	54	829	728	44	63	52	142	1167	707	78	19	1363	62	126	840	85	182	789	31	49	81	86	1464	1097	33	72	268	454	651	28	72	64	23	574	44	97	597	0	102	656	485
gene:PF3D7_0105200	1	222254	223960	-	1707	258	149	305	575	128	385	235	5448	3091	1708	1077	194	227	4295	3155	3135	2720	526	366	4333	4304	4233	2536	814	2020	5558	627	6370	3578	720	7038	4135	128	197	2686	2941	4070	2906	235	538	3751	5893	2744	282	919	655	2863	2332	387	4837	2692	3	4788	3365	1816
gene:PF3D7_0105300	1	225110	225779	-	670	1793	1293	393	831	1029	1155	1493	247	127	15483	8826	489	494	69	59	5243	4487	637	453	173	178	4605	5510	804	107	4012	1646	83	3441	1929	76	4145	1520	2596	214	222	21940	16360	1339	2997	324	566	9782	881	1796	675	176	1594	995	75	2487	6	54	3400	6472
gene:PF3D7_0105400.1	1	226681	227285	-	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_0105400.2	1	226681	227285	-	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_0105500	1	228485	229519	-	1035	25	21	30	55	6	43	24	300	54	171	110	21	18	109	72	393	321	37	21	87	116	253	167	33	39	339	62	178	249	36	170	279	32	40	65	76	418	328	19	63	116	250	207	15	62	47	54	148	18	120	181	0	137	255	135
gene:PF3D7_0105600	1	230289	234402	-	4114	835	555	717	1512	421	1756	531	1255	940	834	684	1506	1717	2178	1378	1203	1081	968	1174	1447	1227	1457	788	1141	879	1943	955	1768	1122	987	2096	1485	220	416	819	834	1766	1324	414	924	898	1499	877	803	762	884	1325	789	647	1355	948	3	1361	1128	628
gene:PF3D7_0105700	1	238666	247857	+	9192	311	243	525	1180	182	674	432	1324	507	2523	1916	379	365	516	369	4101	3594	736	507	737	946	4860	3061	1120	433	6393	1307	955	3345	1399	1347	4068	275	449	527	530	4884	3698	467	1034	1218	2102	3479	332	1224	885	650	2709	885	714	2284	3	927	3242	2393
gene:PF3D7_0105800	1	249231	252010	-	2780	1248	855	506	1076	590	1155	1035	1842	563	12021	7924	541	527	518	358	9020	7969	1021	845	513	1155	12951	9625	1311	294	12599	1955	907	6790	2336	1192	7570	1167	1852	608	654	22056	16110	823	1961	1861	3072	12535	866	2066	1080	408	5208	1309	700	4878	3	780	5936	8279
gene:PF3D7_0105900	1	253584	254930	+	1347	170	125	86	237	95	207	159	980	234	1782	1088	108	93	310	196	1737	1500	149	154	189	386	1556	1144	251	101	1738	300	537	1254	328	542	1565	156	179	253	257	3419	2433	86	176	607	957	1566	112	289	229	131	710	180	378	954	0	383	1166	1069
gene:PF3D7_0106000	1	255775	258543	-	2769	1395	1013	362	731	610	1060	863	669	292	10373	6056	483	592	523	337	6086	5292	794	494	388	437	5927	4656	1056	177	6339	1165	493	3461	1556	628	3995	1088	1885	291	328	12950	9618	493	1238	695	1183	7828	706	1595	784	234	2612	741	356	2471	0	473	3071	5112
gene:PF3D7_0106100	1	260658	261809	-	1152	921	665	624	1345	572	1943	552	2158	1911	2092	1412	1306	1361	3354	2371	2752	2357	1291	1331	2772	2066	3731	2157	1513	1761	4519	1210	3203	2711	1287	3714	3205	446	737	1687	1803	4201	3175	548	1300	1544	2563	2330	1030	1190	1249	2359	1868	795	2534	1885	3	2390	2519	1608
gene:PF3D7_0106200	1	263340	264223	-	884	135	93	60	92	108	195	118	32	17	1790	1238	80	84	33	14	901	784	83	166	16	20	1214	938	97	7	1114	234	10	775	302	19	888	85	157	26	34	4094	2861	76	169	78	121	1328	177	221	77	14	432	162	4	551	1	16	699	936
gene:PF3D7_0106300	1	265208	269173	-	3966	8091	5543	6664	13244	6957	14897	7673	5021	7692	16920	12247	13467	14980	8839	6196	17479	15197	13035	18142	9446	11971	25074	20190	17553	6181	27244	10009	9356	14351	10792	12091	15894	5152	8341	7155	7479	33759	24074	6182	14776	8916	14641	20193	13664	15477	14699	8802	11102	6602	7015	10379	18	7981	12665	13891
gene:PF3D7_0106400	1	272454	273404	+	951	2023	1496	1945	4040	2147	4928	1880	3607	4445	524	266	3293	3703	4698	3473	547	505	2997	4620	6188	5729	1077	724	4020	3332	1598	2774	6685	916	2687	6471	1070	748	1472	4118	4374	1064	828	1458	3306	2945	4656	589	3511	3208	3346	4932	639	1717	5119	677	1	4426	823	431
gene:PF3D7_0106500	1	274315	278550	+	4236	135	84	100	229	84	270	153	237	64	2215	1806	109	93	79	48	2293	1976	208	352	129	142	2811	2332	265	66	2703	295	75	2226	469	127	2370	154	225	89	118	6238	4614	106	255	261	439	2511	221	452	236	107	1135	208	69	1524	1	67	1945	1752
gene:PF3D7_0106600	1	279115	280014	+	900	66	52	11	29	40	18	39	18	5	57	33	17	15	5	1	21	12	14	18	6	3	17	15	9	2	7	96	3	6	125	2	15	12	23	6	2	82	86	82	203	4	4	45	24	92	10	7	4	68	3	3	0	2	21	36
gene:PF3D7_0106700	1	281155	285459	+	4305	4601	3183	4037	7926	4344	9801	4846	5593	7178	3017	2272	7873	9210	9226	6823	3465	2955	7154	13118	10539	9077	4368	3285	9318	6242	6525	7486	12290	4885	8106	15270	5527	2542	4434	6506	6982	6138	4524	3643	9045	6103	10198	3620	10309	10412	8132	9026	2739	4824	9488	3565	21	9969	4371	2430
gene:PF3D7_0106800	1	286951	288918	+	1968	185	123	98	196	80	247	151	680	442	2682	1788	140	164	406	300	2573	2124	188	129	453	644	3870	2141	266	241	3897	243	709	1872	285	791	2144	137	255	485	455	5919	4247	108	227	613	1005	2488	109	252	219	344	1553	178	505	1358	2	503	1862	1598
gene:PF3D7_0106900	1	290386	292590	+	2205	259	180	182	374	150	323	257	827	271	2622	2137	93	102	270	228	2933	2519	273	228	318	527	4685	3043	355	145	4803	438	596	3121	511	674	3739	159	212	356	356	7038	5238	227	533	723	1189	3537	217	648	322	251	1958	269	432	2267	0	447	2989	2318
gene:PF3D7_0107000.1	1	293642	294968	+	1327	242	152	232	500	146	440	338	715	311	4844	3968	124	147	396	266	5297	4484	355	419	330	721	6880	6179	520	163	6950	444	394	5105	522	425	5379	294	496	381	408	13412	10032	214	456	1057	1746	5667	210	586	477	255	2731	282	280	3788	3	294	4348	3819
gene:PF3D7_0107100	1	295300	296931	-	1632	34	17	37	80	9	48	39	633	194	199	187	23	19	197	128	340	302	44	38	213	262	596	328	54	105	712	43	484	471	52	546	553	20	38	183	209	744	568	23	59	333	539	287	18	83	47	123	301	30	387	368	0	354	440	208
gene:PF3D7_0107200	1	297362	299397	+	2036	14	12	47	89	20	60	41	562	247	194	158	5	19	147	91	280	241	76	61	166	394	345	374	74	78	524	66	340	617	57	389	584	20	18	227	245	744	600	23	63	483	821	284	20	56	93	124	190	36	275	457	0	235	477	197
gene:PF3D7_0107300	1	299562	300868	-	1307	39	18	44	76	14	59	41	134	31	123	143	7	24	80	56	205	152	59	53	58	82	185	133	70	46	171	112	68	162	118	78	191	24	38	36	38	432	338	65	113	41	69	130	21	109	74	51	68	64	53	95	0	61	138	100
gene:PF3D7_0107400	1	302937	303398	+	462	83	45	91	190	26	214	108	131	60	507	347	66	72	116	89	878	775	160	335	86	137	791	704	191	58	993	164	69	664	214	98	766	52	97	83	77	1399	1006	69	128	272	403	643	160	300	166	82	452	136	49	514	0	55	638	442
gene:PF3D7_0107500	1	304362	309257	-	4896	29069	20457	16144	32741	16266	36125	20612	11742	15132	3323	4030	28100	31150	18483	12934	6320	5648	31317	46678	25740	19689	9132	6370	37763	14010	12124	30335	22220	7432	29900	28644	8325	20585	34181	13957	15031	9479	6885	14044	34171	10974	17765	6694	39447	38174	32622	20201	4988	19370	17289	5388	71	19096	6824	4443
gene:PF3D7_0107600	1	314618	319405	+	4788	46	42	52	109	28	84	51	49	29	73	74	39	47	21	17	73	70	65	55	54	62	88	85	62	31	89	112	37	55	105	23	84	27	33	16	11	286	204	68	160	25	42	117	41	168	64	55	25	86	33	52	0	28	67	93
gene:PF3D7_0107700	1	320168	321508	+	1341	42	27	50	103	22	70	36	425	114	302	249	30	29	89	88	490	456	72	52	125	211	620	331	115	71	665	157	263	627	174	315	724	5	28	119	127	1163	862	18	49	222	378	397	29	120	102	80	271	108	175	440	0	192	629	256
gene:PF3D7_0107800	1	322371	326072	+	3702	213	124	176	378	133	402	324	2681	1795	2673	2407	108	107	1887	1362	4428	3838	358	285	1961	2595	5361	4044	475	945	6448	548	3355	5062	596	3923	5795	189	306	1942	2073	9601	7075	201	442	2943	4575	3845	170	503	383	1221	2596	297	2531	3901	0	2647	4711	2511
gene:PF3D7_0107900	1	326397	327224	-	828	84	48	185	390	39	320	119	2114	1274	880	659	48	56	1882	1415	1282	1166	254	301	2527	1783	1773	1015	263	1338	2427	177	2853	1508	253	2805	1749	54	81	1215	1250	1981	1509	120	243	1326	2156	937	110	232	241	1886	961	128	2145	1041	0	2050	1466	640
gene:PF3D7_0108000	1	328431	329558	-	1128	1084	697	881	1744	707	2581	1407	3500	2787	7762	5675	1769	2010	3706	2741	6383	5663	1618	2761	3286	4026	11278	8752	1881	1678	11634	1793	4383	7527	1765	4900	7908	845	1385	2452	2607	18287	12990	826	1899	3459	5566	8336	1403	1706	1537	2581	4895	1087	3356	5595	4	3125	6427	5313
gene:PF3D7_0108100	1	330738	332708	+	1971	67	27	64	137	44	134	72	414	133	717	532	153	164	481	306	1091	889	83	73	245	301	1163	755	123	116	1287	103	319	702	113	337	848	40	98	159	168	2000	1528	30	93	302	512	815	68	113	115	171	553	76	223	523	0	223	713	527
gene:PF3D7_0108300	1	337168	343833	+	6666	22065	15304	16855	33634	22932	54170	28044	19686	35906	12486	12950	51809	59134	72946	53031	21272	18768	34755	53571	59717	44294	25490	21598	48583	37333	35611	40606	61227	20813	43788	79406	23256	23819	39972	31366	33842	34724	25151	21332	50283	27771	46558	22778	50652	51883	41673	52786	15020	25244	46662	15170	83	52559	18662	15231
gene:PF3D7_0108400.1	1	344400	346540	-	2141	532	341	352	833	260	939	425	509	455	282	200	442	524	335	253	287	194	567	700	374	441	328	295	657	308	492	622	386	514	597	392	559	330	564	283	313	683	513	220	611	338	481	311	722	805	588	487	231	420	272	340	2	300	484	201
gene:PF3D7_0108400.2	1	345206	346540	-	1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_0108500	1	349170	349709	+	540	40495	26782	22714	43366	27623	67347	55774	1127	4047	749	662	64305	75323	5895	4429	718	599	38333	63916	5252	3771	460	884	54825	3760	644	44029	1957	340	33877	2149	373	54637	94648	3200	3384	1721	1228	24995	56182	1242	2184	1206	54824	49363	48590	5450	290	28084	1490	243	39	1397	346	869
gene:PF3D7_0108600	1	349995	351626	-	1632	353	221	230	506	82	542	348	594	170	925	737	265	309	184	116	1449	1211	333	583	218	260	1955	1315	443	104	2398	393	366	1972	355	403	2327	212	425	191	185	2249	1675	243	536	610	950	1068	351	443	363	170	916	250	247	1532	1	254	1825	695
gene:PF3D7_0108700	1	352314	356211	-	3898	2021	1373	2063	4198	1921	4918	2032	3137	4001	6383	5688	2020	2277	9864	7227	8633	7693	3223	4798	6251	5641	10357	8820	4278	3784	11716	3627	6875	8599	4140	7847	9985	1218	2138	3749	4000	15735	11460	2331	5440	3907	6598	8658	3915	4965	3809	5370	4908	2414	5097	6198	9	5172	8194	6050
gene:PF3D7_0108800	1	357834	360339	+	2506	472	311	484	894	310	780	289	1096	796	1877	1317	290	293	2179	1508	2279	1855	575	630	1360	1296	2524	2089	735	815	3143	594	1276	2128	705	1389	2392	221	408	675	720	4711	3419	432	922	1069	1699	1860	497	788	724	1143	1259	425	968	1609	1	905	2048	1218
gene:PF3D7_0109000	1	363318	363992	+	675	13339	9152	2472	4952	3439	6487	6822	79	133	4875	4369	4011	4542	72	48	818	742	3420	2050	302	153	401	1485	3911	198	239	5943	17	88	5766	27	119	10605	18440	113	124	6486	4731	3435	7865	76	101	3751	5084	6568	3283	254	95	3793	20	81	25	21	84	2522
gene:PF3D7_0109100	1	365610	368795	+	3186	639	454	515	984	143	340	226	22	33	303	227	602	619	30	23	169	171	432	399	45	72	148	231	407	42	89	1962	3	87	1761	7	153	335	570	9	18	470	324	456	1252	18	46	567	726	1131	345	56	52	1303	1	72	10	8	107	407
gene:PF3D7_0109200	1	369480	370178	-	699	147	71	127	233	59	365	144	770	537	775	689	177	196	746	525	1181	1025	155	215	630	819	1566	1094	219	337	2029	186	1031	1187	255	1172	1304	82	166	474	517	2156	1565	99	233	695	1147	1017	121	210	211	499	767	125	766	909	0	761	1069	733
gene:PF3D7_0109300	1	371815	373012	-	1198	77	56	105	171	54	221	122	678	166	770	466	63	76	475	337	1220	1145	181	195	225	192	911	664	282	150	935	111	199	827	110	238	961	49	80	119	140	3170	2294	45	110	264	444	1048	66	313	240	237	330	63	168	639	1	175	769	712
gene:PF3D7_0109400	1	374439	375087	-	649	212	114	529	939	109	549	327	2841	2022	1178	825	161	151	2210	1699	1270	1019	617	592	2139	2945	2020	1753	902	1135	3324	721	3610	2139	669	3577	2464	116	193	1875	1854	2534	1841	319	661	2835	4546	1527	228	854	732	1742	1323	437	2678	1612	2	2415	1982	1042
