Geneid	Chr	Start	End	Strand	Length	SRR5298122	SRR5298123	SRR5298124	SRR5298125	SRR5298126	SRR5298127	SRR5298128	SRR5298129	SRR5298130	SRR5298131	SRR5298132	SRR5298133	SRR5298134	SRR5298135
gene:PVX_087800	1	173166	175589	+	2424	969	1079	2553	2878	761	872	1689	1855	792	907	626	687	28	45
gene:PVX_087802	1	176734	180989	+	4256	1681	1831	3194	3569	1229	1374	2405	2591	1364	1439	1076	1250	73	81
gene:PVX_087805	1	182100	184688	+	2589	1068	1256	2353	2790	853	1007	1598	1804	858	993	741	840	31	52
gene:PVX_087810	1	185096	188086	-	2991	1355	1553	3152	3726	971	1185	2243	2548	1038	1213	908	1029	35	68
gene:PVX_087815	1	190165	198635	-	8471	3382	3820	4702	5131	2630	2885	3082	3459	2632	2999	2262	2492	110	160
gene:PVX_087820	1	201564	204786	-	3223	1276	1340	3282	3612	1067	1118	2251	2442	1055	1167	908	966	41	57
gene:PVX_087825	1	206270	207012	-	743	295	334	826	951	189	252	544	659	188	250	201	208	9	16
gene:PVX_087830	1	208582	210126	-	1545	503	587	1599	1920	425	472	1154	1349	483	495	361	419	15	37
gene:PVX_087835	1	210916	212704	-	1789	739	829	2057	2429	555	639	1343	1662	547	666	433	511	34	23
gene:PVX_087840	1	212788	217771	+	4984	2105	2344	3541	4210	1571	1772	2297	2716	1632	1870	1352	1477	94	143
gene:PVX_087845	1	217511	223823	-	6313	2514	2581	4152	4650	1761	2052	2606	2955	1904	2169	1484	1653	92	103
gene:PVX_087851	1	224646	225763	+	1118	359	465	1310	1587	307	396	908	1014	303	354	298	361	19	25
gene:PVX_087855	1	226213	226689	+	477	177	254	508	759	131	218	374	492	146	188	118	176	4	7
gene:PVX_087860	1	228109	228387	-	279	130	174	345	449	100	131	242	296	85	147	72	101	4	5
gene:PVX_087865	1	231197	237367	-	6171	2156	2474	4136	4758	1540	1817	2921	3311	1716	1895	1526	1621	53	75
gene:PVX_087870	1	244437	246230	+	1794	915	950	2579	2897	687	729	1840	2024	748	729	612	620	36	45
gene:PVX_087875	1	247295	250012	+	2718	1051	1098	2185	2338	773	807	1545	1636	849	934	727	716	54	50
gene:PVX_087880	1	254624	260849	-	6226	2352	2649	5493	6310	1761	2028	3511	4101	1810	2067	1552	1755	68	122
gene:PVX_087885	1	263763	266960	+	3198	1197	1319	2695	3111	863	1012	1898	2053	960	1015	771	889	41	51
gene:PVX_087890	1	268018	268365	+	348	101	124	229	295	53	97	139	204	85	105	54	55	6	3
gene:PVX_087895	1	269002	270999	+	1998	967	977	1728	1818	765	810	1197	1280	732	830	643	691	21	59
gene:PVX_087900	1	273311	277784	+	4474	1773	2049	4446	4964	1423	1536	2992	3351	1430	1611	1186	1317	125	78
gene:PVX_087905	1	278555	279532	+	978	245	351	947	1056	167	201	745	791	226	251	166	208	8	12
gene:PVX_087910	1	283255	286551	+	3297	1123	1197	2725	3195	882	983	1988	2190	904	985	633	738	53	53
gene:PVX_087915	1	288130	291150	+	3021	1106	1189	2221	2581	854	1000	1586	1834	930	1025	782	851	27	77
gene:PVX_087920	1	292940	293719	+	780	348	384	730	847	278	337	538	605	241	303	220	267	12	22
gene:PVX_087925	1	295180	297959	+	2780	1010	1029	2872	3246	801	847	1965	2250	844	918	687	723	20	44
gene:PVX_087930	1	298309	299496	+	1188	404	493	1310	1609	321	384	989	1148	372	425	266	324	8	18
gene:PVX_087935	1	299731	299940	-	210	84	106	275	318	53	59	182	225	85	84	51	54	5	9
gene:PVX_087940	1	300634	304040	-	3407	1119	1405	2348	2709	876	1071	1567	1752	1013	1153	838	881	32	67
gene:PVX_087945	1	304525	306592	+	2068	848	910	2525	2935	619	677	1765	1982	681	747	525	651	25	43
gene:PVX_087950	1	308485	312826	+	4342	1521	1865	4057	4779	1248	1436	2931	3280	1315	1481	1018	1289	701	201
gene:PVX_087955	1	313405	316927	-	3523	1351	1408	3270	3559	997	1140	2274	2555	1040	1170	925	996	27	72
gene:PVX_087960	1	317375	319103	-	1729	763	786	1896	2382	514	582	1253	1661	540	634	448	512	10	33
gene:PVX_087965	1	319360	321200	-	1841	600	715	1671	2055	446	528	1202	1325	536	609	418	489	23	54
gene:PVX_087970	1	324282	326945	+	2664	1082	1156	2951	3270	806	911	2020	2171	849	906	694	780	26	60
gene:PVX_087975	1	327624	328385	-	762	296	354	885	1179	196	259	644	840	228	273	176	223	5	15
gene:PVX_087980	1	330260	334540	+	4281	1377	1534	3153	3836	1009	1128	2094	2458	1146	1241	899	1034	177	53
gene:PVX_087985	1	337343	340573	+	3231	1236	1453	3244	3653	929	1062	2298	2486	1088	1143	850	975	123	72
gene:PVX_087990	1	341247	342248	-	1002	372	416	1093	1264	295	325	735	901	301	345	256	286	10	27
gene:PVX_087995	1	342633	349964	-	7332	2777	3092	5513	6140	2155	2354	3702	4059	2327	2417	1985	2167	147	174
gene:PVX_088000	1	350982	355492	-	4511	1563	1760	4362	5006	1217	1349	3074	3507	1291	1356	1060	1243	56	80
gene:PVX_088005	1	356035	356651	+	617	213	228	647	737	155	201	448	511	181	200	125	153	4	14
gene:PVX_088010	1	362843	365107	-	2265	825	831	2492	2750	601	633	1717	1936	668	713	566	549	28	49
gene:PVX_088015	1	366313	368031	-	1719	674	693	2247	2431	544	577	1584	1651	577	542	463	465	34	40
gene:PVX_088020	1	370198	370680	+	483	168	211	379	417	130	121	294	310	140	134	88	112	3	9
gene:PVX_088025	1	371197	374657	-	3461	939	999	1178	1298	644	773	863	921	809	831	636	790	30	46
gene:PVX_088030	1	374950	378848	-	3899	1309	1336	1628	1719	894	1008	1181	1365	1074	1181	918	998	52	67
gene:PVX_088035	1	381470	391638	-	10169	3666	4062	4288	4782	2833	3229	2930	3412	3044	3341	2592	2863	173	302
gene:PVX_088040	1	393023	394727	+	1705	659	711	1680	1945	505	613	1029	1106	529	602	481	468	37	35
gene:PVX_088045	1	395850	402118	+	6269	2131	2351	4911	5484	1623	1768	3455	3747	1747	1871	1457	1671	71	124
gene:PVX_088050	1	402750	404299	-	1550	336	464	1089	1433	240	310	810	1062	323	399	226	355	13	19
gene:PVX_088055	1	404528	406075	+	1548	440	565	1167	1460	382	462	829	996	371	462	295	375	16	27
gene:PVX_088060	1	406309	408052	-	1744	537	620	1674	1975	407	468	1090	1299	420	506	374	450	18	32
gene:PVX_088065	1	408495	410473	-	1979	753	914	2389	2649	582	716	1511	1792	629	729	585	607	28	74
gene:PVX_088070	1	412086	413164	-	1079	394	424	1024	1147	269	359	658	731	282	360	278	281	9	19
gene:PVX_088075	1	413680	414912	-	1233	371	459	1197	1332	307	329	1028	1117	320	404	292	353	16	25
gene:PVX_088080	1	415578	416468	+	891	351	389	1083	1218	253	275	816	894	295	323	240	285	4	21
gene:PVX_088085	1	417025	420294	-	3270	1124	1275	2170	2402	915	1037	1528	1696	968	1043	853	918	31	49
gene:PVX_088090	1	422094	422642	-	549	185	238	341	457	147	189	296	331	173	170	108	157	5	8
gene:PVX_088095	1	426073	428667	+	2595	937	1040	2698	2931	729	751	1856	2050	730	834	646	752	38	78
gene:PVX_088100	1	429056	430134	+	1079	131	150	388	405	137	131	258	279	101	121	96	121	7	10
gene:PVX_088105	1	430420	432741	-	2322	739	869	1913	2126	618	651	1281	1459	647	737	476	545	19	33
gene:PVX_088110	1	435906	437966	+	2061	687	829	1397	1600	521	565	1056	1256	581	657	515	548	17	38
gene:PVX_088115	1	440314	441364	-	1051	395	480	1229	1433	267	301	882	994	299	318	262	302	12	21
gene:PVX_088120	1	442322	444583	-	2262	789	926	2211	2723	593	721	1567	1885	615	779	511	605	28	43
gene:PVX_088125	1	446507	448144	+	1638	572	626	1642	1940	488	536	1394	1506	498	523	371	502	15	28
gene:PVX_088130	1	448922	453875	-	4954	1689	1754	2843	3271	1281	1464	1938	2015	1416	1515	1175	1243	52	107
gene:PVX_088140	1	454953	458315	-	3363	1176	1268	2931	3384	879	960	1857	2123	1011	1045	789	875	62	84
gene:PVX_088145	1	459237	460684	-	1448	386	462	869	1038	328	405	655	709	340	414	286	311	15	28
gene:PVX_088150	1	461594	463935	+	2342	679	782	2196	2610	554	597	1620	1916	589	670	548	577	24	43
gene:PVX_088155	1	465037	467949	+	2913	834	838	1515	1662	603	687	1029	1212	680	714	566	618	13	43
gene:PVX_088165	1	469043	474481	+	5439	1523	1666	3454	3849	1099	1238	2257	2502	1301	1387	1039	1040	46	62
gene:PVX_088170	1	474921	476369	-	1449	467	527	1413	1619	343	448	1009	1131	378	454	344	356	12	15
gene:PVX_088175	1	477571	479258	-	1688	551	667	1597	1903	380	464	1113	1258	431	563	362	419	24	39
gene:PVX_088180	1	480620	481981	-	1362	261	280	555	644	181	234	325	404	176	207	145	174	369	30
gene:PVX_088185	1	483978	486356	-	2379	713	805	1608	1719	509	628	1161	1205	599	681	538	646	14	45
gene:PVX_088190	1	487423	491223	+	3801	1115	1243	2900	3367	818	999	1908	2281	894	1070	715	851	42	81
gene:PVX_088195	1	491494	493458	-	1965	514	570	1423	1649	349	413	860	993	396	464	313	375	20	35
gene:PVX_088200	1	494492	496063	+	1572	577	633	1722	1850	419	489	1062	1196	477	534	400	468	15	35
gene:PVX_088205	1	497045	500677	+	3633	1331	1423	3698	4119	970	1048	2608	2697	1066	1157	838	937	39	88
gene:PVX_088210	1	501556	502962	-	1407	553	590	1714	1857	409	452	1186	1295	452	455	397	384	19	41
gene:PVX_088215	1	504413	510906	-	6494	2492	2598	5472	6290	1872	1930	3741	4217	1981	2213	1726	1906	64	137
gene:PVX_088220	1	511749	514964	+	3216	973	1109	2716	3111	710	839	1871	2132	828	864	660	773	35	53
gene:PVX_088225	1	516724	519255	+	2532	765	823	1819	2303	505	639	1511	1783	685	749	493	669	21	51
gene:PVX_088230	1	520245	520805	-	561	244	305	770	879	218	232	518	576	144	240	205	204	7	15
gene:PVX_088235	1	521978	527387	+	5410	1917	2041	2192	2446	1435	1565	1694	1797	1610	1711	1305	1402	79	131
gene:PVX_088240	1	527500	532468	-	4969	1597	1746	2854	3149	1129	1362	1861	2127	1311	1451	1022	1168	84	93
gene:PVX_088245	1	532751	534247	-	1497	418	459	1303	1500	349	317	935	988	399	432	322	353	21	28
gene:PVX_088250	1	535081	537984	+	2904	902	1068	2375	2893	726	745	1569	1934	739	771	576	692	25	34
gene:PVX_088255	1	538376	542689	+	4314	1470	1533	3944	4535	1086	1186	2698	2977	1085	1316	964	1068	53	86
gene:PVX_088265	1	548122	552688	+	4567	1595	1771	3435	3847	1198	1291	2336	2603	1277	1434	1093	1191	107	112
gene:PVX_088270	1	553428	555639	-	2212	856	955	2210	2460	620	675	1509	1714	676	736	550	635	31	47
gene:PVX_088275	1	559208	562660	+	3453	1682	1781	2772	3111	1316	1435	1804	2016	1185	1363	1082	1227	44	96
gene:PVX_088280	1	563033	563875	+	843	537	574	794	879	414	472	511	552	360	390	332	345	14	43
gene:PVX_093495	1	572540	576238	+	3699	2152	2293	2523	2813	1738	1959	1707	1882	1639	1707	1499	1506	60	132
gene:PVX_093500	1	578453	578743	-	291	175	177	413	538	99	148	265	325	131	121	118	130	1	3
gene:PVX_093505	1	581418	583283	-	1866	619	699	1479	1768	413	551	1010	1195	481	564	416	462	22	31
gene:PVX_093510	1	585425	588795	+	3371	1244	1463	3945	4435	1050	1099	2670	3121	1015	1190	876	1002	33	79
gene:PVX_093515	1	590516	591913	+	1398	529	573	1528	1802	422	470	1149	1343	458	526	345	412	12	25
gene:PVX_093520	1	592578	593366	-	789	236	313	701	833	200	236	449	593	188	252	143	205	3	20
gene:PVX_093525	1	594331	600755	+	6425	2063	2362	4160	4764	1562	1731	2696	2939	1692	2004	1484	1679	64	117
gene:PVX_093530	1	602158	603921	+	1764	461	497	1060	1220	360	406	721	806	340	389	290	354	12	20
gene:PVX_093535	1	604177	620044	-	15868	5430	5709	5664	6186	3857	4249	3630	3953	4478	4853	3708	4067	306	267
gene:PVX_093540	1	621713	623386	-	1674	626	652	1632	1935	471	580	1101	1195	532	524	398	459	14	40
gene:PVX_093545	1	624460	626630	-	2171	785	808	2020	2209	588	646	1666	1799	664	663	516	613	17	29
gene:PVX_093550	1	627723	631002	-	3280	1047	1112	2318	2639	769	876	1371	1569	846	959	639	749	52	52
gene:PVX_093555	1	634033	634957	+	925	363	382	1242	1278	269	358	816	955	265	312	248	265	15	19
gene:PVX_093560	1	635545	636903	-	1359	565	621	1228	1251	413	419	882	863	465	501	375	403	34	36
gene:PVX_093565	1	638670	641381	-	2712	864	879	1537	1769	594	657	1121	1166	678	785	520	629	19	43
gene:PVX_093570	1	648308	651823	-	3516	1112	1220	2244	2749	846	927	1671	1812	965	1053	813	898	48	257
gene:PVX_093575	1	653698	656892	-	3195	1171	1289	2177	2459	858	968	1618	1873	1045	1104	742	915	59	63
gene:PVX_093580	1	657930	660056	-	2127	549	648	1491	1713	385	469	995	1256	438	532	358	389	15	38
gene:PVX_093585	1	662319	664359	+	2041	613	753	1781	2097	494	604	1198	1389	536	629	441	462	11	47
gene:PVX_093590	1	665686	668439	+	2754	797	879	1476	1774	603	721	1041	1199	641	763	610	683	22	46
gene:PVX_093595	1	668634	670370	-	1737	575	653	1728	2057	432	516	1082	1320	457	493	389	487	17	35
gene:PVX_093600	1	670832	671705	+	874	343	361	909	1040	254	261	578	638	260	288	193	240	3	14
gene:PVX_093605	1	672200	674439	-	2240	796	819	2666	2943	543	648	2007	2284	648	695	547	631	24	48
gene:PVX_093610	1	678286	684855	-	6570	2085	2241	2786	3032	1539	1697	2158	2413	1724	1779	1414	1470	109	149
gene:PVX_093615	1	686039	689929	+	3891	1455	1597	1746	2040	1101	1186	1269	1376	1203	1281	954	1094	74	86
gene:PVX_093620	1	690261	692694	-	2434	871	969	1867	2114	670	729	1367	1488	640	746	563	633	35	25
gene:PVX_093625	1	695036	698242	+	3207	1216	1303	2185	2487	958	1069	1509	1578	999	1111	868	928	47	83
gene:PVX_093630	1	698471	699580	-	1110	403	385	1129	1178	306	309	698	778	302	331	257	256	25	22
gene:PVX_093635	1	703021	710913	+	7893	2151	2485	2791	3085	1628	1821	1992	2095	1871	2120	1582	1706	142	154
gene:PVX_093640	1	711670	715404	-	3735	1387	1551	2540	2908	1063	1193	1771	2003	1205	1275	1028	1092	87	73
gene:PVX_093645	1	717749	728128	-	10380	3183	3585	4679	5211	2275	2728	3070	3559	2668	2974	2165	2454	139	219
gene:PVX_093650	1	735796	738393	+	2598	1049	1167	2815	3311	787	960	2023	2225	872	933	702	870	27	77
gene:PVX_093655	1	739526	744424	-	4899	1513	1681	2495	2723	1180	1287	1838	2071	1357	1491	1072	1170	65	94
gene:PVX_093660	1	746624	747678	+	1055	416	476	1128	1278	359	303	793	943	305	330	291	301	22	9
gene:PVX_093665	1	748534	750258	+	1725	651	806	1911	2170	485	622	1392	1534	521	637	423	512	20	43
gene:PVX_093670	1	752530	755536	+	3007	957	1034	1009	1170	767	803	763	862	779	904	662	773	20	65
gene:PVX_093675	1	756799	757686	+	888	423	371	509	541	269	316	406	421	323	319	254	279	6	21
gene:PVX_093680	1	771669	775922	+	4254	2081	2232	3912	4126	1651	1738	2694	2883	1664	1759	1232	1222	68	123
gene:PVX_093685	1	782109	784568	+	2460	1218	1285	2824	3166	938	1055	1984	2132	898	996	787	826	45	100
gene:PVX_093695	1	787816	789154	+	1339	574	624	1180	1370	436	535	869	1058	374	511	356	425	16	50
gene:PVX_093700	1	792923	793770	+	848	413	488	717	911	319	391	526	594	342	367	256	301	23	31
gene:PVX_093705	1	795791	797212	-	1422	714	818	890	973	572	643	230	201	325	327	270	287	29	50
gene:PVX_093710	1	800981	802755	+	1775	814	871	574	602	657	730	287	313	686	739	549	576	72	161
gene:PVX_093715	1	804451	806384	-	1934	864	906	693	671	616	676	331	303	683	666	513	574	52	78
gene:PVX_093720	1	811358	813151	+	1794	6	4	2	2	8	2	244	250	678	750	505	564	144	247
gene:PVX_093725	1	817078	818519	-	1442	356	214	160	98	310	187	223	286	821	915	497	603	37	81
gene:PVX_093730	1	826062	827597	-	1536	370	316	125	123	236	244	85	94	285	320	222	238	38	60
gene:PVX_079695	10	17808	21568	+	3761	2004	2112	3087	3393	1534	1780	1942	2090	1466	1607	1231	1373	40	107
gene:PVX_079700	10	22046	23460	-	1415	743	863	1635	1791	593	663	1070	1110	583	638	478	537	28	46
gene:PVX_079705	10	24133	24912	+	780	461	486	988	1206	337	432	597	674	335	361	226	318	9	23
gene:PVX_079710	10	26276	34081	+	7806	3934	4135	6183	6637	2961	3200	3897	4067	2998	3159	2454	2555	91	188
gene:PVX_079715	10	35196	37497	-	2302	1150	1320	2698	2948	883	950	1732	1890	875	1003	802	814	59	81
gene:PVX_079720	10	38623	46825	+	8203	3995	4429	4645	5119	3058	3383	3248	3624	3246	3419	2780	3014	116	257
gene:PVX_079725	10	46831	49305	-	2475	1260	1454	2864	3284	944	1130	2050	2353	921	1032	863	898	46	78
gene:PVX_079730	10	50271	53742	-	3472	1761	1889	3746	4373	1312	1467	2489	2827	1322	1458	1087	1290	53	113
gene:PVX_079735	10	54038	55622	+	1585	800	901	1857	2043	583	765	1258	1298	616	721	536	589	17	36
gene:PVX_079740	10	55713	59628	-	3916	1880	2041	3917	4534	1409	1498	2741	3031	1439	1555	1171	1313	78	88
gene:PVX_079745	10	60232	64833	+	4602	2173	2283	3275	3574	1531	1749	2134	2396	1680	1878	1399	1487	77	108
gene:PVX_079750	10	65101	69250	-	4150	2016	2129	2677	2911	1578	1711	2044	2146	1576	1679	1306	1346	64	101
gene:PVX_079755	10	71981	73603	+	1623	691	776	1312	1511	512	587	935	1071	478	642	436	559	18	48
gene:PVX_079760	10	75186	75991	-	806	470	470	1020	1010	270	353	643	739	322	343	295	284	20	20
gene:PVX_079765	10	78210	79611	+	1402	754	833	1945	2172	524	621	1288	1347	547	605	427	537	15	42
gene:PVX_079770	10	83306	84716	+	1411	583	697	1871	1982	475	473	1238	1403	460	525	393	462	69	34
gene:PVX_079775	10	93169	96477	+	3309	1442	1575	2646	3043	1077	1130	1894	2135	1094	1193	956	1052	56	64
gene:PVX_079780	10	98320	100692	-	2373	915	1014	2600	2744	767	844	1597	1819	762	830	640	737	33	106
gene:PVX_079785	10	102250	109477	-	7228	2946	3325	4893	5745	2272	2526	3311	3804	2365	2676	1897	2012	161	182
gene:PVX_079790	10	110738	111796	-	1059	566	619	1319	1382	382	443	802	889	437	472	328	368	13	23
gene:PVX_079795	10	113043	113793	+	751	326	315	926	1117	234	258	649	780	222	285	164	222	7	18
gene:PVX_079800	10	115515	118330	+	2816	1244	1422	2520	2863	916	1072	1767	1903	1088	1097	850	937	28	43
gene:PVX_079805	10	118623	120660	+	2038	825	859	2051	2288	638	643	1430	1690	649	673	538	583	31	33
gene:PVX_079810	10	122630	124231	+	1602	765	787	1688	1899	547	655	1191	1296	582	705	485	537	23	50
gene:PVX_079815	10	125046	126265	+	1220	500	524	1444	1603	369	418	964	1121	382	472	323	393	17	21
gene:PVX_079820	10	126588	127745	+	1158	574	661	1540	1769	457	560	924	997	415	534	414	445	7	23
gene:PVX_079825	10	127771	129901	-	2131	880	1010	2434	2766	686	760	1587	1826	689	804	609	611	26	48
gene:PVX_079830	10	131163	134034	-	2872	1017	1166	1746	2003	726	793	1168	1295	740	869	651	691	33	41
gene:PVX_079835	10	137518	139155	+	1638	782	824	2207	2313	672	641	1611	1631	595	677	486	518	17	35
gene:PVX_079840	10	140528	142664	+	2137	985	1098	2136	2384	768	881	1415	1622	810	846	713	703	38	71
gene:PVX_079845	10	144521	148411	+	3891	1552	1756	2388	2788	1202	1317	1693	1889	1260	1359	1029	1133	1150	71
gene:PVX_079850	10	149180	150176	+	997	376	436	1314	1460	313	337	891	991	312	400	252	290	4	11
gene:PVX_079855	10	150527	152939	-	2413	987	1226	2176	2666	714	896	1585	1839	684	903	613	785	13	70
gene:PVX_079860	10	158533	162049	+	3517	1382	1557	2971	3326	945	1080	2125	2459	1136	1243	859	1019	41	66
gene:PVX_079865	10	162645	165239	-	2595	999	1053	2816	3163	767	845	1885	2183	826	825	671	701	31	46
gene:PVX_079870	10	167415	167954	-	540	271	325	711	898	211	248	489	593	194	259	186	248	6	7
gene:PVX_079875	10	170716	173116	+	2401	1047	1090	2740	2979	741	832	1775	1992	728	828	613	684	42	41
gene:PVX_079880	10	174346	177087	+	2742	1320	1406	3223	3576	953	1107	2164	2402	975	1087	883	972	74	80
gene:PVX_079885	10	178711	180035	+	1325	527	600	1376	1492	461	451	933	1033	425	407	334	380	38	249
gene:PVX_079890	10	181777	185005	+	3229	1408	1501	2382	2661	1111	1185	1492	1714	1168	1240	882	1012	34	73
gene:PVX_079895	10	184995	186508	-	1514	659	671	1645	1841	461	490	994	1090	488	501	399	431	47	29
gene:PVX_079900	10	187724	189261	+	1538	742	831	1798	2029	505	651	1135	1211	559	581	508	543	20	38
gene:PVX_079905	10	190630	193038	+	2409	853	945	1707	1897	718	799	986	1208	715	762	600	657	29	38
gene:PVX_079910	10	194349	204425	-	10077	4111	4381	4266	4455	3036	3342	2799	3056	3550	3660	2970	3034	220	286
gene:PVX_079915	10	212682	213125	-	444	218	275	630	688	165	187	498	515	174	207	154	153	2	12
gene:PVX_079920	10	215911	219957	-	4047	1670	1818	2938	3379	1238	1445	1856	2299	1306	1389	1120	1223	46	87
gene:PVX_079925	10	221653	222744	-	1092	486	583	1399	1428	402	518	949	1091	428	404	317	367	14	32
gene:PVX_079930	10	223942	226028	+	2087	896	1057	2590	3006	715	789	1698	1937	717	811	574	633	34	50
gene:PVX_079935	10	226987	230121	+	3135	1232	1321	3163	3561	925	1044	2110	2441	854	985	683	797	136	63
gene:PVX_079940	10	231261	232355	-	1095	528	588	1624	1660	412	449	1071	1202	420	410	313	387	16	21
gene:PVX_079945	10	233678	235675	+	1998	903	963	1786	2030	618	704	1221	1375	708	743	559	633	16	32
gene:PVX_079950	10	235954	238034	-	2081	653	759	1982	2405	469	571	1337	1657	529	658	431	522	27	41
gene:PVX_079955	10	239601	240506	-	906	382	421	1072	1244	262	298	775	962	336	340	298	314	7	16
gene:PVX_079960	10	242344	243608	-	1265	504	570	1499	1749	390	447	991	1078	419	492	334	360	10	32
gene:PVX_079965	10	244230	245399	+	1170	534	624	1690	1871	414	470	1228	1386	434	501	341	380	26	31
gene:PVX_079970	10	246053	251706	+	5654	2185	2280	3513	3725	1687	1798	2452	2639	1733	1881	1463	1607	85	145
gene:PVX_079975	10	252571	253980	-	1410	662	730	1891	2033	448	560	1241	1363	501	559	443	466	29	33
gene:PVX_079980	10	258375	260572	+	2198	843	958	2436	2729	640	756	1634	1936	654	763	475	625	32	39
gene:PVX_079985	10	261446	267007	-	5562	2238	2496	3335	3879	1730	2082	2293	2531	1868	1966	1577	1648	75	123
gene:PVX_079990	10	269141	271217	-	2077	812	869	1821	1988	642	718	1168	1398	708	795	568	636	30	54
gene:PVX_079995	10	275233	279114	-	3882	1398	1398	2861	3198	1048	1213	1784	1977	1087	1214	898	1020	65	86
gene:PVX_080000	10	286577	289558	-	2982	1278	1488	2639	2989	951	1079	1909	1951	998	1107	815	903	35	80
gene:PVX_080005	10	290902	292224	-	1323	505	551	1127	1336	357	393	782	887	382	428	344	355	11	26
gene:PVX_080010	10	295010	297724	+	2715	1134	1148	2801	3046	860	883	1898	2196	859	1014	709	811	42	88
gene:PVX_080015	10	299771	300193	+	423	194	245	509	600	142	199	353	408	178	173	145	144	2	9
gene:PVX_080020	10	301500	302240	-	741	354	405	930	996	282	281	605	652	241	291	209	293	12	21
gene:PVX_080025	10	302298	304098	-	1801	680	756	2041	2343	483	557	1464	1560	511	538	481	472	21	38
gene:PVX_080030	10	306279	307891	+	1613	197	243	455	487	123	164	379	417	197	215	166	186	23	20
gene:PVX_080035	10	308652	309962	+	1311	620	624	1594	1735	440	516	1009	1183	440	487	365	415	22	31
gene:PVX_080040	10	311631	312489	+	859	230	277	566	714	173	190	393	459	188	217	153	179	7	6
gene:PVX_080045	10	313160	316821	-	3662	1376	1561	2424	2869	1018	1163	1628	1945	1101	1195	911	1046	43	76
gene:PVX_080050	10	319317	322852	-	3536	1625	1674	2698	2991	1167	1293	1899	2135	1187	1421	1011	1123	54	81
gene:PVX_080055	10	328807	329286	+	480	199	233	661	713	156	181	409	501	189	187	119	148	8	10
gene:PVX_080060	10	331376	334063	-	2688	1274	1511	2426	2653	1021	1088	1611	1852	994	1112	927	962	35	67
gene:PVX_080065	10	339027	343012	+	3986	1786	2031	4027	4450	1430	1629	3016	3180	1434	1469	1235	1276	142	117
