Geneid	Chr	Start	End	Strand	Length	SRR4302519	SRR4302520	SRR4302521	SRR4302522	SRR4302523	SRR4302524	SRR4302525	SRR4302526	SRR4302527	SRR4302528	SRR4302529	SRR4302530	SRR4343872	SRR4343873	SRR4343875	SRR4343876	SRR4343877	SRR4343878	SRR4343879	SRR4343880	SRR5146153	SRR5146154	SRR5146155	SRR5146214	SRR5146215	SRR5146216	SRR5146217	SRR5146218	SRR5146305	SRR5146306	SRR5146307	SRR5146308	SRR5146379	SRR5146380	SRR5150405	SRR5150407	SRR5150408	SRR5150409	SRR5150410
gene:PF3D7_0103600	1	161131	166229	+	5099	167	2347	35	348	200	1082	200	381	296	500	49	231	76	56	2237	1013	549	1389	583	1026	180	423	652	1755	423	1093	634	2978	106	107	175	22	39	33	27	295	44	183	43
gene:PF3D7_0103700	1	166513	168687	+	2175	69	740	8	155	61	266	61	146	123	179	10	62	19	15	707	236	203	409	147	284	50	106	182	536	200	383	196	871	245	261	169	96	28	97	4	60	7	81	29
gene:PF3D7_0103800	1	169079	171273	-	2195	51	542	7	97	48	243	48	110	62	108	19	58	18	11	683	338	217	424	156	299	65	144	169	398	102	244	154	951	6	15	36	2	24	17	15	187	27	3324	4742
gene:PF3D7_0103900	1	172864	174591	+	1728	63	820	10	160	72	388	72	196	113	166	21	53	25	15	679	270	181	424	156	314	89	207	241	509	99	354	186	971	19	16	4	1	29	68	47	326	92	670	381
gene:PF3D7_0104000	1	175609	176376	+	768	19	271	3	41	21	63	21	34	36	121	2	16	5	1	220	96	83	114	46	57	41	71	66	152	84	142	76	285	1809	28550	2915	3820	11	15	2	32	3	29	15
gene:PF3D7_0104100	1	178087	180790	+	2704	97	1368	19	217	108	581	108	301	130	261	56	107	53	30	1196	452	323	748	309	455	171	338	439	973	248	511	482	1991	1239	17577	1875	2136	20	9	8	183	32	330	109
gene:PF3D7_0104200	1	182822	184222	-	1401	40	738	7	146	56	388	56	215	94	134	33	66	25	18	779	250	173	430	168	262	123	235	218	569	101	313	239	1142	241	911	193	167	142	200	10	63	7	464	240
gene:PF3D7_0104300	1	190269	201230	+	10962	429	5668	92	1094	481	2366	481	674	519	974	141	476	169	126	5340	2014	1471	3300	1247	2389	713	1305	1640	4161	1253	1927	1660	7656	494	1327	1071	225	2762	5097	123	1635	179	986	148
gene:PF3D7_0104400	1	202536	204143	+	1608	71	972	12	175	104	414	104	132	90	152	40	91	32	36	879	306	154	550	165	300	157	313	297	560	197	390	301	1233	67	244	170	44	64	51	31	556	69	1638	1027
gene:PF3D7_0104500	1	204622	205455	-	834	18	446	6	81	26	171	26	72	46	50	20	37	19	19	379	182	56	257	101	145	55	89	138	354	111	144	117	667	0	2	3	2	160	596	9	151	33	175	122
gene:PF3D7_0104600	1	206170	210189	+	4020	192	1999	28	385	128	884	128	202	185	316	48	145	64	43	1973	703	536	1151	457	937	160	308	525	1681	274	720	535	2745	5	1	7	1	8	13	1	32	14	60	7
gene:PF3D7_0104700	1	210870	213005	+	2136	88	1291	14	200	107	527	107	195	107	189	48	100	49	29	1042	436	268	640	282	452	153	315	357	803	238	435	318	1625	6	13	38	3	0	1	20	181	49	393	127
gene:PF3D7_0104800	1	215776	217509	+	1734	76	1096	14	223	87	514	87	121	76	156	40	75	24	26	837	322	234	569	205	305	204	350	342	600	201	326	241	1316	270	1251	154	216	9	14	3	111	13	121	69
gene:PF3D7_0105100	1	221202	221633	+	432	16	210	2	42	16	106	16	80	36	66	5	21	7	6	227	131	60	144	64	125	22	70	72	121	44	133	63	217	0	0	4	0	1	2	4	62	19	27	27
gene:PF3D7_0105200	1	222254	223960	-	1707	86	1022	15	216	81	514	81	130	113	194	41	85	35	18	962	372	213	593	219	396	131	269	358	696	186	469	320	1347	38	78	28	21	15	32	29	297	95	353	54
gene:PF3D7_0105300	1	225110	225779	-	670	26	270	5	54	14	107	14	57	27	40	12	19	6	9	281	128	53	151	77	109	33	58	71	159	55	90	63	333	22	23	17	4	23	28	13	191	37	426	670
gene:PF3D7_0105400.1	1	226681	227285	-	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_0105400.2	1	226681	227285	-	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_0105500	1	228485	229519	-	1035	46	785	7	102	47	310	47	172	94	146	25	69	32	17	583	233	154	393	120	210	76	168	244	465	142	311	206	939	14	15	37	6	3	2	5	59	6	100	53
gene:PF3D7_0105600	1	230289	234402	-	4114	156	1848	25	371	160	817	160	264	262	361	55	168	82	66	1975	855	470	1172	414	794	200	405	554	1549	422	861	529	2653	609	2471	616	456	289	413	4	144	24	420	96
gene:PF3D7_0105700	1	238666	247857	+	9192	396	5231	86	1037	404	2212	404	551	378	716	147	447	174	110	4323	1837	1185	2693	1115	1952	649	1311	1539	3554	1195	1695	1568	7269	1167	4600	2012	1502	94	65	331	5945	646	2514	315
gene:PF3D7_0105800	1	249231	252010	-	2780	118	1552	21	310	102	566	102	146	134	177	38	129	65	47	1161	491	395	719	314	594	182	360	413	1000	398	472	413	1971	200	560	212	135	37	18	85	803	195	789	97
gene:PF3D7_0105900	1	253584	254930	+	1347	53	740	3	137	59	288	59	101	102	169	17	74	20	19	682	342	190	414	149	297	69	158	211	574	211	298	158	995	52	90	51	15	2	0	7	106	35	142	53
gene:PF3D7_0106000	1	255775	258543	-	2769	99	1453	23	285	102	619	102	130	104	238	29	123	42	38	1364	559	425	890	346	616	215	371	427	960	220	481	364	1854	189	424	160	118	19	28	23	336	91	261	86
gene:PF3D7_0106100	1	260658	261809	-	1152	52	792	6	134	72	358	72	134	73	114	17	40	17	15	683	298	146	409	148	255	135	219	231	446	176	287	236	1035	122	211	72	64	103	414	13	173	28	325	211
gene:PF3D7_0106200	1	263340	264223	-	884	26	345	5	42	14	190	14	95	60	105	3	13	5	4	345	162	115	205	104	177	36	53	97	296	91	151	129	488	85	299	65	80	10	18	9	162	22	108	62
gene:PF3D7_0106300	1	265208	269173	-	3966	151	2421	29	500	192	1160	192	270	194	346	101	202	79	53	1925	736	536	1164	425	688	390	775	755	1466	664	854	742	3073	1292	4479	838	1068	5171	11641	154	1993	308	2935	1859
gene:PF3D7_0106400	1	272454	273404	+	951	32	369	4	57	37	133	37	94	70	60	17	25	14	6	385	162	64	223	74	141	31	45	97	301	118	154	63	459	243	345	127	131	232	1063	25	191	63	248	243
gene:PF3D7_0106500	1	274315	278550	+	4236	191	2271	33	389	202	986	202	275	233	424	54	174	80	59	2183	744	562	1365	536	1028	202	483	686	1635	610	831	742	2948	25	16	19	11	11	15	28	351	55	538	104
gene:PF3D7_0106600	1	279115	280014	+	900	47	549	9	91	33	257	33	64	61	106	15	37	17	12	504	163	113	327	147	222	51	59	118	417	179	208	181	657	9	13	38	3	6	9	10	245	30	19	0
gene:PF3D7_0106700	1	281155	285459	+	4305	160	2657	44	528	242	1201	242	335	220	363	90	223	91	60	2156	814	546	1340	543	856	386	800	825	1700	597	919	902	3459	824	479	423	174	1172	2357	140	1337	208	762	91
gene:PF3D7_0106800	1	286951	288918	+	1968	53	476	9	57	27	130	27	71	60	80	15	42	18	6	514	196	163	260	98	192	32	68	103	341	24	170	120	597	13	49	28	11	32	25	19	151	21	466	532
gene:PF3D7_0106900	1	290386	292590	+	2205	93	1100	22	196	80	521	80	159	87	173	21	100	33	19	1054	518	290	706	275	554	67	154	261	926	184	370	327	1626	7	19	20	4	6	8	10	129	24	182	39
gene:PF3D7_0107000.1	1	293642	294968	+	1327	24	264	4	41	20	97	20	47	30	66	15	29	8	5	307	126	122	151	78	135	32	46	59	210	21	101	63	319	73	129	72	19	77	41	56	913	144	4488	7510
gene:PF3D7_0107100	1	295300	296931	-	1632	78	799	13	167	57	385	57	160	103	101	11	59	21	14	784	308	200	517	163	350	52	119	222	715	131	359	243	1202	573	1495	568	385	8	5	4	87	18	208	87
gene:PF3D7_0107200	1	297362	299397	+	2036	28	479	6	71	33	205	33	69	62	116	15	36	9	4	444	187	126	198	89	131	55	75	113	270	63	194	110	533	1	3	8	3	3	3	22	118	12	127	109
gene:PF3D7_0107300	1	299562	300868	-	1307	66	733	8	119	59	335	59	171	105	234	17	66	23	27	668	226	200	428	154	273	81	192	213	465	121	350	198	963	1529	9349	1703	1208	5	3	5	43	13	1081	1110
gene:PF3D7_0107400	1	302937	303398	+	462	19	273	1	71	31	133	31	77	67	110	1	36	8	8	266	81	56	157	45	71	53	106	102	197	75	176	65	397	59	371	64	114	7	4	22	257	48	427	1050
gene:PF3D7_0107500	1	304362	309257	-	4896	207	2904	30	501	227	1264	227	342	209	368	82	204	99	76	2317	873	560	1505	494	956	405	848	907	1733	438	843	876	3791	2032	3914	1844	793	6626	11086	28	441	56	1255	368
gene:PF3D7_0107600	1	314618	319405	+	4788	196	2015	27	373	169	853	169	327	263	506	55	172	80	49	2251	966	511	1472	556	1155	160	359	533	1843	589	924	584	3098	1708	6660	3239	1344	5	3	2	48	6	98	21
gene:PF3D7_0107700	1	320168	321508	+	1341	60	641	11	104	42	279	42	109	87	115	10	53	26	16	612	256	194	370	159	300	28	80	186	575	118	246	242	855	85	425	47	79	0	0	1	1	3	74	95
gene:PF3D7_0107800	1	322371	326072	+	3702	144	1834	31	416	177	807	177	211	147	311	38	149	55	37	1840	683	489	1074	411	714	199	312	549	1436	445	649	618	2765	696	2116	803	423	20	19	52	479	139	172	19
gene:PF3D7_0107900	1	326397	327224	-	828	40	370	9	40	47	97	47	60	38	61	10	32	50	35	406	171	81	260	97	190	24	49	95	221	57	133	95	509	3	8	10	5	24	181	28	187	34	156	93
gene:PF3D7_0108000	1	328431	329558	-	1128	27	432	8	60	22	174	22	67	42	78	19	20	23	17	374	155	114	216	77	110	65	134	114	224	41	150	113	514	33	46	50	16	696	1525	55	707	151	926	672
gene:PF3D7_0108100	1	330738	332708	+	1971	88	1094	17	193	91	439	91	165	84	161	23	92	35	28	995	456	283	585	275	440	150	208	286	725	320	374	286	1498	4	0	9	2	3	8	7	133	23	344	108
gene:PF3D7_0108300	1	337168	343833	+	6666	281	3542	31	688	274	1437	274	410	218	519	85	293	129	90	3152	1044	759	1939	690	1174	550	986	1068	2345	667	1083	1076	4846	7047	32920	9842	6755	4871	8334	283	3128	511	3543	499
gene:PF3D7_0108400.1	1	344400	346540	-	2141	18	230	13	18	21	46	21	11	21	24	6	18	47	21	202	62	60	72	19	60	24	31	43	118	18	67	47	228	28	54	22	16	29	96	12	66	13	251	179
gene:PF3D7_0108400.2	1	345206	346540	-	1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_0108500	1	349170	349709	+	540	23	276	6	60	31	140	31	67	39	64	4	28	5	13	256	88	69	162	75	86	50	103	93	152	54	152	67	357	55	331	190	67	7666	13280	8	27	13	412	216
gene:PF3D7_0108600	1	349995	351626	-	1632	46	505	7	107	41	195	41	94	50	133	14	35	12	9	599	237	149	350	141	232	52	99	155	394	99	235	111	733	55	95	69	32	18	21	22	295	44	900	567
gene:PF3D7_0108700	1	352314	356211	-	3898	163	1995	33	376	169	760	169	298	169	318	66	155	65	45	1735	688	349	1162	443	800	254	486	646	1369	454	776	573	2722	2394	6749	2412	1799	1577	1938	134	1878	211	1742	452
gene:PF3D7_0108800	1	357834	360339	+	2506	50	563	5	85	31	198	31	117	108	122	19	67	28	14	519	167	128	253	94	157	46	92	132	439	55	269	133	646	56	123	58	22	73	195	10	160	27	329	334
gene:PF3D7_0109000	1	363318	363992	+	675	28	514	8	72	33	188	33	125	80	215	7	21	16	9	402	239	202	269	104	122	74	209	141	245	94	288	99	490	538	4469	544	825	71	137	8	66	8	5124	9176
gene:PF3D7_0109100	1	365610	368795	+	3186	121	1922	24	396	185	845	185	181	132	244	40	125	61	54	1699	627	474	1026	392	673	283	561	635	1296	501	530	650	2723	139	327	131	92	17	11	4	35	4	3017	650
gene:PF3D7_0109200	1	369480	370178	-	699	41	433	10	83	43	179	43	83	47	75	12	21	10	11	394	140	102	220	77	123	60	138	137	279	79	202	132	609	1	1	4	2	74	152	9	101	15	208	208
gene:PF3D7_0109300	1	371815	373012	-	1198	63	542	6	108	42	182	42	96	105	135	22	61	20	5	533	189	136	317	133	224	55	111	170	408	79	298	175	680	1	10	49	6	3	2	3	55	26	125	205
gene:PF3D7_0109400	1	374439	375087	-	649	17	237	5	53	22	119	22	41	38	89	7	23	7	4	231	108	83	134	40	54	29	73	78	154	26	120	73	304	153	1283	215	285	79	54	143	1515	262	4934	9089
gene:PF3D7_0109500	1	376294	377004	-	711	13	232	3	50	15	81	15	44	31	48	5	25	7	6	254	121	66	118	66	93	28	66	73	129	25	120	57	245	215	1400	239	301	473	981	12	117	18	2401	4625
gene:PF3D7_0109600	1	377874	378599	-	726	29	308	7	63	22	104	22	73	63	70	12	20	6	8	366	151	79	236	97	173	20	48	78	254	35	171	93	292	3	7	4	1	63	136	17	176	45	181	211
gene:PF3D7_0109700	1	379149	379806	-	658	22	296	7	29	21	106	21	40	32	57	8	25	7	5	248	108	33	157	56	92	20	34	62	206	70	144	67	304	24	18	18	3	239	838	21	246	55	150	76
gene:PF3D7_0109800	1	380697	382424	+	1728	88	1043	20	237	91	470	91	180	105	183	32	102	24	12	987	373	307	622	241	389	121	235	320	770	249	418	322	1254	52	42	23	12	693	1380	30	426	79	347	77
gene:PF3D7_0109850	1	383284	386632	+	3349	87	850	12	140	58	357	58	190	126	155	23	63	24	25	897	276	263	432	175	283	86	130	208	647	206	448	194	1255	4	6	65	3	12	8	6	52	10	52	40
gene:PF3D7_0109950	1	386708	387940	+	1233	29	289	6	39	16	92	16	62	51	57	7	13	10	5	266	83	66	150	50	115	30	45	60	202	95	147	84	352	13	7	10	7	13	31	16	185	38	275	215
gene:PF3D7_0110000	1	388372	389076	+	705	36	532	4	79	46	256	46	80	47	66	17	39	12	6	398	182	113	199	92	149	103	161	137	293	112	165	144	603	27	22	15	4	54	56	10	169	23	7816	10567
gene:PF3D7_0110100	1	389261	392065	-	2805	127	1640	21	375	174	614	174	201	166	312	58	152	56	50	1432	563	364	926	312	607	202	375	506	1160	256	653	514	2337	440	766	329	158	265	662	16	274	49	289	73
gene:PF3D7_0110200	1	392604	393035	+	432	21	278	6	39	23	105	23	73	70	163	7	21	9	6	230	69	11	147	37	73	35	64	61	172	53	173	67	279	63	63	33	21	96	230	8	59	15	238	233
gene:PF3D7_0110400	1	393875	394835	-	961	26	455	3	90	46	192	46	105	99	136	13	29	26	11	455	203	123	252	112	157	66	107	131	320	82	320	108	628	44	165	76	37	1301	2650	40	457	86	922	1549
gene:PF3D7_0110500	1	396591	403606	+	7016	303	3593	62	736	323	1686	323	385	291	557	109	321	153	81	3482	1310	864	2326	888	1541	453	926	1239	2809	1059	1366	1089	5272	214	578	319	281	221	418	125	2221	290	1288	148
gene:PF3D7_0110600	1	405739	412169	+	6431	217	2785	48	603	272	1152	272	338	288	475	97	261	101	65	2824	1122	748	1730	661	1117	415	744	851	2045	560	1098	867	3931	2031	3708	2785	778	2722	4171	117	1782	161	1962	333
gene:PF3D7_0110700	1	413760	415100	-	1341	52	838	8	148	90	326	90	101	65	157	21	59	27	21	745	213	161	419	135	273	171	279	270	541	166	269	221	1119	51	75	56	32	132	296	31	367	60	6025	3822
gene:PF3D7_0110800	1	417921	419607	+	1687	53	749	10	146	77	282	77	157	88	165	25	61	22	10	616	235	180	339	121	202	122	222	240	402	107	336	201	827	491	1363	354	407	754	1915	27	285	56	2197	1521
gene:PF3D7_0110900	1	420293	420853	-	561	27	351	4	80	15	165	15	66	50	37	8	26	10	14	342	96	89	198	83	122	21	44	94	273	52	180	112	456	3	1	9	0	27	140	7	38	18	21	18
gene:PF3D7_0111000	1	421776	427575	-	5800	244	3402	32	568	281	1354	281	345	197	467	90	241	121	79	2822	1205	732	1702	677	1218	455	857	972	2199	638	1098	993	4208	50	126	172	24	48	34	31	492	71	3872	1110
gene:PF3D7_0111200	1	430152	430858	-	707	22	226	4	37	11	64	11	23	48	94	5	7	10	9	266	126	107	161	64	175	15	19	53	158	28	134	34	227	147	188	66	93	0	0	0	21	4	18	29
gene:PF3D7_0111300	1	431539	435042	-	3504	167	1832	32	363	153	808	153	189	137	159	55	146	79	38	1897	732	531	1144	434	806	157	355	555	1473	480	594	586	2740	112	66	78	24	23	18	67	863	137	1711	245
gene:PF3D7_0111400	1	436408	438564	+	2157	75	920	12	182	69	350	69	185	94	183	23	84	30	29	981	445	207	616	234	446	122	186	242	706	254	387	260	1168	82	76	72	28	2	2	24	284	87	260	68
gene:PF3D7_0111500	1	439652	441418	-	1767	56	632	6	96	46	226	46	100	81	161	18	46	15	13	604	265	173	370	148	260	42	119	150	466	137	266	216	782	29	10	83	2	47	41	15	138	23	660	665
gene:PF3D7_0111600	1	442543	443289	-	747	27	280	3	41	14	81	14	81	59	99	7	36	11	0	340	111	69	246	95	203	25	72	82	265	102	150	91	375	12	4	6	1	35	35	1	22	5	114	92
gene:PF3D7_0111700	1	443585	443938	-	354	8	139	1	33	7	41	7	39	15	25	1	8	3	4	167	64	24	104	27	75	12	19	38	89	14	85	31	181	0	1	1	0	2	0	0	0	0	0	1
gene:PF3D7_0111800	1	446026	448849	+	2824	69	839	15	143	54	302	54	105	67	100	28	51	37	13	846	369	243	510	215	439	79	110	170	585	139	242	245	1061	157	116	131	61	57	184	17	354	45	363	98
gene:PF3D7_0111900	1	450043	450646	-	604	12	184	0	37	8	60	8	56	34	39	9	6	7	5	210	87	91	125	52	90	15	36	35	137	3	69	54	240	2	1	2	0	71	139	11	190	42	531	945
gene:PF3D7_0112000	1	450831	453118	-	2288	45	631	8	89	61	305	61	114	50	99	26	67	22	22	757	254	210	464	158	288	73	110	169	481	154	206	173	789	1	3	51	0	68	202	2	85	13	47	31
gene:PF3D7_0112100	1	454847	455338	+	492	36	371	2	71	33	180	33	68	29	60	10	22	11	18	368	185	92	222	123	157	42	72	119	215	60	108	94	439	0	1	5	1	1	14	1	4	1	5	1
gene:PF3D7_0112200	1	464726	470194	+	5469	252	3325	46	586	340	1446	340	350	178	397	93	291	115	72	2982	1351	855	1907	756	1409	353	779	1012	2292	656	844	1056	4684	0	7	36	2	25	57	9	29	15	54	4
gene:PF3D7_0112800	1	481809	482618	-	810	29	382	5	41	40	154	40	55	19	62	11	20	10	17	368	109	108	178	106	145	41	106	98	221	55	95	79	406	24	72	45	25	48	189	1	8	0	334	278
gene:PF3D7_0112900	1	486500	487186	+	687	25	300	2	59	39	136	39	19	13	25	10	27	11	13	290	101	98	155	65	134	36	66	90	216	75	54	89	330	11	22	5	20	2	7	0	5	2	5	1
gene:PF3D7_0113000	1	487892	490127	-	2236	86	1283	43	263	293	757	293	153	75	129	146	116	37	87	1134	472	243	831	302	518	743	344	343	862	1013	250	305	1852	15	46	67	8	5649	6884	16	126	15	186	60
gene:PF3D7_0113100	1	495244	500076	+	4833	204	2964	51	596	602	1662	602	242	81	169	126	250	98	183	2421	1002	641	1553	695	1133	331	648	930	2033	816	585	868	4411	20	43	66	27	12	11	3	41	13	170	252
gene:PF3D7_0113200	1	500959	502868	-	1910	67	1221	15	184	248	611	248	134	37	65	34	80	39	75	986	345	321	634	263	404	199	356	334	683	205	234	328	1654	7	16	52	13	97	223	10	107	13	447	125
gene:PF3D7_0113300	1	504938	506874	-	1937	74	1152	16	204	189	672	189	106	31	80	30	115	39	74	917	367	197	581	242	324	183	384	307	659	259	258	302	1790	3	6	10	2	903	2450	2	8	5	40	8
gene:PF3D7_0113400	1	508252	509748	-	1497	58	856	11	143	142	481	142	67	23	50	28	60	30	49	731	284	262	465	216	352	129	230	269	621	204	224	266	1224	0	3	19	1	29	96	1	5	1	73	35
gene:PF3D7_0113700	1	520807	522579	+	1773	54	783	13	125	163	345	163	66	21	52	23	66	22	64	784	760	186	469	749	351	126	234	206	448	177	171	168	1274	18	49	68	32	2812	5811	9	77	16	342	249
gene:PF3D7_0113800	1	527107	536351	+	9245	371	5665	87	1132	1144	3375	1144	589	177	405	229	432	183	478	4460	19974	4903	2773	22951	5434	949	1787	1720	3698	1144	1149	1804	9428	1108	14060	3991	4820	134	369	21	253	57	29	13
gene:PF3D7_0113900	1	537109	538025	-	917	42	460	6	77	62	245	62	82	27	53	16	27	21	31	457	219	131	269	168	152	75	132	137	307	51	117	154	692	1	0	24	0	341	1382	0	9	2	66	66
gene:PF3D7_0114000	1	542480	546983	+	4504	161	2607	33	437	443	1330	443	282	62	158	91	238	60	154	1987	2631	786	1320	3183	1089	404	849	765	1470	687	531	752	3976	108	188	228	82	109	84	16	124	22	3095	1179
gene:PF3D7_0114100	1	547597	548380	-	784	9	154	1	23	33	81	33	19	3	5	6	22	2	7	178	902	170	114	1160	267	35	47	51	110	26	38	69	322	0	5	4	5	0	1	0	1	0	0	0
