Geneid	Chr	Start	End	Strand	Length	ERR435801	ERR435802	ERR435803	ERR435804	ERR435805	ERR435806	ERR435807	ERR435808
gene:PBANKA_010320	1	122082	123213	+	1132	363	2328	276	448	665	716	823	629
gene:PBANKA_010330	1	126075	132614	+	6540	321	2213	330	55	48	41	47	32
gene:PBANKA_010340	1	133178	134781	-	1604	337	2764	133	366	309	253	423	312
gene:PBANKA_010350	1	135555	138122	-	2568	251	1434	289	326	450	400	398	326
gene:PBANKA_010360	1	139125	140795	-	1671	49	275	19	38	52	37	32	23
gene:PBANKA_010370	1	141553	142188	-	636	54	520	28	111	178	149	135	106
gene:PBANKA_010380	1	142858	143442	+	585	286	1811	100	167	316	297	490	382
gene:PBANKA_010390	1	146949	149156	+	2208	1025	7164	464	354	197	286	717	543
gene:PBANKA_010400	1	150234	151608	-	1375	377	3787	161	497	481	380	573	475
gene:PBANKA_010410	1	152445	153904	+	1460	116	1161	54	105	99	89	125	83
gene:PBANKA_010420	1	154510	154983	-	474	396	1765	462	580	1436	1077	1304	988
gene:PBANKA_010430	1	155199	157128	-	1930	30	155	6	24	108	89	107	94
gene:PBANKA_010440	1	157727	163651	-	5925	44	260	35	10	23	11	28	22
gene:PBANKA_010450	1	165584	166363	+	780	2678	18976	2252	2661	5555	5340	7771	6347
gene:PBANKA_010460	1	166878	172475	-	5598	1674	7620	1066	206	80	151	429	292
gene:PBANKA_010470	1	175067	176620	+	1554	162	1309	88	179	172	150	212	133
gene:PBANKA_010480	1	177115	180117	-	3003	78	650	56	38	14	23	41	20
gene:PBANKA_010490	1	183218	185406	+	2189	356	2948	206	239	207	244	420	236
gene:PBANKA_010500	1	186476	187292	-	817	284	2070	304	638	1228	925	1125	906
gene:PBANKA_010510	1	188684	189452	-	769	117	720	65	143	498	364	323	258
gene:PBANKA_010520	1	190452	193016	-	2565	425	2946	176	225	287	377	929	630
gene:PBANKA_010530	1	195031	200510	-	5480	5107	37434	4320	1215	204	376	1172	679
gene:PBANKA_010540	1	203081	207619	+	4539	414	3007	242	92	41	54	151	123
gene:PBANKA_010550	1	208597	209247	-	651	420	2366	236	387	457	486	819	753
gene:PBANKA_010560	1	211648	214449	+	2802	123	1210	115	28	37	48	43	31
gene:PBANKA_010570	1	215460	218569	+	3110	356	2622	215	667	1299	1032	1183	1014
gene:PBANKA_010580	1	219124	220438	-	1315	237	1716	113	204	190	178	226	172
gene:PBANKA_010590	1	221536	222934	+	1399	79	514	28	62	58	51	70	48
gene:PBANKA_010600	1	223425	226759	-	3335	237	1262	232	231	350	381	635	423
gene:PBANKA_010610	1	227884	229266	+	1383	138	662	111	137	83	89	131	108
gene:PBANKA_010620	1	229639	232397	-	2759	183	1236	78	52	26	51	126	95
gene:PBANKA_010630	1	236742	243269	+	6528	453	3494	232	42	33	46	97	59
gene:PBANKA_010640	1	244130	245994	-	1865	1455	9242	1093	735	1436	1711	3373	2456
gene:PBANKA_010650	1	246857	249220	+	2364	1789	12747	2091	1316	716	1149	2389	1614
gene:PBANKA_010660	1	249527	251681	-	2155	295	2038	248	272	298	276	452	360
gene:PBANKA_010670	1	252201	255734	+	3534	806	5249	708	270	189	326	634	476
gene:PBANKA_010680	1	255883	256743	-	861	108	842	74	114	217	201	173	135
gene:PBANKA_010690	1	257208	260459	+	3252	96	722	86	57	27	31	55	40
gene:PBANKA_010695	1	261048	262412	+	1365	384	2246	200	333	1379	1223	2282	1862
gene:PBANKA_010700	1	262880	263290	-	411	1075	8030	791	2159	7288	5460	6724	5598
gene:PBANKA_010710	1	264343	265295	-	953	99	837	35	88	103	94	179	120
gene:PBANKA_010720	1	267131	268205	+	1075	533	3327	493	608	2117	2104	3228	2350
gene:PBANKA_010730	1	269623	271338	+	1716	247	2004	112	146	136	110	205	151
gene:PBANKA_010740	1	273369	274613	+	1245	203	1913	89	135	64	66	74	59
gene:PBANKA_010750	1	275681	278492	+	2812	103	1038	137	128	47	66	62	56
gene:PBANKA_010760	1	280540	296862	+	16323	281	1949	184	27	21	23	33	24
gene:PBANKA_010770	1	297421	299212	-	1792	821	6523	663	1712	1959	1812	2377	1949
gene:PBANKA_010780	1	300748	302278	+	1531	346	2417	296	310	372	368	657	483
gene:PBANKA_010790	1	303376	305899	+	2524	1543	8811	2316	1185	294	518	799	517
gene:PBANKA_010800	1	306323	308131	-	1809	86	634	67	67	26	30	72	36
gene:PBANKA_010810	1	310231	314769	+	4539	148	1164	113	76	66	41	78	60
gene:PBANKA_010820	1	316589	321493	+	4905	106	741	60	31	15	19	37	30
gene:PBANKA_010830	1	322516	323742	-	1227	312	2774	191	270	410	368	698	457
gene:PBANKA_010840	1	326646	331889	+	5244	288	1751	139	88	95	84	113	89
gene:PBANKA_010850	1	332571	333811	+	1241	154	1373	217	294	426	369	487	399
gene:PBANKA_010860	1	334074	335856	-	1783	296	1694	453	327	219	262	318	207
gene:PBANKA_010870	1	337036	339075	-	2040	1628	9961	2055	925	279	502	683	453
gene:PBANKA_010880	1	342642	343052	+	411	170	1457	121	403	702	490	774	589
gene:PBANKA_010890	1	343565	344138	-	574	6	61	6	12	16	8	18	11
gene:PBANKA_010900	1	345906	346887	+	982	123	753	137	103	12	13	47	25
gene:PBANKA_010910	1	347159	349171	+	2013	1563	13583	1801	1892	416	521	1122	807
gene:PBANKA_010920	1	349901	353425	-	3525	989	6935	673	289	70	130	292	186
gene:PBANKA_010930	1	355041	356159	-	1119	104	890	53	108	101	83	83	54
gene:PBANKA_010940	1	357667	357933	-	267	25	206	12	23	19	15	20	8
gene:PBANKA_010950	1	358938	360034	+	1097	119	904	90	155	195	184	233	194
gene:PBANKA_010960	1	361253	362393	+	1141	464	4298	205	453	934	811	1745	1245
gene:PBANKA_010970	1	362742	365150	-	2409	89	591	142	166	27	29	39	26
gene:PBANKA_010980	1	372976	374088	-	1113	141	1189	96	107	55	70	99	97
gene:PBANKA_010990	1	375468	377321	-	1854	132	952	91	82	69	78	91	62
gene:PBANKA_011000	1	378604	379080	-	477	196	1245	361	976	1124	895	742	587
gene:PBANKA_011010	1	380430	388759	-	8330	577	4612	282	138	240	166	129	106
gene:PBANKA_011020	1	391917	392836	+	920	124	1140	67	176	287	215	234	167
gene:PBANKA_011030	1	393408	393879	-	472	3	42	2	7	7	7	6	2
gene:PBANKA_011040	1	394826	396532	-	1707	322	2585	405	529	168	203	252	205
gene:PBANKA_011050	1	398038	404879	-	6842	208	1311	141	166	226	200	170	135
gene:PBANKA_011060	1	406156	406509	+	354	9	69	3	11	16	12	5	9
gene:PBANKA_011070	1	406536	407240	+	705	77	427	49	39	23	29	29	27
gene:PBANKA_011080	1	407585	407944	-	360	415	2649	287	394	698	651	825	617
gene:PBANKA_011090	1	408597	409814	-	1218	665	4785	627	945	1893	1701	2096	1729
gene:PBANKA_011100	1	410771	411775	-	1005	417	2571	190	399	440	395	667	557
gene:PBANKA_011110	1	412401	413384	-	984	1026	7957	875	1428	1158	1008	1403	1112
gene:PBANKA_011120	1	415503	417536	+	2034	981	7381	1061	926	251	429	748	537
gene:PBANKA_011130.1	1	418471	420300	-	1830	13	61	7	13	8	10	17	17
gene:PBANKA_011130.2	1	418496	420300	-	1805	0	0	0	0	0	0	0	0
gene:PBANKA_011140	1	422420	423186	+	767	193	1285	211	434	1138	793	993	771
gene:PBANKA_011150	1	424199	424485	+	287	71	510	53	61	248	186	265	180
gene:PBANKA_011160	1	425205	428881	-	3677	763	5214	455	561	611	525	575	452
gene:PBANKA_011170	1	430755	431522	+	768	142	1059	91	146	286	238	207	159
gene:PBANKA_011180	1	431734	434736	-	3003	308	1540	137	152	89	84	212	121
gene:PBANKA_011190	1	439763	441838	+	2076	277	1366	221	144	96	124	199	143
gene:PBANKA_011200	1	442241	444187	-	1947	947	4613	1032	1173	740	870	1450	1055
gene:PBANKA_011210	1	448107	455919	+	7813	160	1032	65	16	6	6	25	11
gene:PBANKA_011220	1	456330	462206	-	5877	1279	8582	703	86	27	46	318	162
gene:PBANKA_011230	1	465081	467618	-	2538	635	4966	278	246	134	193	342	246
gene:PBANKA_011240	1	468662	471097	-	2436	897	5674	1060	866	403	424	500	402
gene:PBANKA_011250	1	472354	474611	-	2258	146	1030	89	62	18	31	68	33
gene:PBANKA_011260	1	477226	478737	+	1512	9	101	9	5	7	15	13	13
gene:PBANKA_100010	10	1703	10034	+	8332	18	105	12	6	1	2	8	3
gene:PBANKA_100020	10	11388	13007	+	1620	15	78	5	15	22	11	21	21
gene:PBANKA_100030	10	14007	15214	-	1208	32	300	15	66	52	57	31	33
gene:PBANKA_100040	10	16615	18149	-	1535	5	52	1	9	16	10	14	12
gene:PBANKA_100050	10	21806	23809	-	2004	18	163	8	16	8	18	15	18
gene:PBANKA_100060	10	26152	27311	+	1160	14	232	16	23	63	79	134	85
gene:PBANKA_100070	10	29820	31514	-	1695	22	220	19	21	11	25	21	16
gene:PBANKA_100080	10	32550	33620	+	1071	31	187	15	6	12	21	26	11
gene:PBANKA_100090	10	34064	35068	-	1005	27	117	19	46	62	34	49	39
gene:PBANKA_100100	10	36287	46655	+	10369	193	1358	219	29	21	20	13	15
gene:PBANKA_100110	10	48054	49214	+	1161	156	1043	82	101	42	39	113	67
gene:PBANKA_100120	10	50698	53613	+	2916	9	52	4	7	4	3	4	3
gene:PBANKA_100130	10	54312	56814	-	2503	9	38	5	8	3	4	4	4
gene:PBANKA_100140	10	61838	64660	-	2823	43	394	27	19	14	24	33	21
gene:PBANKA_100150	10	67526	69601	-	2076	167	1411	260	96	17	28	50	36
gene:PBANKA_100160	10	74214	77794	+	3581	118	924	38	42	19	19	49	40
gene:PBANKA_100170	10	78383	78941	-	559	48	391	18	55	40	42	38	29
gene:PBANKA_100180	10	79816	90244	-	10429	304	2820	133	24	20	19	31	18
gene:PBANKA_100190	10	92176	92735	-	560	6	35	10	15	1	1	2	1
gene:PBANKA_100200	10	93824	97006	-	3183	152	996	160	29	61	69	163	99
gene:PBANKA_100210	10	98651	99709	-	1059	218	1761	125	313	379	311	481	371
gene:PBANKA_100220	10	101323	102741	-	1419	66	474	66	82	23	13	26	27
gene:PBANKA_100230	10	107611	119535	+	11925	101	895	53	24	17	17	21	15
gene:PBANKA_100240	10	119777	122445	-	2669	19	133	15	8	10	3	18	12
gene:PBANKA_100250	10	123297	125265	-	1969	73	475	57	63	78	90	186	137
gene:PBANKA_100260	10	126553	127749	-	1197	36	360	17	35	57	60	62	34
gene:PBANKA_100270	10	128971	131194	-	2224	142	942	243	308	48	71	48	56
gene:PBANKA_100280	10	132359	137013	-	4655	126	1373	56	43	5	10	31	20
gene:PBANKA_100290	10	140328	143075	+	2748	11	28	4	7	6	9	14	6
gene:PBANKA_100300	10	144139	150657	-	6519	2	8	5	0	6	0	2	3
gene:PBANKA_100310	10	154061	163207	+	9147	232	2388	155	16	5	2	13	2
gene:PBANKA_100320	10	163926	164871	-	946	86	651	90	242	130	111	106	79
gene:PBANKA_100330	10	165800	167827	+	2028	37	309	58	67	48	48	46	55
gene:PBANKA_100340	10	168517	175305	-	6789	631	5726	258	32	10	12	57	38
gene:PBANKA_100350	10	178391	178705	+	315	38	353	18	44	39	46	37	31
gene:PBANKA_100360	10	179575	182140	-	2566	146	1106	49	64	18	33	49	33
gene:PBANKA_100370	10	184221	185774	+	1554	638	4305	1062	1440	855	945	1483	1128
gene:PBANKA_100380	10	187024	188664	-	1641	133	1477	61	111	62	74	79	49
gene:PBANKA_100390	10	191209	191742	+	534	5	43	2	5	6	6	5	1
gene:PBANKA_100400	10	193135	194950	+	1816	18	147	10	30	25	22	29	20
gene:PBANKA_100410	10	195337	197758	-	2422	147	854	140	90	41	38	49	31
gene:PBANKA_100420	10	199708	200115	+	408	47	277	16	32	23	26	23	21
gene:PBANKA_100430	10	200769	204937	+	4169	49	418	28	40	73	75	89	86
gene:PBANKA_100440	10	204972	206404	-	1433	47	400	12	46	43	27	51	30
gene:PBANKA_100450	10	207245	215584	-	8340	365	2404	168	13	6	13	16	11
gene:PBANKA_100460	10	216322	217254	-	933	102	594	71	127	156	142	185	118
gene:PBANKA_100470	10	217916	219035	+	1120	25	207	18	34	61	53	76	50
gene:PBANKA_100480	10	219382	220473	-	1092	68	499	40	157	142	104	120	84
gene:PBANKA_100490	10	222012	223124	+	1113	202	1253	249	296	148	147	187	151
gene:PBANKA_100500	10	224153	224482	-	330	64	579	108	114	81	112	103	81
gene:PBANKA_100510	10	226110	227642	+	1533	105	691	261	210	55	49	72	72
gene:PBANKA_100520	10	229284	232199	+	2916	4	16	1	1	3	3	2	1
gene:PBANKA_100530	10	233229	238496	-	5268	84	673	35	33	30	24	39	27
gene:PBANKA_100540	10	240559	245376	+	4818	263	1950	143	53	13	25	65	36
gene:PBANKA_100550	10	246087	247961	-	1875	233	1575	82	142	64	56	119	57
gene:PBANKA_100560	10	248927	249442	-	516	4	26	4	4	6	4	4	5
gene:PBANKA_100570	10	251986	255207	+	3222	75	574	132	66	16	12	32	21
gene:PBANKA_100580	10	256324	257751	+	1428	55	365	64	30	11	17	43	25
gene:PBANKA_100590	10	258489	260150	-	1662	25	139	28	53	33	39	33	33
gene:PBANKA_100600	10	261187	263048	-	1862	3	18	2	2	1	3	2	1
gene:PBANKA_100610	10	264300	265739	-	1440	430	2139	211	238	82	88	227	149
gene:PBANKA_100620	10	268810	271809	+	3000	5935	52110	6506	5270	569	652	949	732
gene:PBANKA_100630	10	272872	276406	-	3535	112	1111	35	55	40	37	82	67
gene:PBANKA_100640	10	277764	278738	-	975	4786	38507	8723	19428	9635	8091	10575	8881
gene:PBANKA_100650	10	279958	282504	+	2547	486	3298	821	636	115	134	174	130
gene:PBANKA_100660	10	283064	289570	-	6507	32	217	23	3	7	3	11	11
gene:PBANKA_100670	10	290413	292151	-	1739	258	1660	527	472	260	271	336	240
gene:PBANKA_100680	10	293153	294568	+	1416	215	1546	316	339	104	133	179	144
gene:PBANKA_100690	10	295073	298147	-	3075	29	168	9	12	4	3	6	5
gene:PBANKA_100700	10	299537	301405	+	1869	9	165	10	9	6	11	9	9
gene:PBANKA_100710	10	302147	303525	-	1379	11	137	5	20	14	8	9	8
gene:PBANKA_100720	10	304936	308448	-	3513	220	1901	77	61	38	52	64	30
gene:PBANKA_100730	10	309579	310531	+	953	57	544	15	73	100	98	111	94
gene:PBANKA_100740	10	312057	313631	+	1575	439	3355	656	559	406	447	632	437
gene:PBANKA_100750	10	313899	315986	-	2088	237	1549	142	171	111	104	186	131
gene:PBANKA_100760	10	316957	319082	-	2126	83	539	35	43	19	22	45	25
gene:PBANKA_100770	10	322092	325089	-	2998	133	1216	62	53	11	18	82	39
gene:PBANKA_100780	10	327492	328472	+	981	31	247	21	29	30	31	29	21
gene:PBANKA_100790	10	329221	329856	-	636	1491	12311	863	1062	1502	1592	3189	2237
gene:PBANKA_100800	10	332186	333515	+	1330	304	2007	370	549	303	258	382	332
gene:PBANKA_100810	10	333929	336295	-	2367	158	1129	170	285	188	197	247	192
gene:PBANKA_100820	10	337514	340853	+	3340	7	49	3	2	1	6	8	5
gene:PBANKA_100830	10	341548	342783	-	1236	37	367	24	38	57	82	108	81
gene:PBANKA_100840	10	343439	346670	-	3232	6	53	4	2	4	3	4	11
gene:PBANKA_100850	10	348051	350810	-	2760	403	4230	235	101	41	53	97	52
gene:PBANKA_100860	10	354576	359831	+	5256	16	133	13	5	11	12	9	9
gene:PBANKA_100870	10	359868	365108	-	5241	107	703	26	17	13	12	29	16
gene:PBANKA_100880	10	366719	368479	-	1761	374	2895	190	174	118	138	210	141
gene:PBANKA_100890	10	370838	371782	+	945	211	1635	87	246	181	145	222	167
gene:PBANKA_100900	10	372065	373588	-	1524	79	608	25	54	30	35	30	24
gene:PBANKA_100910	10	376577	380366	+	3790	487	5050	252	305	183	155	209	167
gene:PBANKA_100920	10	383203	388044	+	4842	105	837	64	15	1	9	15	11
gene:PBANKA_100930	10	388767	389471	-	705	97	838	65	103	66	82	56	44
gene:PBANKA_100940	10	391169	391741	+	573	41	381	22	72	60	37	46	29
gene:PBANKA_100950	10	393980	402868	+	8889	1939	15487	769	45	26	23	100	62
gene:PBANKA_100960	10	403835	405382	-	1548	703	5327	499	415	598	742	1163	842
gene:PBANKA_100970	10	407999	409045	+	1047	12	101	12	11	13	10	14	6
gene:PBANKA_100980	10	409835	411136	-	1302	129	1239	53	102	76	86	93	75
gene:PBANKA_100990	10	411967	413389	-	1423	1974	15217	887	1753	4905	4248	7818	5393
gene:PBANKA_101000	10	414102	414860	-	759	59	473	55	135	64	74	56	51
gene:PBANKA_101010	10	416961	417449	+	489	50	417	80	86	56	73	78	56
gene:PBANKA_101020	10	418778	420493	-	1716	422	3168	490	386	156	162	285	201
gene:PBANKA_101030	10	422021	443812	+	21792	1359	9728	956	174	90	97	159	114
gene:PBANKA_101040	10	445316	446510	+	1195	270	2041	240	388	526	454	555	402
gene:PBANKA_101050	10	447225	448904	-	1680	359	3013	543	530	243	313	361	330
gene:PBANKA_101060	10	451948	452695	+	748	119	1174	66	221	447	367	357	274
gene:PBANKA_101070	10	453354	454550	-	1197	19	103	10	16	16	10	9	7
gene:PBANKA_101080	10	455384	456898	+	1515	54	462	22	82	36	27	42	40
gene:PBANKA_101090	10	457959	461609	-	3651	123	693	107	110	54	59	69	54
gene:PBANKA_101100	10	461907	464118	-	2212	39	239	27	35	38	20	8	10
gene:PBANKA_101110	10	465456	472331	+	6876	182	1446	110	36	21	27	27	19
gene:PBANKA_101120	10	473702	479252	+	5551	290	2041	513	287	50	69	99	81
gene:PBANKA_101130	10	479335	479946	-	612	98	798	97	125	91	78	70	65
gene:PBANKA_101140	10	483251	488050	+	4800	55	539	40	5	8	7	22	16
gene:PBANKA_101150	10	491125	505494	+	14370	191	1011	104	30	29	22	46	46
gene:PBANKA_101160	10	505911	507668	-	1758	878	6314	441	1154	2804	2142	3843	2970
gene:PBANKA_101170	10	509444	512278	+	2835	20	126	17	13	7	10	22	13
gene:PBANKA_101180	10	512727	516130	-	3404	180	930	120	288	531	404	494	406
gene:PBANKA_101190	10	516751	517158	+	408	38	294	25	79	104	104	82	51
gene:PBANKA_101200	10	518372	519282	+	911	47	294	26	32	23	29	26	14
gene:PBANKA_101210	10	520244	522172	+	1929	743	6093	1252	755	114	191	293	176
gene:PBANKA_101220	10	523728	524829	+	1102	284	2222	124	283	325	283	422	285
gene:PBANKA_101230	10	526014	529391	+	3378	47	374	46	18	57	69	84	59
gene:PBANKA_101240	10	529490	531100	-	1611	344	2251	237	406	830	745	661	532
gene:PBANKA_101250	10	532295	538946	+	6652	3184	17793	2511	2506	3330	4019	8086	5642
gene:PBANKA_101260	10	540422	545215	+	4794	847	5543	755	376	288	359	731	495
gene:PBANKA_101270	10	545444	550010	-	4567	535	2973	579	298	158	189	379	221
gene:PBANKA_101280	10	550766	552692	-	1927	149	968	54	137	130	98	116	86
gene:PBANKA_101290	10	554079	555263	+	1185	131	754	73	132	91	73	96	76
gene:PBANKA_101300	10	556210	559419	-	3210	319	2082	101	171	158	162	152	108
gene:PBANKA_101310	10	560912	561776	-	865	236	1706	182	474	753	595	578	469
gene:PBANKA_101320	10	563276	564652	-	1377	1481	11840	982	1109	1722	1771	3753	2672
gene:PBANKA_101330	10	566654	568453	+	1800	1321	9534	1029	599	734	948	2930	1847
gene:PBANKA_101340	10	570330	572898	+	2569	102	777	50	55	18	35	40	25
gene:PBANKA_101350	10	572988	575492	-	2505	220	1720	313	111	40	59	79	58
gene:PBANKA_101360	10	576874	577812	-	939	17	184	17	13	30	30	38	17
gene:PBANKA_101370	10	578882	579844	+	963	68	565	38	75	86	60	59	61
gene:PBANKA_101380	10	581052	581570	+	519	304	2567	128	262	273	224	262	213
gene:PBANKA_101390	10	581882	582601	-	720	242	1691	118	180	367	348	455	369
gene:PBANKA_101400	10	583559	585574	-	2016	86	763	35	60	100	82	129	99
gene:PBANKA_101410	10	586303	588681	-	2379	496	3660	309	358	188	209	333	295
gene:PBANKA_101420	10	589201	590421	-	1221	69	346	32	77	57	49	65	65
gene:PBANKA_101430	10	590966	592990	-	2025	819	5548	644	788	998	944	1412	1059
gene:PBANKA_101440	10	594259	600537	+	6279	813	6117	378	54	8	13	67	32
gene:PBANKA_101450	10	601088	603797	-	2710	194	1899	106	314	427	328	415	341
gene:PBANKA_101460	10	604912	606390	-	1479	159	1283	70	91	88	89	157	104
gene:PBANKA_101470	10	607962	609180	+	1219	291	1910	143	418	497	402	526	452
gene:PBANKA_101480	10	609456	613382	-	3927	1155	9587	867	474	306	319	575	416
gene:PBANKA_101490	10	614663	618650	-	3988	828	5893	341	271	230	292	658	473
gene:PBANKA_101500	10	620411	621454	+	1044	353	2614	247	476	1123	1088	1169	880
gene:PBANKA_101510	10	621671	622225	-	555	168	1115	91	178	313	313	324	233
gene:PBANKA_101520	10	623476	625452	-	1977	3495	23104	4606	6267	2368	2234	4869	3534
gene:PBANKA_101530	10	625928	632848	-	6921	724	3821	425	601	1247	1060	1135	966
gene:PBANKA_101540	10	634039	636881	+	2843	782	7869	457	1277	2612	1797	2278	1887
gene:PBANKA_101550	10	638369	640714	+	2346	469	2528	256	350	851	791	1581	1198
gene:PBANKA_101560	10	641595	643247	-	1653	131	754	59	24	11	27	53	35
gene:PBANKA_101570	10	644488	645105	+	618	98	677	47	89	69	56	57	61
gene:PBANKA_101580	10	646681	649758	+	3078	2309	13620	1589	758	834	1304	3277	2325
gene:PBANKA_101590	10	649821	650996	-	1176	618	4358	317	291	334	421	1087	785
gene:PBANKA_101600	10	652072	652869	+	798	153	1038	323	209	269	297	341	265
gene:PBANKA_101610	10	653253	655000	-	1748	11	87	12	5	22	19	25	15
gene:PBANKA_101620	10	655411	661711	-	6301	811	5404	491	218	128	225	553	375
gene:PBANKA_101630	10	664748	666076	+	1329	192	1581	144	188	96	107	111	105
gene:PBANKA_101640	10	666415	668505	-	2091	188	1127	89	77	57	73	142	82
gene:PBANKA_101650	10	670140	671921	+	1782	192	1434	125	172	121	143	208	176
gene:PBANKA_101660	10	672186	674057	-	1872	37	288	34	57	84	65	52	51
gene:PBANKA_101670	10	675797	676636	-	840	255	2107	168	214	267	279	306	201
gene:PBANKA_101680	10	679806	680546	+	741	16	126	9	17	23	13	13	10
gene:PBANKA_101690	10	681583	681774	+	192	120	918	52	96	103	85	70	66
gene:PBANKA_101700	10	682333	683769	-	1437	1505	10772	2670	3327	665	704	1070	677
gene:PBANKA_101710	10	685246	687681	-	2436	155	832	70	254	145	117	107	90
gene:PBANKA_101720	10	689514	691803	+	2290	134	915	98	143	68	63	63	61
gene:PBANKA_101730	10	698688	703742	-	5055	62	564	49	45	20	21	48	26
gene:PBANKA_101740	10	705178	705661	-	484	24	172	11	33	59	51	31	19
gene:PBANKA_101750	10	706720	709875	-	3156	166	926	92	100	20	27	25	17
gene:PBANKA_101760	10	710759	714055	-	3297	1164	7880	551	288	142	238	549	293
gene:PBANKA_101770	10	715070	715336	+	267	227	1838	153	414	474	386	643	403
gene:PBANKA_101780	10	715969	721633	-	5665	107	864	95	52	55	56	70	41
gene:PBANKA_101790	10	724939	728301	+	3363	1033	7256	801	473	101	130	362	246
gene:PBANKA_101800	10	728891	733054	+	4164	1385	7994	1343	1797	5245	4607	6339	5052
gene:PBANKA_101810	10	733878	735848	+	1971	371	3008	211	328	232	220	296	194
gene:PBANKA_101820	10	736491	737347	+	857	27	307	24	50	204	155	101	102
gene:PBANKA_101830	10	737720	739498	+	1779	60	516	23	15	8	10	22	10
gene:PBANKA_101840	10	740929	742110	+	1182	208	1724	129	215	103	107	149	97
gene:PBANKA_101850	10	744073	744597	+	525	597	3118	1250	2811	2671	1939	1138	980
gene:PBANKA_101860	10	746316	746801	+	486	511	4333	401	640	1000	855	1081	796
gene:PBANKA_101870	10	748333	749806	+	1474	57	417	47	114	47	34	37	35
gene:PBANKA_101880	10	750271	752502	-	2232	784	5858	505	344	264	354	611	418
gene:PBANKA_101890	10	753349	754788	-	1440	227	1624	146	178	333	360	397	335
gene:PBANKA_101900	10	755555	756240	-	686	527	2734	543	861	1249	970	1002	804
gene:PBANKA_101910	10	756994	759975	-	2982	868	6611	421	389	643	908	3241	2087
gene:PBANKA_101920	10	760857	762939	+	2083	922	6146	881	1523	4225	3782	6133	4946
gene:PBANKA_101930	10	763470	764714	+	1245	15	176	13	19	18	16	55	38
gene:PBANKA_101940	10	768341	769625	-	1285	591	5225	800	1185	1169	1048	1240	958
gene:PBANKA_101950	10	771314	772936	+	1623	1313	11687	1844	1985	929	964	872	637
gene:PBANKA_101960	10	774422	778885	-	4464	1847	11475	3509	3303	2607	2823	2544	2081
gene:PBANKA_101970	10	782972	786502	+	3531	1039	7485	878	289	127	157	294	201
gene:PBANKA_101980	10	787337	789316	-	1980	335	2298	207	303	956	798	837	669
gene:PBANKA_101990	10	792017	795898	+	3882	125	917	104	45	97	159	225	164
gene:PBANKA_102000	10	796008	800405	-	4398	3275	21220	3023	1948	2213	2939	5215	3662
gene:PBANKA_102010	10	800755	805367	-	4613	2152	16682	1569	1286	1293	1480	3343	2470
gene:PBANKA_102020	10	806139	808402	-	2264	116	609	143	89	466	391	537	424
