Geneid	Chr	Start	End	Strand	Length	SRR7059090	SRR7059091	SRR7059092	SRR7059093	SRR7059094	SRR7059095	SRR7059096	SRR7059097	SRR7059098	SRR7059099	SRR7059100
gene:PF3D7_0107800	1	322371	326072	+	3702	23	83	82	923	565	873	6	5	8	8	1
gene:PF3D7_0107900	1	326397	327224	-	828	1	13	8	6	5	1	4	5	2	1	2
gene:PF3D7_0108000	1	328431	329558	-	1128	55	146	83	65	32	54	4	3	4	35	10
gene:PF3D7_0108100	1	330738	332708	+	1971	0	8	4	2	1	0	0	0	0	0	0
gene:PF3D7_0108300	1	337168	343833	+	6666	1270	1896	1643	22942	9090	23588	18	20	18	89	30
gene:PF3D7_0108400.1	1	344400	346540	-	2141	1	4	4	30	21	25	3	3	4	4	0
gene:PF3D7_0108400.2	1	345206	346540	-	1335	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_0108500	1	349170	349709	+	540	111	212	245	934	693	1276	0	1	2	7	2
gene:PF3D7_0108600	1	349995	351626	-	1632	8	12	6	54	15	65	1	1	0	1	0
gene:PF3D7_0108700	1	352314	356211	-	3898	222	492	437	3614	1592	3473	2	3	3	26	15
gene:PF3D7_0108800	1	357834	360339	+	2506	16	34	20	119	74	138	0	1	1	0	0
gene:PF3D7_0109000	1	363318	363992	+	675	3462	3057	2253	7747	2770	7218	400	431	425	112	33
gene:PF3D7_0109100	1	365610	368795	+	3186	293	418	291	615	248	622	0	0	0	2	0
gene:PF3D7_0109200	1	369480	370178	-	699	1	8	5	3	2	1	0	1	0	0	2
gene:PF3D7_0109300	1	371815	373012	-	1198	3	8	1	1	14	3	3	0	5	0	0
gene:PF3D7_0109400	1	374439	375087	-	649	210	358	152	1125	558	1397	0	0	0	0	0
gene:PF3D7_0109500	1	376294	377004	-	711	32	86	84	2109	1565	2418	5	1	3	0	0
gene:PF3D7_0109600	1	377874	378599	-	726	0	2	1	2	1	1	2	0	1	1	0
gene:PF3D7_0109700	1	379149	379806	-	658	0	7	1	5	4	2	0	2	0	0	1
gene:PF3D7_0109800	1	380697	382424	+	1728	19	44	21	37	15	37	23	24	30	6	5
gene:PF3D7_0109850	1	383284	386632	+	3349	1	6	2	2	0	2	2	1	1	1	1
gene:PF3D7_0109950	1	386708	387940	+	1233	2	7	1	2	0	1	1	2	1	0	1
gene:PF3D7_0110000	1	388372	389076	+	705	71	89	65	64	33	46	0	0	0	0	0
gene:PF3D7_0110100	1	389261	392065	-	2805	8	31	30	708	288	508	0	0	0	3	0
gene:PF3D7_0110200	1	392604	393035	+	432	5	24	19	65	33	43	2	0	0	0	1
gene:PF3D7_0110400	1	393875	394835	-	961	112	144	74	32	11	36	1	5	5	10	6
gene:PF3D7_0110500	1	396591	403606	+	7016	88	142	119	104	61	80	1	3	3	1	0
gene:PF3D7_0110600	1	405739	412169	+	6431	395	607	406	2419	1227	2369	9	10	7	31	16
gene:PF3D7_0110700	1	413760	415100	-	1341	32	110	64	114	43	111	1	7	2	305	122
gene:PF3D7_0110800	1	417921	419607	+	1687	309	333	283	2787	1030	2117	70	51	47	346	84
gene:PF3D7_0110900	1	420293	420853	-	561	0	1	1	1	0	0	0	2	2	2	0
gene:PF3D7_0111000	1	421776	427575	-	5800	108	117	65	66	43	91	221	201	260	604	329
gene:PF3D7_0111200	1	430152	430858	-	707	0	1	2	24	57	51	4	6	5	11	0
gene:PF3D7_0111300	1	431539	435042	-	3504	5	29	26	30	30	31	1	2	2	10	6
gene:PF3D7_0111400	1	436408	438564	+	2157	2	15	12	30	22	25	2	1	2	1	0
gene:PF3D7_0111500	1	439652	441418	-	1767	1	16	2	11	10	13	0	3	0	0	0
gene:PF3D7_0111600	1	442543	443289	-	747	3	5	1	8	3	12	0	0	0	1	1
gene:PF3D7_0111700	1	443585	443938	-	354	0	0	0	0	0	1	1	0	0	0	0
gene:PF3D7_0111800	1	446026	448849	+	2824	0	10	6	69	47	75	0	0	1	3	0
gene:PF3D7_0111900	1	450043	450646	-	604	1	4	3	0	0	0	0	0	0	1	1
gene:PF3D7_0112000	1	450831	453118	-	2288	0	1	2	0	0	1	0	0	0	0	1
gene:PF3D7_0112100	1	454847	455338	+	492	0	1	0	0	1	0	1	1	1	0	1
gene:PF3D7_0112200	1	464726	470194	+	5469	0	2	1	10	3	2	6	9	5	7	8
gene:PF3D7_0112800	1	481809	482618	-	810	12	33	36	180	116	151	0	0	0	0	0
gene:PF3D7_0112900	1	486500	487186	+	687	5	18	10	31	24	47	0	0	0	0	0
gene:PF3D7_0113000	1	487892	490127	-	2236	3	7	0	6	2	9	17	11	12	34	18
gene:PF3D7_0113100	1	495244	500076	+	4833	1	0	4	0	3	0	2	1	0	11	5
gene:PF3D7_0113200	1	500959	502868	-	1910	1	4	0	1	0	1	3	1	1	3	0
gene:PF3D7_0113300	1	504938	506874	-	1937	0	2	0	0	0	0	1	0	0	0	0
gene:PF3D7_0113400	1	508252	509748	-	1497	0	1	0	2	0	1	0	0	0	0	0
gene:PF3D7_0113700	1	520807	522579	+	1773	2	4	7	17	11	17	1	0	0	0	1
gene:PF3D7_0113800	1	527107	536351	+	9245	8	8	15	428	194	403	6	5	5	7	4
gene:PF3D7_0113900	1	537109	538025	-	917	0	1	0	0	0	0	0	1	0	1	0
gene:PF3D7_0114000	1	542480	546983	+	4504	6	14	4	3	4	8	0	4	2	2	1
gene:PF3D7_0114100	1	547597	548380	-	784	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_0114200	1	550576	551713	-	1138	1	1	1	0	0	0	3	4	4	2	0
gene:PF3D7_0114500	1	558201	558708	-	508	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_0114700	1	563703	564842	-	1140	1	3	1	0	0	0	1	1	1	0	0
gene:PF3D7_0114800	1	569485	570272	-	788	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_0115000	1	577704	583789	+	6086	0	2	1	0	0	0	3	4	2	8	9
gene:PF3D7_0115100	1	587391	588394	+	1004	0	1	0	1	1	0	0	0	0	0	0
gene:PF3D7_0115200	1	591849	593187	+	1339	1	0	1	0	0	1	2	4	0	3	1
gene:PF3D7_0115300	1	595102	596273	+	1172	1	0	0	1	0	0	0	0	2	0	2
gene:PF3D7_0115400	1	598465	599472	+	1008	2	1	2	0	0	0	0	0	1	0	0
gene:PF3D7_0115600	1	604162	605531	+	1370	1	0	1	0	0	4	1	1	0	3	2
gene:PF3D7_0115700	1	607390	614893	-	7504	16	16	8	102	61	69	6	4	3	6	5
gene:PF3D7_1000100	10	28490	36164	+	7675	121	86	49	281	128	226	7	5	5	4	3
gene:PF3D7_1000200	10	38050	39395	-	1346	1	1	0	5	3	12	2	1	2	0	0
gene:PF3D7_1000300	10	41773	42963	-	1191	1	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_1000400	10	44816	46133	-	1318	0	0	0	0	0	1	2	1	2	0	0
gene:PF3D7_1000500	10	48052	49384	-	1333	0	1	1	0	0	4	0	0	0	0	1
gene:PF3D7_1000600	10	51349	52599	-	1251	1	1	2	0	0	0	0	1	0	0	0
gene:PF3D7_1001000	10	63152	64032	+	881	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_1001100.2	10	67807	68753	-	947	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_1001100.1	10	67807	68961	-	1155	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_1001200	10	70547	70819	-	273	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_1001300	10	72934	73917	-	984	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_1001400	10	74661	77572	-	2912	0	0	1	1	0	0	1	0	0	3	1
gene:PF3D7_1001500	10	81416	81739	-	324	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_1001600	10	86538	89009	-	2472	3	0	0	0	0	0	1	0	1	1	1
gene:PF3D7_1001700	10	92573	93526	-	954	0	1	2	1	0	0	0	0	0	0	0
gene:PF3D7_1001800	10	96113	97031	-	919	0	0	0	0	0	0	0	1	0	0	0
gene:PF3D7_1001900	10	99379	100361	-	983	1	0	0	4	5	1	1	1	2	0	0
gene:PF3D7_1002000	10	103118	104683	-	1566	0	0	1	0	0	0	2	1	1	3	1
gene:PF3D7_1002100	10	106653	108662	-	2010	1	0	2	0	0	0	1	1	2	1	0
gene:PF3D7_1002200	10	112929	116015	+	3087	5	7	2	1	0	1	0	1	2	1	6
gene:PF3D7_1002300	10	117242	118534	+	1293	1	0	1	0	0	0	2	0	0	0	0
gene:PF3D7_1002400.2	10	121115	123291	+	2177	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_1002400.1	10	121115	123291	+	2177	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_1002500	10	123770	124882	-	1113	5	11	12	155	61	132	1	1	0	7	0
gene:PF3D7_1002600	10	125939	127600	+	1662	3	4	5	24	18	34	0	0	0	3	0
gene:PF3D7_1002700	10	129276	132110	+	2835	5	13	3	40	19	27	0	0	0	1	0
gene:PF3D7_1002800	10	132995	137272	+	4278	0	3	1	2	4	4	0	0	0	1	1
gene:PF3D7_1002900	10	138765	139853	+	1089	0	4	0	0	0	0	0	1	2	1	0
gene:PF3D7_1003000	10	142419	146237	+	3819	2	8	7	211	185	202	0	1	0	0	1
gene:PF3D7_1003100	10	147639	148239	+	601	10	26	7	19	8	25	0	1	1	0	0
gene:PF3D7_1003200	10	149342	150038	+	697	2	10	4	0	0	0	0	0	0	0	0
gene:PF3D7_1003300	10	150416	150874	-	459	0	16	9	108	78	91	0	2	0	0	0
gene:PF3D7_1003400	10	152364	158516	-	6153	111	198	116	1	4	2	9	3	2	2	1
gene:PF3D7_1003500	10	160316	160962	-	647	77	144	72	783	209	604	100	85	67	99	46
gene:PF3D7_1003600	10	164945	165790	+	846	1668	1445	1260	770	246	674	510	604	445	21	3
gene:PF3D7_1003700	10	166743	170669	-	3927	16	42	30	343	172	244	1	1	3	1	4
gene:PF3D7_1003800	10	172723	176430	-	3708	24	54	10	9	2	2	2	6	0	3	2
gene:PF3D7_1003900	10	177921	178870	+	950	0	0	1	0	0	0	0	0	0	0	0
gene:PF3D7_1004000	10	179344	180226	-	883	60	82	43	491	113	309	12	5	5	48	15
gene:PF3D7_1004100	10	182244	187100	+	4857	0	1	2	13	6	20	2	2	0	2	1
gene:PF3D7_1004200	10	187669	196954	-	9286	15	64	25	15	17	13	0	0	2	3	2
gene:PF3D7_1004300	10	199452	202844	-	3393	453	514	432	3072	1024	2900	12	27	30	153	56
gene:PF3D7_1004400	10	207000	209642	-	2643	141	150	124	105	36	86	1	1	0	1	0
gene:PF3D7_1004500	10	213986	214594	-	609	7	12	8	33	45	37	14	8	8	72	25
gene:PF3D7_1004600	10	215717	219759	+	4043	58	121	72	89	63	85	2	1	1	1	2
gene:PF3D7_1004700	10	220018	221353	-	1336	18	20	16	497	255	354	0	2	0	0	0
gene:PF3D7_1004800	10	221945	223430	+	1486	6	16	12	636	299	468	0	0	0	6	0
gene:PF3D7_1004900	10	224248	225207	+	960	188	255	213	173	78	170	4	7	6	1	1
gene:PF3D7_1005000	10	225456	227705	-	2250	4	18	4	5	4	3	0	1	0	0	1
gene:PF3D7_1005100	10	228798	232193	+	3396	2	8	9	13	12	11	0	2	1	6	4
gene:PF3D7_1005200	10	232422	232818	-	397	2	6	6	0	0	0	0	0	0	0	0
gene:PF3D7_1005300	10	233285	234473	-	1189	34	36	18	0	0	0	0	0	0	0	0
gene:PF3D7_1005400	10	234795	235745	-	951	55	25	47	0	1	0	0	0	0	0	1
gene:PF3D7_1005500	10	237506	242245	-	4740	24	51	32	293	133	228	2	2	2	2	4
gene:PF3D7_1005600	10	244145	246535	-	2391	75	130	150	1832	749	1445	0	1	0	0	0
gene:PF3D7_1005700	10	247495	249940	-	2446	6	5	3	1	0	0	0	0	1	4	3
gene:PF3D7_1005800	10	251579	252490	+	912	35	64	27	0	1	0	1	0	1	0	0
gene:PF3D7_1005900	10	253704	255611	+	1908	342	429	349	142	48	108	4	2	6	11	9
gene:PF3D7_1006000	10	256117	257699	-	1583	5992	4324	3924	611	309	639	0	3	3	5	2
gene:PF3D7_1006100	10	259060	260304	-	1245	30	40	11	66	18	46	2	0	2	0	0
gene:PF3D7_1006200	10	262150	262997	-	848	1536	1930	1527	4869	1903	6253	17	19	10	35	6
gene:PF3D7_1006300	10	265750	266836	-	1087	14	31	47	26	19	17	1	0	0	0	0
gene:PF3D7_1006400	10	267219	269831	-	2613	31	77	58	43	17	41	1	0	0	0	1
gene:PF3D7_1006500	10	270535	271497	+	963	13	9	18	12	6	19	0	0	0	0	0
gene:PF3D7_1006600	10	272243	272824	-	582	22	89	44	222	139	234	0	1	0	0	0
gene:PF3D7_1006700	10	274091	275426	+	1336	74	178	141	513	247	482	1	2	0	2	1
gene:PF3D7_1006800	10	277621	279168	+	1548	611	1243	1053	616	359	666	9	7	3	4	6
gene:PF3D7_1006900	10	281459	283104	+	1646	359	296	261	809	329	1009	2	6	0	3	0
gene:PF3D7_1007000	10	284577	286302	+	1726	7	7	6	5	15	15	0	1	0	0	0
gene:PF3D7_1007100	10	286522	287473	-	952	4	8	13	19	9	24	0	3	0	0	0
gene:PF3D7_1007200	10	288383	290826	-	2444	627	956	726	10639	2723	9280	3	2	0	12	1
gene:PF3D7_1007300	10	293850	295999	+	2150	109	145	87	7	5	9	0	2	4	1	0
gene:PF3D7_1007400	10	296906	297565	+	660	110	90	73	20	24	28	1	0	0	1	0
gene:PF3D7_1007500	10	298361	298687	+	327	3	3	2	0	0	0	1	0	0	0	0
gene:PF3D7_1007600	10	299280	299609	+	330	31	70	26	14	5	12	8	23	26	14	13
gene:PF3D7_1007700	10	301126	305919	-	4794	2615	4625	4073	33025	15200	34329	34	30	30	165	60
gene:PF3D7_1007800	10	311397	314516	-	3120	8	48	22	1	1	1	1	1	0	1	1
gene:PF3D7_1007900	10	316649	318280	+	1632	34	62	44	57	34	40	2	0	0	0	0
gene:PF3D7_1008000	10	321011	328150	+	7140	21	83	48	29	13	23	6	7	13	5	6
gene:PF3D7_1008100	10	331246	342807	+	11562	79	178	150	4877	2179	4621	8	15	7	354	130
gene:PF3D7_1008200	10	343733	344899	-	1167	0	1	2	1	0	2	3	3	4	2	7
gene:PF3D7_1008400	10	347206	348667	-	1462	689	1055	758	7457	1813	7011	42	43	41	25	7
gene:PF3D7_1008500	10	351703	355593	+	3891	32	109	92	223	163	253	4	5	1	8	4
gene:PF3D7_1008600	10	357345	358463	+	1119	2074	5085	4880	9991	4381	7374	19	21	33	32	23
gene:PF3D7_1008700	10	360625	362480	-	1856	7059	7481	3747	1656	1004	2133	2079	2568	1281	24	8
gene:PF3D7_1008800	10	365737	367146	-	1410	103	165	120	273	78	182	20	31	33	253	82
gene:PF3D7_1008900	10	369199	370225	-	1027	60	62	36	19	5	18	1	0	0	1	0
gene:PF3D7_1009000	10	371293	372117	+	825	8	4	2	1	4	1	0	0	1	3	0
gene:PF3D7_1009100	10	372519	374072	+	1554	1	2	1	0	0	0	0	1	0	0	0
gene:PF3D7_1009200	10	374864	377611	+	2748	1	5	6	0	5	2	0	0	0	0	0
gene:PF3D7_1009300	10	377906	379708	-	1803	5	28	7	4	0	4	1	2	0	0	0
gene:PF3D7_1009400	10	381361	382449	+	1089	13	27	7	2	6	3	5	5	0	24	6
gene:PF3D7_1009500	10	383044	384793	-	1750	18	46	32	137	66	114	0	0	1	1	1
gene:PF3D7_1009600	10	386976	388442	+	1467	2	3	0	4	2	2	1	0	1	1	4
gene:PF3D7_1009700	10	389504	391165	-	1662	212	291	152	29	12	35	9	5	6	9	7
gene:PF3D7_1009800	10	393765	397993	-	4229	22	59	65	398	287	295	1	0	0	1	2
gene:PF3D7_1009900	10	399207	401778	+	2572	10	31	17	169	100	144	0	0	0	2	2
gene:PF3D7_1010000	10	401876	402711	-	836	91	118	93	1143	693	1011	9	5	8	98	49
gene:PF3D7_1010100	10	403679	404575	+	897	48	93	60	629	406	614	0	0	0	0	0
gene:PF3D7_1010200	10	405017	410536	-	5520	2	5	1	1	0	3	1	2	1	3	0
gene:PF3D7_1010300	10	414732	415328	+	597	26	87	48	21	16	23	0	1	0	0	0
gene:PF3D7_1010400	10	415404	417471	-	2068	23	36	12	12	4	9	1	1	1	0	0
gene:PF3D7_1010500	10	417705	419318	+	1614	5	7	3	4	0	2	0	1	0	7	2
gene:PF3D7_1010600	10	420185	421056	-	872	69	160	117	1061	395	934	30	47	30	19	12
gene:PF3D7_1010700	10	422961	424365	+	1405	87	195	126	503	271	442	1	0	0	1	0
gene:PF3D7_1010800	10	424866	425765	-	900	191	211	215	101	111	112	0	0	0	0	0
gene:PF3D7_1010900	10	426601	428146	+	1546	91	138	128	43	43	61	0	1	0	2	1
gene:PF3D7_1011000	10	429204	430140	-	937	727	353	261	19	2	15	8	10	5	1	0
gene:PF3D7_1011100	10	432505	435570	-	3066	2	7	10	6	8	9	1	0	0	2	2
gene:PF3D7_1011200.1	10	436958	437708	+	751	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_1011200.2	10	436958	437708	+	751	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_1011300	10	438446	440380	+	1935	12	53	33	114	142	102	0	0	0	0	1
gene:PF3D7_1011400	10	441140	441955	-	816	22	62	52	215	133	194	10	12	13	233	65
gene:PF3D7_1011500	10	443874	444401	-	528	2803	3911	3685	25169	14313	22584	1	1	0	0	0
gene:PF3D7_1011600	10	445164	447125	-	1962	0	5	2	2	3	5	1	1	1	1	0
gene:PF3D7_1011700	10	449154	450323	+	1170	9	30	15	37	20	19	0	0	2	16	10
gene:PF3D7_1011800	10	455398	458817	+	3420	692	1399	1104	6669	2891	7465	1	1	8	66	28
gene:PF3D7_1011900	10	460335	461993	-	1659	22	46	35	8	7	8	0	0	0	2	2
gene:PF3D7_1012000	10	463493	467006	+	3514	156	151	156	92	28	58	1	3	0	4	2
gene:PF3D7_1012100	10	468071	469536	-	1466	126	117	75	1	0	1	3	9	4	2	0
gene:PF3D7_1012200	10	470979	471933	+	955	41	69	32	0	0	1	6	16	1	1	0
gene:PF3D7_1012300	10	472546	473386	-	841	41	56	26	357	116	258	17	29	29	6	7
gene:PF3D7_1012400	10	475327	476563	-	1237	14	48	6	3	2	2	2	10	3	6	1
gene:PF3D7_1012500	10	478758	480539	-	1782	8	24	5	0	1	0	8	15	13	20	13
gene:PF3D7_1012600	10	482527	484194	-	1668	5	9	7	1	0	1	1	1	1	21	2
gene:PF3D7_1012700	10	487252	491828	+	4577	2	10	4	0	3	1	1	0	1	3	2
gene:PF3D7_1012800	10	492550	495144	+	2595	5	5	9	8	8	10	1	1	0	1	0
gene:PF3D7_1012900	10	496331	497573	-	1243	39	71	80	270	135	146	2	1	4	1	1
gene:PF3D7_1013000	10	500210	502221	+	2012	2	12	3	23	19	10	0	0	0	1	0
gene:PF3D7_1013100	10	502634	506392	-	3759	7	15	5	42	36	64	0	1	1	3	1
gene:PF3D7_1013200	10	511084	514278	+	3195	20	32	20	690	339	654	2	2	2	2	0
gene:PF3D7_1013300	10	515721	517607	-	1887	14	22	19	2	0	0	0	1	0	0	1
gene:PF3D7_1013400	10	518542	522252	-	3711	410	296	352	32	30	28	0	0	0	0	0
gene:PF3D7_1013500	10	526840	531448	+	4609	28	63	58	187	115	160	11	32	16	98	30
gene:PF3D7_1013600	10	533109	539825	+	6717	7	37	8	2	2	8	1	3	1	2	2
gene:PF3D7_1013700	10	540622	541694	+	1073	4	10	1	7	1	11	1	2	0	0	2
gene:PF3D7_1013800	10	542359	544779	+	2421	124	231	133	5	5	3	1	4	1	2	0
gene:PF3D7_1013900	10	545679	548903	-	3225	5	17	5	28	11	15	2	3	0	3	0
gene:PF3D7_1014000	10	550839	552571	-	1733	55	97	40	11	6	18	1	0	0	2	0
gene:PF3D7_1014100	10	555160	559527	+	4368	8	23	9	4	7	6	2	0	1	3	1
gene:PF3D7_1014200	10	560538	563353	+	2816	1	1	0	3	1	0	1	0	0	0	0
gene:PF3D7_1014300	10	565805	573060	+	7256	275	637	305	2618	1458	2864	7	7	6	67	25
gene:PF3D7_1014400	10	574129	575103	+	975	0	2	0	8	5	6	0	0	1	0	0
gene:PF3D7_1014500	10	576579	580478	+	3900	1	3	4	2	1	2	1	0	1	1	1
gene:PF3D7_1014600	10	581354	589090	-	7737	447	667	529	9880	2621	9066	11	12	16	227	68
gene:PF3D7_1014700	10	595308	596222	+	915	7	18	6	3	0	3	15	25	20	24	19
gene:PF3D7_1014800	10	596497	600413	-	3917	2	5	6	0	0	0	0	1	0	2	0
gene:PF3D7_1014900	10	600970	607809	-	6840	413	1047	456	1	1	2	2	0	5	4	0
gene:PF3D7_1015000	10	611213	612199	+	987	2	6	2	0	1	0	0	0	0	3	0
gene:PF3D7_1015100	10	612685	613875	-	1191	2	11	3	0	1	0	3	0	4	54	15
gene:PF3D7_1015200.3	10	614872	616796	-	1925	0	0	0	0	0	0	0	0	0	0	0
