Geneid	Chr	Start	End	Strand	Length	SRR5260544	SRR5260545	SRR5260546	SRR5260547	SRR5260548	SRR5260549	SRR5260550	SRR5260551	SRR5260552
gene:PBANKA_100150	10	67526	69601	-	2076	417	654	243	1755	1378	2113	723	577	737
gene:PBANKA_100160	10	74214	77794	+	3581	1789	1777	1214	689	609	513	1974	1729	2031
gene:PBANKA_100170	10	78383	78941	-	559	12	40	9	174	158	168	90	75	89
gene:PBANKA_100180	10	79816	90244	-	10429	645	872	563	484	377	451	221	201	213
gene:PBANKA_100190	10	92176	92735	-	560	848	838	808	315	334	192	107	92	52
gene:PBANKA_100200	10	93824	97006	-	3183	5216	5655	5595	9039	7336	8626	2573	2240	2209
gene:PBANKA_100210	10	98651	99709	-	1059	85	204	25	136	282	53	8965	8883	8755
gene:PBANKA_100220	10	101323	102741	-	1419	0	0	1	2	2	1	5	5	5
gene:PBANKA_100230	10	107611	119535	+	11925	26	62	32	54	36	27	126	105	149
gene:PBANKA_100240	10	119777	122445	-	2669	43	170	27	304	350	112	90	95	52
gene:PBANKA_100250	10	123297	125265	-	1969	43	154	22	1061	897	1030	2038	1960	2068
gene:PBANKA_100260	10	126553	127749	-	1197	58	167	33	980	943	906	165	175	140
gene:PBANKA_100270	10	128971	131194	-	2224	771	464	460	214	231	115	69	67	75
gene:PBANKA_100280	10	132359	137013	-	4655	5345	5927	5937	2069	1801	1491	2431	2014	2183
gene:PBANKA_100290	10	140328	143075	+	2748	135	121	111	134	131	70	31	27	30
gene:PBANKA_100300	10	144139	150657	-	6519	611	574	549	168	137	73	38	33	7
gene:PBANKA_100310	10	154061	163207	+	9147	12037	10330	11421	3273	3514	1568	2828	2663	2362
gene:PBANKA_100320	10	163926	164871	-	946	752	487	321	325	319	159	447	448	492
gene:PBANKA_100330	10	165800	167827	+	2028	1402	1436	993	3381	2941	4244	361	381	345
gene:PBANKA_100340	10	168517	175305	-	6789	607	2059	410	15147	11965	18619	3486	3057	3798
gene:PBANKA_100350	10	178391	178705	+	315	802	917	819	698	844	782	527	507	477
gene:PBANKA_100360	10	179575	182140	-	2566	144	447	135	1190	1082	1045	135	117	108
gene:PBANKA_100370	10	184221	185774	+	1554	2568	2678	1643	5929	5879	7209	1031	987	895
gene:PBANKA_100380	10	187024	188664	-	1641	7231	7318	7465	4994	4742	4816	2553	2022	2247
gene:PBANKA_100390	10	191209	191742	+	534	14	19	31	23	32	10	7	9	9
gene:PBANKA_100400	10	193135	194950	+	1816	2461	2209	2713	791	840	378	527	446	369
gene:PBANKA_100410	10	195337	197758	-	2422	401	569	351	1337	1138	1403	674	657	666
gene:PBANKA_100420	10	199708	200115	+	408	868	948	1052	487	316	274	273	250	270
gene:PBANKA_100430	10	200769	204937	+	4169	813	1171	776	735	724	613	704	711	766
gene:PBANKA_100440	10	204972	206404	-	1433	1572	2040	1467	1094	1219	838	1345	1263	1153
gene:PBANKA_100450	10	207245	215584	-	8340	203	715	186	1316	1390	1797	2699	2630	3037
gene:PBANKA_100460	10	216322	217254	-	933	464	377	177	106	165	54	303	331	305
gene:PBANKA_100470	10	217916	219035	+	1120	785	640	476	243	108	101	299	259	297
gene:PBANKA_100480	10	219382	220473	-	1092	1727	1906	1521	1201	1292	1035	653	660	544
gene:PBANKA_100490	10	222012	223124	+	1113	954	787	879	850	905	820	241	235	203
gene:PBANKA_100500	10	224153	224482	-	330	276	333	259	74	92	61	186	177	190
gene:PBANKA_100510	10	226110	227642	+	1533	1955	1544	1900	458	451	278	372	351	323
gene:PBANKA_100520	10	229284	232199	+	2916	223	287	244	279	187	294	40	31	31
gene:PBANKA_100530	10	233229	238496	-	5268	3034	3499	3996	3239	2421	2312	1476	1230	1338
gene:PBANKA_100540	10	240559	245376	+	4818	1159	1407	909	798	813	619	649	742	802
gene:PBANKA_100550	10	246087	247961	-	1875	1442	1392	1660	383	405	165	414	369	366
gene:PBANKA_100560	10	248927	249442	-	516	283	237	185	210	275	225	2528	2488	2678
gene:PBANKA_100570	10	251986	255207	+	3222	874	964	902	842	794	733	282	229	222
gene:PBANKA_100580	10	256324	257751	+	1428	134	423	147	5077	5383	6587	213	220	279
gene:PBANKA_100590	10	258489	260150	-	1662	1729	1811	1374	1019	1126	799	161	178	77
gene:PBANKA_100600	10	261187	263048	-	1862	1164	1140	1139	432	401	194	130	115	31
gene:PBANKA_100610	10	264300	265739	-	1440	1030	2156	495	10053	9849	11628	412	292	331
gene:PBANKA_100620	10	268810	271809	+	3000	47	160	42	3580	2084	2964	374	277	371
gene:PBANKA_100630	10	272872	276406	-	3535	24	87	16	1334	1064	1264	273	254	297
gene:PBANKA_100640	10	277764	278738	-	975	11	39	12	158	149	265	46	28	43
gene:PBANKA_100650	10	279958	282504	+	2547	658	619	513	367	268	223	114	106	64
gene:PBANKA_100660	10	283064	289570	-	6507	1020	905	543	304	257	111	622	500	536
gene:PBANKA_100670	10	290413	292151	-	1739	2222	1888	1581	1009	1051	840	588	500	442
gene:PBANKA_100680	10	293153	294568	+	1416	1378	1048	943	627	554	453	238	264	168
gene:PBANKA_100690	10	295073	298147	-	3075	1477	1113	1532	383	328	177	375	313	391
gene:PBANKA_100700	10	299537	301405	+	1869	3147	2597	2807	955	928	425	718	578	431
gene:PBANKA_100710	10	302147	303525	-	1379	1803	2038	1428	582	544	279	378	258	277
gene:PBANKA_100720	10	304936	308448	-	3513	2334	3161	1804	4053	3773	3897	1962	1872	2099
gene:PBANKA_100730	10	309579	310531	+	953	1197	1773	1299	1383	1376	1506	1334	1182	1026
gene:PBANKA_100740	10	312057	313631	+	1575	3019	2942	2905	2503	2063	2591	593	479	462
gene:PBANKA_100750	10	313899	315986	-	2088	1511	2179	1615	4242	3440	4843	927	733	821
gene:PBANKA_100760	10	316957	319082	-	2126	1897	1616	1763	2048	1446	1556	553	547	634
gene:PBANKA_100770	10	322092	325089	-	2998	5252	6183	5315	6700	5622	7817	1451	1297	1453
gene:PBANKA_100780	10	327492	328472	+	981	1373	1318	1127	543	461	399	244	251	195
gene:PBANKA_100790	10	329221	329856	-	636	147	282	166	285	391	205	11872	13043	12927
gene:PBANKA_100800	10	332186	333515	+	1330	1994	2021	1813	3270	2649	3766	376	365	295
gene:PBANKA_100810	10	333929	336295	-	2367	2465	2442	1859	2049	1898	1853	748	641	752
gene:PBANKA_100820	10	337514	340853	+	3340	2895	3295	2395	1527	1282	1308	498	400	353
gene:PBANKA_100830	10	341548	342783	-	1236	731	896	742	640	669	540	8221	7989	7804
gene:PBANKA_100840	10	343439	346670	-	3232	1132	1194	1683	457	336	267	255	183	194
gene:PBANKA_100850	10	348051	350810	-	2760	16826	13340	15506	7264	7458	5745	2165	2199	1333
gene:PBANKA_100860	10	354576	359831	+	5256	131	270	64	923	976	648	422	347	463
gene:PBANKA_100870	10	359868	365108	-	5241	967	1327	730	1249	1110	1019	845	750	999
gene:PBANKA_100880	10	366719	368479	-	1761	7539	8237	7726	15399	13024	18140	2131	1773	2080
gene:PBANKA_100890	10	370838	371782	+	945	405	711	577	1404	1366	1522	1708	1752	1784
gene:PBANKA_100900	10	372065	373588	-	1524	622	608	496	503	438	369	627	666	654
gene:PBANKA_100910	10	376577	380366	+	3790	5555	6128	7497	2692	2181	2082	5449	4696	5540
gene:PBANKA_100920	10	383203	388044	+	4842	70	209	46	1074	1254	1244	12803	13450	14277
gene:PBANKA_100930	10	388767	389471	-	705	2153	2420	1967	760	1011	595	512	541	463
gene:PBANKA_100940	10	391169	391741	+	573	1490	1592	1320	668	604	496	299	261	238
gene:PBANKA_100950	10	393980	402868	+	8889	2604	3556	2472	8336	9128	9541	8924	8585	8900
gene:PBANKA_100960	10	403835	405382	-	1548	40	205	52	1030	1159	977	20888	20188	21339
gene:PBANKA_100970	10	407999	409045	+	1047	597	721	548	2653	2294	3887	77	64	58
gene:PBANKA_100980	10	409835	411136	-	1302	984	983	981	534	362	333	1230	992	1103
gene:PBANKA_100990	10	411967	413389	-	1423	120	164	101	224	366	98	16912	15251	16390
gene:PBANKA_101000	10	414102	414860	-	759	7717	7298	9364	2544	2698	1220	1200	1029	683
gene:PBANKA_101010	10	416961	417449	+	489	1099	1249	1191	399	331	220	287	242	200
gene:PBANKA_101020	10	418778	420493	-	1716	3274	2709	3581	950	843	394	892	817	811
gene:PBANKA_101030	10	422021	443812	+	21792	2872	2372	1971	1654	1744	1268	1195	1708	1112
gene:PBANKA_101040	10	445316	446510	+	1195	48	120	32	123	176	59	146	152	211
gene:PBANKA_101050	10	447225	448904	-	1680	11993	10686	11491	6553	7548	6442	1547	1634	925
gene:PBANKA_101060	10	451948	452695	+	748	6264	8904	6062	6379	7816	7831	2667	2500	1919
gene:PBANKA_101070	10	453354	454550	-	1197	1052	770	616	318	342	244	424	420	351
gene:PBANKA_101080	10	455384	456898	+	1515	5459	4513	5483	1626	1640	772	850	845	651
gene:PBANKA_101090	10	457959	461609	-	3651	159	163	80	1324	964	1370	121	134	156
gene:PBANKA_101100	10	461907	464118	-	2212	93	124	79	722	370	782	132	116	199
gene:PBANKA_101110	10	465456	472331	+	6876	1269	1622	774	5616	3098	5863	491	419	681
gene:PBANKA_101120	10	473702	479252	+	5551	337	380	289	1025	658	1136	158	154	173
gene:PBANKA_101130	10	479335	479946	-	612	1131	1155	1058	1498	1613	1555	283	251	195
gene:PBANKA_101140	10	483251	488050	+	4800	3974	6944	2790	22906	21645	29214	1200	1062	1067
gene:PBANKA_101150	10	491125	505494	+	14370	3210	3106	2395	2212	2211	1753	764	924	801
gene:PBANKA_101160	10	505911	507668	-	1758	846	889	632	362	443	307	2768	2544	2669
gene:PBANKA_101170	10	509444	512278	+	2835	240	494	228	3689	3086	5030	217	166	231
gene:PBANKA_101180	10	512727	516130	-	3404	1491	1460	1514	736	614	433	309	308	247
gene:PBANKA_101190	10	516751	517158	+	408	1262	1098	896	394	361	141	257	228	206
gene:PBANKA_101200	10	518372	519282	+	911	50	74	19	100	80	72	206	178	174
gene:PBANKA_101210	10	520244	522172	+	1929	1942	1839	1739	1029	976	653	576	513	533
gene:PBANKA_101220	10	523728	524829	+	1102	1056	1708	1216	3221	3182	4160	960	841	939
gene:PBANKA_101230	10	526014	529391	+	3378	1210	1429	1145	1503	1617	1594	415	455	389
gene:PBANKA_101240	10	529490	531100	-	1611	731	644	361	2060	2036	2439	353	400	412
gene:PBANKA_101250	10	532295	538946	+	6652	1163	1543	982	5747	5100	7182	1526	1465	1602
gene:PBANKA_101260	10	540422	545215	+	4794	168	219	130	671	534	665	48	51	57
gene:PBANKA_101270	10	545444	550010	-	4567	133	290	82	2685	2606	2391	58	49	57
gene:PBANKA_101280	10	550766	552692	-	1927	4895	4091	4690	1529	1478	817	897	925	752
gene:PBANKA_101290	10	554079	555263	+	1185	816	771	579	267	244	197	92	79	82
gene:PBANKA_101300	10	556210	559419	-	3210	748	1616	685	4194	4174	6459	1066	1018	1267
gene:PBANKA_101310	10	560912	561776	-	865	11277	8682	11090	3303	3771	1657	2258	2309	1748
gene:PBANKA_101320	10	563276	564652	-	1377	1875	2470	1764	1884	945	1876	3379	2921	3926
gene:PBANKA_101330	10	566654	568453	+	1800	443	545	357	810	492	715	472	455	623
gene:PBANKA_101340	10	570330	572898	+	2569	407	618	399	809	694	868	248	226	297
gene:PBANKA_101350	10	572988	575492	-	2505	2934	2505	2567	1338	1323	784	905	777	766
gene:PBANKA_101360	10	576874	577812	-	939	443	624	328	2556	2012	2961	139	130	107
gene:PBANKA_101370	10	578882	579844	+	963	941	1083	885	1370	1445	1587	693	563	547
gene:PBANKA_101380	10	581052	581570	+	519	1332	1681	1294	2384	2537	2629	2393	2460	2319
gene:PBANKA_101390	10	581882	582601	-	720	73	516	91	5222	5373	6626	355	276	316
gene:PBANKA_101400	10	583559	585574	-	2016	1845	1842	1665	716	671	432	360	304	253
gene:PBANKA_101410	10	586303	588681	-	2379	376	541	269	1799	1350	2171	114	104	110
gene:PBANKA_101420	10	589201	590421	-	1221	115	271	92	1345	733	1715	90	80	102
gene:PBANKA_101430	10	590966	592990	-	2025	1681	1876	2246	1295	1376	1129	449	423	366
gene:PBANKA_101440	10	594259	600537	+	6279	2287	2256	3109	721	667	302	1228	930	1131
gene:PBANKA_101450	10	601088	603797	-	2710	76	229	41	224	360	117	2170	1721	2087
gene:PBANKA_101460	10	604912	606390	-	1479	913	1427	860	1090	965	1021	341	322	269
gene:PBANKA_101470	10	607962	609180	+	1219	503	802	351	337	318	321	176	153	139
gene:PBANKA_101480	10	609456	613382	-	3927	706	1054	478	3014	2786	3355	3472	3949	3637
gene:PBANKA_101490	10	614663	618650	-	3988	4959	5218	4657	5952	6806	6974	1616	1592	1617
gene:PBANKA_101500	10	620411	621454	+	1044	1397	1240	1048	519	532	262	2654	2536	2568
gene:PBANKA_101510	10	621671	622225	-	555	304	330	324	156	135	91	232	233	229
gene:PBANKA_101520	10	623476	625452	-	1977	1303	1159	1203	330	316	182	197	188	176
gene:PBANKA_101530	10	625928	632848	-	6921	780	825	523	624	466	494	191	194	129
gene:PBANKA_101540	10	634039	636881	+	2843	489	913	427	880	1110	569	18837	16625	17938
gene:PBANKA_101550	10	638369	640714	+	2346	468	735	500	1198	851	1336	580	537	805
gene:PBANKA_101560	10	641595	643247	-	1653	1409	1459	1526	311	314	152	225	206	208
gene:PBANKA_101570	10	644488	645105	+	618	399	330	300	65	80	32	119	110	111
gene:PBANKA_101580	10	646681	649758	+	3078	1006	1101	567	407	303	290	394	371	483
gene:PBANKA_101590	10	649821	650996	-	1176	882	1349	649	1047	995	1206	522	513	480
gene:PBANKA_101600	10	652072	652869	+	798	513	726	479	797	800	790	1794	1807	1799
gene:PBANKA_101610	10	653253	655000	-	1748	762	1041	701	281	261	160	322	269	278
gene:PBANKA_101620	10	655411	661711	-	6301	571	666	364	482	380	381	1053	1008	1183
gene:PBANKA_101630	10	664748	666076	+	1329	6269	5142	5970	2092	2508	1077	1461	1450	1316
gene:PBANKA_101640	10	666415	668505	-	2091	641	784	557	474	416	386	371	393	399
gene:PBANKA_101650	10	670140	671921	+	1782	1029	1209	957	1175	1253	1409	445	488	520
gene:PBANKA_101660	10	672186	674057	-	1872	582	542	439	207	175	119	224	252	287
gene:PBANKA_101670	10	675797	676636	-	840	17109	24159	15584	31642	35843	49188	4172	4235	3954
gene:PBANKA_101680	10	679806	680546	+	741	1118	1022	1257	393	280	240	128	95	66
gene:PBANKA_101690	10	681583	681774	+	192	349	533	170	763	732	937	409	377	335
gene:PBANKA_101700	10	682333	683769	-	1437	5	9	4	35	20	25	31	21	37
