Geneid	Chr	Start	End	Strand	Length	SRR3134662	SRR3134663	SRR3134664	SRR3134665	SRR3134666	SRR3134667
gene:PF3D7_0107700	1	320168	321508	+	1341	1678	818	837	595	982	688
gene:PF3D7_0107800	1	322371	326072	+	3702	5595	2283	2208	1847	2386	2134
gene:PF3D7_0107900	1	326397	327224	-	828	4164	1521	1670	1483	1910	1357
gene:PF3D7_0108000	1	328431	329558	-	1128	12639	4098	4255	4181	4715	3776
gene:PF3D7_0108100	1	330738	332708	+	1971	5412	1866	2103	1800	2387	1981
gene:PF3D7_0108300	1	337168	343833	+	6666	46758	15656	16322	15165	19256	14718
gene:PF3D7_0108400.1	1	344400	346540	-	2141	7786	2811	2684	3085	3157	3424
gene:PF3D7_0108400.2	1	345206	346540	-	1335	0	0	0	0	0	0
gene:PF3D7_0108500	1	349170	349709	+	540	3044	1641	1281	1678	1577	1480
gene:PF3D7_0108600	1	349995	351626	-	1632	16964	6806	6108	7502	6762	7662
gene:PF3D7_0108700	1	352314	356211	-	3898	15485	5672	5768	5422	6952	4918
gene:PF3D7_0108800	1	357834	360339	+	2506	3414	1292	1295	1242	1548	1181
gene:PF3D7_0109000	1	363318	363992	+	675	17479	8119	6124	7569	6904	6580
gene:PF3D7_0109100	1	365610	368795	+	3186	76258	26000	26585	26686	29137	29288
gene:PF3D7_0109200	1	369480	370178	-	699	2047	913	731	860	798	850
gene:PF3D7_0109300	1	371815	373012	-	1198	2364	1204	933	763	984	925
gene:PF3D7_0109400	1	374439	375087	-	649	18360	6241	6345	6505	7039	6251
gene:PF3D7_0109500	1	376294	377004	-	711	9517	4165	3482	3948	4052	3964
gene:PF3D7_0109600	1	377874	378599	-	726	1995	706	867	796	946	787
gene:PF3D7_0109700	1	379149	379806	-	658	2185	761	869	834	888	889
gene:PF3D7_0109800	1	380697	382424	+	1728	3129	1463	1253	1199	1401	1094
gene:PF3D7_0109850	1	383284	386632	+	3349	478	207	151	201	141	121
gene:PF3D7_0109950	1	386708	387940	+	1233	1553	604	495	529	542	495
gene:PF3D7_0110000	1	388372	389076	+	705	92217	29145	33475	31082	36220	32529
gene:PF3D7_0110100	1	389261	392065	-	2805	1385	660	570	622	604	616
gene:PF3D7_0110200	1	392604	393035	+	432	2159	738	789	970	911	1099
gene:PF3D7_0110400	1	393875	394835	-	961	8143	2825	2806	3251	3292	3298
gene:PF3D7_0110500	1	396591	403606	+	7016	8269	3341	2906	2749	3312	2459
gene:PF3D7_0110600	1	405739	412169	+	6431	13065	3932	4607	3723	5479	3930
gene:PF3D7_0110700	1	413760	415100	-	1341	9136	3702	3417	3598	3918	3296
gene:PF3D7_0110800	1	417921	419607	+	1687	16215	5600	6200	5513	6848	5151
gene:PF3D7_0110900	1	420293	420853	-	561	730	328	269	264	320	242
gene:PF3D7_0111000	1	421776	427575	-	5800	29044	9327	10008	9041	11264	8213
gene:PF3D7_0111200	1	430152	430858	-	707	690	246	223	256	276	234
gene:PF3D7_0111300	1	431539	435042	-	3504	11699	4541	4401	3996	4743	3767
gene:PF3D7_0111400	1	436408	438564	+	2157	8582	3346	3532	2591	3922	2848
gene:PF3D7_0111500	1	439652	441418	-	1767	2573	1053	945	1054	990	1122
gene:PF3D7_0111600	1	442543	443289	-	747	491	225	202	206	241	246
gene:PF3D7_0111700	1	443585	443938	-	354	7	0	12	1	1	2
gene:PF3D7_0111800	1	446026	448849	+	2824	8599	3134	3075	2942	3461	3113
gene:PF3D7_0111900	1	450043	450646	-	604	2140	770	674	823	788	733
gene:PF3D7_0112000	1	450831	453118	-	2288	819	490	324	367	405	335
gene:PF3D7_0112100	1	454847	455338	+	492	381	222	131	158	147	169
gene:PF3D7_0112200	1	464726	470194	+	5469	87	53	39	64	47	52
gene:PF3D7_0112800	1	481809	482618	-	810	6845	2362	2459	2560	2810	2707
gene:PF3D7_0112900	1	486500	487186	+	687	460	142	135	115	109	126
gene:PF3D7_0113000	1	487892	490127	-	2236	2525	922	928	962	1031	962
gene:PF3D7_0113100	1	495244	500076	+	4833	1964	1106	790	893	886	957
gene:PF3D7_0113200	1	500959	502868	-	1910	2043	1005	720	917	844	862
gene:PF3D7_0113300	1	504938	506874	-	1937	4429	2192	1647	2095	1762	2090
gene:PF3D7_0113400	1	508252	509748	-	1497	1381	762	506	769	544	642
gene:PF3D7_0113700	1	520807	522579	+	1773	6947	2285	2139	2082	2199	1853
gene:PF3D7_0113800	1	527107	536351	+	9245	262	122	80	107	105	88
gene:PF3D7_0113900	1	537109	538025	-	917	2197	692	706	675	708	657
gene:PF3D7_0114000	1	542480	546983	+	4504	60679	21651	20369	24184	23958	29077
gene:PF3D7_0114100	1	547597	548380	-	784	5	7	2	2	3	9
gene:PF3D7_0114200	1	550576	551713	-	1138	434	389	166	443	183	472
gene:PF3D7_0114500	1	558201	558708	-	508	91	102	27	89	27	74
gene:PF3D7_0114700	1	563703	564842	-	1140	0	2	1	3	0	2
gene:PF3D7_0114800	1	569485	570272	-	788	10	3	0	3	1	1
gene:PF3D7_0115000	1	577704	583789	+	6086	1374	757	501	759	643	744
gene:PF3D7_0115100	1	587391	588394	+	1004	614	273	270	151	270	226
gene:PF3D7_0115200	1	591849	593187	+	1339	479	129	117	131	134	124
gene:PF3D7_0115300	1	595102	596273	+	1172	60	13	16	16	13	8
gene:PF3D7_0115400	1	598465	599472	+	1008	42	9	12	20	15	30
gene:PF3D7_0115600	1	604162	605531	+	1370	4131	1726	1305	2007	1546	1822
gene:PF3D7_0115700	1	607390	614893	-	7504	5390	1744	1887	1987	2080	1850
gene:PF3D7_1000100	10	28490	36164	+	7675	594	118	212	139	244	147
gene:PF3D7_1000200	10	38050	39395	-	1346	36	18	23	16	25	14
gene:PF3D7_1000300	10	41773	42963	-	1191	6	1	0	1	3	0
gene:PF3D7_1000400	10	44816	46133	-	1318	26	3	6	5	10	7
gene:PF3D7_1000500	10	48052	49384	-	1333	6	5	2	3	4	0
gene:PF3D7_1000600	10	51349	52599	-	1251	10	2	0	3	1	4
gene:PF3D7_1001000	10	63152	64032	+	881	25	9	9	15	12	11
gene:PF3D7_1001100.2	10	67807	68753	-	947	0	0	0	0	0	0
gene:PF3D7_1001100.1	10	67807	68961	-	1155	3	4	2	7	2	11
gene:PF3D7_1001200	10	70547	70819	-	273	70	60	32	51	49	41
gene:PF3D7_1001300	10	72934	73917	-	984	23	28	15	9	12	10
gene:PF3D7_1001400	10	74661	77572	-	2912	1544	696	510	689	488	609
gene:PF3D7_1001500	10	81416	81739	-	324	209	144	67	164	95	119
gene:PF3D7_1001600	10	86538	89009	-	2472	1652	1226	516	1103	674	905
gene:PF3D7_1001700	10	92573	93526	-	954	1577	832	657	766	685	698
gene:PF3D7_1001800	10	96113	97031	-	919	1883	875	778	769	815	828
gene:PF3D7_1001900	10	99379	100361	-	983	543	306	169	276	186	250
gene:PF3D7_1002000	10	103118	104683	-	1566	375	233	94	218	123	172
gene:PF3D7_1002100	10	106653	108662	-	2010	583	364	171	351	169	293
gene:PF3D7_1002200	10	112929	116015	+	3087	24342	8827	8399	8773	9194	8836
gene:PF3D7_1002300	10	117242	118534	+	1293	874	410	392	361	360	397
gene:PF3D7_1002400.2	10	121115	123291	+	2177	0	0	0	0	0	0
gene:PF3D7_1002400.1	10	121115	123291	+	2177	0	0	0	0	0	0
gene:PF3D7_1002500	10	123770	124882	-	1113	3182	974	989	984	1027	982
gene:PF3D7_1002600	10	125939	127600	+	1662	1473	535	617	406	684	479
gene:PF3D7_1002700	10	129276	132110	+	2835	10778	4851	4532	4140	5382	4372
gene:PF3D7_1002800	10	132995	137272	+	4278	8140	3751	3461	2964	3959	3060
gene:PF3D7_1002900	10	138765	139853	+	1089	2322	864	925	846	1098	932
gene:PF3D7_1003000	10	142419	146237	+	3819	3545	1735	1428	1082	1641	1230
gene:PF3D7_1003100	10	147639	148239	+	601	4027	1218	1206	1348	1396	1222
gene:PF3D7_1003200	10	149342	150038	+	697	2119	733	717	718	791	606
gene:PF3D7_1003300	10	150416	150874	-	459	2203	925	812	844	915	876
gene:PF3D7_1003400	10	152364	158516	-	6153	16026	6042	6264	5971	7257	6661
gene:PF3D7_1003500	10	160316	160962	-	647	6417	2442	2405	2780	2774	2624
gene:PF3D7_1003600	10	164945	165790	+	846	157562	62897	54783	66790	61036	63217
gene:PF3D7_1003700	10	166743	170669	-	3927	26112	9101	9758	8564	11004	8281
gene:PF3D7_1003800	10	172723	176430	-	3708	9012	4227	3490	4051	4365	3669
gene:PF3D7_1003900	10	177921	178870	+	950	887	489	476	344	521	438
gene:PF3D7_1004000	10	179344	180226	-	883	11177	4148	4124	4549	4639	4387
gene:PF3D7_1004100	10	182244	187100	+	4857	1136	740	502	521	499	573
gene:PF3D7_1004200	10	187669	196954	-	9286	12114	5311	4748	4272	5890	4269
gene:PF3D7_1004300	10	199452	202844	-	3393	62143	23719	21108	24390	23780	23221
gene:PF3D7_1004400	10	207000	209642	-	2643	16422	6153	6010	6303	6867	5933
gene:PF3D7_1004500	10	213986	214594	-	609	303	115	153	136	192	145
gene:PF3D7_1004600	10	215717	219759	+	4043	6682	2654	2668	2237	2947	2392
gene:PF3D7_1004700	10	220018	221353	-	1336	3722	1369	1336	1301	1626	1300
gene:PF3D7_1004800	10	221945	223430	+	1486	3503	1231	1209	1261	1385	1201
gene:PF3D7_1004900	10	224248	225207	+	960	6453	2234	2156	2580	2389	2313
gene:PF3D7_1005000	10	225456	227705	-	2250	2300	1212	904	986	1025	927
gene:PF3D7_1005100	10	228798	232193	+	3396	4085	1908	1674	1605	1934	1699
gene:PF3D7_1005200	10	232422	232818	-	397	21171	7088	7101	7962	7753	7961
gene:PF3D7_1005300	10	233285	234473	-	1189	1052	355	412	273	409	334
gene:PF3D7_1005400	10	234795	235745	-	951	381	106	101	74	107	87
gene:PF3D7_1005500	10	237506	242245	-	4740	76628	22807	25961	23331	29833	23183
gene:PF3D7_1005600	10	244145	246535	-	2391	9111	3074	3531	3086	3818	2931
gene:PF3D7_1005700	10	247495	249940	-	2446	1328	716	619	596	783	672
gene:PF3D7_1005800	10	251579	252490	+	912	188	148	70	125	94	123
gene:PF3D7_1005900	10	253704	255611	+	1908	7170	2643	2544	2647	2904	2479
gene:PF3D7_1006000	10	256117	257699	-	1583	206811	80773	71724	89753	80728	87888
gene:PF3D7_1006100	10	259060	260304	-	1245	11259	3783	4022	4021	4481	3724
gene:PF3D7_1006200	10	262150	262997	-	848	5040	1391	1753	1640	2031	1430
gene:PF3D7_1006300	10	265750	266836	-	1087	75368	25569	27994	28818	32977	29247
gene:PF3D7_1006400	10	267219	269831	-	2613	4904	1776	1776	1798	2151	2006
gene:PF3D7_1006500	10	270535	271497	+	963	3006	1205	1091	1154	1332	1119
gene:PF3D7_1006600	10	272243	272824	-	582	32031	11655	11384	11492	12720	11504
gene:PF3D7_1006700	10	274091	275426	+	1336	15461	5052	5803	4834	6214	4459
gene:PF3D7_1006800	10	277621	279168	+	1548	13743	4695	4791	4944	5479	4447
gene:PF3D7_1006900	10	281459	283104	+	1646	80096	29227	27634	35059	32648	36212
gene:PF3D7_1007000	10	284577	286302	+	1726	8664	2887	2759	2892	3122	2811
gene:PF3D7_1007100	10	286522	287473	-	952	1078	407	392	367	445	348
gene:PF3D7_1007200	10	288383	290826	-	2444	8410	3034	2931	2957	3396	2712
gene:PF3D7_1007300	10	293850	295999	+	2150	1602	751	584	626	655	588
gene:PF3D7_1007400	10	296906	297565	+	660	1950	714	621	707	654	691
gene:PF3D7_1007500	10	298361	298687	+	327	441	175	225	88	241	150
gene:PF3D7_1007600	10	299280	299609	+	330	1782	784	624	832	703	731
gene:PF3D7_1007700	10	301126	305919	-	4794	24550	10007	9397	10307	11752	9203
gene:PF3D7_1007800	10	311397	314516	-	3120	7453	3448	3102	3087	3481	3247
gene:PF3D7_1007900	10	316649	318280	+	1632	8059	3631	3138	3414	3757	3049
gene:PF3D7_1008000	10	321011	328150	+	7140	6694	2704	2469	2370	2795	2341
gene:PF3D7_1008100	10	331246	342807	+	11562	15230	6149	5784	5231	6929	5113
gene:PF3D7_1008200	10	343733	344899	-	1167	731	323	323	293	393	276
gene:PF3D7_1008400	10	347206	348667	-	1462	35819	11803	12394	12254	14027	11679
gene:PF3D7_1008500	10	351703	355593	+	3891	9173	3455	3462	2977	3878	2971
gene:PF3D7_1008600	10	357345	358463	+	1119	8372	3293	3310	3181	3678	3120
gene:PF3D7_1008700	10	360625	362480	-	1856	37870	11264	12461	12308	14153	11018
gene:PF3D7_1008800	10	365737	367146	-	1410	26417	10075	10050	11034	11785	11448
gene:PF3D7_1008900	10	369199	370225	-	1027	4344	1674	1573	1836	1873	1829
gene:PF3D7_1009000	10	371293	372117	+	825	798	379	306	344	341	278
gene:PF3D7_1009100	10	372519	374072	+	1554	7789	3236	2755	3159	3249	3569
gene:PF3D7_1009200	10	374864	377611	+	2748	7710	2675	3075	2862	3890	3152
gene:PF3D7_1009300	10	377906	379708	-	1803	1687	707	766	549	930	630
gene:PF3D7_1009400	10	381361	382449	+	1089	1601	733	550	642	657	587
gene:PF3D7_1009500	10	383044	384793	-	1750	10551	3915	3639	3922	4249	4036
gene:PF3D7_1009600	10	386976	388442	+	1467	2179	697	673	559	734	565
gene:PF3D7_1009700	10	389504	391165	-	1662	41485	13605	14852	14732	16158	16642
gene:PF3D7_1009800	10	393765	397993	-	4229	6137	2444	2677	2042	2899	2163
gene:PF3D7_1009900	10	399207	401778	+	2572	3504	1312	1447	1200	1708	1168
gene:PF3D7_1010000	10	401876	402711	-	836	5733	1830	2046	1824	2188	1792
gene:PF3D7_1010100	10	403679	404575	+	897	3909	1399	1380	1355	1558	1273
gene:PF3D7_1010200	10	405017	410536	-	5520	4204	2186	1500	1960	1821	1775
gene:PF3D7_1010300	10	414732	415328	+	597	2085	761	712	689	841	596
gene:PF3D7_1010400	10	415404	417471	-	2068	14107	5232	5361	6165	5894	5970
gene:PF3D7_1010500	10	417705	419318	+	1614	4407	1610	1584	1805	1823	1769
gene:PF3D7_1010600	10	420185	421056	-	872	10417	3564	3751	3811	4209	3638
gene:PF3D7_1010700	10	422961	424365	+	1405	11298	3568	4091	4360	4671	4348
gene:PF3D7_1010800	10	424866	425765	-	900	2064	713	667	593	764	568
gene:PF3D7_1010900	10	426601	428146	+	1546	5694	1847	1932	1569	2022	1666
gene:PF3D7_1011000	10	429204	430140	-	937	4129	1438	1397	1537	1670	1498
gene:PF3D7_1011100	10	432505	435570	-	3066	1268	647	596	458	680	501
gene:PF3D7_1011200.1	10	436958	437708	+	751	0	0	0	0	0	0
gene:PF3D7_1011200.2	10	436958	437708	+	751	0	0	0	0	0	0
gene:PF3D7_1011300	10	438446	440380	+	1935	838	412	406	257	456	320
gene:PF3D7_1011400	10	441140	441955	-	816	8421	3299	3346	3456	3800	3402
gene:PF3D7_1011500	10	443874	444401	-	528	2931	1117	959	1202	999	1111
gene:PF3D7_1011600	10	445164	447125	-	1962	1292	621	530	441	688	461
gene:PF3D7_1011700	10	449154	450323	+	1170	7454	2979	2809	2888	3170	2609
gene:PF3D7_1011800	10	455398	458817	+	3420	316280	120194	115010	124223	131555	131407
gene:PF3D7_1011900	10	460335	461993	-	1659	7282	2764	2573	2450	2878	2241
gene:PF3D7_1012000	10	463493	467006	+	3514	32301	11518	10815	12988	11985	13007
gene:PF3D7_1012100	10	468071	469536	-	1466	4568	2318	2011	2112	2160	2128
gene:PF3D7_1012200	10	470979	471933	+	955	1844	826	627	835	696	784
gene:PF3D7_1012300	10	472546	473386	-	841	7844	2604	2786	2921	3069	2834
gene:PF3D7_1012400	10	475327	476563	-	1237	10847	3099	3269	3532	3899	3376
gene:PF3D7_1012500	10	478758	480539	-	1782	30983	7884	9376	7929	9530	7552
gene:PF3D7_1012600	10	482527	484194	-	1668	576	484	244	429	291	461
gene:PF3D7_1012700	10	487252	491828	+	4577	2144	720	713	634	752	645
gene:PF3D7_1012800	10	492550	495144	+	2595	891	334	364	263	458	321
gene:PF3D7_1012900	10	496331	497573	-	1243	5200	1700	1989	1546	2187	1520
gene:PF3D7_1013000	10	500210	502221	+	2012	5066	1957	2160	1655	2381	1843
gene:PF3D7_1013100	10	502634	506392	-	3759	28972	11695	10536	11403	11658	11525
gene:PF3D7_1013200	10	511084	514278	+	3195	11083	5070	4491	4185	5169	4264
gene:PF3D7_1013300	10	515721	517607	-	1887	232	92	70	75	100	60
gene:PF3D7_1013400	10	518542	522252	-	3711	2398	1239	853	1039	955	1043
gene:PF3D7_1013500	10	526840	531448	+	4609	3507	1125	1170	1015	1188	906
gene:PF3D7_1013600	10	533109	539825	+	6717	7280	2584	2523	2344	2807	2266
gene:PF3D7_1013700	10	540622	541694	+	1073	5550	2075	2127	2266	2457	2558
gene:PF3D7_1013800	10	542359	544779	+	2421	2402	1066	913	1025	977	984
gene:PF3D7_1013900	10	545679	548903	-	3225	3820	1712	1452	1417	1721	1425
gene:PF3D7_1014000	10	550839	552571	-	1733	1856	914	715	874	916	810
gene:PF3D7_1014100	10	555160	559527	+	4368	1095	868	537	751	614	741
gene:PF3D7_1014200	10	560538	563353	+	2816	715	363	247	355	254	361
gene:PF3D7_1014300	10	565805	573060	+	7256	20342	7643	7532	6915	8283	7158
gene:PF3D7_1014400	10	574129	575103	+	975	1267	513	424	458	528	430
gene:PF3D7_1014500	10	576579	580478	+	3900	1585	830	690	656	822	753
gene:PF3D7_1014600	10	581354	589090	-	7737	40534	13229	13578	13600	16265	12750
gene:PF3D7_1014700	10	595308	596222	+	915	18473	5375	6211	6695	7030	6869
gene:PF3D7_1014800	10	596497	600413	-	3917	1954	807	789	698	794	750
gene:PF3D7_1014900	10	600970	607809	-	6840	55110	22052	20990	21308	24037	22600
gene:PF3D7_1015000	10	611213	612199	+	987	1849	933	809	763	960	835
gene:PF3D7_1015100	10	612685	613875	-	1191	5779	2612	2163	2472	2453	2400
gene:PF3D7_1015200.3	10	614872	616796	-	1925	0	0	0	0	0	0
gene:PF3D7_1015200.1	10	614872	617736	-	2865	0	0	0	0	0	0
gene:PF3D7_1015200.2	10	614872	617736	-	2865	0	0	0	0	0	0
gene:PF3D7_1015300	10	618440	619993	+	1554	3831	1937	1325	1890	1540	1788
gene:PF3D7_1015400	10	621305	623626	+	2322	3034	1274	1237	1084	1451	1094
gene:PF3D7_1015500	10	624048	625895	-	1848	1741	871	662	637	852	666
gene:PF3D7_1015600	10	627044	629040	-	1997	14152	5923	4923	6702	5429	6360
gene:PF3D7_1015700.1	10	629909	632061	-	2153	419	202	198	149	231	157
gene:PF3D7_1015700.2	10	630310	632061	-	1752	0	0	0	0	0	0
gene:PF3D7_1015800	10	633682	635286	+	1605	14511	5260	5069	5054	5814	4765
gene:PF3D7_1015900	10	637138	639011	+	1874	10850	3710	3874	4666	4295	4718
gene:PF3D7_1016000	10	641390	642751	+	1362	6296	2813	3065	2233	3624	2755
gene:PF3D7_1016100	10	643558	644331	-	774	231	138	96	84	106	102
gene:PF3D7_1016200	10	646054	647736	+	1683	551	276	263	177	232	193
gene:PF3D7_1016300	10	650898	653567	-	2670	1975	912	683	928	790	776
gene:PF3D7_1016400	10	656709	659027	-	2319	7347	3055	2628	2966	2951	2703
gene:PF3D7_1016500	10	661742	664201	-	2460	3664	2006	1334	1762	1481	1617
gene:PF3D7_1016600	10	665658	666654	-	997	2600	1300	1206	923	1341	919
gene:PF3D7_1016700	10	669202	671853	-	2652	6889	3029	2514	2799	2829	2670
gene:PF3D7_1016800	10	675293	676417	-	1125	5093	1808	1759	1853	1894	1822
gene:PF3D7_1016900	10	682182	682508	-	327	45069	10718	14003	12332	14930	12084
gene:PF3D7_1017000	10	685578	688862	+	3285	15519	6467	5812	6355	6472	6224
gene:PF3D7_1017100	10	689888	690820	-	933	615	274	195	295	218	273
gene:PF3D7_1017200	10	692426	694218	+	1793	261	240	104	193	148	216
gene:PF3D7_1017300.2	10	694840	696591	-	1752	0	0	0	0	0	0
gene:PF3D7_1017300.1	10	694840	696709	-	1870	1453	744	687	651	821	673
gene:PF3D7_1017400	10	697970	699823	-	1854	52612	16151	17465	18761	18997	18366
gene:PF3D7_1017500	10	701746	702422	+	677	8382	2751	2885	3023	3304	2921
gene:PF3D7_1017600	10	705537	708452	+	2916	23988	7580	9101	7666	9328	8215
gene:PF3D7_1017700	10	709507	710826	+	1320	4654	1632	1728	1716	1896	1491
gene:PF3D7_1017800	10	711016	714658	-	3643	2528	1001	1170	748	1304	809
gene:PF3D7_1017900	10	715878	717437	+	1560	8798	3258	3342	3224	3967	3370
gene:PF3D7_1018000	10	718454	720136	+	1683	1876	725	697	650	799	584
gene:PF3D7_1018100	10	720551	721399	+	849	1522	734	633	774	687	745
gene:PF3D7_1018200	10	721734	728331	-	6598	90294	29015	30785	30275	33426	30898
gene:PF3D7_1018300	10	729809	732856	-	3048	6887	2336	2344	2243	2784	1957
gene:PF3D7_1018400	10	734722	735738	+	1017	74525	34409	33517	27008	38001	31081
gene:PF3D7_1018500	10	735921	736813	-	893	24608	7928	7818	9436	8585	9354
gene:PF3D7_1018600	10	737692	743406	-	5715	21057	6844	7534	6803	8340	7167
gene:PF3D7_1018700	10	747028	748887	+	1860	7747	2697	2778	2493	3168	2370
gene:PF3D7_1018800	10	750215	752665	+	2451	6052	1967	2142	1745	2365	1865
gene:PF3D7_1018900	10	752760	754910	-	2151	4827	1857	1786	1874	2088	1894
gene:PF3D7_1019000	10	757795	765158	+	7364	18259	5693	6438	5276	7748	5088
gene:PF3D7_1019100	10	766168	771954	-	5787	101888	35504	37078	36921	41471	40635
gene:PF3D7_1019200	10	773531	774490	+	960	7980	3227	2969	2888	3132	2849
gene:PF3D7_1019300	10	774929	780732	-	5804	48087	19273	18774	18859	21570	19021
gene:PF3D7_1019400	10	786503	787008	+	506	7994	2515	2724	2844	3202	2621
gene:PF3D7_1019500.1	10	787745	795220	-	7476	0	0	0	0	0	0
gene:PF3D7_1019500.2	10	787745	795220	-	7476	0	0	0	0	0	0
gene:PF3D7_1019600	10	796291	799923	+	3633	23211	9870	9354	9046	11065	9648
