Gene stable ID,Transcript stable ID
PF3D7_0205200,CZT98064
PF3D7_0206900.1,CZT98081
PF3D7_0218700,CZT98201
PF3D7_0204800,CZT98060
PF3D7_0210900,CZT98123
PF3D7_0207100,CZT98084
PF3D7_0216300,CZT98176
PF3D7_0217600,CZT98190
PF3D7_0211300,CZT98126
PF3D7_0209800,CZT98112
PF3D7_0210100.1,CZT98115
PF3D7_0210300,CZT98117
PF3D7_0208300,CZT98096
PF3D7_0208400,CZT98097
PF3D7_0202900,CZT98042
PF3D7_0218400,CZT98198
PF3D7_0210400,CZT98118
PF3D7_0218100,CZT98195
PF3D7_0213000,CZT98143
PF3D7_0217000,CZT98184
PF3D7_0204900,CZT98061
PF3D7_0215700,CZT98170
PF3D7_0219800,CZT98210
PF3D7_0207900,CZT98092
PF3D7_0204400,CZT98056
PF3D7_0202100,CZT98033
PF3D7_0219400.1,CZT98205
PF3D7_0206700,CZT98079
PF3D7_0214600,CZT98159
PF3D7_0210200,CZT98116
PF3D7_0211800,CZT98131
PF3D7_0205700.1,CZT98070
PF3D7_0211200,CZT98125
PF3D7_0213600,CZT98149
PF3D7_0216100,CZT98174
PF3D7_0212700,CZT98140
PF3D7_0211900,CZT98132
PF3D7_0216800,CZT98182
PF3D7_0209200,CZT98106
PF3D7_0205700.2,CZT98069
PF3D7_0215900,CZT98172
PF3D7_0216500,CZT98178
PF3D7_0210700,CZT98121
PF3D7_0219200,CZT98203
PF3D7_0220800,CZT98220
PF3D7_0214700,CZT98160
PF3D7_0209500,CZT98109
PF3D7_0207600,CZT98089
PF3D7_0217500,CZT98189
PF3D7_0217700,CZT98191
PF3D7_0216200,CZT98175
PF3D7_0212300,CZT98136
PF3D7_0219100,CZT98202
PF3D7_0215500,CZT98168
PF3D7_0211400,CZT98127
PF3D7_0206600,CZT98078
PF3D7_0204600,CZT98058
PF3D7_0203000,CZT98043
PF3D7_0208700.1,CZT98101
PF3D7_0219300,CZT98204
PF3D7_0202500,CZT98037
PF3D7_0202000,CZT98032
PF3D7_0206100,CZT98074
PF3D7_0213200,CZT98145
PF3D7_0212500,CZT98138
PF3D7_0214500,CZT98158
PF3D7_0205500,CZT98067
PF3D7_0214900,CZT98162
PF3D7_0203100,CZT98044
PF3D7_0216000,CZT98173
PF3D7_0216700.1,CZT98180
PF3D7_0219400.2,CZT98206
PF3D7_0217800,CZT98192
PF3D7_0213400,CZT98147
PF3D7_0214400,CZT98157
PF3D7_0212600,CZT98139
PF3D7_0202600.2,CZT98038
PF3D7_0216700.2,CZT98181
PF3D7_0203200,CZT98045
PF3D7_0216900,CZT98183
PF3D7_0213900,CZT98152
PF3D7_0217300,CZT98187
PF3D7_0210800,CZT98122
PF3D7_0209300,CZT98107
PF3D7_0202700,CZT98040
PF3D7_0205300,CZT98065
PF3D7_0213700,CZT98150
PF3D7_0215100,CZT98164
PF3D7_0206000,CZT98073
PF3D7_0212800,CZT98141
PF3D7_0215400,CZT98167
PF3D7_0213800,CZT98151
PF3D7_0206900.2,CZT98082
PF3D7_0209400,CZT98108
PF3D7_0204300,CZT98055
PF3D7_0215600,CZT98169
PF3D7_0204000,CZT98052
PF3D7_0218600,CZT98200
PF3D7_0213500,CZT98148
PF3D7_0204500,CZT98057
PF3D7_0209600,CZT98110
PF3D7_0207800,CZT98091
PF3D7_0310500,CAA15615
PF3D7_0315800,CAB38984
PF3D7_0319500,CAB39067
PF3D7_0323600,CAB39052
PF3D7_0302500,CAB10572
PF3D7_0312500,CAA15598
PF3D7_0303900,CAB89168
PF3D7_0308200,CAB11107
PF3D7_0310900,CAA15612
PF3D7_0302100,CAB10568
PF3D7_0308300,CAB11108
PF3D7_0321000,CAB39032
PF3D7_0316900,CAB11143
PF3D7_0307100,CAB39015
PF3D7_0315400,CAB38980
PF3D7_0308800,CAB89219
PF3D7_0308500,CAB39022
PF3D7_0310400,CAA15616
PF3D7_0305100,CAB39002
PF3D7_0322500,CAB39044
PF3D7_0308900,CAB11111
PF3D7_0321300,CAB39034
PF3D7_0304200,CAB38994
PF3D7_0314400,CAB38970
PF3D7_0303500,CAB38989
PF3D7_0305600,CAB39006
PF3D7_0305800,CAB39008
PF3D7_0302600,CAB10570
PF3D7_0310000,CAB89221
PF3D7_0303600,CAD49085
PF3D7_0322200,CAB39041
PF3D7_0310100,CAB11118
PF3D7_0314800,CAX64434
PF3D7_0303700,CAB38991
PF3D7_0306900,CAB39014
PF3D7_0306700,CAB89176
PF3D7_0318800,CAB11126
PF3D7_0302000,CAB39129
PF3D7_0322400,CAX64444
PF3D7_0319100,CAB11123
PF3D7_0321500,CAB39035
PF3D7_0308000,CAB11105
PF3D7_0307400,CAB39018
PF3D7_0304400.1,CAB38996
PF3D7_0312400,CAA15599
PF3D7_0323400,CAB39049
PF3D7_0313200,CAA15595
PF3D7_0303300,CAB10577
PF3D7_0306200,CAB39010
PF3D7_0309000,CAB11119
PF3D7_0302800,CAB10578
PF3D7_0321100,CAB39033
PF3D7_0322100,CAX64443
PF3D7_0315000,CAB38976
PF3D7_0303800,CAB38990
PF3D7_0318900,CAB11125
PF3D7_0304600,CAB38998
PF3D7_0301700,CAB39133
PF3D7_0322900,CAB39062
PF3D7_0316600,CAB11145
PF3D7_0317000,CAB11152
PF3D7_0313300,CAX64429
PF3D7_0307300,CAB39017
PF3D7_0319700,CAB39024
PF3D7_0307900,CAB11104
PF3D7_0307600,CAB39020
PF3D7_0317700,CAB11136
PF3D7_0305000,CAB39001
PF3D7_0304800,CAB39000
PF3D7_0320200,CAX64440
PF3D7_0318600,CAB11127
PF3D7_0317100,CAX64437
PF3D7_0308700,CAB11110
PF3D7_0304100,CAB38993
PF3D7_0313700.1,CAX64430
PF3D7_0305200,CAB39003
PF3D7_0308100,CAB11106
PF3D7_0322800,CAB92305
PF3D7_0318100,CAB11132
PF3D7_0311200,CAA15609
PF3D7_0314700,CAB38971
PF3D7_0321600,CAB39036
PF3D7_0311800,CAA15604
PF3D7_0323800,CAB39053
PF3D7_0317300,CAB11140
PF3D7_0317500,CAB11138
PF3D7_0313400,CAA15594
PF3D7_0304900,CAB89170
PF3D7_0309100,CAB89220
PF3D7_0306800,CAB39013
PF3D7_0307500,CAB39019
PF3D7_0316700,CAB11144
PF3D7_0305400,CAB89171
PF3D7_0319000,CAB11124
PF3D7_0319200,CAB11122
PF3D7_0310700,CAA15613
PF3D7_0305300,CAB39004
PF3D7_0323100,CAB39046
PF3D7_0302900,CAB10574
PF3D7_0314900,CAB38975
PF3D7_0316100,CAB90508
PF3D7_0316200,CAB11149
PF3D7_0318400,CAB11129
PF3D7_0309800,CAB11120
PF3D7_0323500,CAB39051
PF3D7_0317600,CAB11137
PF3D7_0318500,CAB11128
PF3D7_0321800,CAB39038
PF3D7_0311900,CAA15603
PF3D7_0316000,CAB11150
PF3D7_0310800,CAA15614
PF3D7_0321700,CAB39037
PF3D7_0311300,CAA15608
PF3D7_0309300,CAB11113
PF3D7_0312800,CAA15619
PF3D7_0307700,CAB39021
PF3D7_0311600,CAA15606
PF3D7_0310300,CAX64428
PF3D7_0319400,CAB39023
PF3D7_0302700,CAB83024
PF3D7_0316500,CAB11146
PF3D7_0317400,CAB11139
PF3D7_0305700,CAB39007
PF3D7_0320500,CAB39030
PF3D7_0303100,CAB10576
PF3D7_0307200,CAB39016
PF3D7_0312300,CAA15600
PF3D7_0304300,CAB38995
PF3D7_0308600,CAB11109
PF3D7_0311100,CAA15610
PF3D7_0320600,CAB92302
PF3D7_0305500,CAB39005
PF3D7_0314500,CAB38972
PF3D7_0320900,CAB39069
PF3D7_0322000,CAB39039
PF3D7_0317900,CAX64438
PF3D7_0313800,CAX64431
PF3D7_0319600,CAB39068
PF3D7_0311000,CAA15611
PF3D7_0309500,CAB11114
PF3D7_0321200,CAB39070
PF3D7_0306400,CAB39011
PF3D7_0313900,CAB38968
PF3D7_0319300,CAB11153
PF3D7_0320100,CAB39075
PF3D7_0304500,CAB38997
PF3D7_0310200,CAB11121
PF3D7_0322300,CAB39042
PF3D7_0306600,CAB89175
PF3D7_0315700,CAB38983
PF3D7_0307800,CAB11102
PF3D7_0315200,CAB38978
PF3D7_0320000,CAX64439
PF3D7_0313500,CAA15593
PF3D7_0318300,CAB11130
PF3D7_0322600,CAB39073
PF3D7_0315300,CAB38987
PF3D7_0315500,CAB38981
PF3D7_0310600.1,CAB89483
PF3D7_0309700,CAB11116
PF3D7_0306500,CAB39012
PF3D7_0314600,CAB41709
PF3D7_0309900,CAB11117
PF3D7_0319800,CAB39026
PF3D7_0311400,CAA15620
PF3D7_0311500,CAB89484
PF3D7_0313700.2,CZT62489
PF3D7_0316300.2,CAX64436
PF3D7_0303000,CAB10575
PF3D7_0314000,CAX64432
PF3D7_0315100,CAB38977
PF3D7_0320800,CAB39031
PF3D7_0315900,CAB38985
PF3D7_0323200,CAB39047
PF3D7_0313600,CAA15592
PF3D7_0301900,CAB39128
PF3D7_0321400,CAX64441
PF3D7_0313100,CAA15596
PF3D7_0303200,CAB10579
PF3D7_0322700,CAB39045
PF3D7_0303400,CAB38988
PF3D7_0323000,CAB39063
PF3D7_0302200,CAB10571
PF3D7_0316800,CAB11151
PF3D7_0312200,CAA15601
PF3D7_0321900,CAX64442
PF3D7_0318200,CAB11131
PF3D7_0316400,CAB11147
PF3D7_0304000,CAB38992
PF3D7_0314100.1,CZT62490
PF3D7_0305900,CAB89172
PF3D7_0320700,CAB92303
PF3D7_0320300,CAB39028
PF3D7_0323700,CAB39050
PF3D7_0312000,CAB89485
PF3D7_0319900,CAB39025
PF3D7_0306100,CAB39009
PF3D7_0306000,CAB89173
PF3D7_0323300,CAB39048
PF3D7_0317800,CAB11135
PF3D7_0309200,CAB11112
PF3D7_0316300.1,CAB11148
PF3D7_0409400,CAB62871
PF3D7_0408600,CAB62863
PF3D7_0413600,CAD49173
PF3D7_0408800,CAB62865
PF3D7_0405800,CAD49151
PF3D7_0412200,CAB62895
PF3D7_0407300,CAB62850
PF3D7_0411800,CAB62891
PF3D7_0403300,CAD49124
PF3D7_0403500,CAD49126
PF3D7_0408900.2,CZT62496
PF3D7_0404600,CAD49138
PF3D7_0409700,CAD49163
PF3D7_0414500,CAD49181
PF3D7_0418400,CAD49221
PF3D7_0403600,CAX63909
PF3D7_0419300,CAD49230
PF3D7_0423200,CAD49266
PF3D7_0422500,CAD49259
PF3D7_0407600,CAB62853
PF3D7_0410500,CAB62880
PF3D7_0423600,CAD49270
PF3D7_0406900,CAX63914
PF3D7_0423700,CAD49271
PF3D7_0409200,CAB62869
PF3D7_0405900,CAD49152
PF3D7_0417900,CAD49216
PF3D7_0414900,CAX63923
PF3D7_0415700,CAD49194
PF3D7_0418600,CAD49223
PF3D7_0416800,CAD49204
PF3D7_0414000,CAD49177
PF3D7_0411000,CAB62885
PF3D7_0407000,CAB62847
PF3D7_0416700,CAX63926
PF3D7_0423500,CAD49269
PF3D7_0409000,CAB62867
PF3D7_0402300,CAX51862
PF3D7_0411900,CAB62892
PF3D7_0406000,CAD49153
PF3D7_0406200,CAD49155
PF3D7_0423000,CAD49264
PF3D7_0406500,CAX63912
PF3D7_0417500.1,CAX63929
PF3D7_0420600,CZT62499
PF3D7_0407500,CAX63916
PF3D7_0404100,CAD49133
PF3D7_0409800,CAB62875
PF3D7_0418500,CAD49222
PF3D7_0407800,CAB62855
PF3D7_0414700,CAD49183
PF3D7_0410300,CAB62878
PF3D7_0407700,CAB62854
PF3D7_0415200,CAD49188
PF3D7_0419400,CAD49231
PF3D7_0422700,CAD49261
PF3D7_0405700,CAD49150
PF3D7_0413800,CAD49175
PF3D7_0415000,CAD49186
PF3D7_0417200,CAD49208
PF3D7_0405500,CAD49147
PF3D7_0405200,CAD49144
PF3D7_0408200,CAB62859
PF3D7_0403200,CAD49123
PF3D7_0407200,CAB62849
PF3D7_0413900,CAD49176
PF3D7_0412000,CAB62893
PF3D7_0408900.1,CAB62866
PF3D7_0411300,CAB62888
PF3D7_0405000,CAD49142
PF3D7_0411100,CAB62886
PF3D7_0415300,CAD49190
PF3D7_0417700,CAX63930
PF3D7_0417100,CAD49207
PF3D7_0415600,CAD49193
PF3D7_0410600,CAB62881
PF3D7_0413700,CAD49174
PF3D7_0415100,CAD49187
PF3D7_0422600,CAD49260
PF3D7_0417000,CAD49206
PF3D7_0418700,CAD49224
PF3D7_0416900,CAX63927
PF3D7_0414300,CAX63921
PF3D7_0408700,CAB62864
PF3D7_0422200,CAD49256
PF3D7_0409900,CAD49164
PF3D7_0414800,CAX63922
PF3D7_0411200,CAB62887
PF3D7_0420300,CAX63934
PF3D7_0406100,CAD49154
PF3D7_0410800,CAB62883
PF3D7_0405600,CAD49148
PF3D7_0422400,CAD49258
PF3D7_0424900,CAD49283
PF3D7_0404800,CAD49140
PF3D7_0423100,CAD49265
PF3D7_0403900,CAD49131
PF3D7_0419800,CAD49235
PF3D7_0403400,CAX63908
PF3D7_0411400,CAB62889
PF3D7_0409300,CAB62870
PF3D7_0419000,CAD49227
PF3D7_0404400,CAD49136
PF3D7_0420200,CAD49239
PF3D7_0403700,CAD49129
PF3D7_0408400,CAX63917
PF3D7_0408000,CAB62857
PF3D7_0412300,CAB62896
PF3D7_0418100,CAD49218
PF3D7_0416600,CAD49203
PF3D7_0418200,CAD49219
PF3D7_0406800,CAD49160
PF3D7_0408100,CAB62858
PF3D7_0419200,CAD49229
PF3D7_0417400,CAX63928
PF3D7_0417300,CAD49209
PF3D7_0415900,CAX63924
PF3D7_0419700,CAD49234
PF3D7_0423400,CAD49268
PF3D7_0419900,CAX51867
PF3D7_0404300,CAD49135
PF3D7_0408500,CAB62862
PF3D7_0413500,CAD49172
PF3D7_0410900,CAB62884
PF3D7_0421700,CAX63936
PF3D7_0425400,CAD49289
PF3D7_0410400,CAB62879
PF3D7_0410700,CAB62882
PF3D7_0420100,CAD49238
PF3D7_0420500,CAX63935
PF3D7_0419100,CAD49228
PF3D7_0417800,CAD49215
PF3D7_0419500,CAD49232
PF3D7_0409100,CAX63918
PF3D7_0422300,CAD49257
PF3D7_0405300,CAD49145
PF3D7_0416400,CAX63925
PF3D7_0404200,CAD49134
PF3D7_0406700,CAX63913
PF3D7_0418900,CAX63933
PF3D7_0416200,CAD49199
PF3D7_0418000,CAX63931
PF3D7_0409500,CAX63919
PF3D7_0422000,CAX63937
PF3D7_0416100,CAD49198
PF3D7_0408300,CAB62860
PF3D7_0420400,CAD49242
PF3D7_0404500,CAD49137
PF3D7_0415400,CAD49191
PF3D7_0404000,CAD49132
PF3D7_0406600,CAB62843
PF3D7_0406400,CAX63911
PF3D7_0422100,CAD49255
PF3D7_0415500,CAD49192
PF3D7_0407100,CAX63915
PF3D7_0407900,CAB62856
PF3D7_0405400,CAD49146
PF3D7_0420000,CAD49237
PF3D7_0416500,CAD49202
PF3D7_0418300,CAD49220
PF3D7_0414100,CAD49178
PF3D7_0404900,CAD49141
PF3D7_0418800,CAX63932
PF3D7_0405100,CAX63910
PF3D7_0423800,CAD49272
PF3D7_0422900,CAD49263
PF3D7_0423300,CAD49267
PF3D7_0414600,CAD49182
PF3D7_0412100,CAB62894
PF3D7_0416300,CAD49200
PF3D7_0419600,CAD49233
PF3D7_0409600,CAB62873
PF3D7_0508000,CAD51445
PF3D7_0507400,CAX63952
PF3D7_0506500,CAX63951
PF3D7_0528400,CAD51645
PF3D7_0525200,CAD51615
PF3D7_0516900,CAD51533
PF3D7_0522400,CAX63980
PF3D7_0505400,CAD51419
PF3D7_0508900,CAD51454
PF3D7_0502300,CAD51389
PF3D7_0512200,CAD51486
PF3D7_0516500,CAX63963
PF3D7_0518600,CAD51550
PF3D7_0523100,CAD51595
PF3D7_0527600,CAX63986
PF3D7_0508800,CAD51453
PF3D7_0523000,CAD51594
PF3D7_0503000,CAX63945
PF3D7_0514500,CAX63961
PF3D7_0529700,CAD51657
PF3D7_0514600,CAD51510
PF3D7_0526200.2,CZT62506
PF3D7_0529500,CAD51656
PF3D7_0524300,CAD51606
PF3D7_0525000,CAD51613
PF3D7_0515900,CAD51523
PF3D7_0509900,CAD51464
PF3D7_0530300,CAX63990
PF3D7_0514300,CAD51508
PF3D7_0530900,CAD51670
PF3D7_0501700,CAD51383
PF3D7_0507200,CAD51437
PF3D7_0513700,CAX63959
PF3D7_0531200,CAD51673
PF3D7_0519400,CAD51559
PF3D7_0505000,CAX63948
PF3D7_0506800,CAD51433
PF3D7_0527900,CAD51640
PF3D7_0512100,CAD51485
PF3D7_0506900,CAD51434
PF3D7_0503800,CAD51403
PF3D7_0530800,CAX63992
PF3D7_0522800,CAD51592
PF3D7_0507000,CAD51435
PF3D7_0528100,CAD51642
PF3D7_0531100,CAD51672
PF3D7_0503900,CAD51404
PF3D7_0505100,CAD51416
PF3D7_0525800,CAD51621
PF3D7_0528500,CAD51646
PF3D7_0519700,CAX63973
PF3D7_0510800,CAX63955
PF3D7_0501100.1,CAD51377
PF3D7_0512400,CAD51488
PF3D7_0509500,CAD51460
PF3D7_0523900,CAX63983
PF3D7_0525400,CAD51617
PF3D7_0502200,CAD51388
PF3D7_0520100,CAX63974
PF3D7_0529300,CAD51654
PF3D7_0528900,CAX63988
PF3D7_0518900,CAD51554
PF3D7_0507600,CAD51441
PF3D7_0508700,CAD51452
PF3D7_0527300,CAD51636
PF3D7_0530500,CAX63991
PF3D7_0515800,CAD51522
PF3D7_0511800,CAD51482
PF3D7_0512300,CAD51487
PF3D7_0526700,CAD51630
PF3D7_0521300,CAD51578
PF3D7_0504600,CAD51411
PF3D7_0501100.2,CZT62505
PF3D7_0511700,CAD51481
PF3D7_0505600,CAD51421
PF3D7_0505200,CAD51417
PF3D7_0522900,CAD51593
PF3D7_0512600,CAD51490
PF3D7_0524700,CAD51610
PF3D7_0502800,CAD51393
PF3D7_0520900,CAD51574
PF3D7_0522600,CAD51590
PF3D7_0528200,CAD51643
PF3D7_0513800,CAD51503
PF3D7_0515400,CAX63962
PF3D7_0507900,CAX63953
PF3D7_0520200,CAD51567
PF3D7_0506100,CAD51426
PF3D7_0509000,CAD51455
PF3D7_0524500,CAD51608
PF3D7_0529000,CAD51651
PF3D7_0513000,CAD51494
PF3D7_0509400,CAD51459
PF3D7_0505500,CAD51420
PF3D7_0524900,CAD51612
PF3D7_0510700,CAD51471
PF3D7_0524600,CAD51609
PF3D7_0523800,CAD51601
PF3D7_0527200,CAD51635
PF3D7_0513100,CAX63957
PF3D7_0514100,CAD51506
PF3D7_0517000,CAD51534
PF3D7_0502700,CAX63944
PF3D7_0521100,CAD51576
PF3D7_0517300,CAD51537
PF3D7_0504800,CAX63946
PF3D7_0529400.1,CZT62508
PF3D7_0529900,CAD51659
PF3D7_0503500,CAD51400
PF3D7_0516600,CAD51530
PF3D7_0525100,CAD51614
PF3D7_0531300,CAD51674
PF3D7_0510300,CAD51468
PF3D7_0520500,CAD51570
PF3D7_0528800,CAD51649
PF3D7_0501500,CAD51381
PF3D7_0521500,CAD51580
PF3D7_0530700,CAD51668
PF3D7_0523200,CAD51596
PF3D7_0525300,CAD51616
PF3D7_0513200,CAD51496
PF3D7_0519200,CAD51557
PF3D7_0515100,CAD51515
PF3D7_0503300,CAD51398
PF3D7_0521000,CAD51575
PF3D7_0511200,CAD51476
PF3D7_0518000,CAX63968
PF3D7_0513500,CAD51499
PF3D7_0518500,CAD51549
PF3D7_0514800,CAD51512
PF3D7_0508300,CAD51448
PF3D7_0517400,CAD51538
PF3D7_0521400,CAD51579
PF3D7_0509600,CAD51461
PF3D7_0530400,CAD51665
PF3D7_0527500,CAD51638
PF3D7_0511400,CAD51478
PF3D7_0519600,CAD51561
PF3D7_0520400,CAD51569
PF3D7_0502100,CAD51387
PF3D7_0517600,CAD51540
PF3D7_0514000,CAX63960
PF3D7_0503200,CAD51397
PF3D7_0525600,CAD51619
PF3D7_0510100,CAD51466
PF3D7_0518200,CAX63969
PF3D7_0516200,CAD51526
PF3D7_0521700,CAD51581
PF3D7_0526600,CAD51629
PF3D7_0522700,CAD51591
PF3D7_0506700,CAD51432
PF3D7_0522200,CAD51586
PF3D7_0521200,CAX63976
PF3D7_0509100,CAD51456
PF3D7_0522500,CAX63981
PF3D7_0525500,CAD51618
PF3D7_0508400,CAD51449
PF3D7_0517500,CAX63965
PF3D7_0526500,CAD51628
PF3D7_0513900,CAD51504
PF3D7_0519900,CAD51564
PF3D7_0523300,CAD51597
PF3D7_0523500,CAX63982
PF3D7_0504000,CAD51405
PF3D7_0529400.2,CZT62507
PF3D7_0526100,CAD51624
PF3D7_0526800,CAD51631
PF3D7_0503600,CAD51401
PF3D7_0525700,CAD51620
PF3D7_0511900,CAD51483
PF3D7_0532200,CAD51677
PF3D7_0523700,CAD51600
PF3D7_0506000,CAD51425
PF3D7_0511100,CAD51475
PF3D7_0515200,CAD51516
PF3D7_0515000,CAD51514
PF3D7_0521900,CAD51583
PF3D7_0504400,CAD51409
PF3D7_0517200,CAD51536
PF3D7_0526400,CAD51627
PF3D7_0516400,CAD51528
PF3D7_0511000,CAD51474
PF3D7_0513300,CAD51497
PF3D7_0518800,CAX63971
PF3D7_0507700,CAD51442
PF3D7_0512500,CAD51489
PF3D7_0524200,CAD51605
PF3D7_0518700,CAD51551
PF3D7_0502500,CAD51391
PF3D7_0502900,CAD51394
PF3D7_0508500,CAD51450
PF3D7_0520300,CAD51568
PF3D7_0523400,CAD51598
PF3D7_0530200,CAD51663
PF3D7_0514900,CAD51513
PF3D7_0515500,CAD51519
PF3D7_0513400,CAX63958
PF3D7_0531000,CAD51671
PF3D7_0502400,CAD51390
PF3D7_0504300,CAD51408
PF3D7_0527000,CAD51633
PF3D7_0508100,CAD51446
PF3D7_0504900,CAX63947
PF3D7_0521800,CAX63978
PF3D7_0509800,CAD51463
PF3D7_0510200,CAD51467
PF3D7_0501900,CAD51385
PF3D7_0502600,CAX63943
PF3D7_0518100,CAD51545
PF3D7_0502000,CAD51386
PF3D7_0504200,CAD51407
PF3D7_0519300,CAD51558
PF3D7_0524100,CAD51604
PF3D7_0527400,CAD51637
PF3D7_0517700,CAD51541
PF3D7_0507100,CAD51436
PF3D7_0503400,CAD51399
PF3D7_0526000,CAD51623
PF3D7_0512900,CAD51493
PF3D7_0519800,CAD51563
PF3D7_0516000,CAD51524
PF3D7_0521600,CAX63977
PF3D7_0507300,CAD51438
PF3D7_0522100,CAD51585
PF3D7_0510000,CAD51465
PF3D7_0528700,CAD51648
PF3D7_0512700,CAD51491
PF3D7_0515700,CAD51521
PF3D7_0511300,CAD51477
PF3D7_0505300,CAD51418
PF3D7_0511500,CAD51479
PF3D7_0526900,CAD51632
PF3D7_0520600,CAX63975
PF3D7_0506400,CAX63950
PF3D7_0513600,CAD51500
PF3D7_0516800,CAD51532
PF3D7_0518300,CAX63970
PF3D7_0518400,CAD51548
PF3D7_0529100,CAD51652
PF3D7_0522300,CAX63979
PF3D7_0520700,CAD51572
PF3D7_0525900,CAX63984
PF3D7_0520000,CAD51565
PF3D7_0528600,CAX63987
PF3D7_0501600,CAD51382
PF3D7_0524000,CAD51603
PF3D7_0515300,CAD51517
PF3D7_0530100,CAD51662
PF3D7_0524400,CAD51607
PF3D7_0524800,CAD51611
PF3D7_0506300,CAD51428
PF3D7_0510500,CAD51470
