Geneid	Chr	Start	End	Strand	Length	SRR1605330	SRR1605331	SRR1605332	SRR1605333	SRR1605334	SRR1605335	SRR1605336	SRR1605337	SRR1605338	SRR1605339	SRR1605340	SRR1605341	SRR1605342	SRR1605343	SRR1605344	SRR1605345	SRR1605346	SRR1605347
PF3D7_0103500	1	154176	160426	+	6251	1	8	10	11	15	15	1	1	7	7	6	3	1	1	2	6	11	6
PF3D7_0103600	1	161131	166229	+	5099	18	58	102	100	85	90	4	13	74	88	46	37	14	17	131	134	67	40
PF3D7_0103700	1	166513	168687	+	2175	14	24	36	31	20	14	19	14	22	23	12	7	14	23	27	30	14	13
PF3D7_0103800	1	169079	171273	-	2195	47	48	38	62	118	123	36	23	43	34	143	164	55	52	108	114	154	172
PF3D7_0103900	1	172864	174591	+	1728	15	18	117	121	46	54	11	12	85	80	55	44	19	15	95	132	50	44
PF3D7_0104000	1	175609	176376	+	768	5	8	7	10	34	23	7	6	3	6	21	10	7	4	4	14	23	35
PF3D7_0104100	1	178087	180790	+	2704	10	30	46	34	81	67	3	6	29	21	120	66	5	3	34	40	135	106
PF3D7_0104200	1	182822	184222	-	1401	200	427	158	176	531	501	121	121	152	112	491	592	196	201	275	328	616	784
PF3D7_0104300	1	190269	201230	+	10962	658	2618	281	223	2381	1420	301	365	300	285	812	955	415	485	493	642	1343	868
PF3D7_0104400	1	202536	204143	+	1608	63	95	246	355	183	195	37	21	190	175	165	136	48	49	239	265	221	198
PF3D7_0104500	1	204622	205455	-	834	89	112	146	123	23	22	114	97	100	94	7	10	54	48	76	99	14	24
PF3D7_0104600	1	206170	210189	+	4020	4	5	12	6	10	14	0	1	10	10	6	3	3	1	2	11	12	5
PF3D7_0104700	1	210870	213005	+	2136	4	6	3	1	13	23	1	3	0	3	8	6	3	2	1	0	3	3
PF3D7_0104800	1	215776	217509	+	1734	56	129	127	166	187	178	41	28	100	94	197	150	33	47	94	95	215	172
PF3D7_0105100	1	221202	221633	+	432	4	3	61	65	20	30	5	1	40	35	28	23	6	1	26	37	36	29
PF3D7_0105200	1	222254	223960	-	1707	22	20	110	100	127	100	3	1	116	120	93	36	8	9	64	75	96	49
PF3D7_0105300	1	225110	225779	-	670	139	240	135	182	507	418	85	62	81	69	345	331	125	114	86	115	389	499
PF3D7_0105400.1	1	226681	227285	-	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0105400.2	1	226681	227285	-	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0105500	1	228485	229519	-	1035	4	6	5	7	35	38	2	4	4	4	19	13	4	7	3	4	24	22
PF3D7_0105600	1	230289	234402	-	4114	24	33	34	35	49	51	7	10	27	27	26	14	21	15	38	42	26	14
PF3D7_0105700	1	238666	247857	+	9192	6	15	58	31	108	86	3	0	54	58	44	59	3	3	76	110	57	18
PF3D7_0105800	1	249231	252010	-	2780	66	230	298	353	519	474	17	21	309	307	305	230	22	27	252	307	416	340
PF3D7_0105900	1	253584	254930	+	1347	8	23	50	51	37	40	4	1	22	36	34	30	7	5	25	31	46	25
PF3D7_0106000	1	255775	258543	-	2769	77	106	130	170	424	322	19	23	107	109	274	185	17	31	109	127	293	212
PF3D7_0106100	1	260658	261809	-	1152	50	94	145	155	147	118	42	39	95	83	118	82	68	77	160	159	130	147
PF3D7_0106200	1	263340	264223	-	884	5	11	17	11	34	35	3	1	10	9	34	26	5	2	15	20	24	26
PF3D7_0106300	1	265208	269173	-	3966	562	901	1370	1509	966	1113	797	654	1028	971	1164	1131	711	780	1616	1713	1340	1588
PF3D7_0106400	1	272454	273404	+	951	193	217	109	118	20	22	505	342	55	84	12	16	344	292	78	120	16	19
PF3D7_0106500	1	274315	278550	+	4236	3	32	27	38	47	41	2	1	43	49	28	18	1	2	45	51	30	23
PF3D7_0106600	1	279115	280014	+	900	10	8	0	4	18	13	6	4	0	0	13	11	8	7	2	4	6	8
PF3D7_0106700	1	281155	285459	+	4305	85	279	170	121	198	167	65	64	154	151	77	47	49	72	137	210	130	46
PF3D7_0106800	1	286951	288918	+	1968	14	37	131	230	83	112	14	13	79	83	111	137	27	20	163	206	112	132
PF3D7_0106900	1	290386	292590	+	2205	17	42	89	117	72	79	0	3	52	55	77	69	3	1	74	106	90	44
PF3D7_0107000.1	1	293642	294968	+	1327	22	72	355	328	202	276	16	18	308	281	262	214	18	20	196	193	268	371
PF3D7_0107100	1	295300	296931	-	1632	3	8	23	27	8	10	1	0	20	15	4	6	0	0	13	12	10	6
PF3D7_0107200	1	297362	299397	+	2036	4	7	93	133	29	29	3	0	83	54	15	11	4	2	79	89	12	8
PF3D7_0107300	1	299562	300868	-	1307	3	3	23	28	18	19	1	1	12	12	23	14	3	1	18	19	30	20
PF3D7_0107400	1	302937	303398	+	462	8	18	69	126	22	28	6	3	53	51	40	56	9	8	77	68	71	71
PF3D7_0107500	1	304362	309257	-	4896	808	2031	942	863	694	656	533	539	485	472	645	578	557	647	902	1130	777	551
PF3D7_0107600	1	314618	319405	+	4788	1	8	2	1	14	12	0	0	0	1	7	5	0	1	2	3	7	4
PF3D7_0107700	1	320168	321508	+	1341	0	2	15	10	4	6	0	0	0	4	3	1	0	0	3	2	2	1
PF3D7_0107800	1	322371	326072	+	3702	6	25	118	105	59	70	0	0	88	88	44	41	0	5	95	129	60	28
PF3D7_0107900	1	326397	327224	-	828	8	3	56	47	11	17	2	3	36	46	9	9	8	9	33	35	14	14
PF3D7_0108000	1	328431	329558	-	1128	217	314	644	764	327	409	243	206	584	522	356	395	248	221	562	630	447	680
PF3D7_0108100	1	330738	332708	+	1971	8	13	43	40	19	31	3	3	33	32	32	25	3	3	40	44	32	29
PF3D7_0108300	1	337168	343833	+	6666	325	964	587	403	798	558	139	179	527	533	308	282	167	199	484	696	542	288
PF3D7_0108400.1	1	344400	346540	-	2141	25	13	20	24	3	7	62	37	13	11	17	13	40	53	21	16	16	19
PF3D7_0108400.2	1	345206	346540	-	1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0108500	1	349170	349709	+	540	715	3520	30	44	194	130	4108	3421	90	91	216	476	3219	3295	304	364	235	570
PF3D7_0108600	1	349995	351626	-	1632	17	39	116	129	34	49	16	14	140	120	37	37	15	18	100	110	40	74
PF3D7_0108700	1	352314	356211	-	3898	43	103	190	179	160	182	31	28	178	142	163	203	36	43	330	426	213	180
PF3D7_0108800	1	357834	360339	+	2506	23	30	118	168	98	101	33	29	92	77	117	98	48	37	156	178	84	99
PF3D7_0109000	1	363318	363992	+	675	177	977	22	42	926	870	187	154	17	14	680	458	261	239	58	52	976	583
PF3D7_0109100	1	365610	368795	+	3186	156	150	26	43	379	345	45	45	14	11	412	183	51	68	20	13	605	240
PF3D7_0109200	1	369480	370178	-	699	9	17	76	81	39	51	18	9	61	47	62	47	21	23	105	123	49	61
PF3D7_0109300	1	371815	373012	-	1198	10	14	41	55	33	35	6	4	18	20	32	20	4	3	7	13	25	27
PF3D7_0109400	1	374439	375087	-	649	16	24	122	123	34	50	11	8	91	75	30	19	14	15	87	82	31	22
PF3D7_0109500	1	376294	377004	-	711	14	28	73	74	25	35	50	43	46	46	22	46	94	98	100	99	27	37
PF3D7_0109600	1	377874	378599	-	726	4	15	14	24	5	2	14	15	17	11	8	4	8	9	20	29	11	1
PF3D7_0109700	1	379149	379806	-	658	76	113	37	61	23	20	142	143	46	35	26	36	194	235	103	129	18	21
PF3D7_0109800	1	380697	382424	+	1728	37	109	99	71	59	61	48	28	62	71	53	46	55	64	100	138	55	48
PF3D7_0109850	1	383284	386632	+	3349	14	23	88	152	51	81	6	7	42	50	67	43	3	12	49	43	91	74
PF3D7_0109950	1	386708	387940	+	1233	15	14	79	59	79	70	7	6	41	49	80	66	12	11	46	71	81	122
PF3D7_0110000	1	388372	389076	+	705	20	42	57	95	41	49	16	13	50	43	52	42	14	19	102	90	64	70
PF3D7_0110100	1	389261	392065	-	2805	19	34	53	49	37	32	13	7	60	41	31	15	26	38	72	75	22	9
PF3D7_0110200	1	392604	393035	+	432	21	28	58	46	25	22	50	23	41	38	20	22	39	34	36	49	16	21
PF3D7_0110400	1	393875	394835	-	961	90	109	145	157	53	98	168	158	109	111	88	51	282	246	176	188	74	74
PF3D7_0110500	1	396591	403606	+	7016	12	47	56	40	50	41	9	5	58	72	16	26	10	12	57	91	39	18
PF3D7_0110600	1	405739	412169	+	6431	203	427	140	149	194	173	103	103	145	114	110	170	142	138	264	322	208	224
PF3D7_0110700	1	413760	415100	-	1341	121	165	701	722	195	224	137	105	521	505	155	185	85	98	667	798	178	187
PF3D7_0110800	1	417921	419607	+	1687	158	449	242	234	259	234	197	166	143	174	228	160	200	218	234	278	275	208
PF3D7_0110900	1	420293	420853	-	561	19	30	48	40	9	11	29	15	19	23	2	4	32	14	12	12	2	1
PF3D7_0111000	1	421776	427575	-	5800	34	55	124	99	194	190	7	9	81	92	130	85	10	16	54	81	175	109
PF3D7_0111200	1	430152	430858	-	707	0	1	11	40	13	11	2	0	22	13	18	13	0	2	19	29	12	17
PF3D7_0111300	1	431539	435042	-	3504	17	33	186	180	163	174	3	4	207	232	94	112	3	1	142	193	160	117
PF3D7_0111400	1	436408	438564	+	2157	2	14	50	41	66	40	0	1	63	51	21	18	0	0	23	39	28	17
PF3D7_0111500	1	439652	441418	-	1767	38	170	214	241	333	262	33	18	109	137	231	186	29	39	104	128	277	376
PF3D7_0111600	1	442543	443289	-	747	2	2	10	8	6	10	1	3	4	9	3	5	4	3	5	6	2	3
PF3D7_0111700	1	443585	443938	-	354	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0111800	1	446026	448849	+	2824	25	26	185	206	94	100	8	9	143	143	59	55	23	33	226	248	62	38
PF3D7_0111900	1	450043	450646	-	604	11	24	85	140	52	56	18	10	78	75	60	43	9	18	115	111	60	98
PF3D7_0112000	1	450831	453118	-	2288	14	25	57	36	22	22	8	11	37	35	16	13	9	7	29	40	17	11
PF3D7_0112100	1	454847	455338	+	492	2	13	1	0	0	0	7	5	0	0	0	0	3	9	0	0	0	1
PF3D7_0112200	1	464726	470194	+	5469	48	50	533	334	229	218	5	6	332	398	79	76	6	7	149	211	165	115
PF3D7_0112800	1	481809	482618	-	810	13	32	12	6	11	12	30	30	6	4	17	11	29	22	16	15	16	12
PF3D7_0112900	1	486500	487186	+	687	15	30	5	5	19	8	3	6	1	2	17	14	11	8	5	7	16	13
PF3D7_0113000	1	487892	490127	-	2236	2840	1725	1093	852	345	385	792	826	2148	2238	120	261	646	844	2576	3412	151	138
PF3D7_0113100	1	495244	500076	+	4833	0	1	4	0	2	0	0	0	1	3	1	1	0	0	21	30	1	0
PF3D7_0113200	1	500959	502868	-	1910	79	71	339	301	172	184	28	27	283	298	158	130	33	36	443	590	229	134
PF3D7_0113300	1	504938	506874	-	1937	208	504	59	52	37	29	359	325	29	44	18	25	267	264	184	236	8	28
PF3D7_0113400	1	508252	509748	-	1497	1	4	1	1	4	1	0	2	1	3	5	9	10	9	100	113	0	1
PF3D7_0113700	1	520807	522579	+	1773	218	343	54	46	40	42	499	415	47	27	45	78	660	707	343	487	38	31
PF3D7_0113800	1	527107	536351	+	9245	1	0	0	1	5	3	0	0	3	0	0	0	1	1	0	1	0	1
PF3D7_0113900	1	537109	538025	-	917	86	70	7	7	9	8	140	96	10	10	13	28	183	160	42	41	11	28
PF3D7_0114000	1	542480	546983	+	4504	5	25	9	6	52	48	3	0	5	5	15	36	6	6	221	243	18	2
PF3D7_0114100	1	547597	548380	-	784	56	4	189	81	16	28	4	4	38	46	5	11	11	9	90	148	3	1
PF3D7_0114200	1	550576	551713	-	1138	5	1	23	11	7	6	1	0	12	13	1	7	1	1	20	34	1	1
PF3D7_0114500	1	558201	558708	-	508	2	5	4	2	8	5	6	1	3	6	11	10	8	3	29	66	16	9
PF3D7_0114700	1	563703	564842	-	1140	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0114800	1	569485	570272	-	788	0	1	1	1	0	0	0	4	0	1	0	0	2	3	0	2	0	0
PF3D7_0115000	1	577704	583789	+	6086	3	3	0	3	5	6	0	0	0	2	2	3	1	2	12	23	12	1
PF3D7_0115100	1	587391	588394	+	1004	0	0	1	3	6	4	1	0	3	2	5	6	0	0	2	1	1	4
PF3D7_0115200	1	591849	593187	+	1339	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	0	0	0
PF3D7_0115300	1	595102	596273	+	1172	0	0	0	0	0	0	2	1	0	0	0	0	3	5	1	1	0	0
PF3D7_0115400	1	598465	599472	+	1008	4	0	9	6	0	0	0	0	3	6	0	1	1	2	8	12	0	0
PF3D7_0115600	1	604162	605531	+	1370	0	0	1	1	1	0	1	0	0	0	0	1	1	2	0	1	0	0
PF3D7_0115700	1	607390	614893	-	7504	0	8	2	1	3	5	2	0	3	2	1	1	0	1	2	1	4	3
PF3D7_1000100	10	28490	36164	+	7675	1	3	1	2	5	2	3	0	0	5	2	3	2	1	0	3	3	2
PF3D7_1000200	10	38050	39395	-	1346	0	1	0	1	0	0	4	2	0	0	0	0	3	2	1	0	1	1
PF3D7_1000300	10	41773	42963	-	1191	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
PF3D7_1000400	10	44816	46133	-	1318	6	3	12	4	4	1	4	2	0	0	3	4	6	5	6	10	2	3
PF3D7_1000500	10	48052	49384	-	1333	1	2	1	1	2	5	6	2	0	0	2	0	2	1	2	1	0	0
PF3D7_1000600	10	51349	52599	-	1251	1	1	0	0	0	0	2	0	2	1	1	4	17	8	45	47	0	0
PF3D7_1001000	10	63152	64032	+	881	40	3	66	68	17	11	5	6	47	46	5	5	22	22	79	105	2	6
PF3D7_1001100.2	10	67807	68753	-	947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1001100.1	10	67807	68961	-	1155	8	26	2	4	1	0	12	4	0	1	1	1	15	17	4	2	2	0
PF3D7_1001200	10	70547	70819	-	273	58	48	730	1023	146	207	31	22	475	478	135	99	28	30	242	247	168	189
PF3D7_1001300	10	72934	73917	-	984	5	3	66	61	14	19	3	1	34	36	6	5	1	1	11	14	9	7
PF3D7_1001400	10	74661	77572	-	2912	178	190	22	11	11	3	138	130	17	18	3	20	355	327	117	180	4	7
PF3D7_1001500	10	81416	81739	-	324	5822	6899	87	33	107	44	14661	9914	55	83	24	89	7471	7138	108	167	29	144
PF3D7_1001600	10	86538	89009	-	2472	127	286	897	890	1317	1276	28	30	762	729	1056	1031	68	45	957	1279	1590	1680
PF3D7_1001700	10	92573	93526	-	954	442	713	243	319	282	260	1039	770	158	159	318	250	819	820	350	380	339	343
PF3D7_1001800	10	96113	97031	-	919	167	352	93	124	172	129	342	242	70	70	152	138	388	332	111	141	173	226
PF3D7_1001900	10	99379	100361	-	983	206	341	52	54	34	31	477	386	48	41	29	54	478	485	147	181	28	39
PF3D7_1002000	10	103118	104683	-	1566	103	210	0	1	6	1	114	91	0	1	3	6	124	137	31	35	5	10
PF3D7_1002100	10	106653	108662	-	2010	578	1173	59	46	123	90	766	628	57	53	62	80	504	551	243	243	59	48
PF3D7_1002200	10	112929	116015	+	3087	54	61	142	97	112	113	24	17	181	178	75	77	27	29	453	637	81	43
PF3D7_1002300	10	117242	118534	+	1293	16	8	13	7	6	4	9	10	8	12	0	0	9	7	4	8	1	2
PF3D7_1002400.2	10	121115	123291	+	2177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1002400.1	10	121115	123291	+	2177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1002500	10	123770	124882	-	1113	144	186	190	292	91	88	188	148	154	151	103	114	149	158	164	196	116	121
PF3D7_1002600	10	125939	127600	+	1662	4	9	30	16	11	13	0	1	10	9	6	6	2	1	8	18	10	4
PF3D7_1002700	10	129276	132110	+	2835	11	54	86	93	85	108	5	6	65	82	50	36	11	23	87	122	73	29
PF3D7_1002800	10	132995	137272	+	4278	5	8	52	54	27	23	2	0	45	58	19	17	1	1	75	94	18	7
PF3D7_1002900	10	138765	139853	+	1089	98	163	191	211	134	130	304	198	146	131	133	135	267	272	146	144	155	213
PF3D7_1003000	10	142419	146237	+	3819	46	90	39	39	314	248	5	12	12	16	168	200	6	8	26	42	239	178
PF3D7_1003100	10	147639	148239	+	601	12	6	66	85	31	37	8	7	41	31	43	45	5	7	55	60	53	50
PF3D7_1003200	10	149342	150038	+	697	8	8	35	47	27	28	4	5	40	14	19	16	7	9	34	38	18	17
PF3D7_1003300	10	150416	150874	-	459	67	125	89	145	170	130	106	62	53	57	155	169	135	124	96	116	127	160
PF3D7_1003400	10	152364	158516	-	6153	59	108	22	36	533	349	31	27	18	17	132	146	29	42	11	16	217	133
PF3D7_1003500	10	160316	160962	-	647	654	752	883	1129	275	312	1618	1025	613	609	244	240	1015	954	409	444	316	329
PF3D7_1003600	10	164945	165790	+	846	940	2302	96	147	3854	3491	577	482	66	49	2906	2078	928	883	208	199	3244	2589
PF3D7_1003700	10	166743	170669	-	3927	18	24	31	45	50	48	1	8	37	35	26	12	3	5	72	84	29	9
PF3D7_1003800	10	172723	176430	-	3708	80	146	191	128	101	87	59	63	251	245	58	61	63	90	241	265	91	70
PF3D7_1003900	10	177921	178870	+	950	6	8	6	6	0	1	8	7	0	3	3	1	3	5	0	2	0	0
PF3D7_1004000	10	179344	180226	-	883	1663	1881	1721	1951	375	503	3672	2542	1261	1215	426	323	2681	2429	886	912	470	608
PF3D7_1004100	10	182244	187100	+	4857	15	20	8	9	2	4	9	8	1	0	1	2	3	4	8	3	3	2
PF3D7_1004200	10	187669	196954	-	9286	35	90	162	124	311	213	10	4	108	150	140	146	7	13	108	135	216	122
PF3D7_1004300	10	199452	202844	-	3393	137	365	274	209	257	236	166	143	202	166	305	202	153	184	347	389	381	197
PF3D7_1004400	10	207000	209642	-	2643	67	95	271	208	284	256	17	18	307	315	125	116	25	36	253	342	184	132
PF3D7_1004500	10	213986	214594	-	609	17	21	33	15	33	30	4	2	13	15	54	46	13	4	43	37	44	45
PF3D7_1004600	10	215717	219759	+	4043	57	104	77	175	336	355	17	17	56	57	259	123	20	21	43	47	325	224
PF3D7_1004700	10	220018	221353	-	1336	11	9	52	81	50	51	9	5	25	28	54	47	9	11	42	42	63	53
PF3D7_1004800	10	221945	223430	+	1486	23	22	119	172	75	69	30	13	84	80	84	68	31	25	104	138	84	64
PF3D7_1004900	10	224248	225207	+	960	8	9	87	89	29	24	7	0	64	77	40	34	6	7	72	67	30	31
PF3D7_1005000	10	225456	227705	-	2250	20	47	34	81	32	50	4	14	27	23	14	19	14	18	28	43	20	7
PF3D7_1005100	10	228798	232193	+	3396	27	109	34	18	29	24	34	18	31	29	10	17	26	40	27	39	11	6
PF3D7_1005200	10	232422	232818	-	397	0	0	2	0	2	3	2	1	0	0	1	2	0	0	0	0	1	2
PF3D7_1005300	10	233285	234473	-	1189	0	3	3	3	6	5	0	0	0	1	0	2	0	0	0	3	3	0
PF3D7_1005400	10	234795	235745	-	951	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1005500	10	237506	242245	-	4740	47	106	409	453	308	299	16	12	345	341	194	103	17	16	192	314	324	102
PF3D7_1005600	10	244145	246535	-	2391	142	168	135	169	109	86	90	108	107	103	72	49	83	100	139	178	84	48
PF3D7_1005700	10	247495	249940	-	2446	3	10	21	12	24	32	12	4	7	9	13	11	7	12	2	7	18	5
PF3D7_1005800	10	251579	252490	+	912	17	27	18	66	40	53	14	7	19	15	39	41	7	20	13	13	45	57
PF3D7_1005900	10	253704	255611	+	1908	7	27	87	137	68	80	7	3	64	56	97	103	2	9	196	180	104	81
PF3D7_1006000	10	256117	257699	-	1583	2	3	0	3	4	5	1	1	1	1	2	3	2	0	1	2	1	1
PF3D7_1006100	10	259060	260304	-	1245	5	7	24	28	14	24	11	7	4	12	3	4	2	4	20	25	4	3
PF3D7_1006200	10	262150	262997	-	848	371	606	656	795	153	228	1177	806	495	493	244	187	808	717	443	474	245	283
PF3D7_1006300	10	265750	266836	-	1087	2	0	0	0	0	0	2	1	0	0	0	1	1	2	1	0	0	0
PF3D7_1006400	10	267219	269831	-	2613	6	1	39	29	14	9	0	1	28	16	9	5	2	0	27	39	2	4
PF3D7_1006500	10	270535	271497	+	963	3	6	52	59	7	12	7	2	23	26	8	6	4	4	23	23	12	11
PF3D7_1006600	10	272243	272824	-	582	20	38	114	102	48	53	26	26	48	68	20	10	28	20	83	63	18	28
PF3D7_1006700	10	274091	275426	+	1336	42	93	32	15	11	8	36	28	21	27	7	8	44	40	21	40	11	10
PF3D7_1006800	10	277621	279168	+	1548	629	1185	824	640	206	231	1455	1113	617	584	187	241	1060	1062	642	801	223	286
PF3D7_1006900	10	281459	283104	+	1646	37	89	157	266	65	101	127	73	129	136	146	116	140	125	304	307	109	113
PF3D7_1007000	10	284577	286302	+	1726	44	40	320	391	136	143	37	47	195	193	154	164	102	88	223	246	174	254
PF3D7_1007100	10	286522	287473	-	952	4	5	28	30	14	23	3	1	15	17	14	12	5	2	7	11	15	18
PF3D7_1007200	10	288383	290826	-	2444	71	149	117	199	520	515	47	30	77	60	395	240	38	59	120	106	537	315
PF3D7_1007300	10	293850	295999	+	2150	28	97	21	27	395	282	14	11	6	5	167	102	11	11	4	11	235	76
PF3D7_1007400	10	296906	297565	+	660	35	64	60	77	154	133	29	47	30	37	73	67	31	28	34	55	86	95
PF3D7_1007500	10	298361	298687	+	327	20	24	36	23	12	9	19	19	9	19	15	13	17	21	19	23	12	16
PF3D7_1007600	10	299280	299609	+	330	74	79	113	95	54	64	85	79	78	108	76	58	88	72	81	90	68	96
PF3D7_1007700	10	301126	305919	-	4794	120	138	1022	885	631	694	20	11	777	693	781	399	37	45	663	929	1024	353
PF3D7_1007800	10	311397	314516	-	3120	11	4	2	8	9	9	2	1	3	3	1	3	4	7	7	8	2	1
PF3D7_1007900	10	316649	318280	+	1632	260	344	365	477	138	162	372	302	355	271	102	86	303	330	327	416	135	100
PF3D7_1008000	10	321011	328150	+	7140	114	243	215	172	339	268	57	50	175	181	124	192	57	82	175	205	203	165
PF3D7_1008100	10	331246	342807	+	11562	114	350	233	163	489	329	57	68	224	231	189	225	57	83	167	262	240	219
PF3D7_1008200	10	343733	344899	-	1167	0	4	13	17	13	6	1	0	5	7	17	19	1	0	14	22	17	17
PF3D7_1008400	10	347206	348667	-	1462	397	714	1086	1379	1017	1190	522	423	884	844	1175	1262	625	605	1620	1827	1434	1344
PF3D7_1008500	10	351703	355593	+	3891	34	100	69	80	156	143	13	19	75	68	95	87	28	32	126	177	137	71
PF3D7_1008600	10	357345	358463	+	1119	3	12	1	3	11	21	0	2	2	2	6	7	0	1	4	3	11	9
PF3D7_1008700	10	360625	362480	-	1856	153	342	1358	1528	714	911	151	112	1112	896	1060	911	154	169	1392	1517	1222	1109
PF3D7_1008800	10	365737	367146	-	1410	631	1145	448	354	169	179	1270	1027	351	307	149	95	954	860	440	547	167	122
PF3D7_1008900	10	369199	370225	-	1027	251	282	727	863	234	296	492	361	676	618	298	211	443	403	578	540	329	374
PF3D7_1009000	10	371293	372117	+	825	67	103	101	119	23	22	158	126	73	63	29	24	177	144	74	68	22	22
PF3D7_1009100	10	372519	374072	+	1554	1	0	0	4	0	2	0	2	0	0	0	1	1	3	1	0	0	0
PF3D7_1009200	10	374864	377611	+	2748	28	65	31	21	64	57	40	34	13	23	32	21	32	58	24	20	38	28
PF3D7_1009300	10	377906	379708	-	1803	13	25	25	51	13	22	12	7	32	26	20	23	3	7	29	29	26	24
PF3D7_1009400	10	381361	382449	+	1089	29	77	124	136	47	54	78	76	97	78	75	71	102	122	192	192	53	64
PF3D7_1009500	10	383044	384793	-	1750	24	22	108	138	62	45	11	5	91	94	65	65	15	18	134	179	66	33
PF3D7_1009600	10	386976	388442	+	1467	6	4	19	22	12	6	1	3	11	11	7	8	2	2	33	42	9	7
PF3D7_1009700	10	389504	391165	-	1662	125	191	82	96	859	627	38	45	43	41	521	314	32	48	44	52	497	397
PF3D7_1009800	10	393765	397993	-	4229	34	59	29	21	56	43	25	25	15	19	38	18	25	30	23	40	37	44
