Geneid	Chr	Start	End	Strand	Length	SRR3437887	SRR3437888	SRR3437889	SRR3437890	SRR3437891	SRR3437892	SRR3437893	SRR3437894	SRR3437895	SRR3437896	SRR3437897	SRR3437898
PBANKA_010200	1	68619	70043	+	1425	291	280	332	401	114	94	137	116	207	212	339	330
PBANKA_010210	1	70631	72184	-	1554	108	107	212	231	242	251	265	257	445	457	308	295
PBANKA_010220	1	73407	76112	-	2706	2990	3128	3019	3129	3444	3594	3093	3155	2665	2682	4274	4307
PBANKA_010230	1	79270	80592	+	1323	14	8	148	154	65	65	79	78	175	199	100	114
PBANKA_010240	1	81338	87252	-	5915	1294	1269	634	617	130	183	280	299	336	302	943	980
PBANKA_010250	1	89051	90484	+	1434	172	193	271	291	273	242	159	175	250	299	224	251
PBANKA_010260	1	90545	98466	-	7922	3223	3302	3551	3629	2459	2380	2390	2366	3296	3383	1944	2142
PBANKA_010270	1	99252	100370	-	1119	886	938	341	356	25	36	297	289	31	45	504	517
PBANKA_010280	1	101639	106168	-	4530	2616	2687	1731	1722	456	465	532	571	521	523	2131	2151
PBANKA_010290	1	108389	114175	-	5787	4382	4678	2667	2697	3089	3276	2597	2711	2420	2549	1267	1363
PBANKA_010300	1	117894	118616	+	723	51	53	134	118	52	52	55	62	85	111	93	86
PBANKA_010310	1	119281	121272	+	1992	646	695	650	726	159	177	210	264	328	324	739	735
PBANKA_010320	1	122082	123213	+	1132	527	568	201	203	27	17	287	281	56	57	120	124
PBANKA_010330	1	126075	132614	+	6540	6864	7072	9256	9797	12473	12659	9819	10225	7626	8020	14300	14697
PBANKA_010340	1	133178	134781	-	1604	68	86	165	158	83	74	67	60	120	106	234	230
PBANKA_010350	1	135555	138122	-	2568	141	138	215	229	108	130	137	145	203	203	189	221
PBANKA_010360	1	139125	140795	-	1671	12	6	35	37	6	13	9	12	26	10	43	35
PBANKA_010370	1	141553	142188	-	636	57	51	74	84	10	12	17	19	30	34	75	79
PBANKA_010380	1	142858	143442	+	585	32	41	136	133	35	28	18	29	66	82	172	172
PBANKA_010390	1	146949	149156	+	2208	739	804	901	951	513	558	897	894	756	743	855	852
PBANKA_010400	1	150234	151608	-	1375	96	116	270	308	69	85	133	146	215	186	217	209
PBANKA_010410	1	152445	153904	+	1460	595	578	302	297	119	121	204	210	293	302	187	192
PBANKA_010420	1	154510	154983	-	474	44	49	74	87	32	32	56	47	29	45	79	78
PBANKA_010430	1	155199	157128	-	1930	434	424	533	528	241	244	203	215	236	246	536	550
PBANKA_010440	1	157727	163651	-	5925	4089	4165	2068	2148	606	650	1270	1298	537	483	1654	1712
PBANKA_010450	1	165584	166363	+	780	48	63	88	105	73	59	199	210	210	225	187	173
PBANKA_010460	1	166878	172475	-	5598	2224	2281	4185	4182	4627	4723	4017	4017	2291	2429	7448	7678
PBANKA_010470	1	175067	176620	+	1554	110	112	364	406	159	144	243	257	409	344	285	276
PBANKA_010480	1	177115	180117	-	3003	11055	11634	4317	4525	6017	6271	6995	7170	4374	4598	4023	4008
PBANKA_010490	1	183218	185406	+	2189	1659	1789	2475	2582	1377	1406	1462	1487	1890	1892	3311	3243
PBANKA_010500	1	186476	187292	-	817	92	103	164	187	113	110	90	112	226	225	123	124
PBANKA_010510	1	188684	189452	-	769	35	43	78	82	28	32	161	168	82	64	107	139
PBANKA_010520	1	190452	193016	-	2565	789	796	636	659	528	559	554	563	627	675	745	733
PBANKA_010530	1	195031	200510	-	5480	5881	5966	3276	3228	2306	2385	1852	1900	2121	2206	5211	5363
PBANKA_010540	1	203081	207619	+	4539	936	908	1901	1931	611	665	723	796	1125	1132	1618	1658
PBANKA_010550	1	208597	209247	-	651	61	44	290	304	81	78	105	91	215	220	209	218
PBANKA_010560	1	211648	214449	+	2802	197	224	1487	1466	1026	1083	859	892	927	936	3357	3399
PBANKA_010570	1	215460	218569	+	3110	145	150	73	79	45	49	80	63	130	144	86	71
PBANKA_010580	1	219124	220438	-	1315	151	200	466	453	253	257	299	329	460	471	439	434
PBANKA_010590	1	221536	222934	+	1399	111	136	323	307	105	125	202	182	276	290	267	263
PBANKA_010600	1	223425	226759	-	3335	459	459	752	837	627	661	737	838	968	1022	624	673
PBANKA_010610	1	227884	229266	+	1383	346	371	499	495	128	144	173	196	247	244	486	520
PBANKA_010620	1	229639	232397	-	2759	2689	2789	1059	1089	328	338	860	900	630	559	1293	1364
PBANKA_010630	1	236742	243269	+	6528	41223	42717	13118	13498	9364	9674	13991	14271	13837	14120	9179	9375
PBANKA_010640	1	244130	245994	-	1865	475	469	701	738	364	343	380	383	628	580	703	719
PBANKA_010650	1	246857	249220	+	2364	550	532	1291	1269	306	332	233	261	490	511	1238	1305
PBANKA_010660	1	249527	251681	-	2155	146	156	478	546	100	101	98	110	177	187	457	470
PBANKA_010670	1	252201	255734	+	3534	692	766	1759	1730	483	512	424	411	599	583	3117	3374
PBANKA_010680	1	255883	256743	-	861	106	80	222	217	65	93	87	76	117	147	278	266
PBANKA_010690	1	257208	260459	+	3252	1140	1099	2945	2894	702	696	1176	1110	1181	1193	2811	2885
PBANKA_010695	1	261048	262412	+	1365	328	267	368	375	127	120	144	135	158	197	405	416
PBANKA_010700	1	262880	263290	-	411	117	104	224	240	91	88	132	133	149	178	172	179
PBANKA_010710	1	264343	265295	-	953	148	163	530	535	83	91	168	169	165	163	478	477
PBANKA_010720	1	267131	268205	+	1075	144	135	195	199	39	39	124	118	105	80	193	180
PBANKA_010730	1	269623	271338	+	1716	1038	996	1675	1763	286	299	387	365	594	637	1919	1856
PBANKA_010740	1	273369	274613	+	1245	84	102	495	479	496	464	289	311	1036	1044	660	677
PBANKA_010750	1	275681	278492	+	2812	1281	1286	1172	1199	383	446	536	553	656	716	951	1024
PBANKA_010760	1	280540	296862	+	16323	35357	36815	19470	19926	9853	10313	9877	10315	14001	14495	13084	13336
PBANKA_010770	1	297421	299212	-	1792	118	98	430	469	821	809	1043	988	1265	1297	357	378
PBANKA_010780	1	300748	302278	+	1531	112	126	131	159	118	128	165	191	243	255	150	113
PBANKA_010790	1	303376	305899	+	2524	1901	1998	2159	2118	3347	3338	2557	2621	2425	2500	2665	2756
PBANKA_010800	1	306323	308131	-	1809	1078	1102	564	603	267	279	283	290	452	473	472	486
PBANKA_010810	1	310231	314769	+	4539	172	156	142	165	107	127	159	141	259	293	146	152
PBANKA_010820	1	316589	321493	+	4905	1649	1689	3387	3533	3883	3974	3704	3827	3225	3110	2849	2961
PBANKA_010830	1	322516	323742	-	1227	92	93	418	437	339	381	813	778	642	670	234	223
PBANKA_010840	1	326646	331889	+	5244	3260	3551	5523	5689	3757	3796	4134	4151	3426	3655	4254	4320
PBANKA_010850	1	332571	333811	+	1241	230	206	287	293	52	63	81	72	123	104	302	288
PBANKA_010860	1	334074	335856	-	1783	207	206	1234	1267	425	475	458	430	536	547	1709	1668
PBANKA_010870	1	337036	339075	-	2040	1582	1467	2564	2671	1917	2088	1804	1804	1346	1365	5262	5395
PBANKA_010880	1	342642	343052	+	411	234	264	393	443	1360	1327	908	873	1199	1274	279	323
PBANKA_010890	1	343565	344138	-	574	32	28	103	105	16	17	15	15	33	33	91	119
PBANKA_010900	1	345906	346887	+	982	34	32	151	139	35	31	33	44	56	58	128	171
PBANKA_010910	1	347159	349171	+	2013	383	392	1148	1204	266	308	331	306	597	592	1291	1358
PBANKA_010920	1	349901	353425	-	3525	3975	3983	3880	4045	8905	8964	5217	5355	3951	4101	7624	7662
PBANKA_010930	1	355041	356159	-	1119	88	86	286	284	178	178	198	241	304	341	116	142
PBANKA_010940	1	357667	357933	-	267	79	96	187	180	30	32	63	58	66	72	153	162
PBANKA_010950	1	358938	360034	+	1097	613	595	665	652	111	113	193	151	167	183	736	744
PBANKA_010960	1	361253	362393	+	1141	146	179	374	349	83	119	158	147	206	178	317	328
PBANKA_010970	1	362742	365150	-	2409	1487	1532	1085	1096	489	513	646	715	651	697	1003	978
PBANKA_010980	1	372976	374088	-	1113	295	318	230	243	101	91	487	461	199	198	329	332
PBANKA_010990	1	375468	377321	-	1854	4516	4569	2323	2453	2202	2211	3132	3244	2237	2311	1111	1132
PBANKA_011000	1	378604	379080	-	477	529	545	636	690	548	543	621	583	577	539	475	512
PBANKA_011010	1	380430	388759	-	8330	5133	5332	2541	2724	1499	1518	1333	1344	1896	1923	2997	3065
PBANKA_011020	1	391917	392836	+	920	282	312	270	291	164	141	207	208	266	298	226	208
PBANKA_011030	1	393408	393879	-	472	250	238	168	165	116	118	143	168	215	211	40	47
PBANKA_011040	1	394826	396532	-	1707	284	254	729	727	729	758	1066	1096	982	1039	1052	1044
PBANKA_011050	1	398038	404879	-	6842	11671	11959	6856	7139	7460	7318	7033	7171	4367	4358	5456	5647
PBANKA_011060	1	406156	406509	+	354	199	217	99	118	79	79	126	125	73	82	54	46
PBANKA_011070	1	406536	407240	+	705	153	167	227	232	111	117	309	348	138	154	195	224
PBANKA_011080	1	407585	407944	-	360	220	228	195	163	34	55	315	339	154	158	351	319
PBANKA_011090	1	408597	409814	-	1218	431	445	400	363	227	222	195	234	332	329	508	531
PBANKA_011100	1	410771	411775	-	1005	375	367	460	472	659	651	1118	1240	658	689	112	127
PBANKA_011110	1	412401	413384	-	984	578	590	282	308	587	626	574	607	644	672	306	306
PBANKA_011120	1	415503	417536	+	2034	5761	5740	2152	2123	6852	6901	4243	4318	2929	3066	2323	2490
PBANKA_011130.1	1	418471	420300	-	1830	34	35	33	44	11	8	14	21	20	19	41	39
PBANKA_011130.2	1	418496	420300	-	1805	0	0	0	0	0	0	0	0	0	0	0	0
PBANKA_011140	1	422420	423186	+	767	70	82	190	195	145	136	132	136	235	216	209	203
PBANKA_011150	1	424199	424485	+	287	61	57	107	115	62	50	49	58	66	81	86	79
PBANKA_011160	1	425205	428881	-	3677	2231	2198	2192	2193	3647	3738	4045	4088	4203	4246	698	786
PBANKA_011170	1	430755	431522	+	768	231	226	363	420	129	153	133	167	234	229	340	359
PBANKA_011180	1	431734	434736	-	3003	1355	1342	1380	1389	1415	1448	1996	1996	1883	2034	1191	1318
PBANKA_011190	1	439763	441838	+	2076	738	774	1652	1708	2841	2830	3265	3337	2826	2813	1260	1357
PBANKA_011200	1	442241	444187	-	1947	884	842	1144	1230	788	793	459	484	1429	1487	1300	1340
PBANKA_011210	1	448107	455919	+	7813	36374	37357	16770	17556	19597	19774	13628	13790	14716	15196	6229	6666
PBANKA_011220	1	456330	462206	-	5877	8405	8582	7839	7879	27356	28079	15361	15773	13083	13315	8840	9026
PBANKA_011230	1	465081	467618	-	2538	2855	2893	1109	1163	1543	1540	1784	1879	1414	1635	726	778
PBANKA_011240	1	468662	471097	-	2436	1008	1006	1214	1306	2460	2575	1288	1265	2134	2153	1852	1962
PBANKA_011250	1	472354	474611	-	2258	306	325	1652	1706	3395	3629	4324	4273	3596	3559	1491	1515
PBANKA_011260	1	477226	478737	+	1512	3038	3053	2271	2299	1781	1823	2664	2660	1321	1411	2679	2784
PBANKA_100010	10	1703	10034	+	8332	1909	1974	366	349	4563	4509	2720	2812	2960	3186	1955	2026
PBANKA_100020	10	11388	13007	+	1620	212	244	579	665	699	688	784	878	1389	1443	458	469
PBANKA_100030	10	14007	15214	-	1208	166	145	681	727	184	162	187	190	306	307	507	627
PBANKA_100040	10	16615	18149	-	1535	15	20	39	40	17	19	10	6	39	44	50	49
PBANKA_100050	10	21806	23809	-	2004	89	103	407	385	605	654	546	526	423	388	318	337
PBANKA_100060	10	26152	27311	+	1160	1266	1337	1740	1791	3504	3623	3164	3231	2558	2595	1484	1534
PBANKA_100070	10	29820	31514	-	1695	255	252	361	331	61	61	70	87	107	157	476	514
PBANKA_100080	10	32550	33620	+	1071	87	90	451	449	112	114	89	91	105	98	790	897
PBANKA_100090	10	34064	35068	-	1005	49	44	166	176	39	35	35	34	60	77	200	232
PBANKA_100100	10	36287	46655	+	10369	9106	9598	7494	7892	6104	6157	5458	5569	6891	7057	5145	5260
PBANKA_100110	10	48054	49214	+	1161	64	72	181	208	83	103	125	126	150	152	240	241
PBANKA_100120	10	50698	53613	+	2916	283	321	98	123	66	65	105	91	133	136	136	139
PBANKA_100130	10	54312	56814	-	2503	1348	1457	1342	1343	564	555	491	526	711	772	694	681
PBANKA_100140	10	61838	64660	-	2823	2098	2178	1350	1313	593	540	572	555	691	707	1513	1574
PBANKA_100150	10	67526	69601	-	2076	190	205	357	365	404	410	629	727	696	707	184	201
PBANKA_100160	10	74214	77794	+	3581	2826	2989	2048	2076	1123	1140	1148	1168	1270	1378	1865	1856
PBANKA_100170	10	78383	78941	-	559	230	271	185	202	288	285	475	452	307	376	61	85
PBANKA_100180	10	79816	90244	-	10429	1979	2074	965	1042	2455	2596	757	722	2235	2348	1577	1634
PBANKA_100190	10	92176	92735	-	560	26	29	138	129	56	37	47	40	95	84	133	106
PBANKA_100200	10	93824	97006	-	3183	1127	1171	1803	1849	693	666	692	649	843	840	3385	3543
PBANKA_100210	10	98651	99709	-	1059	89	84	176	161	107	111	290	290	258	287	293	291
PBANKA_100220	10	101323	102741	-	1419	21	22	3	3	15	17	0	4	51	49	4	5
PBANKA_100230	10	107611	119535	+	11925	867	883	303	329	1477	1487	546	547	2853	2996	231	242
PBANKA_100240	10	119777	122445	-	2669	5021	5242	3292	3316	6525	6611	9756	9868	4960	5127	1536	1545
PBANKA_100250	10	123297	125265	-	1969	529	549	165	171	238	222	395	403	352	398	162	156
PBANKA_100260	10	126553	127749	-	1197	2193	2251	2985	3207	9691	9834	10393	10402	7897	8272	2429	2490
PBANKA_100270	10	128971	131194	-	2224	716	724	324	303	848	895	825	786	645	617	275	250
PBANKA_100280	10	132359	137013	-	4655	306	319	756	794	410	433	430	401	779	801	748	780
PBANKA_100290	10	140328	143075	+	2748	654	607	312	325	695	721	755	777	731	783	226	216
PBANKA_100300	10	144139	150657	-	6519	156	173	350	356	718	747	78	75	1254	1325	383	377
PBANKA_100310	10	154061	163207	+	9147	6104	6295	3630	3730	2649	2730	2097	2189	2842	2920	3773	3808
PBANKA_100320	10	163926	164871	-	946	23	31	94	92	132	135	131	133	197	161	56	64
PBANKA_100330	10	165800	167827	+	2028	203	216	307	343	207	212	243	258	325	352	294	296
PBANKA_100340	10	168517	175305	-	6789	4718	4911	1598	1664	675	674	1360	1416	1453	1477	2055	2107
PBANKA_100350	10	178391	178705	+	315	129	128	173	180	52	42	49	66	82	77	266	261
PBANKA_100360	10	179575	182140	-	2566	2795	2838	1773	1831	2566	2735	3626	3681	1918	1950	691	690
PBANKA_100370	10	184221	185774	+	1554	3912	4118	2771	2979	4505	4680	4850	4938	3673	3768	2070	2135
PBANKA_100380	10	187024	188664	-	1641	125	129	579	562	166	192	197	254	303	322	510	595
PBANKA_100390	10	191209	191742	+	534	23	17	18	20	87	85	7	8	203	221	20	21
PBANKA_100400	10	193135	194950	+	1816	240	232	278	312	49	46	56	57	140	145	265	279
PBANKA_100410	10	195337	197758	-	2422	1271	1258	572	658	556	580	416	440	529	489	741	771
PBANKA_100420	10	199708	200115	+	408	35	32	138	145	16	17	35	37	51	52	127	147
PBANKA_100430	10	200769	204937	+	4169	1252	1305	1045	1062	574	577	825	749	1046	998	492	468
PBANKA_100440	10	204972	206404	-	1433	102	81	194	215	105	105	98	114	226	218	194	192
PBANKA_100450	10	207245	215584	-	8340	1212	1293	939	842	249	198	533	519	331	328	883	873
PBANKA_100460	10	216322	217254	-	933	210	219	182	171	191	172	153	153	134	182	142	149
PBANKA_100470	10	217916	219035	+	1120	136	135	207	221	91	116	103	108	180	166	178	218
PBANKA_100480	10	219382	220473	-	1092	265	292	470	480	227	222	226	230	367	410	425	442
PBANKA_100490	10	222012	223124	+	1113	68	89	882	933	1049	1148	810	798	1012	1001	968	1085
PBANKA_100500	10	224153	224482	-	330	295	298	157	161	82	96	87	97	105	104	174	170
PBANKA_100510	10	226110	227642	+	1533	972	1062	638	753	1217	1250	1113	1207	832	852	525	595
PBANKA_100520	10	229284	232199	+	2916	1033	1040	394	454	248	290	181	216	419	388	216	209
PBANKA_100530	10	233229	238496	-	5268	2572	2780	2387	2464	726	678	947	975	1173	1187	2214	2334
PBANKA_100540	10	240559	245376	+	4818	9347	9685	6602	6807	5970	6148	5646	5778	4728	4852	4739	4865
PBANKA_100550	10	246087	247961	-	1875	942	948	540	500	397	398	328	314	358	389	644	702
PBANKA_100560	10	248927	249442	-	516	370	362	787	882	2177	2084	1955	1962	2038	2037	599	644
PBANKA_100570	10	251986	255207	+	3222	876	859	1922	2066	2905	2959	2166	2193	1980	2071	2672	2548
PBANKA_100580	10	256324	257751	+	1428	487	426	510	506	469	477	518	526	419	425	891	925
PBANKA_100590	10	258489	260150	-	1662	485	484	536	536	282	271	301	335	458	504	751	749
PBANKA_100600	10	261187	263048	-	1862	185	240	399	380	55	23	38	55	86	67	388	391
PBANKA_100610	10	264300	265739	-	1440	2304	2313	1487	1535	614	674	974	971	770	830	1260	1294
PBANKA_100620	10	268810	271809	+	3000	28	18	88	81	48	54	43	39	125	151	33	26
PBANKA_100630	10	272872	276406	-	3535	73	99	60	77	145	141	32	33	359	375	60	46
PBANKA_100640	10	277764	278738	-	975	12	9	5	11	7	5	7	5	24	13	7	4
PBANKA_100650	10	279958	282504	+	2547	186	161	301	305	70	58	54	56	157	129	239	317
PBANKA_100660	10	283064	289570	-	6507	1117	1211	757	825	319	302	395	376	661	708	584	571
PBANKA_100670	10	290413	292151	-	1739	1725	1787	1063	1075	1595	1609	1548	1620	1310	1290	953	996
PBANKA_100680	10	293153	294568	+	1416	991	1029	849	870	2535	2688	2019	2165	1583	1571	683	677
PBANKA_100690	10	295073	298147	-	3075	643	727	479	497	521	524	608	604	755	788	591	628
PBANKA_100700	10	299537	301405	+	1869	69	92	305	331	215	252	175	181	360	351	336	376
PBANKA_100710	10	302147	303525	-	1379	308	329	294	322	131	135	134	144	281	258	315	353
PBANKA_100720	10	304936	308448	-	3513	808	839	856	902	307	310	406	348	391	424	936	984
PBANKA_100730	10	309579	310531	+	953	107	103	246	278	42	37	94	69	72	86	293	308
PBANKA_100740	10	312057	313631	+	1575	3484	3644	1816	1897	2866	3017	3229	3283	2267	2259	1347	1428
PBANKA_100750	10	313899	315986	-	2088	176	201	572	601	837	797	1150	1097	837	869	509	481
PBANKA_100760	10	316957	319082	-	2126	79	76	400	371	111	113	177	152	222	236	385	404
PBANKA_100770	10	322092	325089	-	2998	302	300	1046	1051	194	180	403	367	407	400	859	886
PBANKA_100780	10	327492	328472	+	981	31	36	133	104	35	39	36	49	113	113	150	159
PBANKA_100790	10	329221	329856	-	636	1179	1224	270	335	60	59	434	384	160	161	443	440
PBANKA_100800	10	332186	333515	+	1330	291	295	453	482	229	242	221	238	387	380	505	525
PBANKA_100810	10	333929	336295	-	2367	726	746	1117	1179	296	315	321	332	468	469	1345	1295
PBANKA_100820	10	337514	340853	+	3340	160	152	364	347	113	103	168	160	272	292	213	247
PBANKA_100830	10	341548	342783	-	1236	358	358	324	311	41	43	188	179	72	88	281	278
PBANKA_100840	10	343439	346670	-	3232	280	269	406	421	105	116	84	90	161	177	449	459
PBANKA_100850	10	348051	350810	-	2760	17231	17667	20975	21960	46382	47639	22151	22552	28730	29313	20810	21316
PBANKA_100860	10	354576	359831	+	5256	4666	4785	4246	4411	11182	11601	10066	10303	4238	4421	2526	2519
PBANKA_100870	10	359868	365108	-	5241	4355	4614	2852	2846	2002	2070	2214	2317	2508	2508	1501	1517
PBANKA_100880	10	366719	368479	-	1761	438	474	947	934	224	221	461	497	434	408	1015	969
PBANKA_100890	10	370838	371782	+	945	66	51	202	182	44	37	124	114	81	99	255	282
PBANKA_100900	10	372065	373588	-	1524	48	40	81	107	22	17	30	50	54	45	80	91
PBANKA_100910	10	376577	380366	+	3790	1235	1254	1091	1029	460	490	623	651	776	795	1010	1081
PBANKA_100920	10	383203	388044	+	4842	13805	14202	4992	5276	8611	8986	10385	10641	4323	4472	3234	3306
PBANKA_100930	10	388767	389471	-	705	200	186	1079	1056	562	579	558	560	477	453	1372	1368
PBANKA_100940	10	391169	391741	+	573	39	48	217	197	53	50	84	79	85	96	159	166
PBANKA_100950	10	393980	402868	+	8889	2244	2305	2355	2457	2085	2219	2577	2513	3334	3507	1697	1808
PBANKA_100960	10	403835	405382	-	1548	2463	2506	754	736	203	187	671	696	409	406	706	766
PBANKA_100970	10	407999	409045	+	1047	383	359	342	404	47	54	163	168	111	112	404	439
PBANKA_100980	10	409835	411136	-	1302	36	47	86	94	38	34	45	56	94	98	96	115
PBANKA_100990	10	411967	413389	-	1423	20	24	94	102	53	56	240	254	174	191	121	129
PBANKA_101000	10	414102	414860	-	759	129	148	496	498	76	80	85	72	178	183	495	517
PBANKA_101010	10	416961	417449	+	489	20	13	113	145	39	23	26	27	62	68	101	128
PBANKA_101020	10	418778	420493	-	1716	498	546	1154	1149	2481	2510	1459	1474	1199	1355	1391	1435
PBANKA_101030	10	422021	443812	+	21792	22728	23447	7294	7566	11542	11880	8320	8406	8574	9049	7182	7372
PBANKA_101040	10	445316	446510	+	1195	285	282	329	336	615	641	810	765	539	580	103	121
PBANKA_101050	10	447225	448904	-	1680	604	563	3943	3958	2205	2252	2364	2418	2346	2403	4405	4655
PBANKA_101060	10	451948	452695	+	748	404	371	619	650	305	310	331	316	429	474	519	514
PBANKA_101070	10	453354	454550	-	1197	139	132	153	190	110	96	117	106	244	241	155	169
PBANKA_101080	10	455384	456898	+	1515	217	238	665	637	144	167	241	220	333	364	650	673
PBANKA_101090	10	457959	461609	-	3651	913	915	1416	1425	456	518	691	722	665	675	1108	1111
PBANKA_101100	10	461907	464118	-	2212	996	1056	917	1003	292	282	501	502	487	519	726	720
PBANKA_101110	10	465456	472331	+	6876	8015	8318	4454	4567	1872	1902	2580	2703	3005	3094	2961	3013
PBANKA_101120	10	473702	479252	+	5551	3422	3763	2857	2881	2503	2495	2687	2751	2395	2521	2478	2404
PBANKA_101130	10	479335	479946	-	612	75	90	317	303	118	123	174	157	133	157	269	256
PBANKA_101140	10	483251	488050	+	4800	4023	4296	4198	4270	2314	2356	2508	2604	1882	2016	3558	3662
PBANKA_101150	10	491125	505494	+	14370	15860	16342	27462	28393	16855	17120	15796	16091	17086	17893	21757	22320
PBANKA_101160	10	505911	507668	-	1758	149	182	494	521	215	224	299	343	366	335	302	329
PBANKA_101170	10	509444	512278	+	2835	913	973	798	851	456	502	732	802	514	560	1296	1310
PBANKA_101180	10	512727	516130	-	3404	309	312	765	829	523	560	520	493	757	738	688	643
PBANKA_101190	10	516751	517158	+	408	65	52	138	115	54	88	79	82	133	123	117	122
PBANKA_101200	10	518372	519282	+	911	765	814	444	463	546	605	643	646	521	510	249	242
PBANKA_101210	10	520244	522172	+	1929	1324	1356	1207	1253	560	530	471	565	730	735	1310	1356
PBANKA_101220	10	523728	524829	+	1102	489	511	399	388	286	248	290	294	402	388	402	399
PBANKA_101230	10	526014	529391	+	3378	460	463	1576	1614	1858	1841	1325	1479	1397	1432	2229	2349
PBANKA_101240	10	529490	531100	-	1611	1011	997	1087	1175	1963	1968	1545	1603	1370	1427	1460	1465
PBANKA_101250	10	532295	538946	+	6652	2248	2392	1393	1416	1334	1438	1235	1303	1416	1426	1641	1646
PBANKA_101260	10	540422	545215	+	4794	226	263	259	277	177	170	146	134	295	310	265	268
PBANKA_101270	10	545444	550010	-	4567	202	222	710	779	774	817	495	555	929	980	863	845
PBANKA_101280	10	550766	552692	-	1927	117	118	489	526	128	128	164	190	271	250	497	537
PBANKA_101290	10	554079	555263	+	1185	906	856	892	898	259	293	471	399	453	427	968	1005
PBANKA_101300	10	556210	559419	-	3210	907	929	351	311	174	165	238	246	232	235	367	421
PBANKA_101310	10	560912	561776	-	865	3280	3433	2436	2517	1385	1507	1933	1876	1898	1946	2528	2514
PBANKA_101320	10	563276	564652	-	1377	77	79	236	249	106	98	153	170	190	187	236	232
PBANKA_101330	10	566654	568453	+	1800	720	696	608	602	254	266	403	342	506	429	627	660
PBANKA_101340	10	570330	572898	+	2569	3513	3664	2663	2660	4386	4251	4079	4195	3623	3825	1197	1271
PBANKA_101350	10	572988	575492	-	2505	1158	1152	1831	1920	3138	3133	1741	1793	2856	2933	1891	1878
PBANKA_101360	10	576874	577812	-	939	170	192	200	219	97	102	117	97	123	117	221	259
PBANKA_101370	10	578882	579844	+	963	147	148	238	251	112	138	101	118	283	254	206	202
PBANKA_101380	10	581052	581570	+	519	179	180	387	441	256	299	392	387	443	483	337	340
PBANKA_101390	10	581882	582601	-	720	999	1077	327	349	683	698	653	713	566	609	490	560
PBANKA_101400	10	583559	585574	-	2016	178	201	401	425	498	568	271	241	1211	1189	374	390
PBANKA_101410	10	586303	588681	-	2379	655	676	488	498	160	143	269	287	281	279	432	421
PBANKA_101420	10	589201	590421	-	1221	310	308	119	145	41	45	114	110	38	42	129	136
PBANKA_101430	10	590966	592990	-	2025	546	515	739	774	258	279	254	254	348	315	819	852
PBANKA_101440	10	594259	600537	+	6279	2094	2275	2142	2303	922	919	690	703	936	994	3248	3341
PBANKA_101450	10	601088	603797	-	2710	3258	3232	1699	1809	2690	2777	3601	3813	2521	2513	428	383
PBANKA_101460	10	604912	606390	-	1479	88	128	178	229	150	158	170	142	261	245	211	216
PBANKA_101470	10	607962	609180	+	1219	151	136	279	279	143	148	175	186	222	252	204	226
PBANKA_101480	10	609456	613382	-	3927	1575	1531	657	699	383	389	628	641	536	552	744	797
PBANKA_101490	10	614663	618650	-	3988	943	886	1735	1762	482	520	724	721	956	1002	1675	1648
PBANKA_101500	10	620411	621454	+	1044	441	433	607	632	77	80	208	188	206	198	577	594
PBANKA_101510	10	621671	622225	-	555	42	49	160	178	66	46	67	75	143	142	142	143
