Geneid	Chr	Start	End	Strand	Length	ERR2216044	ERR2216045	ERR2216046	ERR2216047	ERR2216048	ERR2216049	ERR2216050	ERR2216051	ERR2216052	ERR2216053	ERR2216054	ERR2216055	ERR2216056	ERR2216057
PBANKA_010470	1	175067	176620	+	1554	1	0	2	0	115	55	216	156	206	154	52	60	6	6
PBANKA_010480	1	177115	180117	-	3003	8	16	1	0	9	9	53	30	90	57	142	123	983	886
PBANKA_010490	1	183218	185406	+	2189	12	21	3	16	134	44	320	196	322	247	100	85	42	55
PBANKA_010500	1	186476	187292	-	817	225	287	3	5	43	18	126	96	200	166	97	121	4	8
PBANKA_010510	1	188684	189452	-	769	0	2	0	1	0	0	6	5	4	4	6	3	0	0
PBANKA_010520	1	190452	193016	-	2565	5	16	1	0	46	13	218	159	576	451	311	309	174	165
PBANKA_010530	1	195031	200510	-	5480	110	185	5	11	139	50	447	270	614	396	325	242	358	392
PBANKA_010540	1	203081	207619	+	4539	18	39	3	5	155	72	557	493	767	600	417	291	51	84
PBANKA_010550	1	208597	209247	-	651	8	8	2	3	192	80	259	225	275	119	69	68	24	44
PBANKA_010560	1	211648	214449	+	2802	0	3	8	9	215	82	335	195	284	151	118	69	143	93
PBANKA_010570	1	215460	218569	+	3110	2	0	1	0	30	20	177	125	152	107	46	49	12	2
PBANKA_010580	1	219124	220438	-	1315	5	3	3	2	110	26	105	53	95	37	55	23	19	1
PBANKA_010590	1	221536	222934	+	1399	4	0	2	0	115	47	148	112	125	67	49	31	5	4
PBANKA_010600	1	223425	226759	-	3335	288	356	1	0	70	12	261	129	476	213	257	165	32	22
PBANKA_010610	1	227884	229266	+	1383	29	28	0	0	18	7	74	46	84	41	30	22	12	2
PBANKA_010620	1	229639	232397	-	2759	8	3	1	2	16	3	116	92	440	319	210	164	21	15
PBANKA_010630	1	236742	243269	+	6528	53	96	4	3	24	7	214	171	887	643	756	567	105	77
PBANKA_010640	1	244130	245994	-	1865	19	13	0	4	61	21	349	217	345	215	134	101	22	10
PBANKA_010650	1	246857	249220	+	2364	1	1	1	1	49	18	160	65	135	66	68	34	9	11
PBANKA_010660	1	249527	251681	-	2155	5	5	3	0	87	34	171	120	187	109	53	52	24	4
PBANKA_010670	1	252201	255734	+	3534	5	0	10	2	105	42	191	149	180	95	95	76	29	18
PBANKA_010680	1	255883	256743	-	861	4	17	1	0	24	6	37	12	40	22	22	19	1	5
PBANKA_010690	1	257208	260459	+	3252	18	15	5	1	52	12	225	112	236	166	95	74	34	15
PBANKA_010695	1	261048	262412	+	1365	0	1	0	0	48	18	115	95	175	105	62	35	12	15
PBANKA_010700	1	262880	263290	-	411	0	1	1	0	46	15	101	98	146	120	51	57	12	6
PBANKA_010710	1	264343	265295	-	953	1	1	5	4	203	95	360	361	475	329	102	117	14	10
PBANKA_010720	1	267131	268205	+	1075	1	0	0	1	1	1	13	18	32	23	28	20	3	2
PBANKA_010730	1	269623	271338	+	1716	28	43	11	10	493	215	532	453	490	314	134	138	29	9
PBANKA_010740	1	273369	274613	+	1245	179	327	1	4	46	32	142	151	314	212	135	126	42	24
PBANKA_010750	1	275681	278492	+	2812	9	26	0	1	31	23	171	87	201	114	73	55	14	5
PBANKA_010760	1	280540	296862	+	16323	34	49	24	20	484	192	1085	614	1645	899	947	588	474	382
PBANKA_010770	1	297421	299212	-	1792	65	83	12	6	95	47	142	132	120	89	139	149	1112	1548
PBANKA_010780	1	300748	302278	+	1531	23	27	0	0	38	15	97	74	105	47	39	28	23	46
PBANKA_010790	1	303376	305899	+	2524	260	442	3	2	28	19	117	90	281	156	260	188	67	51
PBANKA_010800	1	306323	308131	-	1809	207	299	1	2	41	11	127	67	430	213	467	316	103	65
PBANKA_010810	1	310231	314769	+	4539	162	237	0	0	1	1	45	17	191	151	523	492	90	81
PBANKA_010820	1	316589	321493	+	4905	6	5	3	3	30	9	126	85	436	246	395	315	448	385
PBANKA_010830	1	322516	323742	-	1227	0	3	0	0	0	0	26	25	176	177	244	224	26	17
PBANKA_010840	1	326646	331889	+	5244	0	7	4	5	64	31	281	122	443	261	335	183	74	32
PBANKA_010850	1	332571	333811	+	1241	3	10	0	0	60	16	87	60	101	71	26	38	5	2
PBANKA_010860	1	334074	335856	-	1783	62	118	2	4	74	21	166	139	222	160	106	96	77	62
PBANKA_010870	1	337036	339075	-	2040	13	16	4	2	184	57	393	209	340	199	122	102	584	539
PBANKA_010880	1	342642	343052	+	411	219	347	1	6	130	64	291	268	1031	1164	1020	1174	179	184
PBANKA_010890	1	343565	344138	-	574	2	1	1	0	150	61	78	87	150	160	97	80	9	13
PBANKA_010900	1	345906	346887	+	982	1	13	2	0	61	23	129	132	339	223	179	131	12	16
PBANKA_010910	1	347159	349171	+	2013	41	50	11	12	331	188	950	870	2385	1762	1122	1130	103	113
PBANKA_010920	1	349901	353425	-	3525	8	18	3	7	140	71	444	263	510	297	288	183	953	964
PBANKA_010930	1	355041	356159	-	1119	0	5	0	0	18	5	150	111	244	131	94	80	8	9
PBANKA_010940	1	357667	357933	-	267	1	2	1	0	23	6	85	66	126	112	30	46	2	1
PBANKA_010950	1	358938	360034	+	1097	21	17	6	5	202	84	372	323	325	275	86	104	14	4
PBANKA_010960	1	361253	362393	+	1141	12	22	1	1	149	61	261	286	316	309	142	111	27	34
PBANKA_010970	1	362742	365150	-	2409	69	82	0	5	86	28	190	181	330	210	138	99	248	339
PBANKA_010980	1	372976	374088	-	1113	30	44	0	0	0	0	2	0	2	0	4	4	3	2
PBANKA_010990	1	375468	377321	-	1854	7	1	1	0	0	0	24	26	232	210	323	285	75	66
PBANKA_011000	1	378604	379080	-	477	300	341	8	11	436	165	269	224	333	229	123	128	744	901
PBANKA_011010	1	380430	388759	-	8330	536	1001	5	12	134	35	721	473	1552	976	837	660	132	97
PBANKA_011020	1	391917	392836	+	920	3	8	2	0	42	26	202	136	413	379	170	198	15	14
PBANKA_011030	1	393408	393879	-	472	2	1	0	0	4	1	124	95	397	334	185	211	12	17
PBANKA_011040	1	394826	396532	-	1707	13	14	5	2	134	45	144	129	212	150	111	82	112	94
PBANKA_011050	1	398038	404879	-	6842	138	187	0	3	67	29	190	168	385	251	672	549	112	142
PBANKA_011060	1	406156	406509	+	354	0	0	0	0	9	2	17	9	22	18	24	19	6	2
PBANKA_011070	1	406536	407240	+	705	0	0	0	0	10	4	36	15	41	18	29	24	2	5
PBANKA_011080	1	407585	407944	-	360	0	0	0	0	1	0	5	1	4	8	2	0	0	0
PBANKA_011090	1	408597	409814	-	1218	2	1	8	2	59	16	104	87	77	60	29	34	42	43
PBANKA_011100	1	410771	411775	-	1005	10	13	0	2	8	1	65	36	384	291	887	999	97	117
PBANKA_011110	1	412401	413384	-	984	167	203	2	5	58	25	111	116	117	91	174	143	144	135
PBANKA_011120	1	415503	417536	+	2034	117	191	4	7	233	117	266	210	285	167	345	245	1888	2035
PBANKA_011130.1	1	418471	420300	-	1830	0	2	0	0	21	5	19	17	19	5	4	4	1	0
PBANKA_011130.2	1	418496	420300	-	1805	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PBANKA_011140	1	422420	423186	+	767	134	147	2	3	50	16	123	109	247	233	104	123	38	32
PBANKA_011150	1	424199	424485	+	287	2	2	0	0	16	4	38	29	76	42	27	19	3	4
PBANKA_011160	1	425205	428881	-	3677	0	0	2	1	9	1	32	16	102	72	495	435	104	46
PBANKA_011170	1	430755	431522	+	768	4	12	4	5	78	34	216	174	274	188	106	78	25	11
PBANKA_011180	1	431734	434736	-	3003	129	140	4	2	58	31	207	153	293	180	226	202	76	43
PBANKA_011190	1	439763	441838	+	2076	80	138	1	1	19	8	50	43	66	40	117	100	36	24
PBANKA_011200	1	442241	444187	-	1947	28	41	5	0	78	26	148	107	179	113	94	103	41	21
PBANKA_011210	1	448107	455919	+	7813	27	36	2	5	7	1	137	60	986	682	1536	1073	195	92
PBANKA_011220	1	456330	462206	-	5877	17	6	1	8	5	8	164	202	276	144	3058	3434	1187	889
PBANKA_011230	1	465081	467618	-	2538	34	44	0	3	18	7	71	73	161	115	218	160	39	34
PBANKA_011240	1	468662	471097	-	2436	337	553	6	4	41	28	149	115	150	103	127	115	64	56
PBANKA_011250	1	472354	474611	-	2258	194	267	1	2	12	8	165	116	222	141	254	248	585	643
PBANKA_011260	1	477226	478737	+	1512	0	1	1	0	31	9	125	120	205	136	125	120	1035	1119
PBANKA_100010	10	1703	10034	+	8332	1	0	0	0	1	1	15	10	18	19	126	101	24	27
PBANKA_100020	10	11388	13007	+	1620	0	0	0	0	9	4	99	109	133	92	66	50	231	301
PBANKA_100030	10	14007	15214	-	1208	2	1	0	1	3	0	34	34	48	38	19	29	82	111
PBANKA_100040	10	16615	18149	-	1535	0	0	0	0	0	0	6	4	9	16	11	10	0	2
PBANKA_100050	10	21806	23809	-	2004	0	0	0	0	0	0	38	40	66	41	58	37	896	1130
PBANKA_100060	10	26152	27311	+	1160	6	1	0	3	1	2	10	9	4	6	228	261	4208	6264
PBANKA_100070	10	29820	31514	-	1695	105	152	3	4	113	44	204	209	219	155	71	58	27	19
PBANKA_100080	10	32550	33620	+	1071	12	8	3	2	51	15	93	60	102	54	44	24	9	2
PBANKA_100090	10	34064	35068	-	1005	1	3	0	0	17	5	50	37	71	49	19	16	7	3
PBANKA_100100	10	36287	46655	+	10369	298	390	6	5	152	53	661	514	1110	691	865	626	361	188
PBANKA_100110	10	48054	49214	+	1161	190	297	0	0	32	9	64	71	73	55	37	33	10	6
PBANKA_100120	10	50698	53613	+	2916	24	31	0	0	6	0	23	8	17	13	29	14	1	1
PBANKA_100130	10	54312	56814	-	2503	3	11	0	0	7	1	88	56	626	458	585	467	80	54
PBANKA_100140	10	61838	64660	-	2823	0	3	5	8	140	41	341	275	639	440	344	273	116	127
PBANKA_100150	10	67526	69601	-	2076	20	45	0	2	22	6	83	52	150	107	255	274	72	56
PBANKA_100160	10	74214	77794	+	3581	25	42	2	8	55	38	293	200	414	303	219	195	50	72
PBANKA_100170	10	78383	78941	-	559	87	107	0	0	11	3	31	28	49	57	99	165	21	11
PBANKA_100180	10	79816	90244	-	10429	56	104	1	1	74	33	364	276	453	300	245	159	45	26
PBANKA_100190	10	92176	92735	-	560	10	25	0	0	28	9	184	153	188	148	54	36	9	19
PBANKA_100200	10	93824	97006	-	3183	84	150	15	6	271	132	736	642	803	611	338	284	146	128
PBANKA_100210	10	98651	99709	-	1059	1557	2128	0	0	16	5	82	55	81	45	69	39	2	11
PBANKA_100220	10	101323	102741	-	1419	1031	1264	0	1	0	1	5	9	12	8	10	9	6	2
PBANKA_100230	10	107611	119535	+	11925	28	35	6	0	431	175	2254	1451	1682	804	650	339	146	89
PBANKA_100240	10	119777	122445	-	2669	5	11	1	1	27	11	108	52	224	113	1279	1160	267	152
PBANKA_100250	10	123297	125265	-	1969	216	337	0	0	2	3	8	9	19	24	71	62	21	12
PBANKA_100260	10	126553	127749	-	1197	22	24	0	0	1	0	25	31	86	48	1014	1271	304	224
PBANKA_100270	10	128971	131194	-	2224	115	196	2	5	60	25	78	63	45	34	55	49	752	806
PBANKA_100280	10	132359	137013	-	4655	23	20	0	9	56	29	375	392	636	421	342	310	64	43
PBANKA_100290	10	140328	143075	+	2748	1	2	0	0	2	1	61	70	59	55	86	86	22	24
PBANKA_100300	10	144139	150657	-	6519	4	3	0	2	1309	395	18381	13840	22443	11756	6571	4758	809	408
PBANKA_100310	10	154061	163207	+	9147	33	61	12	20	613	297	1320	1160	1830	1060	1118	795	1122	1289
PBANKA_100320	10	163926	164871	-	946	9	17	1	2	43	37	82	66	94	82	36	44	432	603
PBANKA_100330	10	165800	167827	+	2028	1	6	1	4	40	8	201	165	250	213	124	104	418	467
PBANKA_100340	10	168517	175305	-	6789	293	546	4	2	72	22	625	449	598	339	248	167	60	44
PBANKA_100350	10	178391	178705	+	315	0	0	2	0	28	12	99	89	102	87	19	21	5	2
PBANKA_100360	10	179575	182140	-	2566	10	6	2	2	3	5	16	16	88	79	326	338	49	44
PBANKA_100370	10	184221	185774	+	1554	195	279	2	2	61	38	158	112	312	212	284	227	945	1013
PBANKA_100380	10	187024	188664	-	1641	4	8	8	18	180	102	860	909	1124	637	516	388	112	82
PBANKA_100390	10	191209	191742	+	534	2	1	1	0	7	1	592	446	4727	3760	4632	4539	444	309
PBANKA_100400	10	193135	194950	+	1816	0	0	6	18	78	57	168	242	158	141	51	48	29	4
PBANKA_100410	10	195337	197758	-	2422	0	4	1	0	15	2	167	95	206	141	125	98	22	13
PBANKA_100420	10	199708	200115	+	408	1	0	6	2	24	7	53	50	41	37	24	14	0	5
PBANKA_100430	10	200769	204937	+	4169	3	6	7	0	20	4	92	65	231	153	121	91	56	66
PBANKA_100440	10	204972	206404	-	1433	34	43	11	5	80	27	237	279	286	195	105	86	50	40
PBANKA_100450	10	207245	215584	-	8340	2	3	0	1	10	2	36	34	57	52	61	32	4	5
PBANKA_100460	10	216322	217254	-	933	2	1	0	1	28	8	60	47	78	56	30	21	8	3
PBANKA_100470	10	217916	219035	+	1120	0	0	1	0	39	8	184	145	184	116	68	74	13	4
PBANKA_100480	10	219382	220473	-	1092	5	16	3	0	107	51	274	261	316	238	116	122	90	78
PBANKA_100490	10	222012	223124	+	1113	55	78	1	10	58	17	122	65	100	72	69	67	270	248
PBANKA_100500	10	224153	224482	-	330	10	5	0	0	5	2	34	16	26	18	16	3	24	25
PBANKA_100510	10	226110	227642	+	1533	31	31	2	3	32	15	54	46	59	24	34	26	347	343
PBANKA_100520	10	229284	232199	+	2916	522	827	1	4	14	11	51	52	51	38	36	22	15	4
PBANKA_100530	10	233229	238496	-	5268	55	94	1	2	89	36	369	287	722	415	515	452	62	29
PBANKA_100540	10	240559	245376	+	4818	3	15	2	0	40	27	177	106	397	233	636	465	90	56
PBANKA_100550	10	246087	247961	-	1875	16	20	8	5	145	50	280	246	324	177	121	134	37	44
PBANKA_100560	10	248927	249442	-	516	0	0	0	0	2	0	6	4	10	5	88	98	218	286
PBANKA_100570	10	251986	255207	+	3222	45	88	6	7	44	23	375	217	387	201	188	179	314	261
PBANKA_100580	10	256324	257751	+	1428	5	6	2	0	4	0	54	33	54	27	42	29	16	16
PBANKA_100590	10	258489	260150	-	1662	32	58	0	0	24	15	114	105	138	131	96	82	52	30
PBANKA_100600	10	261187	263048	-	1862	3	3	2	1	53	18	82	51	73	48	30	30	8	3
PBANKA_100610	10	264300	265739	-	1440	208	287	1	9	41	19	157	115	339	216	134	135	17	13
PBANKA_100620	10	268810	271809	+	3000	2326	3292	5	0	9	7	32	30	11	25	27	15	29	0
PBANKA_100630	10	272872	276406	-	3535	5065	7693	3	0	7	0	67	64	73	22	36	28	6	5
PBANKA_100640	10	277764	278738	-	975	4	6	1	0	0	2	3	7	2	7	3	4	1	4
PBANKA_100650	10	279958	282504	+	2547	0	2	2	1	46	7	128	104	88	88	45	41	6	7
PBANKA_100660	10	283064	289570	-	6507	5	4	1	1	35	11	100	95	127	78	75	61	19	7
PBANKA_100670	10	290413	292151	-	1739	126	166	12	7	88	44	149	111	207	149	128	113	683	673
PBANKA_100680	10	293153	294568	+	1416	111	155	6	4	61	24	63	60	68	71	78	103	665	779
PBANKA_100690	10	295073	298147	-	3075	58	57	7	8	115	43	185	122	117	50	49	35	123	154
PBANKA_100700	10	299537	301405	+	1869	123	171	15	4	193	108	383	404	272	164	86	65	263	265
PBANKA_100710	10	302147	303525	-	1379	3	5	2	0	21	5	82	48	129	93	34	32	42	51
PBANKA_100720	10	304936	308448	-	3513	17	29	10	2	83	46	475	426	574	451	212	186	34	47
PBANKA_100730	10	309579	310531	+	953	9	22	1	1	33	16	123	118	169	113	59	49	22	10
PBANKA_100740	10	312057	313631	+	1575	168	247	5	7	74	31	185	78	167	114	191	211	924	1141
PBANKA_100750	10	313899	315986	-	2088	82	91	3	10	31	10	93	44	86	44	125	112	303	277
PBANKA_100760	10	316957	319082	-	2126	73	117	3	1	9	5	79	72	73	49	33	28	2	15
PBANKA_100770	10	322092	325089	-	2998	96	119	9	10	113	69	406	433	573	382	226	183	34	34
PBANKA_100780	10	327492	328472	+	981	2	2	2	0	76	20	156	134	171	131	46	51	7	9
PBANKA_100790	10	329221	329856	-	636	1	1	0	0	1	1	15	14	9	8	3	6	7	0
PBANKA_100800	10	332186	333515	+	1330	256	292	2	2	83	35	147	158	141	90	67	60	108	126
PBANKA_100810	10	333929	336295	-	2367	51	79	4	1	43	33	143	70	132	77	41	39	19	29
PBANKA_100820	10	337514	340853	+	3340	1	2	2	8	88	26	269	255	357	250	155	122	8	19
PBANKA_100830	10	341548	342783	-	1236	15	37	1	1	50	28	97	106	80	55	22	20	11	8
PBANKA_100840	10	343439	346670	-	3232	0	1	5	1	62	14	127	82	124	64	38	29	5	4
PBANKA_100850	10	348051	350810	-	2760	16	8	11	20	117	48	114	109	138	157	2613	2873	8698	9609
PBANKA_100860	10	354576	359831	+	5256	61	74	0	1	6	4	38	14	178	99	1296	1015	444	283
PBANKA_100870	10	359868	365108	-	5241	217	339	1	2	31	6	142	76	234	186	182	132	39	28
PBANKA_100880	10	366719	368479	-	1761	36	43	3	10	295	85	238	293	493	397	194	189	53	38
PBANKA_100890	10	370838	371782	+	945	30	46	1	0	16	13	102	60	67	67	27	17	9	2
PBANKA_100900	10	372065	373588	-	1524	4	4	1	1	58	17	50	32	58	33	24	9	1	1
PBANKA_100910	10	376577	380366	+	3790	0	3	7	14	166	61	513	479	504	362	223	193	27	22
PBANKA_100920	10	383203	388044	+	4842	1	8	2	1	36	23	294	175	315	139	810	711	290	215
PBANKA_100930	10	388767	389471	-	705	7	2	4	2	79	18	201	128	372	319	127	125	84	75
PBANKA_100940	10	391169	391741	+	573	1	1	1	0	39	10	96	66	140	80	42	30	19	28
PBANKA_100950	10	393980	402868	+	8889	27	53	15	10	430	230	892	769	851	435	633	620	123	68
PBANKA_100960	10	403835	405382	-	1548	12	17	0	2	1	1	16	23	24	18	8	20	15	2
PBANKA_100970	10	407999	409045	+	1047	28	34	3	0	18	11	53	68	74	57	17	15	4	0
PBANKA_100980	10	409835	411136	-	1302	16	14	1	2	87	25	109	93	79	52	28	17	4	7
PBANKA_100990	10	411967	413389	-	1423	0	4	0	1	4	1	36	41	33	22	31	17	4	0
PBANKA_101000	10	414102	414860	-	759	218	251	17	21	636	344	452	528	339	285	76	60	14	25
PBANKA_101010	10	416961	417449	+	489	65	73	2	3	64	23	91	111	96	48	38	33	13	2
PBANKA_101020	10	418778	420493	-	1716	176	216	7	4	125	53	240	213	213	115	72	46	652	664
PBANKA_101030	10	422021	443812	+	21792	307	404	16	15	820	318	1318	794	1187	678	757	571	3157	2821
PBANKA_101040	10	445316	446510	+	1195	517	769	1	0	1	0	3	8	45	30	277	302	55	47
PBANKA_101050	10	447225	448904	-	1680	259	369	21	15	649	332	817	604	817	515	243	228	609	649
PBANKA_101060	10	451948	452695	+	748	24	39	5	6	296	117	643	632	1341	1224	484	601	64	63
PBANKA_101070	10	453354	454550	-	1197	1	0	2	0	50	4	56	23	43	16	18	10	35	34
PBANKA_101080	10	455384	456898	+	1515	3	10	9	6	185	86	191	241	178	153	52	40	69	68
PBANKA_101090	10	457959	461609	-	3651	27	83	0	0	5	1	31	25	62	30	30	17	15	3
PBANKA_101100	10	461907	464118	-	2212	3	5	1	0	12	3	51	23	83	50	48	32	16	5
PBANKA_101110	10	465456	472331	+	6876	43	63	1	3	48	26	335	241	597	361	345	194	48	14
PBANKA_101120	10	473702	479252	+	5551	39	57	2	1	39	14	127	89	135	91	153	102	36	31
PBANKA_101130	10	479335	479946	-	612	8	7	0	2	56	22	103	81	154	87	41	31	6	6
PBANKA_101140	10	483251	488050	+	4800	15	14	2	1	81	32	234	198	249	184	213	184	139	145
PBANKA_101150	10	491125	505494	+	14370	107	130	7	14	176	52	1264	670	2206	1288	1813	1147	1048	754
PBANKA_101160	10	505911	507668	-	1758	10	11	4	0	53	21	127	134	176	108	118	83	22	17
PBANKA_101170	10	509444	512278	+	2835	0	0	0	1	8	3	52	43	50	36	40	37	6	4
PBANKA_101180	10	512727	516130	-	3404	9	12	5	0	36	9	139	96	202	131	86	65	94	95
PBANKA_101190	10	516751	517158	+	408	0	0	0	3	22	10	41	57	73	49	25	20	40	46
PBANKA_101200	10	518372	519282	+	911	10	12	0	0	10	2	33	17	70	50	176	113	35	11
PBANKA_101210	10	520244	522172	+	1929	251	487	3	8	56	21	254	154	256	188	132	75	78	75
PBANKA_101220	10	523728	524829	+	1102	16	26	0	3	54	31	81	74	84	45	29	29	4	7
PBANKA_101230	10	526014	529391	+	3378	103	143	8	8	76	36	281	142	229	117	140	98	56	52
PBANKA_101240	10	529490	531100	-	1611	13	28	7	5	27	13	79	64	76	41	101	96	403	587
PBANKA_101250	10	532295	538946	+	6652	48	45	3	3	29	7	80	74	66	62	112	103	104	71
PBANKA_101260	10	540422	545215	+	4794	115	213	3	2	26	9	121	71	147	77	52	42	7	7
PBANKA_101270	10	545444	550010	-	4567	73	121	1	6	21	3	68	32	64	42	57	38	24	8
PBANKA_101280	10	550766	552692	-	1927	39	51	3	9	202	75	305	242	375	261	128	80	33	28
PBANKA_101290	10	554079	555263	+	1185	22	25	6	4	43	16	121	62	197	146	66	40	25	19
PBANKA_101300	10	556210	559419	-	3210	10	11	0	0	5	1	62	39	122	82	68	43	13	10
PBANKA_101310	10	560912	561776	-	865	7	14	41	35	1332	526	694	596	740	539	240	272	1017	1212
PBANKA_101320	10	563276	564652	-	1377	211	364	6	10	181	67	368	232	511	278	184	150	18	14
PBANKA_101330	10	566654	568453	+	1800	116	186	3	1	18	6	124	78	119	100	71	52	13	10
PBANKA_101340	10	570330	572898	+	2569	12	11	2	0	26	7	70	35	107	73	240	169	98	85
PBANKA_101350	10	572988	575492	-	2505	48	56	11	9	101	69	278	177	254	136	196	158	464	358
PBANKA_101360	10	576874	577812	-	939	1	0	3	0	0	2	49	42	73	33	38	38	7	2
PBANKA_101370	10	578882	579844	+	963	8	5	1	0	63	19	128	95	124	96	74	54	14	14
PBANKA_101380	10	581052	581570	+	519	96	117	6	5	97	34	240	196	342	240	154	170	23	28
PBANKA_101390	10	581882	582601	-	720	0	0	0	0	1	1	13	6	42	22	67	59	10	7
PBANKA_101400	10	583559	585574	-	2016	5	8	1	6	147	66	979	999	1303	827	451	399	39	42
PBANKA_101410	10	586303	588681	-	2379	1	3	1	1	15	7	83	62	108	67	37	30	7	5
PBANKA_101420	10	589201	590421	-	1221	0	1	0	0	3	2	6	4	8	5	5	0	0	3
PBANKA_101430	10	590966	592990	-	2025	1	1	4	2	52	25	138	98	152	83	57	36	8	6
PBANKA_101440	10	594259	600537	+	6279	0	0	3	8	127	52	472	405	364	236	129	108	37	16
PBANKA_101450	10	601088	603797	-	2710	2	4	0	0	0	0	39	26	98	74	401	367	81	54
PBANKA_101460	10	604912	606390	-	1479	3	6	1	1	28	4	103	50	127	83	75	58	12	14
PBANKA_101470	10	607962	609180	+	1219	8	13	5	1	17	4	92	88	184	128	82	76	2	3
