Geneid	Chr	Start	End	Strand	Length	SRR935544	SRR935549	SRR935553	SRR935554	SRR935555	SRR935557	SRR935558	SRR935559	SRR935560
PBANKA_010460	1	166878	172475	-	5598	468	419	2328	6669	1325	3703	1604	4698	1289
PBANKA_010470	1	175067	176620	+	1554	260	92	610	428	539	605	1750	485	296
PBANKA_010480	1	177115	180117	-	3003	1309	1085	391	1207	635	1522	614	638	352
PBANKA_010490	1	183218	185406	+	2189	4447	1869	1813	6208	424	1678	1432	1982	1381
PBANKA_010500	1	186476	187292	-	817	292	98	194	309	221	328	627	233	1236
PBANKA_010510	1	188684	189452	-	769	311	110	39	53	92	77	9378	4696	172
PBANKA_010520	1	190452	193016	-	2565	1235	721	646	1355	416	1090	348	236	329
PBANKA_010530	1	195031	200510	-	5480	1251	1696	1428	4102	483	1918	638	1691	1930
PBANKA_010540	1	203081	207619	+	4539	2010	582	2239	5541	1210	4900	1165	1006	1253
PBANKA_010550	1	208597	209247	-	651	689	254	544	1037	89	327	303	117	1600
PBANKA_010560	1	211648	214449	+	2802	5598	8775	3611	16488	631	3325	641	3182	1580
PBANKA_010570	1	215460	218569	+	3110	62	21	82	100	56	64	796	345	828
PBANKA_010580	1	219124	220438	-	1315	186	65	250	399	254	603	1046	595	403
PBANKA_010590	1	221536	222934	+	1399	165	37	149	264	245	511	820	394	142
PBANKA_010600	1	223425	226759	-	3335	449	117	493	987	689	1548	1246	536	1398
PBANKA_010610	1	227884	229266	+	1383	156	44	234	531	128	304	541	300	472
PBANKA_010620	1	229639	232397	-	2759	269	104	116	213	215	484	1975	1165	216
PBANKA_010630	1	236742	243269	+	6528	1440	1689	237	194	4745	12412	16185	47418	390
PBANKA_010640	1	244130	245994	-	1865	413	139	218	798	222	497	196	272	1073
PBANKA_010650	1	246857	249220	+	2364	777	394	951	3006	164	598	189	296	2674
PBANKA_010660	1	249527	251681	-	2155	405	129	660	1283	163	453	260	139	1426
PBANKA_010670	1	252201	255734	+	3534	668	444	1495	5388	489	2121	515	879	1848
PBANKA_010680	1	255883	256743	-	861	169	51	223	443	112	262	591	237	822
PBANKA_010690	1	257208	260459	+	3252	877	300	754	2440	531	1457	1316	1119	1321
PBANKA_010695	1	261048	262412	+	1365	366	97	235	537	146	364	311	110	227
PBANKA_010700	1	262880	263290	-	411	159	31	198	244	192	463	738	209	503
PBANKA_010710	1	264343	265295	-	953	752	74	1520	2597	310	1087	712	263	253
PBANKA_010720	1	267131	268205	+	1075	211	57	40	132	65	189	1986	856	1561
PBANKA_010730	1	269623	271338	+	1716	1845	347	2940	6495	355	1303	721	429	458
PBANKA_010740	1	273369	274613	+	1245	283	70	778	1622	298	1110	606	455	233
PBANKA_010750	1	275681	278492	+	2812	269	130	317	600	225	570	510	333	662
PBANKA_010760	1	280540	296862	+	16323	1301	2239	2059	5332	2065	9222	664	1723	662
PBANKA_010770	1	297421	299212	-	1792	1759	739	639	1557	138	228	1445	608	4572
PBANKA_010780	1	300748	302278	+	1531	145	56	59	103	55	70	598	241	1330
PBANKA_010790	1	303376	305899	+	2524	837	360	287	845	1002	2744	1196	1186	2381
PBANKA_010800	1	306323	308131	-	1809	357	147	228	577	356	893	488	267	702
PBANKA_010810	1	310231	314769	+	4539	138	51	72	114	150	263	893	543	219
PBANKA_010820	1	316589	321493	+	4905	1616	1607	776	2440	1335	3542	882	1300	1187
PBANKA_010830	1	322516	323742	-	1227	363	73	26	34	1125	2337	5478	2725	295
PBANKA_010840	1	326646	331889	+	5244	905	274	956	3065	1153	3986	1438	1875	731
PBANKA_010850	1	332571	333811	+	1241	721	336	342	1262	87	327	222	168	526
PBANKA_010860	1	334074	335856	-	1783	2127	1080	1212	3898	492	1755	563	780	2383
PBANKA_010870	1	337036	339075	-	2040	2319	2953	2096	8967	571	2881	2422	7520	4845
PBANKA_010880	1	342642	343052	+	411	547	103	184	129	2650	4036	3393	1023	1176
PBANKA_010890	1	343565	344138	-	574	319	71	407	653	106	130	91	44	77
PBANKA_010900	1	345906	346887	+	982	321	73	341	792	67	268	143	63	830
PBANKA_010910	1	347159	349171	+	2013	1849	424	3300	7589	649	2478	1023	717	7205
PBANKA_010920	1	349901	353425	-	3525	960	1772	1175	4293	797	2771	335	1657	811
PBANKA_010930	1	355041	356159	-	1119	374	104	124	329	591	1149	702	358	166
PBANKA_010940	1	357667	357933	-	267	45	7	143	168	88	194	94	33	37
PBANKA_010950	1	358938	360034	+	1097	412	42	610	1334	219	606	614	313	497
PBANKA_010960	1	361253	362393	+	1141	361	81	598	1107	394	1184	813	462	512
PBANKA_010970	1	362742	365150	-	2409	931	619	672	1491	419	1219	1437	1275	888
PBANKA_010980	1	372976	374088	-	1113	302	142	14	18	131	125	7777	5541	133
PBANKA_010990	1	375468	377321	-	1854	1288	544	63	135	1983	4112	16581	14658	858
PBANKA_011000	1	378604	379080	-	477	5264	2301	1534	3166	414	1335	861	360	5411
PBANKA_011010	1	380430	388759	-	8330	775	1117	689	1815	969	3566	1985	3312	667
PBANKA_011020	1	391917	392836	+	920	547	183	251	503	334	546	754	296	916
PBANKA_011030	1	393408	393879	-	472	154	43	14	33	183	461	50	13	139
PBANKA_011040	1	394826	396532	-	1707	1817	785	918	1838	225	505	726	405	1852
PBANKA_011050	1	398038	404879	-	6842	803	1376	766	2603	4397	18021	2949	21545	995
PBANKA_011060	1	406156	406509	+	354	46	3	27	71	108	199	159	94	83
PBANKA_011070	1	406536	407240	+	705	89	12	46	93	186	271	1444	531	135
PBANKA_011080	1	407585	407944	-	360	385	94	17	66	111	91	9999	3524	1101
PBANKA_011090	1	408597	409814	-	1218	298	194	208	617	46	122	1568	939	976
PBANKA_011100	1	410771	411775	-	1005	305	132	76	127	1708	2189	153	93	612
PBANKA_011110	1	412401	413384	-	984	254	128	144	371	147	305	148	103	1532
PBANKA_011120	1	415503	417536	+	2034	2389	1815	764	2467	322	671	1129	995	4989
PBANKA_011130.1	1	418471	420300	-	1830	3	0	16	41	12	5	10	4	6
PBANKA_011130.2	1	418496	420300	-	1805	0	0	0	0	0	0	0	0	0
PBANKA_011140	1	422420	423186	+	767	466	123	226	397	319	498	1121	401	2051
PBANKA_011150	1	424199	424485	+	287	150	29	69	167	77	192	386	115	213
PBANKA_011160	1	425205	428881	-	3677	508	141	92	149	2881	5650	489	420	1815
PBANKA_011170	1	430755	431522	+	768	248	70	261	456	286	639	1358	779	394
PBANKA_011180	1	431734	434736	-	3003	801	377	535	1391	352	918	656	580	1149
PBANKA_011190	1	439763	441838	+	2076	443	162	250	616	992	1723	635	609	2873
PBANKA_011200	1	442241	444187	-	1947	936	426	437	1074	346	908	449	360	8910
PBANKA_011210	1	448107	455919	+	7813	1352	1278	156	211	9771	44729	807	3099	219
PBANKA_011220	1	456330	462206	-	5877	342	648	103	131	3012	6975	103	659	217
PBANKA_011230	1	465081	467618	-	2538	221	133	217	599	1121	2635	287	602	267
PBANKA_011240	1	468662	471097	-	2436	721	514	328	753	270	482	335	308	1548
PBANKA_011250	1	472354	474611	-	2258	855	598	324	982	336	500	299	269	872
PBANKA_011260	1	477226	478737	+	1512	2111	1345	1231	3404	353	1436	185	169	97
PBANKA_100010	10	1703	10034	+	8332	93	113	233	334	154	369	40	93	101
PBANKA_100020	10	11388	13007	+	1620	1600	1490	355	650	251	536	207	123	402
PBANKA_100030	10	14007	15214	-	1208	632	295	569	1475	172	470	545	220	152
PBANKA_100040	10	16615	18149	-	1535	95	41	74	136	12	15	119	37	24
PBANKA_100050	10	21806	23809	-	2004	1283	834	615	1227	174	457	411	244	263
PBANKA_100060	10	26152	27311	+	1160	3112	1344	2140	4378	259	704	947	476	714
PBANKA_100070	10	29820	31514	-	1695	492	326	572	1369	135	459	258	319	358
PBANKA_100080	10	32550	33620	+	1071	774	539	676	3134	174	658	184	372	234
PBANKA_100090	10	34064	35068	-	1005	106	43	117	228	55	108	182	67	385
PBANKA_100100	10	36287	46655	+	10369	939	1865	1891	4107	3230	8968	429	1200	960
PBANKA_100110	10	48054	49214	+	1161	92	29	351	600	162	340	383	272	114
PBANKA_100120	10	50698	53613	+	2916	78	17	99	115	75	156	259	238	23
PBANKA_100130	10	54312	56814	-	2503	390	72	204	300	556	2175	698	374	70
PBANKA_100140	10	61838	64660	-	2823	1809	963	1049	2503	773	2059	2479	2988	553
PBANKA_100150	10	67526	69601	-	2076	502	315	123	324	865	2551	778	676	1440
PBANKA_100160	10	74214	77794	+	3581	303	218	694	1616	769	2037	900	1489	409
PBANKA_100170	10	78383	78941	-	559	47	8	22	16	274	284	70	69	114
PBANKA_100180	10	79816	90244	-	10429	173	184	481	963	279	1097	115	242	177
PBANKA_100190	10	92176	92735	-	560	200	71	154	336	46	152	41	28	181
PBANKA_100200	10	93824	97006	-	3183	3590	3461	1776	9553	576	4035	1898	3783	2504
PBANKA_100210	10	98651	99709	-	1059	224	88	9	20	191	554	4434	3865	730
PBANKA_100220	10	101323	102741	-	1419	1	1	6	0	5	5	10	7	957
PBANKA_100230	10	107611	119535	+	11925	51	38	96	40	283	482	176	383	163
PBANKA_100240	10	119777	122445	-	2669	554	231	36	27	3301	6135	311	437	462
PBANKA_100250	10	123297	125265	-	1969	113	59	27	8	169	243	1446	1373	204
PBANKA_100260	10	126553	127749	-	1197	387	187	27	15	1951	2043	362	291	328
PBANKA_100270	10	128971	131194	-	2224	775	413	170	476	114	283	163	121	2175
PBANKA_100280	10	132359	137013	-	4655	1546	912	889	2221	784	2359	772	896	733
PBANKA_100290	10	140328	143075	+	2748	104	43	63	110	350	581	105	77	125
PBANKA_100300	10	144139	150657	-	6519	158	66	244	616	82	293	11	27	40
PBANKA_100310	10	154061	163207	+	9147	4297	3645	4637	9386	1810	5473	1391	1632	1346
PBANKA_100320	10	163926	164871	-	946	300	127	152	270	96	229	272	110	1685
PBANKA_100330	10	165800	167827	+	2028	665	397	402	665	332	715	1137	373	1178
PBANKA_100340	10	168517	175305	-	6789	366	310	198	335	607	1591	3261	8706	261
PBANKA_100350	10	178391	178705	+	315	203	60	195	506	50	152	643	285	77
PBANKA_100360	10	179575	182140	-	2566	561	333	124	264	2716	6405	540	478	801
PBANKA_100370	10	184221	185774	+	1554	2220	1200	636	1741	1534	3062	2023	1166	9698
PBANKA_100380	10	187024	188664	-	1641	2198	586	1652	4230	270	954	1644	909	285
PBANKA_100390	10	191209	191742	+	534	28	15	16	37	19	63	34	41	19
PBANKA_100400	10	193135	194950	+	1816	1327	418	686	1196	64	138	286	137	146
PBANKA_100410	10	195337	197758	-	2422	194	49	138	318	249	583	574	568	789
PBANKA_100420	10	199708	200115	+	408	140	16	181	317	42	56	121	65	125
PBANKA_100430	10	200769	204937	+	4169	661	132	343	604	733	2052	1105	629	370
PBANKA_100440	10	204972	206404	-	1433	346	832	444	675	302	528	615	339	160
PBANKA_100450	10	207245	215584	-	8340	103	164	114	213	231	389	693	3225	208
PBANKA_100460	10	216322	217254	-	933	298	165	99	238	218	505	363	151	327
PBANKA_100470	10	217916	219035	+	1120	158	78	156	302	168	313	182	127	77
PBANKA_100480	10	219382	220473	-	1092	416	134	444	954	277	666	475	210	1115
PBANKA_100490	10	222012	223124	+	1113	1331	741	544	2119	216	739	794	594	5687
PBANKA_100500	10	224153	224482	-	330	174	79	69	280	46	84	205	153	1424
PBANKA_100510	10	226110	227642	+	1533	1203	535	327	793	91	187	408	182	1521
PBANKA_100520	10	229284	232199	+	2916	35	9	125	255	75	261	70	45	40
PBANKA_100530	10	233229	238496	-	5268	1110	335	1776	6806	804	2867	1825	1958	353
PBANKA_100540	10	240559	245376	+	4818	427	272	710	1411	3086	7451	372	1135	128
PBANKA_100550	10	246087	247961	-	1875	225	62	462	995	261	788	132	212	116
PBANKA_100560	10	248927	249442	-	516	223	73	44	84	189	140	2129	813	147
PBANKA_100570	10	251986	255207	+	3222	673	981	543	1690	540	1784	418	910	708
PBANKA_100580	10	256324	257751	+	1428	308	289	104	465	171	506	1091	1820	570
PBANKA_100590	10	258489	260150	-	1662	1315	524	388	1222	329	890	312	146	923
PBANKA_100600	10	261187	263048	-	1862	209	43	371	940	62	112	32	44	88
PBANKA_100610	10	264300	265739	-	1440	750	190	283	696	923	3655	2479	1686	2078
PBANKA_100620	10	268810	271809	+	3000	68	19	22	6	31	33	778	373	20244
PBANKA_100630	10	272872	276406	-	3535	40	16	36	9	37	64	418	233	892
PBANKA_100640	10	277764	278738	-	975	10	1	14	6	1	3	74	25	31700
PBANKA_100650	10	279958	282504	+	2547	205	84	242	425	70	125	112	59	2475
PBANKA_100660	10	283064	289570	-	6507	250	186	508	997	347	1069	329	398	176
PBANKA_100670	10	290413	292151	-	1739	1127	590	549	1323	367	794	624	288	3390
PBANKA_100680	10	293153	294568	+	1416	883	722	315	649	146	326	215	175	4010
PBANKA_100690	10	295073	298147	-	3075	1109	589	612	1600	88	209	300	338	441
PBANKA_100700	10	299537	301405	+	1869	1136	599	703	1659	74	215	254	158	1099
PBANKA_100710	10	302147	303525	-	1379	744	341	433	744	287	694	180	95	214
PBANKA_100720	10	304936	308448	-	3513	489	207	805	1772	531	1703	1204	1428	303
PBANKA_100730	10	309579	310531	+	953	249	38	402	892	150	353	1095	424	164
PBANKA_100740	10	312057	313631	+	1575	2593	1342	677	2514	853	1833	901	642	2999
PBANKA_100750	10	313899	315986	-	2088	660	333	551	860	535	585	1187	523	1201
PBANKA_100760	10	316957	319082	-	2126	1291	430	453	1322	160	423	1131	661	305
PBANKA_100770	10	322092	325089	-	2998	1659	756	1201	2805	509	1897	1666	1079	590
PBANKA_100780	10	327492	328472	+	981	350	146	262	677	57	274	228	136	296
PBANKA_100790	10	329221	329856	-	636	477	167	47	128	126	133	10006	6040	1014
PBANKA_100800	10	332186	333515	+	1330	621	267	482	1006	78	182	588	247	2267
PBANKA_100810	10	333929	336295	-	2367	733	279	810	2756	240	919	539	421	1470
PBANKA_100820	10	337514	340853	+	3340	454	72	844	1447	460	1479	320	170	211
PBANKA_100830	10	341548	342783	-	1236	224	86	196	451	70	119	4013	2364	74
PBANKA_100840	10	343439	346670	-	3232	253	60	576	1597	120	281	121	146	88
PBANKA_100850	10	348051	350810	-	2760	12645	11360	4307	18247	3192	7938	1775	2339	1565
PBANKA_100860	10	354576	359831	+	5256	406	659	193	321	3465	6553	719	703	441
PBANKA_100870	10	359868	365108	-	5241	726	298	367	859	1358	4428	1296	1652	334
PBANKA_100880	10	366719	368479	-	1761	3148	948	1636	4424	736	2017	3210	2034	424
PBANKA_100890	10	370838	371782	+	945	186	50	174	422	69	109	1782	789	177
PBANKA_100900	10	372065	373588	-	1524	232	41	240	697	34	75	837	488	113
PBANKA_100910	10	376577	380366	+	3790	2450	360	1573	3524	704	1489	3993	2281	949
PBANKA_100920	10	383203	388044	+	4842	444	652	116	115	2029	4887	6905	19814	150
PBANKA_100930	10	388767	389471	-	705	1803	666	1022	2898	508	2046	764	560	697
PBANKA_100940	10	391169	391741	+	573	420	154	367	754	135	440	232	142	170
PBANKA_100950	10	393980	402868	+	8889	1816	1307	1151	2682	2043	4287	6583	8069	713
PBANKA_100960	10	403835	405382	-	1548	942	405	64	117	263	287	16652	14071	1084
PBANKA_100970	10	407999	409045	+	1047	87	30	218	570	84	242	795	289	95
PBANKA_100980	10	409835	411136	-	1302	88	36	322	609	92	129	658	375	154
PBANKA_100990	10	411967	413389	-	1423	386	190	87	133	145	111	14093	6403	1330
PBANKA_101000	10	414102	414860	-	759	1467	340	1802	3138	109	295	369	184	872
PBANKA_101010	10	416961	417449	+	489	408	105	163	625	33	102	151	96	579
PBANKA_101020	10	418778	420493	-	1716	2196	1350	1343	4789	163	630	623	746	5609
PBANKA_101030	10	422021	443812	+	21792	1426	5503	2434	7335	625	2151	709	5511	859
PBANKA_101040	10	445316	446510	+	1195	209	84	50	51	854	1293	233	114	890
PBANKA_101050	10	447225	448904	-	1680	4958	3373	4909	12909	901	2808	1176	1756	4484
PBANKA_101060	10	451948	452695	+	748	2506	544	1274	2524	1462	4057	1830	789	1191
PBANKA_101070	10	453354	454550	-	1197	586	403	152	400	26	97	434	232	293
PBANKA_101080	10	455384	456898	+	1515	1979	783	1221	2340	190	385	366	215	340
PBANKA_101090	10	457959	461609	-	3651	102	52	180	300	168	466	649	975	541
PBANKA_101100	10	461907	464118	-	2212	64	23	82	143	108	244	461	493	479
PBANKA_101110	10	465456	472331	+	6876	580	204	505	889	946	3114	2334	2368	366
PBANKA_101120	10	473702	479252	+	5551	349	134	369	1174	587	1387	1063	1069	1746
PBANKA_101130	10	479335	479946	-	612	223	87	247	521	180	317	353	255	463
PBANKA_101140	10	483251	488050	+	4800	771	319	1658	3600	1574	4507	3458	3347	519
PBANKA_101150	10	491125	505494	+	14370	1732	2594	6053	15462	7739	24316	1288	5092	1052
PBANKA_101160	10	505911	507668	-	1758	180	71	244	383	283	648	1469	679	455
PBANKA_101170	10	509444	512278	+	2835	239	132	229	512	216	492	1153	2022	165
PBANKA_101180	10	512727	516130	-	3404	1361	492	585	1148	505	1268	786	331	1565
PBANKA_101190	10	516751	517158	+	408	357	121	191	362	68	179	171	59	178
PBANKA_101200	10	518372	519282	+	911	312	89	73	133	500	988	367	150	820
PBANKA_101210	10	520244	522172	+	1929	1634	934	447	1329	429	1273	663	425	5007
PBANKA_101220	10	523728	524829	+	1102	102	33	295	443	86	194	794	321	250
PBANKA_101230	10	526014	529391	+	3378	485	268	848	2820	552	1749	604	1334	396
PBANKA_101240	10	529490	531100	-	1611	727	578	434	1233	379	778	917	957	669
PBANKA_101250	10	532295	538946	+	6652	424	477	488	1003	230	448	1800	1507	1605
PBANKA_101260	10	540422	545215	+	4794	93	39	229	478	159	417	505	542	1078
PBANKA_101270	10	545444	550010	-	4567	337	104	179	402	275	592	2153	2432	5684
PBANKA_101280	10	550766	552692	-	1927	1136	333	901	1300	272	529	541	192	721
PBANKA_101290	10	554079	555263	+	1185	684	212	369	953	264	969	274	141	835
PBANKA_101300	10	556210	559419	-	3210	667	164	249	359	316	465	2690	1175	378
PBANKA_101310	10	560912	561776	-	865	7705	3021	2548	4829	401	1101	1769	669	4643
PBANKA_101320	10	563276	564652	-	1377	342	122	407	806	331	1072	1809	1345	1183
PBANKA_101330	10	566654	568453	+	1800	179	93	196	421	171	581	690	694	381
PBANKA_101340	10	570330	572898	+	2569	842	241	208	445	1709	4529	687	729	1221
PBANKA_101350	10	572988	575492	-	2505	2731	1521	980	3716	1025	1703	854	806	8729
PBANKA_101360	10	576874	577812	-	939	126	26	158	362	66	198	765	229	96
PBANKA_101370	10	578882	579844	+	963	220	27	259	433	97	186	632	225	198
PBANKA_101380	10	581052	581570	+	519	284	57	412	694	400	971	1922	1085	585
PBANKA_101390	10	581882	582601	-	720	257	43	22	31	225	279	2654	831	600
PBANKA_101400	10	583559	585574	-	2016	193	49	444	886	264	671	188	119	273
PBANKA_101410	10	586303	588681	-	2379	128	34	166	259	136	323	468	326	296
PBANKA_101420	10	589201	590421	-	1221	46	21	62	63	47	64	250	201	103
PBANKA_101430	10	590966	592990	-	2025	731	223	670	1707	275	731	685	324	678
PBANKA_101440	10	594259	600537	+	6279	341	310	1539	4514	285	955	378	1358	176
PBANKA_101450	10	601088	603797	-	2710	312	148	65	46	2430	3852	1071	795	870
PBANKA_101460	10	604912	606390	-	1479	209	33	321	549	344	606	336	158	277
PBANKA_101470	10	607962	609180	+	1219	148	21	128	159	223	494	141	60	254
PBANKA_101480	10	609456	613382	-	3927	288	158	277	412	419	943	2310	4488	378
PBANKA_101490	10	614663	618650	-	3988	1508	529	1458	3335	882	2866	1766	1044	503
PBANKA_101500	10	620411	621454	+	1044	387	87	492	1069	152	387	1424	972	353
PBANKA_101510	10	621671	622225	-	555	117	17	297	643	87	236	455	286	291
PBANKA_101520	10	623476	625452	-	1977	749	410	292	742	186	607	289	168	15660
PBANKA_101530	10	625928	632848	-	6921	270	145	971	2407	693	2418	578	1234	2709
PBANKA_101540	10	634039	636881	+	2843	573	160	158	210	1099	794	8360	3520	1294
PBANKA_101550	10	638369	640714	+	2346	198	68	150	279	326	636	801	907	771
PBANKA_101560	10	641595	643247	-	1653	516	180	489	1606	378	1589	98	158	207
PBANKA_101570	10	644488	645105	+	618	345	121	98	249	37	136	160	88	138
PBANKA_101580	10	646681	649758	+	3078	284	175	410	856	635	2362	282	471	639
PBANKA_101590	10	649821	650996	-	1176	232	91	280	665	464	1219	498	300	1650
PBANKA_101600	10	652072	652869	+	798	445	100	273	495	595	1003	2072	1196	1314
PBANKA_101610	10	653253	655000	-	1748	336	61	291	501	285	864	286	125	153
PBANKA_101620	10	655411	661711	-	6301	352	198	445	745	820	1828	939	1628	422
PBANKA_101630	10	664748	666076	+	1329	2392	1185	2030	3656	743	1363	791	532	1250
PBANKA_101640	10	666415	668505	-	2091	523	184	403	803	874	1932	783	670	915
PBANKA_101650	10	670140	671921	+	1782	1039	606	441	1255	817	2370	1118	858	706
PBANKA_101660	10	672186	674057	-	1872	195	63	408	641	248	510	698	211	235
PBANKA_101670	10	675797	676636	-	840	6608	984	5135	15597	3610	16129	9025	4903	1286
PBANKA_101680	10	679806	680546	+	741	314	176	249	597	61	141	139	45	67
PBANKA_101690	10	681583	681774	+	192	129	6	26	73	219	641	232	136	66
PBANKA_101700	10	682333	683769	-	1437	21	6	18	30	25	82	69	44	6571
PBANKA_101710	10	685246	687681	-	2436	243	56	548	1026	706	2134	148	109	924
PBANKA_101720	10	689514	691803	+	2290	562	155	391	717	819	1728	629	275	853
PBANKA_101730	10	698688	703742	-	5055	1089	518	461	1143	1268	4280	12324	11258	404
PBANKA_101740	10	705178	705661	-	484	254	43	100	173	397	789	458	146	79
PBANKA_101750	10	706720	709875	-	3156	97	41	112	366	131	343	312	577	1009
PBANKA_101760	10	710759	714055	-	3297	362	158	404	1442	458	1943	680	1330	494
PBANKA_101770	10	715070	715336	+	267	435	46	487	672	590	1267	895	343	412
PBANKA_101780	10	715969	721633	-	5665	1214	645	1159	3211	510	1861	1589	1302	455
PBANKA_101790	10	724939	728301	+	3363	435	361	608	1067	134	185	506	480	1544
PBANKA_101800	10	728891	733054	+	4164	780	726	319	959	157	315	805	402	2020
PBANKA_101810	10	733878	735848	+	1971	751	324	141	264	299	246	12625	8067	1241
PBANKA_101820	10	736491	737347	+	857	121	31	16	17	32	29	1143	545	188
PBANKA_101830	10	737720	739498	+	1779	141	61	43	80	62	54	1486	901	67
PBANKA_101840	10	740929	742110	+	1182	2138	810	675	1617	74	153	912	473	1505
PBANKA_101850	10	744073	744597	+	525	4943	1345	1992	4035	399	791	789	329	12213
PBANKA_101860	10	746316	746801	+	486	10783	4718	3243	7825	997	3373	1471	958	5134
PBANKA_101870	10	748333	749806	+	1474	1029	481	598	1216	110	197	445	168	965
PBANKA_101880	10	750271	752502	-	2232	400	142	152	253	491	1978	1252	2859	506
PBANKA_101890	10	753349	754788	-	1440	562	152	136	354	478	1175	667	322	229
PBANKA_101900	10	755555	756240	-	686	57	16	6	6	35	41	699	172	568
PBANKA_101910	10	756994	759975	-	2982	147	56	149	263	406	1073	445	365	373
PBANKA_101920	10	760857	762939	+	2083	400	110	414	734	772	1487	824	566	844
PBANKA_101930	10	763470	764714	+	1245	118	61	197	418	61	175	82	34	101
PBANKA_101940	10	768341	769625	-	1285	17153	7419	4727	9516	1598	4093	2794	1595	13372
PBANKA_101950	10	771314	772936	+	1623	13878	5624	4710	10013	1095	2992	4241	1916	10313
PBANKA_101960	10	774422	778885	-	4464	1499	879	897	2817	410	937	1300	1121	8086
PBANKA_101970	10	782972	786502	+	3531	3457	3847	2878	9679	690	3214	1011	2257	1861
PBANKA_101980	10	787337	789316	-	1980	354	183	133	282	293	429	8366	5792	729
PBANKA_101990	10	792017	795898	+	3882	128	106	59	79	729	1908	252	475	397
PBANKA_102000	10	796008	800405	-	4398	156	99	104	73	445	657	1343	2527	1524
PBANKA_102010	10	800755	805367	-	4613	1033	196	409	479	2640	6119	1044	609	1358
