"Geneid" "Chr" "Start" "End" "Strand" "Length" "SRR1571697" "SRR1571698" "SRR1571699" "SRR1571700" "SRR1571701" "SRR1571702" "SRR1571703" "SRR1571704" "SRR1571705" "SRR1571706" "SRR1571707" "SRR1571708" "SRR1571709" "SRR1571710" "SRR1571711" "SRR1571712" "SRR1571713" "SRR1571714" "SRR1571715" "SRR5298122" "SRR5298123" "SRR5298124" "SRR5298125" "SRR5298126" "SRR5298127" "SRR5298128" "SRR5298129" "SRR5298130" "SRR5298131" "SRR5298132" "SRR5298133" "SRR5298134" "SRR5298135"
"PVX_000585" "3" 454728 455696 "+" 969 253 125 183 113 80 167 226 299 223 124 227 54 40 194 273 280 300 332 39 473 545 928 975 347 419 692 751 383 474 330 357 14 21
"PVX_000590" "3" 448589 450117 "-" 1529 951 678 975 369 103 239 346 1313 1120 654 880 160 89 283 362 1070 982 1089 191 577 630 1516 1724 462 493 990 1165 409 496 392 410 16 32
"PVX_000595" "3" 445333 448350 "+" 3018 44 78 166 32 17 45 65 176 235 128 180 47 36 86 154 199 190 188 31 927 1107 1531 1777 721 806 1072 1354 768 864 630 665 35 71
"PVX_000600" "3" 442905 444763 "+" 1859 71 114 177 62 29 70 87 135 196 122 152 16 19 28 83 185 190 180 26 626 661 1817 2084 473 542 1220 1446 507 592 470 495 28 39
"PVX_000605" "3" 438561 442543 "+" 3983 300 356 603 218 74 80 81 337 391 309 441 58 44 63 114 485 442 471 95 1278 1360 2869 3350 892 992 2137 2417 1042 1162 802 968 56 58
"PVX_000610" "3" 435616 437590 "+" 1975 833 1132 2390 2023 567 398 436 1870 1535 1349 3018 751 237 278 464 2577 2431 2545 433 773 904 2661 2881 626 670 1758 1907 675 673 560 612 86 35
"PVX_000615" "3" 432262 433815 "+" 1554 99 67 62 8 9 19 35 88 76 52 52 3 3 19 50 55 67 83 16 473 557 1276 1478 354 458 916 1040 394 458 326 369 17 41
"PVX_000620" "3" 428027 431092 "-" 3066 520 328 529 129 44 82 220 548 576 336 464 61 32 151 269 509 450 483 83 1155 1245 2807 3167 980 981 1821 2001 930 1014 791 805 42 77
"PVX_000625" "3" 423531 427322 "+" 3792 1070 535 703 165 83 124 307 947 798 504 571 101 68 186 422 690 647 727 122 1264 1339 2659 2739 932 1025 1644 1769 1067 1031 871 917 83 64
"PVX_000630" "3" 420998 422321 "+" 1324 192 146 221 68 15 25 35 214 222 135 203 25 12 17 50 161 165 159 24 494 568 1372 1487 366 400 906 1020 395 419 344 372 14 21
"PVX_000635" "3" 418599 420536 "-" 1938 140 139 189 72 34 32 41 218 200 116 204 34 18 36 56 202 179 203 33 634 734 2000 2403 520 577 1398 1550 526 608 484 532 18 33
"PVX_000640" "3" 417911 418558 "-" 648 30 100 158 61 24 22 48 107 170 106 176 23 10 26 47 149 131 147 28 280 292 576 629 177 197 424 465 204 239 178 181 7 15
"PVX_000645" "3" 414369 416396 "+" 2028 42 141 380 588 457 342 229 720 197 194 837 404 208 260 332 792 787 866 148 750 804 2382 2533 562 610 1606 1752 617 628 498 536 16 43
"PVX_000650" "3" 405814 411721 "-" 5908 331 493 1372 1074 752 914 1620 748 650 596 1760 549 346 761 1256 1998 1899 2023 340 2132 2321 2621 2964 1532 1686 1805 2107 1699 1961 1367 1498 54 114
"PVX_000655" "3" 402877 405291 "-" 2415 19 67 209 95 51 61 60 48 69 97 187 41 14 42 72 156 145 154 32 825 889 1900 1947 596 619 1304 1432 669 776 525 617 26 24
"PVX_000660" "3" 395184 400469 "-" 5286 30 127 372 160 81 73 91 101 148 146 303 55 27 68 80 272 245 283 48 1859 2150 1368 1552 1526 1616 999 1198 1558 1729 1374 1419 48 91
"PVX_000665" "3" 392566 393877 "-" 1312 15 28 86 43 29 27 35 40 53 41 98 21 13 22 36 81 75 69 10 405 432 903 1048 270 342 591 684 287 346 261 278 10 18
"PVX_000670" "3" 386725 391290 "-" 4566 115 167 371 209 193 208 165 246 259 230 355 110 72 147 169 434 444 414 75 1471 1694 2491 2934 1066 1180 1747 1859 1203 1355 1032 1081 106 88
"PVX_000675" "3" 384985 385932 "-" 948 156 42 38 20 24 150 461 112 84 55 75 14 47 142 336 209 200 200 36 401 389 1134 1181 278 290 896 795 284 321 253 305 10 19
"PVX_000680" "3" 379822 383391 "-" 3570 132 109 137 33 29 27 70 193 160 119 77 21 23 49 107 133 136 169 32 1369 1446 3778 4234 951 1099 2571 2812 1093 1225 897 911 147 61
"PVX_000685" "3" 377755 379645 "+" 1891 20 71 125 42 21 18 26 62 113 78 140 14 7 13 31 122 104 101 9 715 802 1917 2191 597 582 1353 1452 598 660 504 545 38 40
"PVX_000690" "3" 373579 376865 "-" 3287 95 129 138 18 14 18 32 218 258 118 87 16 18 37 84 161 148 178 32 1169 1287 3535 4056 835 913 2389 2549 933 930 753 836 33 89
"PVX_000695" "3" 372468 373070 "-" 603 61 46 94 68 50 56 43 128 88 76 144 58 34 77 81 181 147 156 22 184 266 637 797 171 186 357 476 153 170 109 147 11 4
"PVX_000700" "3" 369033 371927 "+" 2895 1002 335 448 189 233 955 2890 555 495 254 380 129 243 1024 2387 1355 1208 1346 205 917 946 2243 2555 695 761 1608 1783 746 815 601 684 27 58
"PVX_000705" "3" 364248 366692 "-" 2445 397 427 641 210 144 289 586 491 488 348 598 115 101 251 521 694 668 654 89 1002 1061 2758 2875 836 802 1852 1954 863 885 761 783 33 47
"PVX_000710" "3" 359289 363605 "+" 4317 66 73 267 265 434 474 367 417 108 141 454 251 234 322 370 699 667 638 112 1183 1417 2689 2945 933 973 1792 1998 1024 1205 818 922 48 59
"PVX_000715" "3" 354819 356762 "-" 1944 159 132 207 101 68 111 111 303 297 181 240 48 38 102 188 277 264 274 37 757 824 1409 1504 577 637 901 1065 586 732 515 524 22 48
"PVX_000720" "3" 352702 354230 "+" 1529 221 189 177 30 42 163 234 349 403 146 102 23 42 183 258 247 283 283 64 550 577 1459 1561 393 390 990 1126 436 480 324 393 17 39
"PVX_000725" "3" 350569 351602 "-" 1034 260 110 121 49 57 230 520 141 136 62 97 38 75 217 480 285 249 304 44 139 167 429 577 92 130 280 368 106 136 70 86 3 8
"PVX_000730" "3" 349223 350260 "+" 1038 184 126 210 47 18 32 76 282 212 152 195 23 15 39 95 200 202 195 40 515 504 1111 1341 335 374 801 863 363 421 279 328 32 24
"PVX_000735" "3" 343230 346295 "-" 3066 369 254 432 253 170 158 166 550 431 326 625 191 93 120 250 576 580 580 86 1180 1260 2674 2905 843 904 1853 2002 910 1008 786 817 43 114
"PVX_000740" "3" 340838 341667 "+" 830 8 10 17 8 12 5 8 21 11 8 31 7 2 5 11 15 15 21 2 327 412 932 1183 240 366 569 724 248 332 234 290 6 22
"PVX_000745" "3" 335101 338374 "-" 3274 835 307 596 281 211 245 216 963 501 373 822 195 108 222 388 759 706 749 130 1238 1408 3037 3475 956 1085 2093 2314 860 994 774 852 28 58
"PVX_000750" "3" 332386 334535 "-" 2150 42 20 21 21 46 137 299 80 45 28 45 24 39 126 307 156 148 148 27 863 923 2087 2398 696 726 1414 1571 683 720 619 647 16 45
"PVX_000755" "3" 330232 332185 "+" 1954 451 280 459 315 993 1044 816 1169 432 308 638 496 423 613 831 1357 1288 1367 250 823 912 2031 2302 614 740 1439 1492 697 762 600 684 24 50
"PVX_000760" "3" 326792 327966 "+" 1175 38 45 80 32 29 26 58 46 56 39 97 27 19 27 60 80 72 101 15 411 510 1235 1468 314 408 753 1014 340 382 273 335 15 18
"PVX_000765" "3" 321845 325581 "-" 3737 530 354 544 380 259 267 369 737 562 337 796 236 138 222 400 821 741 754 141 1487 1575 3780 4029 1157 1204 2582 2755 1199 1249 960 1030 169 83
"PVX_000770" "3" 318996 320507 "-" 1512 80 89 116 65 55 56 38 176 132 79 126 36 19 32 55 155 132 145 24 706 701 1723 1832 503 541 1085 1212 552 567 444 497 11 36
"PVX_000775" "3" 316760 318706 "+" 1947 274 275 342 118 52 39 69 402 423 265 343 47 23 68 122 333 354 343 60 699 729 1457 1535 473 521 1026 1022 529 611 429 471 37 23
"PVX_000780" "3" 312241 315240 "-" 3000 282 234 287 69 41 63 73 307 323 206 188 35 31 82 148 244 233 258 37 998 1093 2172 2350 718 830 1415 1559 835 921 710 739 24 37
"PVX_000785" "3" 310046 311958 "+" 1913 319 186 284 118 77 93 102 380 301 186 259 70 45 77 154 299 322 294 74 808 848 2204 2308 579 651 1444 1588 650 655 507 560 30 34
"PVX_000790" "3" 307313 309510 "-" 2198 226 201 275 243 185 190 194 405 268 181 478 144 99 170 176 452 428 481 99 749 800 1812 1978 552 571 1231 1327 627 645 529 545 15 26
"PVX_000795" "3" 300110 306409 "-" 6300 66 136 329 201 93 71 93 155 189 163 345 85 44 84 97 315 311 352 45 2221 2422 4384 4635 1600 1865 2703 3075 1756 2015 1461 1614 65 101
"PVX_000800" "3" 296699 299558 "+" 2860 53 153 336 150 98 91 159 145 190 160 356 88 46 84 116 309 309 376 60 1047 1118 2196 2376 735 811 1653 1719 791 968 698 701 24 63
"PVX_000805" "3" 294076 295128 "-" 1053 30 12 16 6 10 3 12 22 19 9 21 4 1 12 20 27 31 27 8 401 445 993 1200 273 328 791 891 353 371 257 310 10 37
"PVX_000810" "3" 287913 291841 "-" 3929 37 21 35 7 24 55 64 17 10 10 22 15 9 35 67 57 71 62 15 1293 1442 3127 3374 934 1098 2087 2450 1096 1182 896 1008 40 93
"PVX_000815" "3" 284048 287041 "+" 2994 30 15 14 10 8 13 33 11 18 15 15 5 6 10 74 31 30 24 8 1119 1173 2797 3005 842 863 1917 2120 896 1013 826 875 30 62
"PVX_000820" "3" 277813 280254 "-" 2442 171 111 277 291 360 573 706 376 148 172 537 248 202 425 616 709 630 681 132 868 989 2879 3196 735 767 1995 2201 730 757 647 666 15 51
"PVX_000825" "3" 274266 276329 "-" 2064 21 117 157 51 14 21 34 72 141 122 135 18 8 21 59 131 154 141 12 659 802 1830 2119 555 604 1275 1584 588 647 441 528 25 31
"PVX_000830" "3" 271368 273348 "-" 1981 178 179 287 140 122 184 206 300 330 190 364 111 92 206 359 430 408 449 74 549 691 1357 1633 430 506 844 1066 429 501 326 392 14 28
"PVX_000835" "3" 269116 270945 "+" 1830 150 45 80 37 110 336 792 135 136 64 118 51 79 344 590 399 378 406 61 761 890 2204 2433 698 688 1472 1545 578 615 554 629 37 56
"PVX_000840" "3" 265056 268112 "+" 3057 146 97 219 101 44 78 113 173 169 102 218 45 28 81 190 224 233 249 40 1263 1341 3486 3810 987 1038 2447 2483 1060 1107 856 945 47 80
"PVX_000845" "3" 261490 262014 "-" 525 29 15 20 10 8 74 65 29 37 17 20 5 11 73 123 61 55 70 13 211 303 639 812 161 233 427 526 195 210 142 174 3 16
"PVX_000850" "3" 258494 260596 "-" 2103 37 121 342 189 128 107 141 122 145 173 456 99 43 74 144 339 315 368 52 841 964 1938 2168 697 734 1362 1457 702 822 616 651 59 59
"PVX_000855" "3" 253271 258097 "+" 4827 222 87 181 360 671 669 711 679 141 111 540 396 297 526 795 873 904 968 160 1739 1913 2117 2406 1309 1330 1523 1628 1394 1485 1150 1191 82 97
"PVX_000860" "3" 245587 250971 "-" 5385 66 30 119 187 325 291 208 282 41 47 244 148 163 181 190 390 350 366 64 1845 1921 2216 2436 1438 1479 1449 1652 1491 1615 1295 1377 54 92
"PVX_000865" "3" 241321 244794 "+" 3474 13 9 7 8 6 14 15 16 5 3 7 1 0 6 34 19 13 11 4 1130 1308 3015 3526 886 896 1937 2189 979 1121 775 853 25 116
"PVX_000870" "3" 237649 239081 "+" 1433 72 48 68 18 13 18 75 101 118 49 53 8 8 33 109 78 91 89 20 670 774 1366 1533 456 581 962 1045 519 612 463 507 18 40
"PVX_000875" "3" 235060 235386 "-" 327 31 25 51 9 7 7 7 48 53 29 21 6 0 5 20 41 35 49 6 134 137 298 403 94 86 221 290 81 143 75 90 2 6
"PVX_000880" "3" 232610 234277 "+" 1668 280 165 207 44 27 103 188 282 301 168 173 35 33 113 244 259 240 279 42 700 713 2115 2222 559 524 1437 1468 581 602 462 483 24 30
"PVX_000885" "3" 230144 231985 "-" 1842 209 116 271 154 40 68 101 303 226 157 320 66 38 71 130 257 246 316 40 567 663 1537 1714 424 418 1097 1162 483 538 363 399 16 40
"PVX_000890" "3" 228291 229934 "+" 1644 62 72 168 55 18 25 36 131 117 97 151 35 9 26 70 123 141 146 25 702 858 2004 2284 497 629 1402 1508 506 594 454 555 27 85
"PVX_000895" "3" 226565 228091 "-" 1527 110 62 96 30 16 34 44 135 111 88 115 22 13 42 64 104 123 130 20 708 781 1801 1979 594 631 1172 1324 563 565 484 557 20 59
"PVX_000900" "3" 217487 224221 "-" 6735 116 22 46 34 33 103 203 76 65 47 81 17 38 101 185 182 154 173 28 2485 2694 4667 5170 1839 1957 3277 3592 2011 2150 1586 1818 87 139
"PVX_000905" "3" 215002 216520 "-" 1519 48 118 235 90 89 92 88 134 120 131 172 54 31 82 108 226 245 246 32 436 489 900 1078 292 351 586 671 370 419 325 315 25 27
"PVX_000910" "3" 210925 214899 "+" 3975 106 121 249 228 446 425 393 489 182 177 274 217 194 292 431 617 553 614 115 1412 1592 2314 2684 1015 1196 1690 1817 1170 1331 897 1040 85 57
"PVX_000915" "3" 209546 209980 "+" 435 25 43 106 65 21 46 64 51 58 55 186 31 22 41 89 115 112 122 16 217 238 736 829 179 231 476 540 180 213 155 174 8 13
"PVX_000920" "3" 202829 206020 "-" 3192 232 203 313 150 130 214 257 367 314 201 313 102 102 288 410 465 463 469 75 1139 1168 2602 2816 800 829 1780 1849 847 897 742 788 26 48
"PVX_000925" "3" 199991 202727 "+" 2737 348 350 515 161 65 76 148 577 592 360 506 101 55 110 208 502 458 547 95 1010 1202 2833 3405 776 875 1912 2139 810 918 647 715 32 47
"PVX_000930" "3" 197502 198552 "+" 1051 150 28 126 993 1255 1042 946 1607 155 92 1201 1176 632 707 859 1580 1595 1705 261 352 441 960 1296 246 282 667 819 287 353 194 298 8 17
"PVX_000935" "3" 192357 194653 "-" 2297 814 525 795 504 290 254 319 1117 805 484 900 313 140 203 326 923 973 1133 173 858 895 1911 2308 572 664 1257 1384 683 711 490 573 48 39
"PVX_000940" "3" 189724 191860 "+" 2137 470 341 442 290 343 532 630 899 557 340 734 250 221 408 656 875 835 921 147 829 983 2671 3083 639 763 1871 2098 620 799 595 666 17 35
"PVX_000945" "3" 184691 187491 "-" 2801 31 17 19 7 325 614 322 237 64 14 40 142 259 503 481 458 446 530 80 1036 1123 2900 3201 750 777 1938 2085 813 844 633 758 13 52
"PVX_000950" "3" 182742 183753 "+" 1012 22 111 168 55 22 25 37 126 187 145 209 25 9 22 63 147 143 158 23 445 463 1339 1503 361 411 889 1011 374 381 272 334 13 26
"PVX_000955" "3" 173513 179695 "-" 6183 1475 1016 1292 380 163 399 780 1843 1771 964 1193 192 138 484 1168 1420 1465 1563 235 2452 2510 3388 3663 1829 2004 2432 2488 2016 2082 1700 1693 70 166
"PVX_000960" "3" 170644 172914 "+" 2271 140 74 137 124 75 98 99 218 140 122 272 82 49 71 100 218 237 250 39 725 809 1566 1816 561 577 1107 1360 587 618 445 491 23 41
"PVX_000965" "3" 168641 170188 "-" 1548 155 81 86 22 11 21 46 159 137 83 63 11 11 16 68 94 86 113 15 652 754 1729 2012 455 546 1171 1362 513 552 439 469 18 30
"PVX_000970" "3" 159088 168560 "+" 9473 1469 1298 2338 1117 615 539 592 2195 2109 1406 2630 552 329 476 887 2416 2425 2645 414 3808 4046 3799 4114 2881 2979 2469 2727 2980 3230 2523 2862 141 184
"PVX_000975" "3" 146676 154562 "-" 7887 32 52 177 223 90 117 134 92 55 79 417 126 65 99 298 309 288 316 38 2324 2326 2498 2480 1795 1746 2028 1961 1985 2103 1596 1699 153 144
"PVX_000980" "3" 142859 145628 "+" 2770 2 2 4 5 117 275 126 44 4 0 12 52 79 181 166 161 174 148 30 936 1124 2103 2373 682 766 1440 1631 765 875 578 657 30 35
"PVX_000985" "3" 133637 139052 "-" 5416 554 441 701 538 467 378 252 907 639 396 994 385 202 266 340 1001 964 1013 184 2132 2236 3770 4216 1545 1691 2606 2703 1683 1799 1371 1512 68 108
"PVX_000990" "3" 130416 132387 "-" 1972 237 150 178 58 27 50 55 354 280 142 187 27 21 53 133 230 221 227 36 827 875 2208 2548 632 689 1566 1667 662 758 528 623 28 40
"PVX_000995" "3" 127982 129136 "-" 1155 19 10 9 19 329 501 252 316 40 9 27 210 264 414 332 382 436 428 79 391 427 839 1024 282 348 562 666 283 304 253 268 20 22
"PVX_001000" "3" 124429 126584 "-" 2156 3 0 8 7 11 20 18 8 0 3 6 2 8 15 27 16 19 22 1 743 768 1810 1941 503 609 1223 1324 613 652 471 545 34 40
"PVX_001005" "3" 120707 123407 "-" 2701 4 12 30 28 205 365 156 154 12 13 43 101 156 278 213 274 264 255 47 913 975 1976 2218 666 755 1404 1432 719 811 592 690 24 45
"PVX_001010" "3" 108175 120594 "+" 12420 156 95 137 54 98 326 622 164 113 50 145 41 83 271 725 382 356 370 58 4354 4836 4325 4916 3250 3550 3059 3540 3597 4031 3018 3281 144 194
"PVX_001015" "3" 99481 101026 "-" 1546 29 11 7 9 23 69 159 29 25 9 13 11 23 66 158 71 68 90 9 609 691 1697 1916 451 549 1218 1354 447 541 422 460 19 30
"PVX_001020" "3" 96591 98054 "-" 1464 1 0 1 0 1 4 3 0 0 2 1 0 0 0 12 7 2 2 0 665 712 1918 2186 526 561 1370 1472 467 596 418 443 23 36
"PVX_001025" "3" 93628 94590 "-" 963 7 4 23 7 21 15 4 21 8 5 11 28 19 16 11 21 28 29 8 420 491 993 1140 294 336 721 851 334 415 283 351 10 27
"PVX_001030" "3" 88330 92173 "-" 3844 378 289 456 222 143 143 166 502 519 287 487 116 62 96 211 489 533 535 90 1306 1473 2356 2800 952 1105 1665 1893 1081 1133 825 932 71 74
"PVX_001035" "3" 86411 87254 "-" 844 23 50 76 25 15 21 40 30 66 61 73 9 8 13 38 62 64 79 11 297 348 852 979 189 235 609 679 250 250 205 181 4 18
"PVX_001040" "3" 72370 83512 "-" 11143 35 31 81 65 137 239 141 62 42 29 96 37 89 139 291 223 218 235 27 4092 4405 4666 5285 2938 3282 3196 3442 3306 3496 2552 2844 138 347
"PVX_001045" "3" 71061 71959 "-" 899 48 40 71 23 41 66 52 79 75 35 95 19 36 48 110 76 105 107 24 292 448 986 1201 249 282 697 783 258 335 207 248 2 19
"PVX_001050" "3" 64629 70453 "+" 5825 305 309 586 314 425 634 538 679 462 360 754 295 284 491 658 907 919 973 136 2398 2587 4592 5347 1766 1944 2983 3394 1755 2062 1478 1701 59 101
"PVX_001060" "3" 51285 54275 "-" 2991 317 246 347 127 40 76 132 388 383 263 370 54 45 81 235 328 355 318 66 1282 1391 2856 3048 980 962 1989 2100 1063 1099 852 862 394 59
"PVX_001065" "3" 40901 43666 "-" 2766 160 119 675 590 220 182 317 198 140 261 1071 300 129 181 410 745 785 826 127 1065 1175 1934 2213 735 802 1428 1590 899 954 660 746 32 51
"PVX_001070" "3" 35745 39060 "+" 3316 71 12 41 22 27 48 88 70 33 26 46 24 16 38 145 100 94 100 15 1401 1590 2312 2456 1000 1215 1603 1861 1048 1232 944 1003 58 72
"PVX_001075" "3" 31804 33721 "+" 1918 57 17 40 22 63 163 147 81 44 35 52 42 46 145 262 159 139 150 16 866 1008 2053 2336 680 709 1475 1723 687 777 542 613 13 52
"PVX_001080" "3" 19187 30715 "+" 11529 443 397 665 228 73 118 213 695 686 474 827 108 91 208 422 688 661 695 118 5088 5675 5919 6675 3928 4280 4377 5026 4096 4463 3390 3665 160 284
"PVX_001085" "3" 16196 17248 "-" 1053 83 31 105 31 15 33 74 65 57 59 89 22 13 26 59 70 70 73 16 572 613 1457 1584 462 453 958 1059 403 509 343 406 8 21
"PVX_001090" "3" 14029 15650 "+" 1622 181 119 222 129 49 63 97 217 225 115 283 60 36 50 146 229 243 266 41 725 784 1669 1765 611 607 1057 1122 592 609 511 557 39 48
"PVX_001095" "3" 11589 13847 "-" 2259 81 117 255 75 31 35 71 120 148 127 212 33 19 44 89 195 166 188 42 1106 1191 2439 2840 824 920 1654 1794 878 894 691 820 29 63
"PVX_001100" "3" 9588 10067 "+" 480 7 3 1 2 2 131 243 9 63 12 6 1 39 202 205 100 118 110 13 299 383 682 782 210 272 446 499 206 261 192 197 6 13
"PVX_001105" "3" 6157 6729 "+" 573 15 5 6 0 1 7 10 28 17 11 8 0 2 18 39 20 24 17 1 225 276 211 203 207 232 145 176 183 225 184 198 14 18
"PVX_001110" "3" 192 767 "+" 576 2 2 2 0 0 5 4 31 12 11 7 1 2 10 21 14 23 14 2 436 469 191 209 340 397 106 128 297 343 258 247 49 76
"PVX_001610" "6" 760 1776 "+" 1017 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 2 3 3 1 887 783 302 262 733 628 6 4 29 24 28 19 3 3
"PVX_001615" "6" 4741 5959 "-" 1219 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 713 808 271 338 607 609 1 0 3 4 5 3 25 6
"PVX_001620" "6" 7671 8842 "+" 1172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 656 672 277 313 477 590 2 1 3 3 4 4 4 4
"PVX_001625" "6" 10194 11838 "-" 1645 188 93 108 24 11 30 75 235 214 141 197 22 20 73 141 161 163 149 24 911 982 360 436 732 849 239 226 696 769 543 564 62 119
"PVX_001630" "6" 13913 14827 "+" 915 37 29 48 9 8 7 18 30 38 32 52 5 1 13 22 34 39 45 5 522 661 238 270 439 471 150 163 450 510 351 390 67 77
"PVX_001635" "6" 17824 20002 "-" 2179 1 3 9 4 1 10 5 6 5 5 10 3 1 11 13 14 8 6 3 1360 1439 544 580 1100 1164 295 332 1017 1087 780 787 101 202
"PVX_001640" "6" 23376 24299 "-" 924 24 20 50 26 8 8 37 28 22 27 56 8 1 5 20 33 34 42 3 513 438 171 171 421 363 116 108 411 374 328 262 35 62
"PVX_001645" "6" 27509 29234 "-" 1726 21 10 24 9 5 7 29 27 17 11 15 4 0 6 12 20 22 20 6 442 394 168 160 402 337 235 269 730 803 571 574 36 72
"PVX_001650" "6" 34157 36676 "+" 2520 1024 354 496 133 54 177 404 1053 710 488 639 95 89 256 629 679 660 696 109 1096 1318 668 717 923 1006 559 635 877 957 792 882 64 128
"PVX_001655" "6" 39762 40585 "-" 824 8 3 11 33 61 970 1706 28 607 107 53 24 236 1082 1198 705 717 730 119 479 526 199 219 370 394 139 188 330 405 286 311 49 64
"PVX_001660" "6" 44536 44823 "-" 288 46 2 13 3 1 3 14 21 3 6 8 0 1 12 23 23 16 12 1 131 163 76 75 87 122 45 56 102 135 105 99 4 13
"PVX_001665" "6" 44876 45649 "-" 774 142 10 17 3 6 12 42 34 24 10 21 0 5 16 43 38 36 29 6 321 359 172 174 277 257 102 105 262 285 225 228 19 24
"PVX_001670" "6" 49923 52265 "+" 2343 7606 3192 3792 2003 1502 2486 3066 8574 5944 3584 5834 1707 1351 3043 5201 6765 6814 7408 1127 1191 1261 688 815 965 1002 1036 1140 829 1025 716 786 42 86
"PVX_001675" "6" 53539 54228 "-" 690 0 0 3 2 1 82 95 0 25 5 11 2 22 133 141 60 60 54 15 373 389 191 190 266 298 133 181 284 324 222 254 14 21
"PVX_001680" "6" 57578 59041 "-" 1464 5 4 1 2 6 201 282 12 113 13 10 11 55 260 322 168 166 170 26 667 609 405 463 430 474 545 524 510 481 342 400 32 26
"PVX_001685" "6" 60951 63562 "-" 2612 3313 1692 801 116 52 419 860 3510 3014 963 626 90 133 600 977 1716 1678 1775 315 1032 1085 800 884 758 823 673 779 816 900 713 807 53 57
