Geneid	Chr	Start	End	Strand	Length	SRR4302519	SRR4302520	SRR4302521	SRR4302522	SRR4302523	SRR4302524	SRR4302525	SRR4302526	SRR4302527	SRR4302528	SRR4302529	SRR4302530	SRR4343872	SRR4343873	SRR4343875	SRR4343876	SRR4343877	SRR4343878	SRR4343879	SRR4343880	SRR5146153	SRR5146154	SRR5146155	SRR5146214	SRR5146215	SRR5146216	SRR5146217	SRR5146218	SRR5146305	SRR5146306	SRR5146307	SRR5146308	SRR5146379	SRR5146380	SRR5150405	SRR5150407	SRR5150408	SRR5150409	SRR5150410
PF3D7_0101200	1	71624	72426	+	803	0	1	0	0	0	0	0	0	0	0	1	0	4	15	312	1240	293	24	155	37	1	0	0	1	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0
PF3D7_0101300	1	74563	75366	+	804	13	171	1	66	33	78	33	15	5	8	9	5	3	17	272	1461	325	131	1459	332	29	53	46	187	49	34	68	390	0	1	10	0	1	0	0	0	0	1	1
PF3D7_0101600	1	81765	83106	-	1342	37	560	8	99	183	347	183	59	15	28	30	29	13	54	521	1415	261	335	2265	396	181	285	178	294	180	124	215	923	0	1	3	1	4	10	2	15	5	3	0
PF3D7_0101800	1	87203	88177	-	975	19	313	8	40	89	159	89	29	7	26	8	35	9	50	273	1858	362	181	2510	441	66	140	91	208	53	69	153	582	0	0	0	0	0	0	2	8	1	1	0
PF3D7_0101900	1	90242	91420	-	1179	57	580	9	121	190	390	190	39	14	26	35	32	14	79	549	3011	641	370	4490	744	168	290	191	364	208	111	199	1156	0	0	0	0	0	0	1	4	5	1	2
PF3D7_0102200	1	98819	102282	+	3464	126	2178	22	428	569	1228	569	205	56	112	90	143	80	222	1943	1158	444	1216	1121	762	391	732	680	1291	515	381	574	3309	0	1	42	2	45	92	4	16	3	0	1
PF3D7_0102300	1	104704	105209	+	506	20	202	0	28	42	81	42	28	2	14	13	12	3	20	222	78	47	98	66	80	29	50	38	132	34	30	49	286	0	0	20	0	0	1	0	0	1	1	1
PF3D7_0102500	1	110750	115799	-	5050	234	3084	55	522	618	1697	618	276	81	212	110	246	115	272	2655	1038	470	1714	804	1035	593	1054	966	1768	883	554	902	4483	6	6	343	5	10	50	7	54	23	48	126
PF3D7_0102600	1	119041	121249	-	2209	80	1231	32	206	157	578	157	220	45	65	33	115	38	55	1142	390	345	669	307	482	202	341	363	753	196	295	366	1712	7	8	17	5	7	17	4	16	2	6	4
PF3D7_0102700	1	124517	125484	+	968	25	525	4	65	90	269	90	87	80	132	8	31	15	16	467	216	131	244	107	167	107	187	155	273	101	239	92	498	84	255	37	53	1	2	1	7	2	7	7
PF3D7_0102800	1	126318	128141	-	1824	56	632	6	79	35	207	35	126	72	114	15	53	21	15	729	279	136	431	184	349	56	85	150	570	87	254	141	1022	614	1791	568	352	0	0	1	4	2	16	39
PF3D7_0102900	1	128960	130840	-	1881	86	1099	12	211	117	499	117	164	42	124	38	65	35	32	932	394	235	572	225	387	145	273	367	758	253	324	315	1603	4	11	23	2	4	4	13	89	26	19	40
PF3D7_0103000	1	132086	133624	-	1539	43	566	4	56	44	167	44	102	58	85	20	58	23	11	544	240	138	292	122	181	50	82	155	352	81	205	131	703	0	0	23	1	1	4	0	9	0	1	2
PF3D7_0103100	1	134353	139257	-	4905	221	2726	33	601	209	1257	209	378	183	329	81	238	118	71	2404	1030	697	1458	601	954	285	610	825	2081	575	870	712	3747	2	4	45	1	1	1	2	19	6	9	1
PF3D7_0103200	1	140662	142219	-	1558	76	877	14	180	76	373	76	147	131	220	33	76	31	19	893	387	190	539	256	389	129	261	273	561	255	415	241	1204	71	30	62	4	6	12	3	36	5	113	40
PF3D7_0103300	1	143640	146396	-	2757	116	1624	19	341	137	662	137	187	117	258	58	124	66	37	1438	458	359	920	346	575	226	443	487	1122	355	552	618	2184	2	9	71	0	4	22	5	31	16	13	6
PF3D7_0103400	1	147915	152777	-	4863	222	2908	48	603	287	1312	287	284	258	505	77	212	113	76	2398	950	739	1467	618	1004	393	722	881	2080	633	1085	901	3984	5	13	91	3	4	1	2	21	11	55	17
PF3D7_0103500	1	154176	160426	+	6251	233	3090	36	571	221	1195	221	447	307	509	79	228	102	61	2765	1188	674	1623	639	1193	258	478	776	2184	348	1074	781	3924	0	4	107	2	1	1	4	24	6	3	10
PF3D7_0103600	1	161131	166229	+	5099	197	2434	32	418	185	1024	185	422	294	512	61	201	104	57	2418	991	722	1424	568	1078	231	385	588	1791	395	1135	686	3126	85	139	484	68	8	3	28	78	26	267	508
PF3D7_0103700	1	166513	168687	+	2175	69	726	13	153	63	283	63	92	134	171	21	46	30	9	678	270	150	378	154	261	55	103	189	494	156	324	199	952	5	9	157	0	0	2	1	4	3	4	3
PF3D7_0103800	1	169079	171273	-	2195	44	564	9	100	41	171	41	80	99	138	14	50	12	14	720	275	170	367	143	266	83	133	156	379	97	242	132	932	196	119	110	74	29	56	4	46	18	60	53
PF3D7_0103900	1	172864	174591	+	1728	56	767	16	158	79	395	79	148	131	175	24	56	19	17	786	288	165	422	159	308	84	185	258	534	170	401	258	920	54	388	250	109	0	1	2	11	4	5	11
PF3D7_0104000	1	175609	176376	+	768	17	258	6	25	18	88	18	43	43	87	4	16	5	6	212	95	75	104	36	40	32	60	72	167	46	119	71	272	17	66	65	7	1	1	0	7	1	158	273
PF3D7_0104100	1	178087	180790	+	2704	113	1311	23	293	132	655	132	258	146	219	46	111	62	34	1283	514	253	725	273	503	161	352	425	920	220	532	373	1769	0	48	45	3	1	0	2	18	6	3	4
PF3D7_0104200	1	182822	184222	-	1401	65	748	15	135	64	326	64	159	106	129	30	55	22	20	823	239	161	420	150	220	111	246	242	564	133	292	235	1090	35	121	24	14	0	0	4	16	4	8	2
PF3D7_0104300	1	190269	201230	+	10962	448	5549	78	1006	508	2218	508	554	506	880	187	424	199	116	5425	2262	1468	3377	1346	2403	696	1371	1588	4212	1109	1993	1651	7563	16	26	560	7	13	27	5	60	13	25	15
PF3D7_0104400	1	202536	204143	+	1608	64	908	9	188	79	461	79	119	114	216	40	101	50	17	861	360	205	537	197	322	133	298	284	564	198	356	283	1307	1	3	36	2	15	41	2	11	2	10	7
PF3D7_0104500	1	204622	205455	-	834	29	422	6	82	28	200	28	41	29	51	16	21	21	21	453	133	62	239	87	154	43	80	142	304	86	149	83	669	1	2	19	3	0	5	1	6	2	1	0
PF3D7_0104600	1	206170	210189	+	4020	197	1908	28	395	173	816	173	208	201	360	30	183	71	32	1956	703	434	1166	456	863	174	286	531	1735	436	703	535	2930	0	2	127	2	1	2	2	15	4	7	15
PF3D7_0104700	1	210870	213005	+	2136	80	1191	12	198	103	468	103	168	120	200	35	133	51	25	1101	450	245	672	255	447	142	339	329	805	268	490	388	1702	13	8	39	5	0	1	5	11	2	24	61
PF3D7_0104800	1	215776	217509	+	1734	76	1098	27	206	103	513	103	175	93	130	30	79	42	15	901	317	269	526	227	343	189	326	321	596	227	370	315	1461	2	2	10	2	35	25	7	39	7	365	184
PF3D7_0105100	1	221202	221633	+	432	11	247	0	45	24	89	24	20	31	44	8	10	3	0	272	138	118	147	48	116	47	68	62	133	15	130	61	265	0	0	3	1	0	0	0	5	0	1	0
PF3D7_0105200	1	222254	223960	-	1707	87	1054	22	204	97	533	97	155	116	206	31	85	35	30	993	406	311	609	240	435	111	240	333	739	135	452	290	1381	2	4	17	1	1	2	3	13	3	4	4
PF3D7_0105300	1	225110	225779	-	670	19	307	3	42	22	119	22	38	19	22	5	26	10	11	231	96	60	120	55	108	38	88	73	184	58	81	79	339	1	2	4	0	0	2	2	18	2	8	23
PF3D7_0105400.1	1	226681	227285	-	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0105400.2	1	226681	227285	-	605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0105500	1	228485	229519	-	1035	49	669	10	127	64	328	64	125	78	99	21	52	29	22	590	245	204	363	141	190	102	203	252	467	154	294	217	947	0	0	14	0	0	0	3	5	4	4	1
PF3D7_0105600	1	230289	234402	-	4114	163	1903	25	380	143	757	143	284	210	480	53	164	69	47	1802	590	464	1107	416	758	207	380	501	1486	350	803	552	2543	3	14	74	4	1	6	5	19	14	5	3
PF3D7_0105700	1	238666	247857	+	9192	411	5254	68	1006	445	2127	445	550	381	894	155	418	183	144	4505	1729	1239	2628	1025	1956	662	1342	1553	3475	1021	1779	1607	7392	6	46	290	12	1	1	9	80	9	20	3
PF3D7_0105800	1	249231	252010	-	2780	117	1453	33	295	137	628	137	161	146	180	26	103	59	49	1284	545	360	711	340	600	195	299	412	959	291	538	539	2054	4	3	43	3	0	2	2	19	8	1	2
PF3D7_0105900	1	253584	254930	+	1347	68	704	12	124	66	294	66	98	97	147	19	62	27	18	673	306	192	485	178	282	88	166	197	547	106	338	186	960	2	3	102	3	0	1	1	3	3	5	0
PF3D7_0106000	1	255775	258543	-	2769	117	1532	22	249	139	643	139	197	118	182	45	142	56	30	1329	622	450	831	320	667	210	354	419	1011	417	468	388	1944	18	17	59	8	1	0	1	16	1	6	5
PF3D7_0106100	1	260658	261809	-	1152	44	742	6	150	57	372	57	127	72	130	27	50	31	27	629	228	199	395	113	232	104	262	265	429	161	276	227	938	1	0	33	2	4	3	0	9	1	5	3
PF3D7_0106200	1	263340	264223	-	884	27	345	1	84	16	101	16	52	47	93	9	30	5	13	376	138	107	216	96	155	53	45	98	206	20	187	95	444	3	0	7	0	1	0	0	1	0	1	4
PF3D7_0106300	1	265208	269173	-	3966	160	2365	22	485	225	996	225	382	184	346	72	206	90	60	1954	754	524	1112	426	662	390	837	733	1486	506	912	768	3176	7	31	22	8	19	33	8	77	15	48	31
PF3D7_0106400	1	272454	273404	+	951	23	405	8	83	39	146	39	57	46	91	9	26	6	7	403	105	54	194	61	132	24	60	86	290	98	143	104	515	1	3	52	1	10	50	0	16	0	12	20
PF3D7_0106500	1	274315	278550	+	4236	177	2226	24	406	188	1015	188	280	236	422	61	173	98	50	2278	841	676	1443	525	1052	242	492	665	1721	389	890	651	3293	1	2	162	1	0	1	6	13	4	5	2
PF3D7_0106600	1	279115	280014	+	900	27	596	5	111	43	289	43	113	65	91	22	33	14	14	539	198	137	345	135	260	54	92	157	409	164	221	169	728	1	1	373	2	2	6	0	17	2	1	2
PF3D7_0106700	1	281155	285459	+	4305	200	2677	43	555	228	1136	228	281	183	403	96	201	98	86	2291	935	656	1484	517	904	409	836	834	1686	452	942	918	3632	5	7	289	6	5	38	8	58	25	9	3
PF3D7_0106800	1	286951	288918	+	1968	35	443	6	59	27	158	27	63	59	102	13	42	19	8	534	203	176	223	109	191	35	52	98	344	53	180	92	657	0	1	10	0	0	3	1	15	3	10	16
PF3D7_0106900	1	290386	292590	+	2205	102	1020	16	189	93	449	93	177	82	165	27	103	32	23	1057	428	294	624	266	492	64	150	270	930	217	360	314	1661	0	0	146	1	0	2	1	18	0	3	2
PF3D7_0107000.1	1	293642	294968	+	1327	24	316	2	58	24	118	24	51	37	72	6	23	14	8	396	173	173	192	63	131	28	48	62	220	50	114	72	359	10	4	14	7	0	0	0	8	0	8	26
PF3D7_0107100	1	295300	296931	-	1632	85	737	16	131	45	278	45	146	99	218	19	64	23	21	806	327	224	473	190	338	68	104	227	665	117	375	244	1200	0	5	46	0	0	1	0	6	0	3	8
PF3D7_0107200	1	297362	299397	+	2036	37	468	6	66	36	205	36	44	73	129	10	27	14	6	463	118	97	185	69	128	61	93	136	266	69	207	98	587	153	230	89	109	0	2	2	8	2	7	8
PF3D7_0107300	1	299562	300868	-	1307	58	722	8	111	57	299	57	241	128	170	18	71	23	26	660	283	168	413	146	264	94	200	216	455	148	375	202	956	0	19	13	1	2	0	0	8	2	2	5
PF3D7_0107400	1	302937	303398	+	462	20	340	3	66	21	183	21	43	54	89	10	24	15	4	290	109	41	175	72	110	45	80	116	217	57	180	109	401	17	20	15	3	7	22	0	2	2	3	8
PF3D7_0107500	1	304362	309257	-	4896	203	2768	45	622	233	1227	233	280	190	366	69	208	112	66	2430	832	535	1415	527	988	426	756	850	1708	535	832	717	3731	22	76	78	30	31	89	4	62	17	71	77
PF3D7_0107600	1	314618	319405	+	4788	187	2127	39	428	137	801	137	353	260	405	50	204	77	45	2320	954	686	1488	588	1142	167	290	499	1868	471	959	659	3011	1	9	217	2	0	1	1	15	3	2	3
PF3D7_0107700	1	320168	321508	+	1341	39	651	6	123	51	270	51	120	84	114	24	56	20	16	660	236	181	421	168	337	29	67	173	595	133	315	276	979	1	6	8	0	1	1	0	3	1	4	1
PF3D7_0107800	1	322371	326072	+	3702	129	1801	32	383	143	679	143	175	147	305	42	165	54	34	1797	673	535	1096	378	733	161	301	565	1484	407	633	574	2803	0	7	56	2	0	2	5	27	6	2	0
PF3D7_0107900	1	326397	327224	-	828	39	337	9	54	33	156	33	36	44	65	11	37	89	51	421	179	144	202	68	136	46	78	87	249	61	137	109	410	108	275	555	199	2	1	1683	3768	1020	11	2
PF3D7_0108000	1	328431	329558	-	1128	21	366	6	43	35	188	35	70	35	51	11	35	20	7	352	76	100	213	78	116	73	146	106	189	32	155	99	477	6	9	7	1	0	6	6	20	2	6	6
PF3D7_0108100	1	330738	332708	+	1971	93	1062	12	236	99	398	99	168	76	198	26	64	45	32	1017	433	327	610	283	460	146	252	322	781	163	348	295	1602	0	4	93	0	1	1	2	8	3	2	1
PF3D7_0108300	1	337168	343833	+	6666	265	3716	56	706	323	1380	323	395	236	465	92	311	149	88	3207	1137	629	1964	719	1176	522	1013	1056	2353	591	1159	1093	5096	12	122	132	19	10	36	3	21	8	17	3
PF3D7_0108400.1	1	344400	346540	-	2141	24	209	2	56	27	59	27	29	26	48	10	16	58	25	229	112	90	131	58	98	32	37	52	145	33	81	79	265	288	500	386	215	0	2	835	1812	584	15	25
PF3D7_0108400.2	1	345206	346540	-	1335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0108500	1	349170	349709	+	540	19	303	3	38	32	138	32	82	49	83	10	14	11	8	320	149	60	239	76	91	79	142	106	195	103	165	84	426	5	8	74	2	370	920	0	5	0	26	16
PF3D7_0108600	1	349995	351626	-	1632	31	453	7	79	36	194	36	80	66	83	22	23	12	14	473	213	100	291	92	166	64	96	126	319	98	234	127	693	19	13	46	14	140	183	2	8	2	23	23
PF3D7_0108700	1	352314	356211	-	3898	149	2006	27	409	190	856	190	279	187	350	64	157	69	48	1871	689	523	1072	473	766	230	539	631	1393	395	770	608	2733	23	91	190	36	6	24	11	32	6	21	11
PF3D7_0108800	1	357834	360339	+	2506	41	529	8	90	34	179	34	98	86	176	7	48	19	10	517	141	161	254	107	194	54	89	112	338	112	235	102	705	32	58	23	20	2	4	2	9	3	649	1605
PF3D7_0109000	1	363318	363992	+	675	26	415	3	88	39	172	39	83	92	131	12	22	15	4	396	140	107	230	67	135	97	171	130	268	41	214	99	491	0	9	1	0	1	0	3	5	1	19	25
PF3D7_0109100	1	365610	368795	+	3186	116	2022	24	361	159	780	159	226	106	299	76	134	59	63	1776	650	433	1111	338	689	300	569	679	1240	295	551	631	2654	1	1	39	0	2	2	1	25	4	17	6
PF3D7_0109200	1	369480	370178	-	699	37	393	3	50	44	193	44	43	38	91	10	31	17	16	389	166	121	233	81	144	63	121	137	286	44	193	104	595	2	2	30	1	1	3	0	7	0	2	2
PF3D7_0109300	1	371815	373012	-	1198	51	481	7	102	34	163	34	89	80	93	13	48	16	6	483	162	158	290	98	175	60	100	153	353	76	254	128	619	1	2	4	0	0	0	0	3	3	17	12
PF3D7_0109400	1	374439	375087	-	649	17	244	7	48	20	88	20	62	43	67	8	28	9	5	212	63	63	105	25	55	27	82	74	135	31	114	35	279	0	7	10	1	0	0	1	6	1	9	25
PF3D7_0109500	1	376294	377004	-	711	17	249	2	38	23	63	23	43	21	61	6	7	10	6	198	83	66	76	40	45	38	53	70	105	28	106	32	255	2	11	28	5	2	9	0	4	1	31	74
PF3D7_0109600	1	377874	378599	-	726	18	318	5	49	22	117	22	59	77	110	8	24	7	9	385	136	79	245	122	179	23	35	87	241	67	204	79	394	4	7	23	1	1	7	2	5	0	0	3
PF3D7_0109700	1	379149	379806	-	658	17	257	4	42	29	103	29	14	39	42	14	14	10	7	295	89	58	181	49	89	25	50	75	257	13	123	82	374	1	0	281	0	0	2	1	6	2	0	3
PF3D7_0109800	1	380697	382424	+	1728	67	988	14	203	86	443	86	167	108	197	16	80	29	18	999	323	257	560	185	378	159	242	318	717	335	449	256	1405	1	0	16	2	3	4	1	4	0	4	1
PF3D7_0109850	1	383284	386632	+	3349	74	905	9	144	63	289	63	187	107	224	16	49	14	20	841	329	247	463	184	267	71	118	193	656	79	371	243	1148	11	4	32	5	15	19	15	87	29	213	193
PF3D7_0109950	1	386708	387940	+	1233	22	400	2	58	13	94	13	38	34	79	14	28	10	4	324	120	95	171	58	91	40	42	55	226	82	131	83	408	6	0	19	2	2	5	2	9	1	468	710
PF3D7_0110000	1	388372	389076	+	705	30	494	6	114	34	195	34	62	39	66	19	29	14	14	387	181	107	216	94	148	72	156	131	275	88	180	99	620	28	19	10	2	13	60	1	6	0	13	19
PF3D7_0110100	1	389261	392065	-	2805	127	1698	22	392	171	708	171	187	167	293	44	128	79	32	1528	450	397	936	306	581	186	403	522	1143	391	670	537	2288	0	3	55	5	1	4	13	21	8	34	72
PF3D7_0110200	1	392604	393035	+	432	24	252	4	64	24	148	24	41	67	116	6	42	8	6	298	118	60	202	68	126	30	62	95	193	58	243	98	358	1	2	20	0	1	6	1	0	1	3	1
PF3D7_0110400	1	393875	394835	-	961	39	431	2	69	39	183	39	149	93	167	13	27	40	20	426	117	100	278	95	186	52	127	152	281	83	332	137	518	37	58	71	49	5	27	91	246	47	5	12
PF3D7_0110500	1	396591	403606	+	7016	292	3963	55	831	334	1557	334	444	298	525	122	305	139	91	3669	1298	829	2254	884	1580	474	922	1135	2734	558	1337	1084	5071	2	15	511	1	3	8	8	54	18	26	50
PF3D7_0110600	1	405739	412169	+	6431	205	2797	43	480	240	1149	240	376	273	521	74	227	114	74	2867	1027	739	1620	643	1122	389	766	948	2067	415	1133	875	3867	17	36	203	9	8	21	5	24	8	22	17
PF3D7_0110700	1	413760	415100	-	1341	48	874	8	143	70	386	70	125	75	94	35	70	36	23	748	236	209	482	193	303	145	307	283	506	198	288	262	1073	0	5	21	1	3	2	2	11	7	15	21
PF3D7_0110800	1	417921	419607	+	1687	46	667	4	193	65	292	65	183	100	181	17	47	24	21	668	208	194	318	146	202	126	222	208	427	84	332	150	855	0	4	11	1	3	10	12	42	14	14	2
PF3D7_0110900	1	420293	420853	-	561	27	325	4	35	21	123	21	32	35	57	7	16	11	10	314	143	64	195	80	128	23	44	87	251	39	180	78	422	0	2	39	1	0	0	0	5	2	0	2
PF3D7_0111000	1	421776	427575	-	5800	242	3353	51	692	246	1404	246	405	242	388	77	278	114	74	2919	1188	837	1807	732	1318	451	874	1016	2166	472	1078	975	4370	12	9	55	17	3	8	15	73	14	24	14
PF3D7_0111200	1	430152	430858	-	707	17	204	3	23	16	67	16	9	42	71	3	11	7	5	215	96	50	98	56	113	20	29	37	128	36	136	41	181	0	1	6	0	0	0	0	7	1	4	18
PF3D7_0111300	1	431539	435042	-	3504	158	1960	21	327	142	774	142	169	145	294	43	158	63	42	1883	745	500	1171	425	907	192	385	531	1516	439	542	559	2629	0	3	224	3	0	0	3	20	3	14	3
PF3D7_0111400	1	436408	438564	+	2157	79	996	12	179	63	317	63	148	117	180	31	77	27	21	1005	431	206	598	241	485	101	197	278	666	128	356	285	1198	0	0	78	0	0	1	1	5	1	6	3
PF3D7_0111500	1	439652	441418	-	1767	57	617	9	85	30	258	30	73	81	126	16	47	14	12	640	274	222	382	145	257	60	127	155	473	109	272	112	749	1	10	10	2	2	2	0	20	1	6	7
PF3D7_0111600	1	442543	443289	-	747	28	287	6	36	23	112	23	39	65	115	5	19	18	7	403	165	114	227	88	180	32	47	69	266	86	181	94	429	0	0	15	1	0	0	0	0	0	4	3
PF3D7_0111700	1	443585	443938	-	354	20	146	1	31	10	45	10	28	28	38	3	7	7	4	178	59	48	88	29	56	13	24	31	109	0	74	26	167	0	0	3	0	0	0	0	1	0	0	0
PF3D7_0111800	1	446026	448849	+	2824	73	909	11	130	62	283	62	114	58	121	15	52	28	23	881	430	259	500	230	416	74	111	184	627	94	244	207	1199	5	2	186	1	0	1	8	13	3	3	3
PF3D7_0111900	1	450043	450646	-	604	13	203	1	23	13	71	13	36	18	46	9	22	6	3	227	88	96	106	45	92	30	34	52	155	28	84	49	259	0	0	1	0	0	0	2	5	1	5	4
PF3D7_0112000	1	450831	453118	-	2288	52	584	10	110	37	238	37	98	44	94	13	34	20	16	805	309	161	398	169	340	59	114	196	439	100	225	156	782	0	0	18	0	0	4	0	4	1	3	2
PF3D7_0112100	1	454847	455338	+	492	24	305	5	43	24	199	24	48	16	47	12	26	17	7	391	168	158	220	110	132	41	65	137	216	114	83	118	472	0	0	3	0	0	0	0	1	1	0	0
PF3D7_0112200	1	464726	470194	+	5469	226	3358	40	704	297	1513	297	320	174	335	94	276	116	93	3020	1269	851	1793	739	1289	356	771	1023	2356	678	924	1082	4570	143	61	97	38	7	2	2	21	5	10	5
PF3D7_0112800	1	481809	482618	-	810	26	404	4	48	44	129	44	70	13	52	11	27	8	7	298	81	85	160	86	103	51	108	106	202	29	77	91	507	1	1	12	0	0	2	1	21	3	0	1
PF3D7_0112900	1	486500	487186	+	687	14	301	2	52	35	159	35	27	8	19	10	22	16	13	316	142	61	184	79	132	31	50	86	240	46	49	93	482	0	0	1	0	1	4	0	1	1	0	0
PF3D7_0113000	1	487892	490127	-	2236	81	1355	41	285	321	829	321	177	89	136	148	98	50	106	1192	544	306	783	314	538	1062	363	395	928	1499	294	391	2005	2	5	693	3	258	365	0	16	4	14	6
PF3D7_0113100	1	495244	500076	+	4833	178	2876	52	580	567	1647	567	248	94	196	103	239	91	188	2556	1144	654	1588	680	1105	360	768	889	1993	915	620	921	4682	1	5	128	5	1	1	7	21	9	2	4
PF3D7_0113200	1	500959	502868	-	1910	77	1286	18	160	247	655	247	100	34	93	66	101	40	90	1060	393	297	562	246	400	212	404	398	771	227	248	397	1761	2	3	430	3	2	3	4	21	9	7	5
PF3D7_0113300	1	504938	506874	-	1937	69	1109	15	174	220	602	220	114	19	88	31	79	42	93	935	362	254	570	245	369	180	350	357	670	248	237	372	1744	1	4	20	0	3	13	1	10	4	4	2
PF3D7_0113400	1	508252	509748	-	1497	53	794	14	132	149	374	149	84	28	91	25	56	32	51	786	321	223	436	229	328	102	217	213	503	145	174	288	1230	0	2	110	1	3	5	1	3	3	2	1
PF3D7_0113700	1	520807	522579	+	1773	49	684	6	113	145	336	145	56	33	62	18	71	25	61	740	777	209	432	631	290	119	227	217	423	155	167	211	1096	6	6	28	5	3	19	0	4	1	2	2
PF3D7_0113800	1	527107	536351	+	9245	384	5722	81	1171	1176	3537	1176	618	203	393	200	467	193	504	4574	20913	5197	2802	22785	5507	979	1801	1768	3621	1580	1218	1833	9587	8	226	378	75	2	11	6	24	11	4	2
PF3D7_0113900	1	537109	538025	-	917	32	447	5	116	65	173	65	51	21	59	10	43	17	17	448	216	140	291	166	193	59	145	125	270	46	115	168	635	9	31	21	19	4	5	4	27	7	170	318
PF3D7_0114000	1	542480	546983	+	4504	158	2573	36	479	434	1408	434	166	52	158	79	219	83	192	2039	2722	869	1241	3404	1055	478	852	854	1592	806	506	748	3966	1	7	241	3	4	4	1	7	4	62	24
PF3D7_0114100	1	547597	548380	-	784	8	106	1	34	21	48	21	9	5	1	3	10	2	8	107	657	133	75	814	196	18	37	35	85	21	31	37	159	0	0	2	0	0	0	0	2	0	3	0
PF3D7_0114200	1	550576	551713	-	1138	42	618	11	124	125	386	125	45	14	31	24	47	15	53	571	2420	485	284	2675	587	134	239	173	344	125	96	161	1029	0	1	43	1	1	0	2	2	1	0	1
PF3D7_0114500	1	558201	558708	-	508	16	153	3	29	35	64	35	6	4	8	7	11	7	13	159	1053	231	120	1059	203	21	37	44	127	71	27	33	287	0	1	16	2	0	0	0	0	0	0	0
PF3D7_0114700	1	563703	564842	-	1140	47	659	9	132	161	408	161	69	14	56	28	78	21	84	520	2487	489	319	3958	585	192	236	203	346	166	111	138	1101	2	0	22	0	0	0	0	7	1	1	2
PF3D7_0114800	1	569485	570272	-	788	24	361	6	60	80	206	80	25	11	15	10	22	6	29	317	1369	389	171	1444	334	60	98	85	227	84	42	115	556	0	0	13	0	0	0	0	3	1	0	0
PF3D7_0115000	1	577704	583789	+	6086	122	1597	23	273	303	924	303	191	43	97	72	122	57	98	1413	2798	705	923	3635	1013	222	505	486	1112	548	303	642	2749	0	1	77	1	0	2	0	5	1	1	1
