Geneid	Chr	Start	End	Strand	Length	SRR10438730	SRR10438731	SRR9041561	SRR9041562	SRR9041563	SRR9041564	SRR9041565	SRR9041566
PBANKA_010240	1	81338	87252	-	5915	1809	1903	1636	3095	1814	2444	1820	2398
PBANKA_010250	1	89051	90484	+	1434	447	505	442	895	348	589	624	877
PBANKA_010260	1	90545	98466	-	7922	2108	2522	4643	7780	3736	5309	5941	7842
PBANKA_010270	1	99252	100370	-	1119	396	409	4551	9896	5917	6279	7122	10468
PBANKA_010280	1	101639	106168	-	4530	1358	1585	1133	3247	1159	1641	1761	3167
PBANKA_010290	1	108389	114175	-	5787	1717	1882	1942	2995	2702	3492	2065	1729
PBANKA_010300	1	117894	118616	+	723	240	340	641	885	503	1086	917	1011
PBANKA_010310	1	119281	121272	+	1992	674	794	583	1355	489	786	1050	1333
PBANKA_010320	1	122082	123213	+	1132	428	493	30693	23849	13987	35644	44568	36889
PBANKA_010330	1	126075	132614	+	6540	2008	2286	7350	16904	8105	11203	9902	12591
PBANKA_010340	1	133178	134781	-	1604	620	705	2021	2976	1429	3099	4693	4445
PBANKA_010350	1	135555	138122	-	2568	850	966	104	284	157	237	181	203
PBANKA_010360	1	139125	140795	-	1671	641	663	15	59	15	10	32	42
PBANKA_010370	1	141553	142188	-	636	305	340	355	525	306	734	874	783
PBANKA_010380	1	142858	143442	+	585	267	305	418	607	232	629	906	774
PBANKA_010390	1	146949	149156	+	2208	725	789	3038	6793	3630	6343	4706	5680
PBANKA_010400	1	150234	151608	-	1375	516	527	5868	6762	3152	6692	9648	10401
PBANKA_010410	1	152445	153904	+	1460	518	623	5339	6246	3502	4761	8231	10000
PBANKA_010420	1	154510	154983	-	474	200	230	1434	2176	1008	1276	3259	3652
PBANKA_010430	1	155199	157128	-	1930	598	745	239	417	252	339	393	491
PBANKA_010440	1	157727	163651	-	5925	1952	2122	2570	7144	3117	3033	4200	5838
PBANKA_010450	1	165584	166363	+	780	314	360	22654	23159	11852	23724	26990	26386
PBANKA_010460	1	166878	172475	-	5598	1741	1838	3608	7688	5979	8172	3317	4607
PBANKA_010470	1	175067	176620	+	1554	521	617	4765	6470	3502	4457	8920	9745
PBANKA_010480	1	177115	180117	-	3003	1049	1048	1106	1892	1429	2231	1450	1382
PBANKA_010490	1	183218	185406	+	2189	718	880	3141	4885	2737	4045	5020	4978
PBANKA_010500	1	186476	187292	-	817	341	354	1820	2171	1188	2554	3536	3081
PBANKA_010510	1	188684	189452	-	769	327	326	29896	29029	17112	53446	70074	49731
PBANKA_010520	1	190452	193016	-	2565	839	960	924	1628	822	1946	1833	1936
PBANKA_010530	1	195031	200510	-	5480	1754	2034	2208	4572	2507	3707	2688	2754
PBANKA_010540	1	203081	207619	+	4539	1407	1628	1222	1998	1275	2376	1692	1542
PBANKA_010550	1	208597	209247	-	651	255	327	812	1014	603	1386	2292	1531
PBANKA_010560	1	211648	214449	+	2802	878	1042	1883	3692	2371	3524	2379	3029
PBANKA_010570	1	215460	218569	+	3110	1100	1180	2107	2647	1409	3180	4292	3851
PBANKA_010580	1	219124	220438	-	1315	479	565	2016	3498	1920	3387	3874	3943
PBANKA_010590	1	221536	222934	+	1399	534	583	1356	2161	993	2460	1881	2243
PBANKA_010600	1	223425	226759	-	3335	1050	1295	1759	1860	1194	2173	2815	2376
PBANKA_010610	1	227884	229266	+	1383	509	575	1133	2056	751	1468	1799	2522
PBANKA_010620	1	229639	232397	-	2759	911	1061	5754	12629	5682	5831	8338	13081
PBANKA_010630	1	236742	243269	+	6528	2040	2451	33668	88096	49048	53656	32136	45478
PBANKA_010640	1	244130	245994	-	1865	749	788	925	1161	1109	3269	1807	1099
PBANKA_010650	1	246857	249220	+	2364	841	919	181	478	247	325	301	375
PBANKA_010660	1	249527	251681	-	2155	769	914	500	651	364	872	1127	848
PBANKA_010670	1	252201	255734	+	3534	1309	1469	496	1171	729	1207	641	795
PBANKA_010680	1	255883	256743	-	861	320	410	637	916	567	1001	1387	1336
PBANKA_010690	1	257208	260459	+	3252	1304	1499	1041	2179	1006	1782	1218	1740
PBANKA_010695	1	261048	262412	+	1365	623	684	732	1336	571	1468	1768	1689
PBANKA_010700	1	262880	263290	-	411	231	289	3410	4660	2292	4907	9761	7101
PBANKA_010710	1	264343	265295	-	953	445	520	2042	2884	1247	2507	4180	3744
PBANKA_010720	1	267131	268205	+	1075	458	601	4335	5966	3420	4353	9111	9706
PBANKA_010730	1	269623	271338	+	1716	724	881	1741	3823	1573	2605	4175	4243
PBANKA_010740	1	273369	274613	+	1245	594	610	2078	4000	1624	2707	3793	4853
PBANKA_010750	1	275681	278492	+	2812	1172	1397	781	1826	864	1338	1352	1493
PBANKA_010760	1	280540	296862	+	16323	6935	7955	1089	1635	1027	1384	940	863
PBANKA_010770	1	297421	299212	-	1792	874	1027	1853	2579	1458	2438	2245	2318
PBANKA_010780	1	300748	302278	+	1531	902	982	333	643	318	505	665	787
PBANKA_010790	1	303376	305899	+	2524	1351	1551	2471	4965	2387	4495	3643	4192
PBANKA_010800	1	306323	308131	-	1809	1000	1188	241	553	262	306	443	478
PBANKA_010810	1	310231	314769	+	4539	2659	2980	2808	5128	1940	2817	4247	5629
PBANKA_010820	1	316589	321493	+	4905	2985	3464	982	2104	1560	2134	1274	1565
PBANKA_010830	1	322516	323742	-	1227	984	1086	3480	6372	3459	5633	3676	5196
PBANKA_010840	1	326646	331889	+	5244	4015	4520	991	2229	1497	2086	1107	1450
PBANKA_010850	1	332571	333811	+	1241	1091	1230	575	952	468	732	1267	1078
PBANKA_010860	1	334074	335856	-	1783	1423	1711	1325	2020	1127	2160	2605	2506
PBANKA_010870	1	337036	339075	-	2040	1880	2136	14091	18850	11422	23520	13999	17786
PBANKA_010880	1	342642	343052	+	411	765	819	8184	6491	4338	13266	14898	12642
PBANKA_010890	1	343565	344138	-	574	936	995	723	616	346	937	1477	932
PBANKA_010900	1	345906	346887	+	982	1365	1570	128	462	53	107	333	401
PBANKA_010910	1	347159	349171	+	2013	2845	2990	1808	4020	1596	3079	3532	3815
PBANKA_010920	1	349901	353425	-	3525	5333	6135	3374	7328	3901	6058	5076	6095
PBANKA_010930	1	355041	356159	-	1119	2679	3042	962	1626	795	2086	1758	1892
PBANKA_010940	1	357667	357933	-	267	1173	1289	402	589	264	554	838	823
PBANKA_010950	1	358938	360034	+	1097	3256	3534	1128	2273	1092	1714	2374	2822
PBANKA_010960	1	361253	362393	+	1141	4412	4740	2825	3300	1721	3792	5636	4283
PBANKA_010970	1	362742	365150	-	2409	11454	11492	3358	6312	3129	5635	4002	5442
PBANKA_010980	1	372976	374088	-	1113	8386	9056	23423	30742	16041	30826	27699	31886
PBANKA_010990	1	375468	377321	-	1854	7763	8944	34345	49707	23827	50894	41240	52650
PBANKA_011000	1	378604	379080	-	477	2152	2327	3261	2894	1828	5323	8472	4540
PBANKA_011010	1	380430	388759	-	8330	16259	18617	6526	9206	5482	11959	10356	8458
PBANKA_011020	1	391917	392836	+	920	1484	1611	2226	2932	1427	3221	3951	3758
PBANKA_011030	1	393408	393879	-	472	957	1123	64	100	46	271	262	112
PBANKA_011040	1	394826	396532	-	1707	2323	2649	1238	2390	908	1933	2513	2449
PBANKA_011050	1	398038	404879	-	6842	5958	6887	15043	27098	20499	28930	12449	15644
PBANKA_011060	1	406156	406509	+	354	366	474	257	307	141	395	391	374
PBANKA_011070	1	406536	407240	+	705	706	758	1157	1635	1385	2610	2425	2169
PBANKA_011080	1	407585	407944	-	360	509	588	18297	21725	11192	27546	40990	33838
PBANKA_011090	1	408597	409814	-	1218	1156	1339	2852	3091	1408	5409	3911	3801
PBANKA_011100	1	410771	411775	-	1005	966	1104	279	397	343	2138	984	517
PBANKA_011110	1	412401	413384	-	984	803	1074	388	733	273	712	597	648
PBANKA_011120	1	415503	417536	+	2034	1543	1782	3135	4590	2600	4109	4041	4707
PBANKA_011130.1	1	418471	420300	-	1830	25	34	52	65	44	97	127	79
PBANKA_011130.2	1	418496	420300	-	1805	0	0	0	0	0	0	0	0
PBANKA_011140	1	422420	423186	+	767	654	808	2770	3023	1985	5449	6836	5167
PBANKA_011150	1	424199	424485	+	287	347	363	1144	945	632	2417	2354	1674
PBANKA_011160	1	425205	428881	-	3677	2331	2607	615	826	636	2248	871	765
PBANKA_011170	1	430755	431522	+	768	534	591	3984	3594	2061	7827	4784	5094
PBANKA_011180	1	431734	434736	-	3003	1796	2014	593	1128	480	763	791	901
PBANKA_011190	1	439763	441838	+	2076	1157	1209	631	1039	559	1197	856	876
PBANKA_011200	1	442241	444187	-	1947	1060	1310	370	1108	465	947	900	707
PBANKA_011210	1	448107	455919	+	7813	3909	4199	1979	4020	2942	5494	2589	2777
PBANKA_011220	1	456330	462206	-	5877	2288	2565	586	712	1021	3633	634	440
PBANKA_011230	1	465081	467618	-	2538	1132	1257	1112	2205	1348	1839	1413	1532
PBANKA_011240	1	468662	471097	-	2436	1118	1327	689	935	581	1854	1321	1072
PBANKA_011250	1	472354	474611	-	2258	1156	1307	473	662	401	989	724	596
PBANKA_011260	1	477226	478737	+	1512	792	886	427	946	401	1033	882	882
PBANKA_100010	10	1703	10034	+	8332	3531	3894	320	390	478	508	197	191
PBANKA_100020	10	11388	13007	+	1620	1583	1691	449	631	365	1662	974	737
PBANKA_100030	10	14007	15214	-	1208	416	457	1687	1650	913	1994	2623	2327
PBANKA_100040	10	16615	18149	-	1535	316	317	464	758	397	918	996	1149
PBANKA_100050	10	21806	23809	-	2004	627	688	666	1142	497	977	969	1087
PBANKA_100060	10	26152	27311	+	1160	269	334	2626	2727	1245	2581	3775	3787
PBANKA_100070	10	29820	31514	-	1695	504	548	926	2137	935	1475	1963	2232
PBANKA_100080	10	32550	33620	+	1071	292	319	681	1159	627	909	1159	1306
PBANKA_100090	10	34064	35068	-	1005	325	331	329	348	168	629	827	537
PBANKA_100100	10	36287	46655	+	10369	2454	2868	903	1031	775	1748	843	749
PBANKA_100110	10	48054	49214	+	1161	396	398	1230	1778	875	1378	1470	1488
PBANKA_100120	10	50698	53613	+	2916	797	850	691	1309	532	621	966	1484
PBANKA_100130	10	54312	56814	-	2503	678	727	796	1663	847	1365	1220	1614
PBANKA_100140	10	61838	64660	-	2823	817	872	10309	13834	6572	16268	11239	14674
PBANKA_100150	10	67526	69601	-	2076	547	639	1147	3117	871	1255	1882	2833
PBANKA_100160	10	74214	77794	+	3581	772	1017	2028	4168	1868	3572	2075	3089
PBANKA_100170	10	78383	78941	-	559	186	183	224	224	198	535	350	331
PBANKA_100180	10	79816	90244	-	10429	2472	2708	348	891	587	1256	895	787
PBANKA_100190	10	92176	92735	-	560	188	195	192	347	116	366	375	388
PBANKA_100200	10	93824	97006	-	3183	809	858	7195	13479	6177	9304	10525	15289
PBANKA_100210	10	98651	99709	-	1059	317	348	15284	18738	10861	29714	15919	21012
PBANKA_100220	10	101323	102741	-	1419	394	458	8	10	7	22	14	11
PBANKA_100230	10	107611	119535	+	11925	2862	3223	232	238	227	567	228	155
PBANKA_100240	10	119777	122445	-	2669	670	767	526	925	1092	3013	1002	846
PBANKA_100250	10	123297	125265	-	1969	512	610	3877	6807	3016	5302	5384	7030
PBANKA_100260	10	126553	127749	-	1197	339	365	921	948	743	2239	1168	1197
PBANKA_100270	10	128971	131194	-	2224	643	679	333	399	193	631	530	482
PBANKA_100280	10	132359	137013	-	4655	1134	1291	2459	4829	1684	3674	3242	3794
PBANKA_100290	10	140328	143075	+	2748	765	836	313	450	355	1066	614	508
PBANKA_100300	10	144139	150657	-	6519	977	1063	39	68	19	62	63	60
PBANKA_100310	10	154061	163207	+	9147	2079	2373	2186	3583	1786	3242	2181	1982
PBANKA_100320	10	163926	164871	-	946	291	321	985	1051	553	1336	1279	1446
PBANKA_100330	10	165800	167827	+	2028	471	636	2972	4778	2422	2829	5265	6454
PBANKA_100340	10	168517	175305	-	6789	1625	1841	6928	18324	11005	9110	7732	11202
PBANKA_100350	10	178391	178705	+	315	127	181	1672	2077	1292	2758	2418	2651
PBANKA_100360	10	179575	182140	-	2566	674	728	909	1572	1132	2863	1510	1601
PBANKA_100370	10	184221	185774	+	1554	435	515	5495	7620	4236	6206	9314	10425
PBANKA_100380	10	187024	188664	-	1641	529	520	2822	5513	2243	3235	4175	5743
PBANKA_100390	10	191209	191742	+	534	187	195	65	49	44	133	55	52
PBANKA_100400	10	193135	194950	+	1816	518	560	810	1098	447	1064	1511	1450
PBANKA_100410	10	195337	197758	-	2422	654	725	1750	3077	1683	2513	1992	2777
PBANKA_100420	10	199708	200115	+	408	164	175	532	638	270	578	743	758
PBANKA_100430	10	200769	204937	+	4169	1041	1152	1815	2711	1250	3004	3026	3105
PBANKA_100440	10	204972	206404	-	1433	443	629	2849	2651	1533	4827	4177	3576
PBANKA_100450	10	207245	215584	-	8340	1990	2213	4014	7728	5299	6490	4081	5105
PBANKA_100460	10	216322	217254	-	933	298	290	780	937	573	1273	1939	1415
PBANKA_100470	10	217916	219035	+	1120	324	354	370	545	283	635	477	452
PBANKA_100480	10	219382	220473	-	1092	349	388	1420	1801	930	2349	2514	2517
PBANKA_100490	10	222012	223124	+	1113	315	354	1040	1512	903	1616	1853	1791
PBANKA_100500	10	224153	224482	-	330	136	171	449	827	443	744	1061	1059
PBANKA_100510	10	226110	227642	+	1533	483	491	845	1054	551	1588	1550	1261
PBANKA_100520	10	229284	232199	+	2916	736	826	151	422	189	144	202	377
PBANKA_100530	10	233229	238496	-	5268	1253	1508	2242	4738	2021	3407	3340	4572
PBANKA_100540	10	240559	245376	+	4818	1100	1230	1227	2461	1613	2950	1354	1470
PBANKA_100550	10	246087	247961	-	1875	469	593	721	1302	588	1165	1175	1166
PBANKA_100560	10	248927	249442	-	516	208	229	2573	5387	2769	2837	3033	4908
PBANKA_100570	10	251986	255207	+	3222	860	907	776	1671	938	1276	978	1372
PBANKA_100580	10	256324	257751	+	1428	337	417	5138	7248	4294	4423	5139	7917
PBANKA_100590	10	258489	260150	-	1662	482	560	720	1222	501	1513	1621	1849
PBANKA_100600	10	261187	263048	-	1862	546	502	110	187	82	199	238	186
PBANKA_100610	10	264300	265739	-	1440	419	548	5175	9978	5121	4734	8269	12495
PBANKA_100620	10	268810	271809	+	3000	787	970	803	2260	957	1116	981	2175
PBANKA_100630	10	272872	276406	-	3535	932	1037	1350	1384	638	1241	1346	1808
PBANKA_100640	10	277764	278738	-	975	298	376	217	244	125	323	343	385
PBANKA_100650	10	279958	282504	+	2547	751	731	233	360	155	317	459	495
PBANKA_100660	10	283064	289570	-	6507	1661	1858	757	1026	617	1675	1181	945
PBANKA_100670	10	290413	292151	-	1739	529	534	1284	2022	870	1847	2526	2521
PBANKA_100680	10	293153	294568	+	1416	427	470	507	580	406	741	798	783
PBANKA_100690	10	295073	298147	-	3075	787	1005	452	818	446	960	622	688
PBANKA_100700	10	299537	301405	+	1869	485	562	659	509	306	661	634	603
PBANKA_100710	10	302147	303525	-	1379	381	449	549	716	329	1083	1211	831
PBANKA_100720	10	304936	308448	-	3513	908	1000	4420	9527	3581	5491	6383	8337
PBANKA_100730	10	309579	310531	+	953	300	345	4016	3858	1733	4357	6287	5622
PBANKA_100740	10	312057	313631	+	1575	413	457	1296	2797	1330	1947	2254	2975
PBANKA_100750	10	313899	315986	-	2088	545	610	2906	4685	2374	4001	5199	6515
PBANKA_100760	10	316957	319082	-	2126	609	719	1068	2325	1150	1363	1564	2015
PBANKA_100770	10	322092	325089	-	2998	781	916	2688	6791	2522	3241	4217	5790
PBANKA_100780	10	327492	328472	+	981	324	359	527	926	449	1002	1005	1217
PBANKA_100790	10	329221	329856	-	636	226	197	38764	33819	18349	40003	47801	45742
PBANKA_100800	10	332186	333515	+	1330	349	506	1152	2602	1253	1618	2697	3551
PBANKA_100810	10	333929	336295	-	2367	663	724	1178	2401	1219	2025	2040	2645
PBANKA_100820	10	337514	340853	+	3340	884	939	664	1474	406	827	1384	1558
PBANKA_100830	10	341548	342783	-	1236	386	419	14610	16611	8200	17315	19139	22095
PBANKA_100840	10	343439	346670	-	3232	941	994	201	441	173	416	336	357
PBANKA_100850	10	348051	350810	-	2760	819	809	3437	6106	3051	7091	4812	5389
PBANKA_100860	10	354576	359831	+	5256	1279	1437	1164	1568	1347	2075	1395	1514
PBANKA_100870	10	359868	365108	-	5241	1368	1499	1477	2623	1395	2218	2421	2434
PBANKA_100880	10	366719	368479	-	1761	543	633	7304	17354	6049	6385	10952	17856
PBANKA_100890	10	370838	371782	+	945	319	369	4493	7429	3428	7593	7918	8897
PBANKA_100900	10	372065	373588	-	1524	501	514	1754	2656	1187	2823	2423	2841
PBANKA_100910	10	376577	380366	+	3790	1066	1180	5922	11822	4622	7215	8049	9975
PBANKA_100920	10	383203	388044	+	4842	1241	1461	14158	28843	18386	28064	12071	16393
PBANKA_100930	10	388767	389471	-	705	246	286	1415	1858	1186	1971	2225	2013
PBANKA_100940	10	391169	391741	+	573	206	251	560	658	358	618	1073	761
PBANKA_100950	10	393980	402868	+	8889	2122	2477	11260	20838	9916	13943	12201	13409
PBANKA_100960	10	403835	405382	-	1548	476	593	52673	62862	34925	72047	81278	83667
PBANKA_100970	10	407999	409045	+	1047	298	331	1438	3463	1732	1394	2986	4230
PBANKA_100980	10	409835	411136	-	1302	474	487	1665	2572	1245	2632	3049	3207
PBANKA_100990	10	411967	413389	-	1423	461	491	36700	34512	18553	52470	61269	51518
PBANKA_101000	10	414102	414860	-	759	267	308	1075	1499	669	1739	2096	1847
PBANKA_101010	10	416961	417449	+	489	190	208	121	264	168	309	286	236
PBANKA_101020	10	418778	420493	-	1716	460	537	1500	2392	1300	2147	2699	2642
PBANKA_101030	10	422021	443812	+	21792	5690	6426	2703	3886	2911	4784	2145	2532
PBANKA_101040	10	445316	446510	+	1195	404	408	553	817	546	1732	1407	950
PBANKA_101050	10	447225	448904	-	1680	493	587	3237	5651	3837	5403	4300	5909
PBANKA_101060	10	451948	452695	+	748	255	308	6619	7668	4396	9927	16823	13003
PBANKA_101070	10	453354	454550	-	1197	388	439	812	1130	633	1597	1158	1260
PBANKA_101080	10	455384	456898	+	1515	414	507	859	1295	632	1120	1478	1383
PBANKA_101090	10	457959	461609	-	3651	987	1171	885	1671	982	976	764	1073
PBANKA_101100	10	461907	464118	-	2212	656	674	542	1044	515	532	599	791
PBANKA_101110	10	465456	472331	+	6876	2069	2315	2656	7586	3356	3499	3405	4977
PBANKA_101120	10	473702	479252	+	5551	1657	1826	1063	2587	1246	1347	1127	1990
PBANKA_101130	10	479335	479946	-	612	225	248	816	1103	900	1222	1402	1557
PBANKA_101140	10	483251	488050	+	4800	1313	1483	7440	14692	7359	7180	9066	13685
PBANKA_101150	10	491125	505494	+	14370	3917	4538	2441	3967	3024	3757	2023	1927
PBANKA_101160	10	505911	507668	-	1758	526	623	2266	4233	2590	4423	3643	4217
PBANKA_101170	10	509444	512278	+	2835	867	1048	2930	6001	3461	2972	3235	5427
PBANKA_101180	10	512727	516130	-	3404	1146	1293	651	1248	600	1388	1156	1228
PBANKA_101190	10	516751	517158	+	408	219	242	395	681	389	1174	1464	1072
PBANKA_101200	10	518372	519282	+	911	371	451	722	957	602	1266	1159	1185
PBANKA_101210	10	520244	522172	+	1929	659	702	1069	2018	911	1383	1342	1587
PBANKA_101220	10	523728	524829	+	1102	416	479	3109	5190	2369	3651	6214	7070
PBANKA_101230	10	526014	529391	+	3378	1055	1180	1214	2359	1448	1428	1142	1652
PBANKA_101240	10	529490	531100	-	1611	507	571	1793	3776	2373	3069	2910	4043
PBANKA_101250	10	532295	538946	+	6652	2205	2498	6354	9075	4039	6560	8420	9609
PBANKA_101260	10	540422	545215	+	4794	1576	1824	266	744	307	357	363	612
PBANKA_101270	10	545444	550010	-	4567	1351	1693	1858	3913	2084	2161	1534	3267
PBANKA_101280	10	550766	552692	-	1927	692	774	1537	2099	867	2184	3198	2713
PBANKA_101290	10	554079	555263	+	1185	473	558	299	658	171	573	747	699
PBANKA_101300	10	556210	559419	-	3210	1093	1303	3663	6192	2669	3973	6358	6837
PBANKA_101310	10	560912	561776	-	865	332	404	4633	4766	2778	6079	9559	6749
PBANKA_101320	10	563276	564652	-	1377	501	565	3559	8622	3935	6403	7740	10026
PBANKA_101330	10	566654	568453	+	1800	593	739	652	1838	909	1052	960	1320
PBANKA_101340	10	570330	572898	+	2569	811	942	677	1496	1003	1777	1190	1486
PBANKA_101350	10	572988	575492	-	2505	804	940	1111	1630	1015	2135	1412	1528
PBANKA_101360	10	576874	577812	-	939	363	438	1890	3620	1750	2045	3953	5317
PBANKA_101370	10	578882	579844	+	963	344	468	1878	2282	1213	2753	3118	3385
PBANKA_101380	10	581052	581570	+	519	221	289	4794	6515	3986	6678	10072	8701
PBANKA_101390	10	581882	582601	-	720	330	344	7025	10651	6020	7061	12374	15404
PBANKA_101400	10	583559	585574	-	2016	791	915	628	814	464	1160	1215	993
PBANKA_101410	10	586303	588681	-	2379	899	1060	951	2172	1019	1136	1396	1929
PBANKA_101420	10	589201	590421	-	1221	517	606	435	1787	507	309	876	1470
PBANKA_101430	10	590966	592990	-	2025	764	931	1174	1910	940	2029	3093	2456
PBANKA_101440	10	594259	600537	+	6279	2095	2517	1222	2742	1540	2349	1527	1640
PBANKA_101450	10	601088	603797	-	2710	976	1206	3102	3039	1909	4839	3221	3549
PBANKA_101460	10	604912	606390	-	1479	685	713	979	1445	637	1412	2023	2116
PBANKA_101470	10	607962	609180	+	1219	490	567	486	612	282	808	779	748
PBANKA_101480	10	609456	613382	-	3927	1507	1720	6923	10899	6021	11394	6157	7675
PBANKA_101490	10	614663	618650	-	3988	1600	2054	4364	6601	3305	5269	8311	8270
PBANKA_101500	10	620411	621454	+	1044	536	586	4973	5757	3399	8167	7995	7759
PBANKA_101510	10	621671	622225	-	555	305	391	694	944	466	1326	1481	1204
PBANKA_101520	10	623476	625452	-	1977	956	1139	515	738	366	1190	1080	809
PBANKA_101530	10	625928	632848	-	6921	3331	4083	618	1149	828	1027	640	738
PBANKA_101540	10	634039	636881	+	2843	1641	1826	26031	31150	15600	31653	43173	39514
PBANKA_101550	10	638369	640714	+	2346	1294	1537	1636	4409	1901	1906	2131	3330
PBANKA_101560	10	641595	643247	-	1653	951	1164	180	418	204	478	357	343
PBANKA_101570	10	644488	645105	+	618	459	557	185	421	195	549	421	461
PBANKA_101580	10	646681	649758	+	3078	1858	2092	733	2180	802	1446	1395	1656
PBANKA_101590	10	649821	650996	-	1176	796	996	1016	1701	900	1797	1801	2007
PBANKA_101600	10	652072	652869	+	798	677	814	3688	4972	2795	5171	5075	5818
PBANKA_101610	10	653253	655000	-	1748	1301	1544	564	825	309	767	1049	918
PBANKA_101620	10	655411	661711	-	6301	5142	5844	1621	3308	1947	2193	1692	1864
PBANKA_101630	10	664748	666076	+	1329	1569	1861	2970	3989	2090	3969	5492	4435
PBANKA_101640	10	666415	668505	-	2091	2276	2654	541	1271	714	1285	711	942
PBANKA_101650	10	670140	671921	+	1782	2220	2640	2002	3837	1848	2587	3169	3718
PBANKA_101660	10	672186	674057	-	1872	2801	3208	950	1363	546	1400	1603	1439
PBANKA_101670	10	675797	676636	-	840	1663	1866	18668	39727	21573	21607	49951	54643
PBANKA_101680	10	679806	680546	+	741	1968	2249	189	360	219	469	435	461
PBANKA_101690	10	681583	681774	+	192	898	1059	877	1428	769	1870	2551	2357
PBANKA_101700	10	682333	683769	-	1437	3637	4116	124	156	88	365	139	161
PBANKA_101710	10	685246	687681	-	2436	8066	8702	418	1276	510	1345	871	908
PBANKA_101720	10	689514	691803	+	2290	13250	13739	1472	3082	1225	2483	2742	3292
PBANKA_101730	10	698688	703742	-	5055	24631	25805	25971	37172	17953	35913	21707	29146
PBANKA_101740	10	705178	705661	-	484	2282	2532	1771	2112	1082	3241	4015	3566
PBANKA_101750	10	706720	709875	-	3156	7691	8427	599	936	579	1128	738	681
PBANKA_101760	10	710759	714055	-	3297	5611	6286	767	3225	1381	1820	1618	2241
PBANKA_101770	10	715070	715336	+	267	872	964	2306	2486	1465	3118	5327	3671
PBANKA_101780	10	715969	721633	-	5665	7605	8489	1838	4316	2209	3001	2688	3734
PBANKA_101790	10	724939	728301	+	3363	3188	3659	1751	2692	1376	2544	2275	2160
PBANKA_101800	10	728891	733054	+	4164	3480	3958	441	654	363	752	673	629
PBANKA_101810	10	733878	735848	+	1971	1652	1916	12436	21465	10430	21655	14874	18761
PBANKA_101820	10	736491	737347	+	857	764	930	899	3269	1415	1114	3684	4782
PBANKA_101830	10	737720	739498	+	1779	1318	1555	2409	7406	3602	3723	4656	7591
PBANKA_101840	10	740929	742110	+	1182	846	1044	998	2438	1215	1903	2274	2721
PBANKA_101850	10	744073	744597	+	525	547	632	1906	2086	1272	3705	3580	3032
PBANKA_101860	10	746316	746801	+	486	510	589	3450	5275	2789	5775	9621	7365
PBANKA_101870	10	748333	749806	+	1474	979	1181	1176	1319	732	1724	1786	1743
PBANKA_101880	10	750271	752502	-	2232	1327	1482	4752	10915	5651	7497	6787	9309
PBANKA_101890	10	753349	754788	-	1440	885	1082	1652	2692	1345	2756	3222	3523
PBANKA_101900	10	755555	756240	-	686	480	529	2008	2602	1336	2197	4183	4078
PBANKA_101910	10	756994	759975	-	2982	1631	1779	624	1671	668	1119	1189	1484
PBANKA_101920	10	760857	762939	+	2083	1111	1303	2830	3884	2062	4917	5159	5094
PBANKA_101930	10	763470	764714	+	1245	697	790	168	337	145	410	526	388
PBANKA_101940	10	768341	769625	-	1285	716	805	9303	11526	5564	11108	16092	15919
PBANKA_101950	10	771314	772936	+	1623	823	1005	11832	13261	6274	14413	23282	19407
PBANKA_101960	10	774422	778885	-	4464	2012	2300	1417	1910	1366	2285	1636	1512
