Geneid	Chr	Start	End	Strand	Length	SRR7059090	SRR7059091	SRR7059092	SRR7059093	SRR7059094	SRR7059095	SRR7059096	SRR7059097	SRR7059098	SRR7059099	SRR7059100
PF3D7_0103800	1	169079	171273	-	2195	29	45	50	553	255	525	3	3	1	1	2
PF3D7_0103900	1	172864	174591	+	1728	8	24	39	94	153	146	1	0	1	2	0
PF3D7_0104000	1	175609	176376	+	768	28	119	83	271	149	243	0	1	0	1	0
PF3D7_0104100	1	178087	180790	+	2704	11	41	24	203	77	176	1	1	2	3	0
PF3D7_0104200	1	182822	184222	-	1401	2	14	12	33	19	18	0	3	0	0	1
PF3D7_0104300	1	190269	201230	+	10962	7	16	8	19	16	17	1	1	1	1	5
PF3D7_0104400	1	202536	204143	+	1608	1	2	2	12	0	4	1	2	0	0	0
PF3D7_0104500	1	204622	205455	-	834	0	1	0	0	1	0	0	0	0	0	1
PF3D7_0104600	1	206170	210189	+	4020	0	0	1	1	0	0	0	1	3	1	0
PF3D7_0104700	1	210870	213005	+	2136	3	2	3	11	4	6	0	1	1	3	0
PF3D7_0104800	1	215776	217509	+	1734	3	11	1	0	3	0	0	0	0	0	0
PF3D7_0105100	1	221202	221633	+	432	0	1	0	0	0	0	0	0	0	1	0
PF3D7_0105200	1	222254	223960	-	1707	19	20	14	15	10	20	9	22	7	26	21
PF3D7_0105300	1	225110	225779	-	670	3	4	2	0	2	0	0	0	0	0	0
PF3D7_0105400.1	1	226681	227285	-	605	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0105400.2	1	226681	227285	-	605	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0105500	1	228485	229519	-	1035	2	1	0	0	0	0	8	3	3	0	0
PF3D7_0105600	1	230289	234402	-	4114	2	11	5	81	39	58	2	2	0	2	1
PF3D7_0105700	1	238666	247857	+	9192	2	4	3	17	12	7	0	1	3	0	0
PF3D7_0105800	1	249231	252010	-	2780	5	8	4	16	3	18	0	0	0	2	2
PF3D7_0105900	1	253584	254930	+	1347	1	1	1	1	1	2	0	1	0	0	0
PF3D7_0106000	1	255775	258543	-	2769	3	6	2	27	13	13	0	0	1	1	0
PF3D7_0106100	1	260658	261809	-	1152	0	0	0	1	0	5	0	0	0	0	2
PF3D7_0106200	1	263340	264223	-	884	0	0	0	3	1	1	0	0	0	0	1
PF3D7_0106300	1	265208	269173	-	3966	13	14	6	23	4	24	2	0	2	6	1
PF3D7_0106400	1	272454	273404	+	951	1	2	3	10	5	10	1	0	0	0	0
PF3D7_0106500	1	274315	278550	+	4236	0	5	7	0	0	0	0	0	0	0	0
PF3D7_0106600	1	279115	280014	+	900	2	6	0	0	0	0	0	2	0	0	0
PF3D7_0106700	1	281155	285459	+	4305	22	16	12	31	12	27	6	3	7	6	0
PF3D7_0106800	1	286951	288918	+	1968	1	6	2	0	0	0	2	0	1	0	0
PF3D7_0106900	1	290386	292590	+	2205	0	0	0	0	0	0	4	1	0	6	0
PF3D7_0107000.1	1	293642	294968	+	1327	0	6	0	6	4	7	2	1	0	0	0
PF3D7_0107100	1	295300	296931	-	1632	0	2	1	10	4	2	0	0	1	1	0
PF3D7_0107200	1	297362	299397	+	2036	0	2	2	53	42	73	0	0	1	0	0
PF3D7_0107300	1	299562	300868	-	1307	4	4	3	60	41	54	0	0	0	0	0
PF3D7_0107400	1	302937	303398	+	462	2	8	6	7	4	15	0	0	0	1	0
PF3D7_0107500	1	304362	309257	-	4896	16	17	16	62	40	87	1	1	1	0	1
PF3D7_0107600	1	314618	319405	+	4788	0	3	3	14	11	14	0	0	1	0	1
PF3D7_0107700	1	320168	321508	+	1341	0	0	0	14	6	11	3	3	1	4	1
PF3D7_0107800	1	322371	326072	+	3702	0	1	2	14	7	12	0	0	0	0	0
PF3D7_0107900	1	326397	327224	-	828	169	181	199	211	695	648	307	530	446	483	458
PF3D7_0108000	1	328431	329558	-	1128	2	2	1	6	3	7	0	0	0	1	0
PF3D7_0108100	1	330738	332708	+	1971	0	3	0	4	0	3	1	0	0	4	1
PF3D7_0108300	1	337168	343833	+	6666	17	38	29	341	107	308	2	6	4	5	4
PF3D7_0108400.1	1	344400	346540	-	2141	23	41	46	82	147	184	72	124	117	133	102
PF3D7_0108400.2	1	345206	346540	-	1335	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0108500	1	349170	349709	+	540	7	32	27	123	88	138	2	0	0	1	0
PF3D7_0108600	1	349995	351626	-	1632	2	2	2	13	15	23	1	1	0	1	1
PF3D7_0108700	1	352314	356211	-	3898	7	17	6	98	38	95	0	1	1	4	2
PF3D7_0108800	1	357834	360339	+	2506	11	27	16	68	52	86	2	0	0	0	0
PF3D7_0109000	1	363318	363992	+	675	34	34	20	59	27	54	0	1	0	0	0
PF3D7_0109100	1	365610	368795	+	3186	3	4	4	3	1	4	2	1	0	2	2
PF3D7_0109200	1	369480	370178	-	699	1	2	1	0	0	4	0	1	0	0	0
PF3D7_0109300	1	371815	373012	-	1198	0	0	0	2	0	1	0	0	0	2	0
PF3D7_0109400	1	374439	375087	-	649	1	5	0	8	4	6	0	0	0	0	0
PF3D7_0109500	1	376294	377004	-	711	1	5	7	44	46	65	0	0	1	0	0
PF3D7_0109600	1	377874	378599	-	726	0	0	0	0	0	0	0	2	3	2	2
PF3D7_0109700	1	379149	379806	-	658	0	0	0	0	0	1	0	0	0	0	0
PF3D7_0109800	1	380697	382424	+	1728	0	3	1	3	0	1	0	3	0	0	1
PF3D7_0109850	1	383284	386632	+	3349	12	16	10	2	7	5	1	6	6	4	3
PF3D7_0109950	1	386708	387940	+	1233	0	1	6	2	0	1	0	1	1	0	0
PF3D7_0110000	1	388372	389076	+	705	1	2	0	27	8	12	0	1	0	0	0
PF3D7_0110100	1	389261	392065	-	2805	0	2	1	7	2	2	0	2	1	0	1
PF3D7_0110200	1	392604	393035	+	432	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0110400	1	393875	394835	-	961	3	5	3	10	9	15	4	9	6	10	7
PF3D7_0110500	1	396591	403606	+	7016	3	7	6	13	7	9	4	4	3	4	0
PF3D7_0110600	1	405739	412169	+	6431	8	22	9	62	31	63	3	9	3	4	1
PF3D7_0110700	1	413760	415100	-	1341	3	7	2	3	0	0	1	1	0	2	1
PF3D7_0110800	1	417921	419607	+	1687	1	2	2	29	14	25	5	4	7	7	5
PF3D7_0110900	1	420293	420853	-	561	0	0	0	0	1	1	5	6	5	47	9
PF3D7_0111000	1	421776	427575	-	5800	2	4	7	4	1	5	8	12	7	22	17
PF3D7_0111200	1	430152	430858	-	707	0	0	1	0	0	0	1	1	3	0	0
PF3D7_0111300	1	431539	435042	-	3504	0	0	0	0	0	0	1	0	1	0	2
PF3D7_0111400	1	436408	438564	+	2157	0	2	1	3	0	1	0	0	0	0	0
PF3D7_0111500	1	439652	441418	-	1767	1	4	0	0	0	1	1	0	3	0	0
PF3D7_0111600	1	442543	443289	-	747	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0111700	1	443585	443938	-	354	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0111800	1	446026	448849	+	2824	0	1	1	1	0	0	1	0	0	3	1
PF3D7_0111900	1	450043	450646	-	604	1	0	0	0	1	1	0	1	0	1	1
PF3D7_0112000	1	450831	453118	-	2288	0	0	0	0	0	0	1	0	0	0	0
PF3D7_0112100	1	454847	455338	+	492	0	1	0	0	0	0	0	0	0	0	0
PF3D7_0112200	1	464726	470194	+	5469	2	9	5	10	9	7	3	0	2	3	3
PF3D7_0112800	1	481809	482618	-	810	0	0	0	2	0	1	0	0	0	0	0
PF3D7_0112900	1	486500	487186	+	687	0	0	0	2	0	1	0	0	0	0	0
PF3D7_0113000	1	487892	490127	-	2236	0	0	0	3	0	0	2	3	1	6	2
PF3D7_0113100	1	495244	500076	+	4833	1	1	0	6	11	4	0	1	0	1	1
PF3D7_0113200	1	500959	502868	-	1910	2	3	0	4	2	0	1	1	0	2	4
PF3D7_0113300	1	504938	506874	-	1937	2	0	2	0	0	0	1	1	3	5	1
PF3D7_0113400	1	508252	509748	-	1497	0	0	0	0	0	0	1	0	0	0	0
PF3D7_0113700	1	520807	522579	+	1773	1	0	0	3	1	2	1	0	0	2	0
PF3D7_0113800	1	527107	536351	+	9245	1	0	1	25	14	20	0	0	0	3	2
PF3D7_0113900	1	537109	538025	-	917	0	2	1	17	14	21	0	0	0	0	0
PF3D7_0114000	1	542480	546983	+	4504	0	3	0	0	1	2	1	0	0	2	0
PF3D7_0114100	1	547597	548380	-	784	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0114200	1	550576	551713	-	1138	0	0	0	1	1	0	1	3	0	0	0
PF3D7_0114500	1	558201	558708	-	508	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0114700	1	563703	564842	-	1140	0	0	2	0	0	0	0	0	0	0	0
PF3D7_0114800	1	569485	570272	-	788	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0115000	1	577704	583789	+	6086	0	2	1	0	0	0	0	1	1	0	0
PF3D7_0115100	1	587391	588394	+	1004	0	0	0	1	0	0	0	0	0	0	0
PF3D7_0115200	1	591849	593187	+	1339	0	0	1	0	2	0	1	0	1	1	0
PF3D7_0115300	1	595102	596273	+	1172	2	1	1	1	2	0	0	2	1	1	1
PF3D7_0115400	1	598465	599472	+	1008	1	0	0	0	0	0	0	0	0	1	0
PF3D7_0115600	1	604162	605531	+	1370	1	1	2	12	4	10	0	3	3	0	4
PF3D7_0115700	1	607390	614893	-	7504	4	2	4	5	7	6	4	5	5	6	4
PF3D7_1000100	10	28490	36164	+	7675	21	42	16	22	15	18	3	4	7	2	1
PF3D7_1000200	10	38050	39395	-	1346	1	0	1	4	0	1	0	1	2	0	0
PF3D7_1000300	10	41773	42963	-	1191	0	0	0	0	0	0	0	1	0	0	0
PF3D7_1000400	10	44816	46133	-	1318	1	1	3	0	0	1	0	1	3	2	1
PF3D7_1000500	10	48052	49384	-	1333	2	0	0	0	0	2	0	0	1	0	0
PF3D7_1000600	10	51349	52599	-	1251	0	0	1	0	0	0	0	0	0	0	0
PF3D7_1001000	10	63152	64032	+	881	1	0	0	0	0	0	0	0	0	1	0
PF3D7_1001100.2	10	67807	68753	-	947	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1001100.1	10	67807	68961	-	1155	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1001200	10	70547	70819	-	273	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1001300	10	72934	73917	-	984	0	0	0	0	0	0	0	0	1	0	0
PF3D7_1001400	10	74661	77572	-	2912	0	0	1	1	5	0	0	0	0	0	1
PF3D7_1001500	10	81416	81739	-	324	0	0	0	1	1	0	1	0	0	0	1
PF3D7_1001600	10	86538	89009	-	2472	0	3	0	2	0	0	1	1	0	1	0
PF3D7_1001700	10	92573	93526	-	954	1	0	1	0	0	0	0	0	0	0	0
PF3D7_1001800	10	96113	97031	-	919	1	0	0	0	1	1	0	0	0	0	1
PF3D7_1001900	10	99379	100361	-	983	0	0	1	0	0	1	0	0	0	0	0
PF3D7_1002000	10	103118	104683	-	1566	2	0	0	0	0	0	0	0	0	0	0
PF3D7_1002100	10	106653	108662	-	2010	0	0	0	0	0	0	1	0	1	2	0
PF3D7_1002200	10	112929	116015	+	3087	0	0	0	1	0	0	0	0	2	0	1
PF3D7_1002300	10	117242	118534	+	1293	0	0	0	0	1	0	1	0	0	0	0
PF3D7_1002400.2	10	121115	123291	+	2177	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1002400.1	10	121115	123291	+	2177	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1002500	10	123770	124882	-	1113	0	4	3	21	4	17	0	0	1	1	0
PF3D7_1002600	10	125939	127600	+	1662	0	0	1	2	1	1	0	0	0	0	0
PF3D7_1002700	10	129276	132110	+	2835	0	0	0	0	0	0	1	0	0	0	0
PF3D7_1002800	10	132995	137272	+	4278	1	0	2	2	5	7	1	1	1	1	0
PF3D7_1002900	10	138765	139853	+	1089	0	0	0	0	0	0	0	0	1	0	0
PF3D7_1003000	10	142419	146237	+	3819	2	2	2	3	1	2	12	5	5	9	17
PF3D7_1003100	10	147639	148239	+	601	0	1	0	0	0	2	0	1	0	0	0
PF3D7_1003200	10	149342	150038	+	697	0	2	0	1	2	4	0	1	2	0	0
PF3D7_1003300	10	150416	150874	-	459	0	3	0	0	0	0	0	0	0	0	0
PF3D7_1003400	10	152364	158516	-	6153	5	15	7	7	11	6	2	1	0	0	0
PF3D7_1003500	10	160316	160962	-	647	0	2	0	6	0	3	2	0	1	3	0
PF3D7_1003600	10	164945	165790	+	846	4	11	6	9	4	3	11	4	10	1	2
PF3D7_1003700	10	166743	170669	-	3927	2	1	3	9	3	6	4	1	0	2	1
PF3D7_1003800	10	172723	176430	-	3708	1	3	0	2	1	3	4	1	2	5	2
PF3D7_1003900	10	177921	178870	+	950	0	0	0	0	0	0	0	0	0	2	0
PF3D7_1004000	10	179344	180226	-	883	3	2	0	6	2	2	1	0	1	3	0
PF3D7_1004100	10	182244	187100	+	4857	0	3	1	4	0	1	2	0	0	3	0
PF3D7_1004200	10	187669	196954	-	9286	1	4	3	1	0	2	2	1	2	1	1
PF3D7_1004300	10	199452	202844	-	3393	5	9	6	59	18	37	1	1	2	0	0
PF3D7_1004400	10	207000	209642	-	2643	6	9	2	0	0	1	1	0	0	0	0
PF3D7_1004500	10	213986	214594	-	609	0	0	1	3	0	2	0	0	1	4	0
PF3D7_1004600	10	215717	219759	+	4043	3	2	8	4	3	0	2	0	0	1	1
PF3D7_1004700	10	220018	221353	-	1336	16	78	35	20	14	23	2	0	0	0	1
PF3D7_1004800	10	221945	223430	+	1486	25	23	16	4	1	9	2	0	1	4	0
PF3D7_1004900	10	224248	225207	+	960	8	13	5	3	0	3	0	0	0	0	0
PF3D7_1005000	10	225456	227705	-	2250	7	15	6	5	9	6	1	0	1	12	3
PF3D7_1005100	10	228798	232193	+	3396	5	3	1	0	0	0	2	0	0	0	1
PF3D7_1005200	10	232422	232818	-	397	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1005300	10	233285	234473	-	1189	0	1	0	0	0	0	0	0	0	0	3
PF3D7_1005400	10	234795	235745	-	951	0	1	0	0	0	0	0	0	0	1	0
PF3D7_1005500	10	237506	242245	-	4740	28	18	29	5	3	0	0	1	1	1	2
PF3D7_1005600	10	244145	246535	-	2391	6	7	7	56	31	57	0	0	1	1	1
PF3D7_1005700	10	247495	249940	-	2446	1	2	1	6	4	6	0	1	1	0	0
PF3D7_1005800	10	251579	252490	+	912	6	7	8	0	2	0	0	1	0	0	0
PF3D7_1005900	10	253704	255611	+	1908	32	36	41	7	4	10	4	0	0	2	0
PF3D7_1006000	10	256117	257699	-	1583	15	33	10	4	8	5	0	0	0	1	0
PF3D7_1006100	10	259060	260304	-	1245	40	21	34	1	3	1	0	1	0	1	0
PF3D7_1006200	10	262150	262997	-	848	8	18	7	22	5	13	0	0	0	0	0
PF3D7_1006300	10	265750	266836	-	1087	3	10	6	2	3	2	0	0	0	1	0
PF3D7_1006400	10	267219	269831	-	2613	4	6	0	2	2	2	0	0	0	0	1
PF3D7_1006500	10	270535	271497	+	963	0	1	0	1	0	1	0	1	0	0	0
PF3D7_1006600	10	272243	272824	-	582	0	1	0	0	0	1	0	0	0	1	0
PF3D7_1006700	10	274091	275426	+	1336	1	5	5	11	5	11	1	4	4	2	1
PF3D7_1006800	10	277621	279168	+	1548	4	21	10	9	1	6	0	1	1	1	2
PF3D7_1006900	10	281459	283104	+	1646	2	3	3	14	1	6	0	0	0	0	1
PF3D7_1007000	10	284577	286302	+	1726	0	3	5	4	9	3	0	0	0	0	0
PF3D7_1007100	10	286522	287473	-	952	8	6	2	4	6	3	0	0	1	0	1
PF3D7_1007200	10	288383	290826	-	2444	4	18	4	41	18	41	0	1	0	0	0
PF3D7_1007300	10	293850	295999	+	2150	2	1	1	0	1	1	3	2	2	2	2
PF3D7_1007400	10	296906	297565	+	660	0	1	0	0	0	0	0	0	0	1	1
PF3D7_1007500	10	298361	298687	+	327	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1007600	10	299280	299609	+	330	0	0	1	0	3	0	0	2	0	0	0
PF3D7_1007700	10	301126	305919	-	4794	25	97	44	387	206	412	1	4	8	1	1
PF3D7_1007800	10	311397	314516	-	3120	1	2	0	0	0	1	0	2	0	2	0
PF3D7_1007900	10	316649	318280	+	1632	0	2	3	1	0	1	0	2	0	0	0
PF3D7_1008000	10	321011	328150	+	7140	1	2	1	2	1	0	5	6	2	13	8
PF3D7_1008100	10	331246	342807	+	11562	7	21	18	46	18	44	1	2	5	6	1
PF3D7_1008200	10	343733	344899	-	1167	0	1	0	9	4	10	1	0	1	1	0
PF3D7_1008400	10	347206	348667	-	1462	11	31	18	115	64	132	11	3	1	3	5
PF3D7_1008500	10	351703	355593	+	3891	15	72	80	204	241	217	6	10	7	10	0
PF3D7_1008600	10	357345	358463	+	1119	18	52	57	109	50	88	0	0	0	0	0
PF3D7_1008700	10	360625	362480	-	1856	335	599	563	5051	1568	4887	41	24	15	41	17
PF3D7_1008800	10	365737	367146	-	1410	1	6	6	6	1	10	2	3	4	8	5
PF3D7_1008900	10	369199	370225	-	1027	6	8	3	9	3	4	0	0	0	0	0
PF3D7_1009000	10	371293	372117	+	825	1	0	1	2	2	3	0	0	0	0	0
PF3D7_1009100	10	372519	374072	+	1554	0	0	0	1	0	0	1	0	0	0	1
PF3D7_1009200	10	374864	377611	+	2748	7	13	8	4	1	0	2	1	0	0	2
PF3D7_1009300	10	377906	379708	-	1803	0	0	0	0	0	1	0	0	0	0	0
PF3D7_1009400	10	381361	382449	+	1089	0	2	0	0	0	0	1	4	3	0	0
PF3D7_1009500	10	383044	384793	-	1750	0	3	0	1	1	4	1	0	0	3	1
PF3D7_1009600	10	386976	388442	+	1467	0	0	0	1	1	0	0	0	1	0	0
PF3D7_1009700	10	389504	391165	-	1662	1	1	0	0	0	0	0	1	0	0	0
PF3D7_1009800	10	393765	397993	-	4229	52	89	57	5	0	6	1	0	0	9	3
PF3D7_1009900	10	399207	401778	+	2572	15	37	21	226	153	246	0	0	1	0	0
PF3D7_1010000	10	401876	402711	-	836	0	4	2	18	7	12	0	6	0	12	0
PF3D7_1010100	10	403679	404575	+	897	0	1	0	1	1	3	0	0	0	0	0
PF3D7_1010200	10	405017	410536	-	5520	1	0	1	0	1	3	0	2	2	2	1
PF3D7_1010300	10	414732	415328	+	597	2	17	13	30	14	17	0	0	0	2	0
PF3D7_1010400	10	415404	417471	-	2068	4	15	15	5	6	5	0	2	0	4	4
PF3D7_1010500	10	417705	419318	+	1614	2	3	0	0	0	0	0	0	0	3	0
PF3D7_1010600	10	420185	421056	-	872	11	7	15	8	3	15	2	0	4	0	2
PF3D7_1010700	10	422961	424365	+	1405	0	1	0	7	0	4	1	0	2	0	0
PF3D7_1010800	10	424866	425765	-	900	0	3	1	1	2	1	0	0	0	0	0
PF3D7_1010900	10	426601	428146	+	1546	2	4	1	0	0	1	0	1	0	0	0
PF3D7_1011000	10	429204	430140	-	937	6	13	2	0	0	0	0	0	3	9	4
PF3D7_1011100	10	432505	435570	-	3066	5	18	13	0	0	1	0	0	0	1	1
PF3D7_1011200.1	10	436958	437708	+	751	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1011200.2	10	436958	437708	+	751	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1011300	10	438446	440380	+	1935	2	1	9	2	2	1	0	0	0	1	0
PF3D7_1011400	10	441140	441955	-	816	2	2	2	9	8	7	0	0	3	4	5
PF3D7_1011500	10	443874	444401	-	528	14	25	12	164	56	131	1	0	0	0	0
PF3D7_1011600	10	445164	447125	-	1962	0	0	3	4	7	6	0	0	0	1	0
PF3D7_1011700	10	449154	450323	+	1170	0	1	0	3	1	0	0	0	1	3	1
PF3D7_1011800	10	455398	458817	+	3420	22	52	44	210	84	236	3	0	1	0	0
PF3D7_1011900	10	460335	461993	-	1659	1	5	13	11	16	21	0	0	2	1	3
PF3D7_1012000	10	463493	467006	+	3514	3	1	3	5	4	2	0	2	1	0	0
PF3D7_1012100	10	468071	469536	-	1466	5	5	1	0	0	1	0	0	0	1	0
PF3D7_1012200	10	470979	471933	+	955	0	1	1	0	0	0	1	0	0	1	0
PF3D7_1012300	10	472546	473386	-	841	2	1	0	0	1	0	2	4	1	0	0
PF3D7_1012400	10	475327	476563	-	1237	3	3	1	1	0	0	0	1	0	0	0
PF3D7_1012500	10	478758	480539	-	1782	2	0	4	0	0	0	1	0	2	0	0
PF3D7_1012600	10	482527	484194	-	1668	3	3	1	1	0	0	0	1	1	2	0
PF3D7_1012700	10	487252	491828	+	4577	2	1	3	0	0	4	0	1	2	0	0
PF3D7_1012800	10	492550	495144	+	2595	1	1	0	0	1	2	0	0	0	0	0
PF3D7_1012900	10	496331	497573	-	1243	0	1	0	0	1	0	2	2	1	0	1
PF3D7_1013000	10	500210	502221	+	2012	0	0	0	0	0	0	0	0	0	3	0
PF3D7_1013100	10	502634	506392	-	3759	0	0	1	0	2	2	2	2	1	0	0
PF3D7_1013200	10	511084	514278	+	3195	0	0	2	25	8	20	0	0	0	2	0
PF3D7_1013300	10	515721	517607	-	1887	1	2	0	0	0	0	0	0	0	0	0
PF3D7_1013400	10	518542	522252	-	3711	3	4	1	1	0	0	0	0	1	1	0
PF3D7_1013500	10	526840	531448	+	4609	1	10	3	7	0	13	0	2	2	2	0
PF3D7_1013600	10	533109	539825	+	6717	1	0	0	2	1	1	1	3	0	2	0
PF3D7_1013700	10	540622	541694	+	1073	18	28	17	0	0	0	0	0	2	2	0
PF3D7_1013800	10	542359	544779	+	2421	4	6	0	0	0	0	1	1	0	1	1
PF3D7_1013900	10	545679	548903	-	3225	0	1	0	1	4	0	1	0	1	1	0
PF3D7_1014000	10	550839	552571	-	1733	0	1	1	0	0	2	0	1	0	2	3
PF3D7_1014100	10	555160	559527	+	4368	0	0	1	1	0	2	0	4	0	1	2
PF3D7_1014200	10	560538	563353	+	2816	1	1	3	10	5	7	0	0	0	0	1
PF3D7_1014300	10	565805	573060	+	7256	9	28	15	90	25	61	5	7	3	0	5
PF3D7_1014400	10	574129	575103	+	975	0	0	0	0	0	0	0	6	1	17	1
PF3D7_1014500	10	576579	580478	+	3900	0	1	2	4	5	4	0	0	0	2	0
PF3D7_1014600	10	581354	589090	-	7737	5	10	13	142	49	123	4	2	2	8	4
PF3D7_1014700	10	595308	596222	+	915	60	74	61	0	0	0	16	9	5	0	0
PF3D7_1014800	10	596497	600413	-	3917	1	0	1	4	2	4	4	3	1	1	0
PF3D7_1014900	10	600970	607809	-	6840	9	19	5	1	1	0	3	1	1	3	0
PF3D7_1015000	10	611213	612199	+	987	0	0	0	0	0	0	0	0	0	0	1
PF3D7_1015100	10	612685	613875	-	1191	0	1	0	0	0	0	0	0	0	2	1
PF3D7_1015200.3	10	614872	616796	-	1925	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1015200.1	10	614872	617736	-	2865	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1015200.2	10	614872	617736	-	2865	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1015300	10	618440	619993	+	1554	0	2	0	1	0	2	0	0	1	1	11
PF3D7_1015400	10	621305	623626	+	2322	0	0	0	0	0	0	0	0	0	0	1
PF3D7_1015500	10	624048	625895	-	1848	0	1	2	0	0	0	1	0	1	0	0
PF3D7_1015600	10	627044	629040	-	1997	1	1	1	2	2	1	0	1	0	1	4
PF3D7_1015700.1	10	629909	632061	-	2153	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1015700.2	10	630310	632061	-	1752	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1015800	10	633682	635286	+	1605	24	52	26	0	1	0	7	16	8	0	1
PF3D7_1015900	10	637138	639011	+	1874	86	286	302	649	235	536	13	21	16	10	13
PF3D7_1016000	10	641390	642751	+	1362	2	4	4	11	3	11	0	0	0	0	0
PF3D7_1016100	10	643558	644331	-	774	10	23	27	64	52	103	0	0	0	0	0
PF3D7_1016200	10	646054	647736	+	1683	2	2	0	0	1	0	1	3	1	0	1
PF3D7_1016300	10	650898	653567	-	2670	1	1	2	16	1	23	0	0	0	0	0
PF3D7_1016400	10	656709	659027	-	2319	0	0	0	0	0	0	0	1	0	0	0
PF3D7_1016500	10	661742	664201	-	2460	1	0	0	0	0	2	1	0	2	1	0
PF3D7_1016600	10	665658	666654	-	997	0	0	0	0	0	0	0	0	0	0	0
PF3D7_1016700	10	669202	671853	-	2652	2	1	0	1	0	0	0	0	0	1	0
PF3D7_1016800	10	675293	676417	-	1125	1	1	0	4	0	4	0	0	0	0	0
PF3D7_1016900	10	682182	682508	-	327	0	2	0	37	2	31	0	1	1	1	1
PF3D7_1017000	10	685578	688862	+	3285	7	8	7	22	1	20	1	0	2	1	0
