Geneid	Chr	Start	End	Strand	Length	SRR1571697	SRR1571698	SRR1571699	SRR1571700	SRR1571701	SRR1571702	SRR1571703	SRR1571704	SRR1571705	SRR1571706	SRR1571707	SRR1571708	SRR1571709	SRR1571710	SRR1571711	SRR1571712	SRR1571713	SRR1571714	SRR1571715
PVX_087865	1	231197	237367	-	6171	2129	1680	2290	1322	1078	1403	1585	3131	2617	1566	3091	855	559	1137	2086	3374	3341	3586	603
PVX_087870	1	244437	246230	+	1794	100	65	79	24	10	26	56	125	133	57	51	6	9	32	70	74	80	110	11
PVX_087875	1	247295	250012	+	2718	94	17	33	35	76	296	486	67	53	16	60	38	54	223	296	225	188	216	30
PVX_087880	1	254624	260849	-	6226	335	334	546	473	412	242	180	592	483	359	841	268	138	160	265	798	792	833	143
PVX_087885	1	263763	266960	+	3198	33	12	16	47	3285	5304	1999	1951	99	21	72	1174	2232	3370	2590	3460	3376	3597	618
PVX_087890	1	268018	268365	+	348	74	39	48	17	10	9	9	36	48	37	19	2	2	5	14	45	34	42	10
PVX_087895	1	269002	270999	+	1998	376	277	330	77	38	48	83	462	399	235	249	24	14	45	113	275	285	319	67
PVX_087900	1	273311	277784	+	4474	72	91	307	247	192	264	349	206	126	113	458	160	99	215	374	476	460	517	89
PVX_087905	1	278555	279532	+	978	193	167	275	130	57	72	76	324	308	176	319	90	43	55	100	255	268	294	43
PVX_087910	1	283255	286551	+	3297	632	573	757	405	314	457	491	1007	912	462	920	310	206	445	769	1112	1024	1117	192
PVX_087915	1	288130	291150	+	3021	108	151	303	130	64	61	49	201	264	159	309	43	33	64	87	246	219	282	29
PVX_087920	1	292940	293719	+	780	280	230	382	269	186	129	134	476	309	233	534	168	84	106	158	464	485	489	84
PVX_087925	1	295180	297959	+	2780	27	22	175	65	45	148	149	48	43	50	142	24	29	90	159	168	154	149	26
PVX_087930	1	298309	299496	+	1188	238	125	142	84	102	175	339	241	159	101	194	79	52	154	264	298	289	297	53
PVX_087935	1	299731	299940	-	210	59	30	48	11	17	9	32	72	51	32	58	11	5	18	39	61	64	66	8
PVX_087940	1	300634	304040	-	3407	41	33	43	22	58	173	236	50	68	34	83	33	27	100	176	140	142	157	26
PVX_087945	1	304525	306592	+	2068	241	187	314	147	65	83	159	355	290	183	353	76	31	82	153	335	284	363	49
PVX_087950	1	308485	312826	+	4342	17485	12399	17430	11025	5102	7013	9057	23708	20290	11329	21315	4072	2570	5322	9386	22223	21556	22802	3717
PVX_087955	1	313405	316927	-	3523	534	348	509	211	117	105	102	528	474	306	490	103	65	107	211	490	481	592	101
PVX_087960	1	317375	319103	-	1729	235	74	142	85	83	265	682	190	149	89	210	57	67	235	680	384	322	374	54
PVX_087965	1	319360	321200	-	1841	147	171	329	254	215	259	287	398	305	265	485	175	120	212	362	577	587	614	96
PVX_087970	1	324282	326945	+	2664	3550	1988	2124	771	305	287	343	4157	3407	1647	2128	440	263	410	883	2591	2585	2698	423
PVX_087975	1	327624	328385	-	762	37	82	135	54	22	47	73	96	89	84	173	37	15	47	76	142	149	170	24
PVX_087980	1	330260	334540	+	4281	816	342	384	95	106	1098	1215	973	977	409	529	113	329	1352	1766	1214	1194	1284	211
PVX_087985	1	337343	340573	+	3231	468	287	433	108	53	84	129	613	550	341	398	56	46	106	285	393	415	471	61
PVX_087990	1	341247	342248	-	1002	52	65	106	33	14	32	45	78	84	54	97	8	13	24	59	104	92	112	8
PVX_087995	1	342633	349964	-	7332	279	293	500	245	131	104	123	440	493	353	684	141	64	110	190	560	530	531	74
PVX_088000	1	350982	355492	-	4511	95	227	564	252	106	184	234	253	218	246	580	112	74	122	230	485	414	515	81
PVX_088005	1	356035	356651	+	617	30	52	77	40	38	47	46	76	52	50	78	24	9	27	49	99	110	96	10
PVX_088010	1	362843	365107	-	2265	421	283	236	57	37	96	184	486	412	191	181	41	33	84	222	275	276	322	53
PVX_088015	1	366313	368031	-	1719	533	205	212	83	181	338	563	689	477	172	216	117	126	316	528	535	476	608	100
PVX_088020	1	370198	370680	+	483	37	79	131	38	29	45	56	103	157	102	142	22	19	26	59	128	111	166	30
PVX_088025	1	371197	374657	-	3461	52	86	157	52	54	128	180	108	98	63	164	34	33	102	206	193	203	192	33
PVX_088030	1	374950	378848	-	3899	40	36	101	49	39	87	143	56	25	30	111	25	22	60	140	119	112	130	37
PVX_088035	1	381470	391638	-	10169	48	193	642	519	371	269	288	355	311	324	859	260	118	174	253	740	774	771	147
PVX_088040	1	393023	394727	+	1705	66	74	283	259	192	159	153	224	109	130	452	173	90	96	110	362	359	359	67
PVX_088045	1	395850	402118	+	6269	193	61	240	328	695	827	688	508	75	119	424	352	394	590	716	895	902	964	165
PVX_088050	1	402750	404299	-	1550	281	176	255	72	37	38	32	300	229	124	186	49	14	35	54	223	177	249	42
PVX_088055	1	404528	406075	+	1548	142	212	312	101	39	25	33	301	314	205	298	42	23	28	72	291	234	281	49
PVX_088060	1	406309	408052	-	1744	101	153	237	50	24	25	43	187	235	120	189	31	15	19	65	172	161	165	26
PVX_088065	1	408495	410473	-	1979	1944	1277	1757	855	258	223	243	2946	2438	1315	2340	496	203	243	492	1940	1845	1990	329
PVX_088070	1	412086	413164	-	1079	255	152	211	70	50	53	87	310	251	146	214	54	38	73	136	257	254	243	37
PVX_088075	1	413680	414912	-	1233	152	111	164	98	30	55	74	236	181	117	264	55	36	63	108	212	210	205	39
PVX_088080	1	415578	416468	+	891	24	57	89	17	8	20	22	48	65	61	79	13	11	10	31	49	77	73	13
PVX_088085	1	417025	420294	-	3270	345	306	352	86	21	42	94	480	412	240	254	25	11	62	152	314	305	330	61
PVX_088090	1	422094	422642	-	549	292	178	220	31	13	268	360	297	279	137	117	15	53	250	354	364	281	327	58
PVX_088095	1	426073	428667	+	2595	109	114	267	72	38	120	245	124	201	189	226	42	33	135	252	269	264	300	51
PVX_088100	1	429056	430134	+	1079	68	56	67	28	15	38	38	94	73	41	71	20	11	16	23	68	73	77	10
PVX_088105	1	430420	432741	-	2322	347	285	343	90	31	63	148	398	435	191	341	44	29	77	171	357	315	331	61
PVX_088110	1	435906	437966	+	2061	394	248	357	168	259	422	496	552	385	231	381	165	166	262	381	609	602	684	104
PVX_088115	1	440314	441364	-	1051	339	310	407	319	328	276	219	646	422	296	559	199	118	162	240	638	626	673	103
PVX_088120	1	442322	444583	-	2262	211	192	460	333	198	213	238	518	362	281	569	194	111	147	284	593	556	564	82
PVX_088125	1	446507	448144	+	1638	76	10	22	19	43	291	367	33	80	13	35	21	69	339	408	225	202	232	44
PVX_088130	1	448922	453875	-	4954	270	309	496	182	65	79	89	383	444	289	399	61	39	78	161	386	403	452	69
PVX_088140	1	454953	458315	-	3363	180	239	417	78	49	136	215	235	287	235	227	25	28	75	161	295	318	321	50
PVX_088145	1	459237	460684	-	1448	291	339	628	359	143	136	116	788	569	410	814	187	80	117	180	683	630	703	116
PVX_088150	1	461594	463935	+	2342	376	594	1095	723	412	430	377	1162	1016	698	1399	420	241	286	386	1373	1350	1397	211
PVX_088155	1	465037	467949	+	2913	12	28	58	15	137	151	96	41	45	25	29	18	23	55	67	126	98	99	28
PVX_088165	1	469043	474481	+	5439	995	799	1246	457	255	244	324	1424	1215	774	1209	273	154	247	462	1297	1244	1394	228
PVX_088170	1	474921	476369	-	1449	326	360	707	425	164	136	264	516	502	356	839	169	56	102	160	649	622	670	120
PVX_088175	1	477571	479258	-	1688	69	173	276	127	60	86	149	165	233	170	293	58	22	81	133	299	316	282	45
PVX_088180	1	480620	481981	-	1362	302	180	331	139	115	109	80	459	371	213	339	87	55	82	118	356	391	384	55
PVX_088185	1	483978	486356	-	2379	369	182	77	27	26	61	113	455	345	82	70	20	12	65	117	176	180	212	29
PVX_088190	1	487423	491223	+	3801	265	195	223	76	37	81	157	332	297	128	146	32	18	79	123	274	264	257	46
PVX_088195	1	491494	493458	-	1965	198	137	223	65	37	56	90	206	184	126	188	36	17	38	100	215	205	221	37
PVX_088200	1	494492	496063	+	1572	260	177	355	157	82	99	157	355	265	154	306	66	40	70	140	317	339	360	58
PVX_088205	1	497045	500677	+	3633	983	785	1303	870	1136	1203	1060	1657	1008	634	1291	651	522	809	1021	2105	2031	2099	329
PVX_088210	1	501556	502962	-	1407	28	45	169	206	161	113	109	196	94	103	373	154	67	78	126	319	286	297	42
PVX_088215	1	504413	510906	-	6494	345	347	531	128	105	187	240	533	546	353	429	84	52	174	335	519	506	561	89
PVX_088220	1	511749	514964	+	3216	134	241	343	76	59	182	256	279	331	201	272	32	32	156	220	349	339	379	68
PVX_088225	1	516724	519255	+	2532	371	320	534	175	111	986	1333	488	816	321	481	92	217	1035	1181	1032	997	1027	181
PVX_088230	1	520245	520805	-	561	43	52	65	27	17	62	93	38	67	47	69	15	16	60	89	98	106	88	16
PVX_088235	1	521978	527387	+	5410	142	137	602	328	183	380	536	163	173	223	770	165	98	243	388	646	612	672	102
PVX_088240	1	527500	532468	-	4969	201	53	118	49	59	240	607	151	100	65	114	28	47	212	409	271	266	261	43
PVX_088245	1	532751	534247	-	1497	94	97	168	52	24	19	33	124	127	90	126	19	5	29	51	143	131	123	32
PVX_088250	1	535081	537984	+	2904	92	85	126	23	13	16	27	95	118	87	73	6	3	17	52	87	82	120	12
PVX_088255	1	538376	542689	+	4314	340	219	331	194	160	138	178	548	386	245	519	162	82	127	200	498	471	487	77
PVX_088265	1	548122	552688	+	4567	301	118	569	1641	2061	1532	1162	2030	178	211	1720	1419	874	977	1191	2410	2460	2643	421
PVX_088270	1	553428	555639	-	2212	502	342	412	223	238	666	870	741	740	371	579	183	214	772	1105	933	975	946	178
PVX_088275	1	559208	562660	+	3453	180	65	97	151	116	180	235	314	144	98	290	139	95	144	323	347	340	348	54
PVX_088280	1	563033	563875	+	843	23	44	66	10	9	14	30	67	72	48	53	12	8	28	56	60	76	86	16
PVX_093495	1	572540	576238	+	3699	145	42	63	29	38	326	842	114	108	88	129	39	82	381	1052	389	399	421	52
PVX_093500	1	578453	578743	-	291	4	0	4	7	33	1520	2650	19	691	109	61	28	321	2260	3137	1205	1209	1293	186
PVX_093505	1	581418	583283	-	1866	277	77	109	57	50	236	656	167	126	53	125	41	62	244	739	317	294	341	39
PVX_093510	1	585425	588795	+	3371	204	245	394	122	45	71	69	382	350	273	404	73	32	74	96	351	373	392	66
PVX_093515	1	590516	591913	+	1398	244	151	289	303	388	451	413	697	251	161	480	278	209	297	461	665	626	657	118
PVX_093520	1	592578	593366	-	789	181	148	237	124	54	85	180	290	237	168	380	80	32	111	274	326	301	284	54
PVX_093525	1	594331	600755	+	6425	563	304	449	223	268	765	1974	451	413	286	556	152	248	918	2056	1184	1071	1192	187
PVX_093530	1	602158	603921	+	1764	161	175	186	47	18	19	33	225	215	134	92	21	11	23	66	169	171	181	26
PVX_093535	1	604177	620044	-	15868	1106	1006	1882	826	800	844	833	1755	1405	943	1810	507	332	631	928	2041	2012	2098	398
PVX_093540	1	621713	623386	-	1674	94	99	207	110	36	40	51	151	172	133	294	39	19	48	79	219	247	243	40
PVX_093545	1	624460	626630	-	2171	151	111	117	34	37	79	131	256	281	166	195	27	38	116	241	242	221	230	37
PVX_093550	1	627723	631002	-	3280	788	454	737	377	258	325	420	1147	734	502	759	237	147	339	615	1218	1179	1069	245
PVX_093555	1	634033	634957	+	925	191	357	652	449	276	145	103	451	375	303	685	174	65	61	98	711	644	686	114
PVX_093560	1	635545	636903	-	1359	40	105	313	172	92	108	149	88	96	146	400	88	35	66	116	305	298	282	55
PVX_093565	1	638670	641381	-	2712	249	220	323	98	139	294	393	290	348	186	314	69	73	270	444	475	430	452	91
PVX_093570	1	648308	651823	-	3516	142	131	129	39	34	331	308	158	188	68	106	17	79	388	423	305	298	312	48
PVX_093575	1	653698	656892	-	3195	123	141	363	190	103	163	271	189	208	189	481	116	63	139	250	411	436	425	71
PVX_093580	1	657930	660056	-	2127	153	154	176	31	46	119	86	277	244	134	122	26	29	116	169	214	236	222	35
PVX_093585	1	662319	664359	+	2041	44	25	50	56	464	446	299	336	63	35	75	158	210	302	303	413	397	410	71
PVX_093590	1	665686	668439	+	2754	402	254	351	173	86	132	250	430	383	264	326	64	55	141	297	465	419	470	77
PVX_093595	1	668634	670370	-	1737	377	246	361	184	150	289	453	496	363	227	388	109	83	217	401	566	542	564	109
PVX_093600	1	670832	671705	+	874	128	70	107	60	51	158	334	99	95	67	92	24	51	107	265	181	188	223	39
PVX_093605	1	672200	674439	-	2240	128	137	293	136	96	355	486	118	124	144	330	62	82	256	405	431	413	424	67
PVX_093610	1	678286	684855	-	6570	35	119	285	159	458	514	266	369	120	134	415	188	185	275	311	585	568	577	95
PVX_093615	1	686039	689929	+	3891	90	151	326	186	335	342	192	384	273	157	399	135	139	204	187	517	474	508	101
PVX_093620	1	690261	692694	-	2434	174	182	246	72	104	123	83	326	267	159	217	57	35	85	114	271	271	293	45
PVX_093625	1	695036	698242	+	3207	438	343	431	108	35	53	75	384	455	321	404	32	13	54	130	366	396	425	70
PVX_093630	1	698471	699580	-	1110	74	405	690	165	25	26	45	178	494	638	896	60	13	29	39	513	513	542	84
PVX_093635	1	703021	710913	+	7893	131	255	672	537	715	875	770	619	377	330	888	424	349	647	688	1216	1211	1292	209
PVX_093640	1	711670	715404	-	3735	517	295	406	218	119	203	261	552	443	238	437	97	63	183	307	518	472	499	64
PVX_093645	1	717749	728128	-	10380	581	449	714	381	282	654	1169	477	615	405	919	231	178	508	1182	1129	1095	1180	225
PVX_093650	1	735796	738393	+	2598	435	353	539	290	331	374	307	710	548	445	743	270	190	402	594	856	828	860	150
PVX_093655	1	739526	744424	-	4899	110	301	589	126	89	145	218	240	342	289	446	49	31	79	203	467	426	479	77
PVX_093660	1	746624	747678	+	1055	67	102	241	113	52	71	125	115	152	149	339	72	28	78	148	272	223	283	37
PVX_093665	1	748534	750258	+	1725	217	124	146	31	16	22	62	223	204	143	165	25	11	49	91	174	182	153	21
PVX_093670	1	752530	755536	+	3007	5	2	10	4	16	273	277	6	55	3	6	3	42	233	310	158	159	176	21
PVX_093675	1	756799	757686	+	888	32	5	6	3	2	5	34	10	4	5	2	1	3	6	40	20	15	22	1
PVX_093680	1	771669	775922	+	4254	28632	12408	7004	669	372	7767	17460	27982	27226	10239	5556	846	2365	12609	18412	18069	18305	19769	2926
PVX_093685	1	782109	784568	+	2460	2609	1256	1467	642	460	681	918	3493	2087	1229	1817	430	330	726	1337	1995	2102	2301	355
PVX_093695	1	787816	789154	+	1339	982	247	274	188	161	140	168	1003	421	223	395	167	124	197	412	521	519	583	73
PVX_093700	1	792923	793770	+	848	247	34	14	5	1	10	54	120	63	32	39	4	7	35	81	56	44	66	11
PVX_093705	1	795791	797212	-	1422	93	52	87	29	24	43	69	30	43	17	28	7	2	11	33	84	66	60	8
PVX_093710	1	800981	802755	+	1775	33	10	18	6	22	81	173	17	18	10	28	7	9	27	87	60	78	74	7
PVX_093715	1	804451	806384	-	1934	6	18	55	10	9	15	26	34	41	23	40	4	6	24	62	46	53	52	9
PVX_093720	1	811358	813151	+	1794	11	5	8	2	0	0	5	44	25	19	25	5	3	12	24	11	20	22	2
PVX_093725	1	817078	818519	-	1442	1	1	1	0	0	0	0	28	15	3	10	4	0	3	10	13	11	21	2
PVX_093730	1	826062	827597	-	1536	15	9	14	1	0	4	6	19	9	1	3	0	0	2	5	14	16	7	0
PVX_079695	10	17808	21568	+	3761	271	251	362	106	163	378	348	395	418	321	469	136	198	471	700	606	639	651	83
PVX_079700	10	22046	23460	-	1415	34	48	177	161	121	91	115	143	92	104	364	130	70	75	153	307	251	270	35
PVX_079705	10	24133	24912	+	780	24	55	121	95	38	47	54	114	126	113	262	90	27	35	119	190	236	194	28
PVX_079710	10	26276	34081	+	7806	155	81	83	68	654	951	763	626	165	87	172	397	459	738	1320	913	892	890	134
PVX_079715	10	35196	37497	-	2302	132	140	223	117	92	149	157	335	274	209	363	129	103	197	266	339	348	352	59
PVX_079720	10	38623	46825	+	8203	308	180	340	340	1411	1953	1318	1186	300	291	556	766	914	1442	1778	2008	1788	1965	313
PVX_079725	10	46831	49305	-	2475	219	107	153	56	81	252	709	294	278	197	273	100	103	386	963	524	564	562	71
PVX_079730	10	50271	53742	-	3472	279	198	291	69	55	153	288	311	314	188	280	57	43	152	334	321	333	321	55
PVX_079735	10	54038	55622	+	1585	107	91	144	77	41	75	101	139	122	94	179	40	41	90	154	206	190	221	30
PVX_079740	10	55713	59628	-	3916	64	24	72	40	32	50	84	69	58	40	64	15	14	45	99	86	107	121	10
PVX_079745	10	60232	64833	+	4602	119	158	208	64	52	74	101	220	240	152	171	36	25	78	144	235	241	280	36
PVX_079750	10	65101	69250	-	4150	211	91	221	171	344	383	396	560	166	127	325	215	207	357	523	636	638	602	140
PVX_079755	10	71981	73603	+	1623	104	153	334	258	101	104	167	221	258	199	577	141	58	104	224	438	406	398	61
PVX_079760	10	75186	75991	-	806	143	99	122	57	52	82	133	245	211	101	161	50	34	96	314	204	207	249	38
PVX_079765	10	78210	79611	+	1402	273	279	271	114	68	170	421	298	403	205	255	59	47	146	462	374	374	403	63
PVX_079770	10	83306	84716	+	1411	246	119	238	232	167	240	281	428	264	174	476	186	133	254	367	540	560	590	96
PVX_079775	10	93169	96477	+	3309	215	132	145	41	25	55	77	285	236	137	111	26	23	81	151	316	333	336	61
PVX_079780	10	98320	100692	-	2373	330	198	339	182	166	128	193	527	408	225	388	163	85	106	190	417	409	465	67
PVX_079785	10	102250	109477	-	7228	259	288	780	813	1464	1604	1250	1322	461	390	1247	988	831	1104	1465	2037	2041	2129	376
PVX_079790	10	110738	111796	-	1059	25	24	51	25	15	15	15	61	72	41	76	4	7	4	28	54	54	71	2
PVX_079795	10	113043	113793	+	751	34	48	73	26	9	7	11	65	82	60	66	8	5	7	25	45	62	64	10
PVX_079800	10	115515	118330	+	2816	356	229	364	272	235	336	273	688	386	260	607	215	157	261	394	633	669	620	103
PVX_079805	10	118623	120660	+	2038	165	76	84	36	34	168	617	129	108	53	99	25	37	219	536	235	249	227	43
PVX_079810	10	122630	124231	+	1602	216	113	142	66	24	32	71	226	203	128	205	37	26	58	119	216	194	205	28
PVX_079815	10	125046	126265	+	1220	140	62	79	34	10	26	68	164	148	62	105	11	12	29	67	99	93	77	18
PVX_079820	10	126588	127745	+	1158	149	73	139	67	45	118	169	389	352	220	354	138	124	365	587	450	373	376	86
PVX_079825	10	127771	129901	-	2131	70	18	33	37	63	148	196	105	30	16	60	31	52	93	162	152	133	155	13
PVX_079830	10	131163	134034	-	2872	214	47	77	48	237	489	671	282	112	48	103	108	157	381	678	450	464	507	69
PVX_079835	10	137518	139155	+	1638	28	22	30	12	84	161	122	68	21	22	30	36	53	126	148	122	116	122	22
PVX_079840	10	140528	142664	+	2137	806	685	974	306	163	203	286	1311	1157	753	1101	205	105	228	453	1073	1042	1033	170
PVX_079845	10	144521	148411	+	3891	328	329	638	537	406	320	314	765	510	427	1027	370	210	228	396	977	987	988	156
PVX_079850	10	149180	150176	+	997	281	295	546	349	201	149	130	645	422	373	830	242	105	115	146	694	671	671	109
PVX_079855	10	150527	152939	-	2413	190	101	155	111	77	87	119	220	196	146	234	55	43	98	196	220	246	253	37
PVX_079860	10	158533	162049	+	3517	47	16	29	65	581	669	485	166	52	26	60	74	80	156	408	412	409	416	68
PVX_079865	10	162645	165239	-	2595	1165	1070	1664	533	166	226	360	1867	1888	1246	1625	230	96	233	480	1480	1463	1522	225
PVX_079870	10	167415	167954	-	540	97	48	120	93	56	140	161	206	147	84	241	92	57	192	258	267	293	262	36
PVX_079875	10	170716	173116	+	2401	80	28	75	20	16	61	111	89	77	53	64	10	19	59	143	104	120	104	17
PVX_079880	10	174346	177087	+	2742	504	301	435	314	289	480	822	858	576	407	750	270	222	509	1212	875	956	978	136
PVX_079885	10	178711	180035	+	1325	306	227	248	37	64	234	174	497	520	232	218	46	77	221	300	370	409	383	53
PVX_079890	10	181777	185005	+	3229	235	142	748	766	695	896	1227	622	191	315	1494	560	423	629	1071	1458	1365	1497	202
PVX_079895	10	184995	186508	-	1514	37	135	240	226	270	250	158	444	194	132	424	240	144	180	195	458	416	457	66
PVX_079900	10	187724	189261	+	1538	156	145	295	167	180	148	120	369	285	236	434	158	85	113	156	358	394	387	47
PVX_079905	10	190630	193038	+	2409	174	353	556	383	220	138	96	524	549	374	775	258	122	154	165	670	600	684	76
PVX_079910	10	194349	204425	-	10077	151	223	383	157	83	149	234	432	472	307	553	153	125	267	594	552	490	522	101
PVX_079915	10	212682	213125	-	444	1	1	2	2	3	8	12	6	9	5	12	2	3	6	13	12	10	13	2
PVX_079920	10	215911	219957	-	4047	498	464	782	285	251	276	306	987	856	590	1012	248	204	360	632	978	936	1006	153
PVX_079925	10	221653	222744	-	1092	25	77	244	214	100	82	62	131	153	168	443	129	44	63	79	284	282	393	56
PVX_079930	10	223942	226028	+	2087	208	162	330	191	162	156	157	445	321	194	467	130	94	142	214	405	416	418	49
PVX_079935	10	226987	230121	+	3135	115	217	411	222	159	152	187	338	360	281	537	144	70	160	280	475	460	480	83
PVX_079940	10	231261	232355	-	1095	72	36	71	25	9	23	44	114	79	57	96	11	12	25	53	82	89	107	14
PVX_079945	10	233678	235675	+	1998	177	159	191	61	31	54	113	241	285	170	193	23	21	64	153	230	230	255	31
PVX_079950	10	235954	238034	-	2081	88	49	59	22	52	102	242	83	93	54	77	18	29	74	190	145	141	155	27
PVX_079955	10	239601	240506	-	906	38	14	33	12	195	1610	1550	39	231	18	36	87	400	2108	2579	1140	1057	1195	181
PVX_079960	10	242344	243608	-	1265	50	73	132	57	36	44	74	112	105	100	159	37	19	53	92	140	157	147	15
PVX_079965	10	244230	245399	+	1170	46	46	51	9	12	26	48	60	62	50	29	4	5	37	64	49	43	73	9
PVX_079970	10	246053	251706	+	5654	771	567	785	149	125	245	397	889	815	558	551	62	40	151	414	825	795	781	126
PVX_079975	10	252571	253980	-	1410	30	67	115	37	14	35	40	58	90	91	107	24	24	31	91	112	106	103	16
PVX_079980	10	258375	260572	+	2198	104	84	189	96	53	397	660	178	268	151	267	51	106	547	977	490	517	520	94
PVX_079985	10	261446	267007	-	5562	143	260	639	535	509	401	429	555	369	339	1000	381	299	317	530	989	969	1051	159
PVX_079990	10	269141	271217	-	2077	1013	644	684	400	530	495	326	1732	1123	521	942	421	310	308	536	1137	1188	1270	191
PVX_079995	10	275233	279114	-	3882	1259	835	1855	1361	607	821	1106	1939	1542	1193	2988	735	394	815	1447	2542	2516	2702	433
PVX_080000	10	286577	289558	-	2982	266	157	215	81	39	71	152	263	237	173	234	58	28	89	253	253	243	261	44
PVX_080005	10	290902	292224	-	1323	44	90	211	122	68	63	63	130	99	89	267	68	25	37	68	198	192	204	33
