Geneid	Chr	Start	End	Strand	Length	SRR5298122	SRR5298123	SRR5298124	SRR5298125	SRR5298126	SRR5298127	SRR5298128	SRR5298129	SRR5298130	SRR5298131	SRR5298132	SRR5298133	SRR5298134	SRR5298135
PVX_087920	1	292940	293719	+	780	356	393	774	877	290	270	512	592	251	265	226	240	13	18
PVX_087925	1	295180	297959	+	2780	919	1170	2864	3291	724	910	1962	2261	841	964	666	785	42	51
PVX_087930	1	298309	299496	+	1188	419	501	1397	1505	320	377	974	1130	395	438	263	295	9	20
PVX_087935	1	299731	299940	-	210	116	117	299	380	79	87	227	255	113	111	70	77	3	5
PVX_087940	1	300634	304040	-	3407	1320	1296	2466	2720	992	1004	1594	1832	1085	1136	826	956	33	66
PVX_087945	1	304525	306592	+	2068	821	959	2595	2913	600	736	1802	2038	682	786	575	610	21	38
PVX_087950	1	308485	312826	+	4342	1710	1697	4275	4682	1301	1447	3046	3354	1385	1434	1193	1133	47	70
PVX_087955	1	313405	316927	-	3523	1258	1459	3167	3639	1007	1130	2319	2601	1089	1182	924	1013	59	76
PVX_087960	1	317375	319103	-	1729	679	844	2023	2188	478	564	1448	1487	547	597	451	495	16	15
PVX_087965	1	319360	321200	-	1841	642	764	1860	2187	485	580	1167	1474	562	641	462	533	25	36
PVX_087970	1	324282	326945	+	2664	1154	1232	3138	3425	895	905	2071	2296	883	967	762	795	49	65
PVX_087975	1	327624	328385	-	762	306	317	1047	1046	232	226	749	763	237	248	214	189	7	12
PVX_087980	1	330260	334540	+	4281	1334	1569	3202	3812	970	1159	2131	2454	1036	1303	894	1000	30	61
PVX_087985	1	337343	340573	+	3231	1313	1393	3236	3495	986	1055	2171	2479	1045	1192	875	926	56	90
PVX_087990	1	341247	342248	-	1002	354	379	1058	1208	250	333	784	818	320	343	252	277	13	16
PVX_087995	1	342633	349964	-	7332	2830	3047	5479	6014	2164	2339	3705	4003	2264	2560	1958	2126	80	161
PVX_088000	1	350982	355492	-	4511	1618	1720	4540	4801	1206	1321	3169	3418	1262	1395	1161	1202	48	87
PVX_088005	1	356035	356651	+	617	193	234	648	765	171	212	448	501	179	201	123	166	3	13
PVX_088010	1	362843	365107	-	2265	796	901	2483	2746	555	645	1730	1840	683	750	502	629	22	46
PVX_088015	1	366313	368031	-	1719	619	745	2065	2350	523	581	1453	1690	482	644	434	512	98	54
PVX_088020	1	370198	370680	+	483	156	184	298	413	125	130	225	296	110	147	78	87	2	4
PVX_088025	1	371197	374657	-	3461	857	1003	1172	1418	667	712	842	1024	717	868	683	755	30	48
PVX_088030	1	374950	378848	-	3899	1213	1359	1325	1634	862	1005	1048	1175	1050	1154	888	971	39	56
PVX_088035	1	381470	391638	-	10169	3752	4015	4247	4801	2965	3146	3019	3211	3064	3313	2631	2803	130	240
PVX_088040	1	393023	394727	+	1705	685	773	1865	2006	586	585	1019	1188	562	591	443	592	23	35
PVX_088045	1	395850	402118	+	6269	2127	2267	4970	5299	1646	1733	3415	3703	1766	1876	1528	1586	100	124
PVX_088050	1	402750	404299	-	1550	431	489	1247	1495	286	345	922	1128	351	413	318	321	13	32
PVX_088055	1	404528	406075	+	1548	509	513	1302	1379	396	409	911	941	435	434	331	343	14	29
PVX_088060	1	406309	408052	-	1744	529	610	1640	1911	407	469	1103	1288	452	501	396	413	13	36
PVX_088065	1	408495	410473	-	1979	757	883	2231	2771	603	736	1513	1703	602	742	538	690	21	45
PVX_088070	1	412086	413164	-	1079	388	447	911	1167	264	325	640	756	317	323	216	283	9	12
PVX_088075	1	413680	414912	-	1233	393	396	1129	1308	281	331	934	1137	345	330	310	339	9	25
PVX_088080	1	415578	416468	+	891	359	415	998	1117	226	290	745	860	283	325	246	254	23	17
PVX_088085	1	417025	420294	-	3270	1224	1260	2172	2378	978	1071	1532	1686	1011	1074	884	989	113	63
PVX_088090	1	422094	422642	-	549	147	187	269	320	124	130	198	281	136	185	96	100	2	7
PVX_088095	1	426073	428667	+	2595	918	1007	2748	3084	680	816	1865	2095	730	837	653	734	34	62
PVX_088100	1	429056	430134	+	1079	140	171	307	420	83	122	217	274	112	103	79	129	2	11
PVX_088105	1	430420	432741	-	2322	807	808	1841	2097	583	664	1263	1410	685	724	512	554	66	39
PVX_088110	1	435906	437966	+	2061	754	756	1351	1463	496	581	1050	1116	621	690	489	565	20	36
PVX_088115	1	440314	441364	-	1051	470	478	1378	1509	313	333	955	1055	326	389	298	319	10	26
PVX_088120	1	442322	444583	-	2262	802	937	2468	2732	643	720	1750	1920	700	675	541	611	18	52
PVX_088125	1	446507	448144	+	1638	574	644	1773	1910	493	528	1382	1577	498	539	437	424	19	39
PVX_088130	1	448922	453875	-	4954	1582	1832	2817	3035	1278	1389	1758	2093	1385	1551	1095	1255	55	95
PVX_088140	1	454953	458315	-	3363	1131	1292	2994	3264	852	960	1893	2118	939	1091	784	862	36	56
PVX_088145	1	459237	460684	-	1448	403	466	890	1014	340	361	696	767	383	416	298	343	16	22
PVX_088150	1	461594	463935	+	2342	713	744	2231	2473	502	622	1666	1797	580	674	470	586	54	48
PVX_088155	1	465037	467949	+	2913	761	918	1501	1707	623	679	1103	1134	652	754	552	639	33	45
PVX_088165	1	469043	474481	+	5439	1547	1727	3495	4035	1132	1282	2259	2633	1307	1477	992	1219	61	93
PVX_088170	1	474921	476369	-	1449	457	545	1483	1668	420	410	999	1132	408	432	327	388	13	21
PVX_088175	1	477571	479258	-	1688	564	583	1638	1701	392	390	1152	1282	485	492	349	394	21	29
PVX_088180	1	480620	481981	-	1362	343	430	878	971	286	327	445	484	242	255	205	225	4	19
PVX_088185	1	483978	486356	-	2379	758	807	1574	1875	573	574	1122	1330	600	716	577	626	158	47
PVX_088190	1	487423	491223	+	3801	1120	1245	2986	3262	872	930	2042	2192	954	1045	792	827	82	63
PVX_088195	1	491494	493458	-	1965	482	533	1297	1471	330	363	858	952	363	419	331	345	9	20
PVX_088200	1	494492	496063	+	1572	580	657	1634	1897	412	485	1039	1229	477	517	418	434	22	22
PVX_088205	1	497045	500677	+	3633	1370	1414	3826	4121	992	1093	2553	2915	1074	1160	857	920	48	72
PVX_088210	1	501556	502962	-	1407	554	607	1687	1913	427	460	1224	1340	422	490	362	435	16	38
PVX_088215	1	504413	510906	-	6494	2404	2720	5638	6055	1759	2025	3795	4091	2013	2174	1746	1857	333	109
PVX_088220	1	511749	514964	+	3216	959	1101	2748	3009	724	786	1884	2126	823	893	699	720	170	52
PVX_088225	1	516724	519255	+	2532	781	833	2086	2031	595	588	1643	1650	693	770	605	566	31	51
PVX_088230	1	520245	520805	-	561	265	263	734	868	180	223	447	595	168	188	175	199	6	22
PVX_088235	1	521978	527387	+	5410	1897	2036	1912	2060	1436	1593	1492	1630	1575	1688	1312	1396	79	137
PVX_088240	1	527500	532468	-	4969	1584	1746	2636	3039	1198	1257	1785	2028	1268	1443	1070	1137	46	99
PVX_088245	1	532751	534247	-	1497	417	456	1294	1404	287	384	872	1014	372	446	325	348	44	25
PVX_088250	1	535081	537984	+	2904	989	1035	2650	2706	673	844	1742	1818	718	819	670	648	57	59
PVX_088255	1	538376	542689	+	4314	1410	1637	4063	4585	1078	1241	2700	3072	1183	1221	977	1072	38	81
PVX_088265	1	548122	552688	+	4567	1643	1761	3477	3765	1214	1352	2374	2531	1331	1426	1084	1171	92	105
PVX_088270	1	553428	555639	-	2212	868	952	2110	2359	574	671	1494	1594	648	736	520	593	31	33
PVX_088275	1	559208	562660	+	3453	1705	1893	2810	3046	1339	1504	1806	1982	1295	1326	1114	1212	42	98
PVX_088280	1	563033	563875	+	843	484	527	704	808	402	444	478	506	356	400	291	361	14	23
PVX_093495	1	572540	576238	+	3699	2074	2251	2454	2683	1718	1837	1619	1805	1559	1745	1365	1595	61	133
PVX_093500	1	578453	578743	-	291	144	180	459	557	134	123	301	383	125	130	108	103	6	8
PVX_093505	1	581418	583283	-	1866	581	684	1494	1676	456	461	1025	1148	469	514	428	487	13	37
PVX_093510	1	585425	588795	+	3371	1314	1395	3833	4345	906	1154	2645	2895	1025	1110	879	972	34	62
PVX_093515	1	590516	591913	+	1398	507	588	1522	1721	420	445	1098	1234	455	482	357	397	21	30
PVX_093520	1	592578	593366	-	789	340	378	863	1048	266	328	568	644	254	295	219	233	5	27
PVX_093525	1	594331	600755	+	6425	2110	2287	4188	4611	1538	1749	2635	2959	1848	1863	1554	1619	87	128
PVX_093530	1	602158	603921	+	1764	455	487	911	991	331	384	620	711	345	372	324	330	19	22
PVX_093535	1	604177	620044	-	15868	5327	5855	5521	5970	3917	4223	3562	3812	4443	4827	3824	3963	282	292
PVX_093540	1	621713	623386	-	1674	621	736	1799	1902	513	536	1068	1315	451	578	430	441	15	27
PVX_093545	1	624460	626630	-	2171	779	883	2017	2236	618	690	1645	1780	622	743	544	585	18	47
PVX_093550	1	627723	631002	-	3280	999	1162	2392	2656	806	888	1415	1516	877	955	660	734	43	58
PVX_093555	1	634033	634957	+	925	374	421	1112	1426	307	298	834	927	295	335	245	287	13	35
PVX_093560	1	635545	636903	-	1359	552	594	932	1121	360	423	644	810	420	474	359	373	61	29
PVX_093565	1	638670	641381	-	2712	876	992	1689	1873	613	696	1092	1341	717	778	599	603	118	51
PVX_093570	1	648308	651823	-	3516	1128	1231	2325	2465	840	913	1470	1764	949	1023	787	838	77	75
PVX_093575	1	653698	656892	-	3195	1186	1246	2142	2287	857	953	1613	1640	990	1073	814	801	40	63
PVX_093580	1	657930	660056	-	2127	586	644	1598	1795	422	477	1081	1164	461	496	381	435	13	33
PVX_093585	1	662319	664359	+	2041	745	687	1864	1951	562	560	1238	1351	599	577	425	475	29	35
PVX_093590	1	665686	668439	+	2754	832	921	1521	1608	624	677	1075	1180	719	750	639	690	44	45
PVX_093595	1	668634	670370	-	1737	556	590	1668	1751	451	480	1128	1181	462	475	429	409	21	37
PVX_093600	1	670832	671705	+	874	314	378	906	1089	241	271	628	708	236	261	187	220	7	14
PVX_093605	1	672200	674439	-	2240	721	853	2685	2986	545	607	2112	2269	616	704	565	607	29	50
PVX_093610	1	678286	684855	-	6570	2054	2316	2742	3098	1597	1662	2209	2403	1656	1872	1382	1565	81	129
PVX_093615	1	686039	689929	+	3891	1464	1578	1741	1786	1068	1195	1114	1261	1157	1328	976	1065	87	72
PVX_093620	1	690261	692694	-	2434	826	922	1737	1844	619	726	1195	1360	646	710	560	610	18	34
PVX_093625	1	695036	698242	+	3207	1232	1327	2174	2375	996	1042	1399	1668	1032	1130	855	969	59	85
PVX_093630	1	698471	699580	-	1110	381	474	1097	1313	299	361	785	856	358	357	277	317	16	14
PVX_093635	1	703021	710913	+	7893	2311	2392	2712	3037	1721	1816	1836	2075	1944	2035	1593	1709	230	149
PVX_093640	1	711670	715404	-	3735	1425	1522	2471	2621	1103	1173	1743	1826	1178	1301	979	1088	51	117
PVX_093645	1	717749	728128	-	10380	3218	3546	4635	5222	2400	2584	3192	3388	2652	2914	2195	2360	173	196
PVX_093650	1	735796	738393	+	2598	1066	1186	2897	3177	878	900	1978	2246	874	944	818	793	54	66
PVX_093655	1	739526	744424	-	4899	1572	1681	2453	2895	1120	1326	1856	2068	1344	1506	1042	1174	60	98
PVX_093660	1	746624	747678	+	1055	442	484	1164	1248	289	412	834	897	328	357	281	328	11	13
PVX_093665	1	748534	750258	+	1725	721	736	1949	2208	544	530	1358	1576	563	574	468	488	31	34
PVX_093670	1	752530	755536	+	3007	965	1078	1008	1103	682	850	775	854	817	856	714	717	35	54
PVX_093675	1	756799	757686	+	888	343	451	538	668	273	302	435	489	295	341	231	275	20	57
PVX_093680	1	771669	775922	+	4254	2047	2311	3794	4349	1521	1788	2620	3014	1604	1794	1124	1388	103	130
PVX_093685	1	782109	784568	+	2460	1138	1300	2773	2947	952	1008	1883	2147	898	1014	750	869	79	64
PVX_093695	1	787816	789154	+	1339	541	604	1179	1299	465	495	939	1004	454	452	370	395	18	39
PVX_093700	1	792923	793770	+	848	456	470	732	739	334	378	476	487	341	405	296	306	18	43
PVX_093705	1	795791	797212	-	1422	724	767	761	878	519	573	222	181	373	319	321	279	29	55
PVX_093710	1	800981	802755	+	1775	782	813	592	641	643	697	308	287	686	702	558	562	59	132
PVX_093715	1	804451	806384	-	1934	804	919	550	715	612	682	245	326	588	704	500	537	48	85
PVX_093720	1	811358	813151	+	1794	4	6	1	3	9	4	232	268	697	755	533	555	99	229
PVX_093725	1	817078	818519	-	1442	469	225	155	75	340	225	253	231	936	837	591	514	54	118
PVX_093730	1	826062	827597	-	1536	303	318	154	133	255	202	75	102	265	300	188	236	29	81
PVX_079695	10	17808	21568	+	3761	1963	2168	2956	3254	1620	1705	1875	2046	1521	1555	1288	1358	74	90
PVX_079700	10	22046	23460	-	1415	821	846	1588	1700	617	694	963	1119	602	642	507	538	23	49
PVX_079705	10	24133	24912	+	780	434	537	1101	1227	347	389	652	732	297	404	276	304	12	30
PVX_079710	10	26276	34081	+	7806	3841	4273	5852	6559	2962	3269	3580	4090	2992	3199	2360	2653	116	195
PVX_079715	10	35196	37497	-	2302	1243	1291	2522	2801	888	990	1639	1801	929	963	758	889	29	90
PVX_079720	10	38623	46825	+	8203	4195	4374	4736	5098	3164	3401	3430	3633	3242	3530	2837	3025	167	234
PVX_079725	10	46831	49305	-	2475	1295	1421	2735	3128	998	1067	2034	2202	946	1023	808	946	18	74
PVX_079730	10	50271	53742	-	3472	1691	1853	3884	4127	1293	1407	2574	2700	1316	1409	1138	1158	249	116
PVX_079735	10	54038	55622	+	1585	821	858	1740	1969	667	648	1106	1368	609	675	543	614	23	31
PVX_079740	10	55713	59628	-	3916	1891	2060	4084	4194	1389	1537	2760	2924	1442	1563	1207	1285	28	96
PVX_079745	10	60232	64833	+	4602	2099	2368	2998	3405	1568	1688	2061	2180	1726	1810	1345	1466	57	113
PVX_079750	10	65101	69250	-	4150	1958	2164	2407	2664	1489	1663	1767	2060	1495	1704	1206	1389	139	114
PVX_079755	10	71981	73603	+	1623	738	872	1280	1625	562	636	937	1085	624	654	563	598	33	54
PVX_079760	10	75186	75991	-	806	425	496	923	1166	320	317	673	754	318	349	253	309	14	28
PVX_079765	10	78210	79611	+	1402	751	830	2118	2329	567	583	1319	1537	536	594	512	506	33	31
PVX_079770	10	83306	84716	+	1411	618	651	1779	2100	429	529	1324	1390	507	522	398	432	47	34
PVX_079775	10	93169	96477	+	3309	1429	1556	2628	2830	1054	1224	1844	2087	1091	1166	972	1023	37	75
PVX_079780	10	98320	100692	-	2373	936	1055	2550	3106	762	879	1666	1873	762	898	675	734	20	45
PVX_079785	10	102250	109477	-	7228	3051	3280	5141	5515	2298	2524	3483	3724	2489	2613	1905	2089	144	406
PVX_079790	10	110738	111796	-	1059	542	623	1231	1418	416	404	789	894	424	458	338	369	9	32
PVX_079795	10	113043	113793	+	751	296	374	957	1123	203	305	631	763	254	264	169	216	12	9
PVX_079800	10	115515	118330	+	2816	1331	1380	2464	2747	931	1005	1683	1930	1018	1181	853	944	53	54
PVX_079805	10	118623	120660	+	2038	794	952	2090	2440	583	740	1566	1639	618	709	549	623	22	42
PVX_079810	10	122630	124231	+	1602	705	845	1693	1907	632	631	1194	1331	622	639	480	536	21	38
PVX_079815	10	125046	126265	+	1220	486	575	1442	1727	395	442	1037	1177	429	480	366	391	8	41
PVX_079820	10	126588	127745	+	1158	582	604	1579	1718	472	460	919	1033	461	450	398	459	18	16
PVX_079825	10	127771	129901	-	2131	926	990	2485	2844	694	774	1661	1802	736	807	591	698	17	43
PVX_079830	10	131163	134034	-	2872	1007	1105	1767	2138	695	811	1192	1373	772	840	591	746	10	57
PVX_079835	10	137518	139155	+	1638	742	798	2048	2406	558	705	1433	1644	612	638	465	517	21	31
PVX_079840	10	140528	142664	+	2137	966	1027	2054	2239	813	836	1382	1528	742	852	647	767	41	67
PVX_079845	10	144521	148411	+	3891	1597	1735	2495	2689	1167	1349	1671	1857	1233	1381	1017	1123	39	78
PVX_079850	10	149180	150176	+	997	365	415	1229	1412	301	337	808	963	352	338	263	276	9	22
PVX_079855	10	150527	152939	-	2413	1054	1096	2221	2434	749	790	1597	1759	809	756	702	670	30	44
PVX_079860	10	158533	162049	+	3517	1426	1531	3143	3554	984	1052	2264	2438	1131	1237	895	946	22	73
PVX_079865	10	162645	165239	-	2595	932	1124	2771	3305	754	901	1921	2169	705	960	614	777	18	53
PVX_079870	10	167415	167954	-	540	275	269	767	625	209	205	477	499	214	220	193	169	3	11
PVX_079875	10	170716	173116	+	2401	948	1098	2642	2963	729	796	1813	1959	720	773	602	691	23	54
PVX_079880	10	174346	177087	+	2742	1262	1434	3209	3507	990	1026	2147	2375	1013	1059	880	986	34	117
PVX_079885	10	178711	180035	+	1325	563	586	1255	1528	431	546	922	1020	459	582	430	465	7	810
PVX_079890	10	181777	185005	+	3229	1416	1581	2421	2688	1083	1259	1565	1681	1149	1319	972	986	42	78
PVX_079895	10	184995	186508	-	1514	609	684	1597	1718	421	509	954	1014	463	531	384	424	26	24
PVX_079900	10	187724	189261	+	1538	791	832	1767	2100	603	594	1135	1299	554	623	513	581	28	37
PVX_079905	10	190630	193038	+	2409	841	1019	1563	1747	719	792	1000	986	707	805	611	624	21	33
PVX_079910	10	194349	204425	-	10077	4142	4431	3964	4409	3172	3333	2745	2860	3448	3780	2856	3263	118	328
PVX_079915	10	212682	213125	-	444	184	230	530	606	139	180	413	544	169	183	123	151	4	5
PVX_079920	10	215911	219957	-	4047	1698	1846	3047	3334	1325	1384	2085	2093	1298	1425	1157	1227	53	87
PVX_079925	10	221653	222744	-	1092	518	535	1312	1508	449	449	967	1069	387	470	342	344	12	15
PVX_079930	10	223942	226028	+	2087	954	1030	2790	3037	694	821	1812	2038	729	839	580	632	28	53
PVX_079935	10	226987	230121	+	3135	1150	1382	3128	3705	899	1075	2185	2469	870	970	722	771	40	73
PVX_079940	10	231261	232355	-	1095	563	573	1473	1710	389	489	1081	1120	379	447	370	378	8	33
PVX_079945	10	233678	235675	+	1998	881	1004	1811	2023	649	726	1248	1362	687	777	586	644	23	44
PVX_079950	10	235954	238034	-	2081	661	743	1973	2336	500	547	1382	1600	571	593	477	473	23	38
PVX_079955	10	239601	240506	-	906	400	453	1185	1334	284	316	853	945	312	402	290	358	11	11
PVX_079960	10	242344	243608	-	1265	500	564	1473	1692	371	442	905	1107	397	455	313	345	11	23
PVX_079965	10	244230	245399	+	1170	559	623	1640	1896	406	478	1183	1372	430	479	327	397	780	31
PVX_079970	10	246053	251706	+	5654	2052	2410	3274	3771	1582	1864	2315	2571	1717	1866	1464	1550	284	126
PVX_079975	10	252571	253980	-	1410	597	645	1600	1874	456	468	1098	1233	472	517	395	465	10	32
PVX_079980	10	258375	260572	+	2198	907	997	2440	2888	721	805	1635	1902	682	776	574	607	14	45
PVX_079985	10	261446	267007	-	5562	2339	2495	3441	3668	1912	1931	2287	2532	1845	2076	1532	1744	81	151
PVX_079990	10	269141	271217	-	2077	844	941	1765	1926	672	744	1229	1277	752	803	612	618	29	38
PVX_079995	10	275233	279114	-	3882	1335	1562	2865	3211	1128	1158	1715	1917	1098	1203	936	1008	44	61
PVX_080000	10	286577	289558	-	2982	1376	1407	2749	2990	964	1067	1803	2124	1017	1063	831	915	74	78
PVX_080005	10	290902	292224	-	1323	518	531	1044	1228	328	396	744	814	381	454	322	346	18	20
PVX_080010	10	295010	297724	+	2715	1028	1255	2762	3146	802	949	1936	2131	913	950	756	792	32	76
PVX_080015	10	299771	300193	+	423	161	204	417	542	135	190	277	392	119	187	93	136	3	21
PVX_080020	10	301500	302240	-	741	375	404	917	1068	245	314	624	699	288	267	252	246	7	14
PVX_080025	10	302298	304098	-	1801	682	817	2014	2297	498	535	1349	1618	469	577	438	525	19	51
PVX_080030	10	306279	307891	+	1613	201	249	486	623	139	153	384	412	208	209	199	174	12	19
PVX_080035	10	308652	309962	+	1311	532	655	1589	1774	465	477	1050	1100	464	457	365	426	15	27
PVX_080040	10	311631	312489	+	859	242	297	595	697	169	232	389	478	197	222	154	205	1	20
PVX_080045	10	313160	316821	-	3662	1392	1517	2549	2777	1009	1104	1678	1774	1078	1215	935	989	35	82
PVX_080050	10	319317	322852	-	3536	1559	1803	2800	3024	1187	1305	1956	2095	1364	1331	1074	1163	1641	99
PVX_080055	10	328807	329286	+	480	246	282	701	881	178	247	442	540	177	269	156	151	9	21
PVX_080060	10	331376	334063	-	2688	1385	1386	2407	2718	979	1155	1670	1807	1031	1108	875	988	41	57
PVX_080065	10	339027	343012	+	3986	1875	1981	4067	4466	1495	1576	2853	3280	1372	1548	1169	1375	49	102
PVX_080070	10	343425	345985	-	2561	1062	1279	2760	3221	809	891	1854	2305	896	993	700	834	28	71
PVX_080075	10	345890	347498	+	1609	693	791	1955	2175	517	659	1255	1442	538	599	460	525	20	44
PVX_080080	10	348108	350329	-	2222	1074	1154	2537	2621	854	873	1785	1886	801	905	720	732	31	47
PVX_080085	10	353159	354266	+	1108	527	525	1403	1647	363	419	1004	1061	362	448	371	396	13	29
PVX_080090	10	354356	357522	-	3167	1514	1653	2991	3370	1179	1278	2081	2252	1194	1204	987	1087	72	80
PVX_080095	10	358242	361055	+	2814	1114	1321	2756	3337	820	972	1878	2196	939	1114	725	794	37	40
PVX_080100	10	361490	366095	-	4606	2151	2284	2880	3253	1584	1675	2102	2184	1758	1845	1407	1553	65	98
PVX_080105	10	370279	376086	-	5808	2131	2269	3970	4362	1555	1677	2906	3160	1748	1777	1437	1438	129	110
PVX_080110	10	380286	381700	+	1415	621	751	1963	2074	447	571	1216	1423	495	543	445	485	13	32
PVX_080115	10	381748	382874	-	1127	514	549	1356	1528	351	414	832	1050	398	413	315	368	14	17
PVX_080120	10	384143	385612	-	1470	716	737	1456	1621	535	635	1050	1156	564	645	492	518	23	42
PVX_080125	10	387622	388474	-	853	401	440	1111	1410	297	329	797	940	314	392	270	348	12	16
PVX_080130	10	389800	417168	-	27369	11945	13030	8915	9672	9143	9905	5634	6062	9447	10029	7967	8388	722	662
PVX_080135	10	419988	422419	+	2432	983	1154	2775	3181	742	904	1791	2143	790	869	666	765	27	60
