Geneid	Chr	Start	End	Strand	Length	SRR3134662	SRR3134663	SRR3134664	SRR3134665	SRR3134666	SRR3134667
PF3D7_0109950	1	386708	387940	+	1233	11513	3766	4245	4261	5283	4422
PF3D7_0110000	1	388372	389076	+	705	206	74	50	52	47	37
PF3D7_0110100	1	389261	392065	-	2805	5868	2385	2434	1277	2696	1941
PF3D7_0110200	1	392604	393035	+	432	195	72	76	75	86	72
PF3D7_0110400	1	393875	394835	-	961	117	60	30	55	55	89
PF3D7_0110500	1	396591	403606	+	7016	732	386	272	254	306	271
PF3D7_0110600	1	405739	412169	+	6431	2601	892	963	942	1006	938
PF3D7_0110700	1	413760	415100	-	1341	282	120	114	120	139	124
PF3D7_0110800	1	417921	419607	+	1687	98	43	34	56	30	73
PF3D7_0110900	1	420293	420853	-	561	23	6	11	4	4	10
PF3D7_0111000	1	421776	427575	-	5800	631	230	205	197	239	189
PF3D7_0111200	1	430152	430858	-	707	283	110	126	67	142	94
PF3D7_0111300	1	431539	435042	-	3504	48	20	16	6	28	19
PF3D7_0111400	1	436408	438564	+	2157	35	17	15	9	10	19
PF3D7_0111500	1	439652	441418	-	1767	105	38	32	44	30	50
PF3D7_0111600	1	442543	443289	-	747	143	63	54	48	49	65
PF3D7_0111700	1	443585	443938	-	354	1	3	0	2	3	5
PF3D7_0111800	1	446026	448849	+	2824	127	48	43	45	45	36
PF3D7_0111900	1	450043	450646	-	604	14	6	4	12	10	6
PF3D7_0112000	1	450831	453118	-	2288	252	102	81	95	86	124
PF3D7_0112100	1	454847	455338	+	492	0	4	0	1	2	2
PF3D7_0112200	1	464726	470194	+	5469	1572	527	481	403	471	453
PF3D7_0112800	1	481809	482618	-	810	70	26	12	13	9	27
PF3D7_0112900	1	486500	487186	+	687	148	87	78	42	87	62
PF3D7_0113000	1	487892	490127	-	2236	58	22	4	31	12	10
PF3D7_0113100	1	495244	500076	+	4833	68	25	26	18	24	21
PF3D7_0113200	1	500959	502868	-	1910	55	43	20	44	37	38
PF3D7_0113300	1	504938	506874	-	1937	10	17	16	20	7	17
PF3D7_0113400	1	508252	509748	-	1497	33	30	8	15	15	16
PF3D7_0113700	1	520807	522579	+	1773	32	15	6	11	8	6
PF3D7_0113800	1	527107	536351	+	9245	206	74	51	60	67	68
PF3D7_0113900	1	537109	538025	-	917	8140	2471	2690	2523	2847	2178
PF3D7_0114000	1	542480	546983	+	4504	1035	451	281	465	395	515
PF3D7_0114100	1	547597	548380	-	784	207	86	59	108	75	74
PF3D7_0114200	1	550576	551713	-	1138	3	6	3	10	1	6
PF3D7_0114500	1	558201	558708	-	508	737	527	262	372	249	480
PF3D7_0114700	1	563703	564842	-	1140	3	5	1	8	1	11
PF3D7_0114800	1	569485	570272	-	788	0	0	0	0	1	1
PF3D7_0115000	1	577704	583789	+	6086	27	10	2	8	8	7
PF3D7_0115100	1	587391	588394	+	1004	4	1	0	0	5	1
PF3D7_0115200	1	591849	593187	+	1339	3	4	3	5	4	4
PF3D7_0115300	1	595102	596273	+	1172	47	16	21	15	4	21
PF3D7_0115400	1	598465	599472	+	1008	382	163	186	191	250	259
PF3D7_0115600	1	604162	605531	+	1370	4986	1892	1716	2005	1988	1730
PF3D7_0115700	1	607390	614893	-	7504	458	165	123	200	127	189
PF3D7_1000100	10	28490	36164	+	7675	235	29	69	25	104	24
PF3D7_1000200	10	38050	39395	-	1346	415	40	145	46	159	68
PF3D7_1000300	10	41773	42963	-	1191	40	2	10	4	7	4
PF3D7_1000400	10	44816	46133	-	1318	70	23	32	33	25	44
PF3D7_1000500	10	48052	49384	-	1333	13	2	1	4	5	5
PF3D7_1000600	10	51349	52599	-	1251	0	0	0	0	0	0
PF3D7_1001000	10	63152	64032	+	881	17	2	7	9	3	2
PF3D7_1001100.2	10	67807	68753	-	947	0	0	0	0	0	0
PF3D7_1001100.1	10	67807	68961	-	1155	0	0	0	0	0	1
PF3D7_1001200	10	70547	70819	-	273	3	3	4	0	1	4
PF3D7_1001300	10	72934	73917	-	984	0	0	0	0	0	0
PF3D7_1001400	10	74661	77572	-	2912	62	33	12	18	14	27
PF3D7_1001500	10	81416	81739	-	324	11	4	1	8	4	3
PF3D7_1001600	10	86538	89009	-	2472	14	26	13	30	13	43
PF3D7_1001700	10	92573	93526	-	954	8	1	3	3	3	2
PF3D7_1001800	10	96113	97031	-	919	4	2	0	0	2	6
PF3D7_1001900	10	99379	100361	-	983	18	4	3	6	12	6
PF3D7_1002000	10	103118	104683	-	1566	39	21	18	15	17	28
PF3D7_1002100	10	106653	108662	-	2010	109	66	23	99	28	96
PF3D7_1002200	10	112929	116015	+	3087	113	41	36	45	27	54
PF3D7_1002300	10	117242	118534	+	1293	194	101	79	94	96	121
PF3D7_1002400.2	10	121115	123291	+	2177	0	0	0	0	0	0
PF3D7_1002400.1	10	121115	123291	+	2177	0	0	0	0	0	0
PF3D7_1002500	10	123770	124882	-	1113	1754	554	542	610	534	566
PF3D7_1002600	10	125939	127600	+	1662	157	81	36	55	63	55
PF3D7_1002700	10	129276	132110	+	2835	11	16	15	3	8	18
PF3D7_1002800	10	132995	137272	+	4278	464	173	139	160	225	194
PF3D7_1002900	10	138765	139853	+	1089	55	36	26	18	32	32
PF3D7_1003000	10	142419	146237	+	3819	1449	511	559	415	604	445
PF3D7_1003100	10	147639	148239	+	601	387	219	167	162	225	178
PF3D7_1003200	10	149342	150038	+	697	208	93	75	79	93	104
PF3D7_1003300	10	150416	150874	-	459	137	70	50	56	44	70
PF3D7_1003400	10	152364	158516	-	6153	1054	564	440	512	586	561
PF3D7_1003500	10	160316	160962	-	647	29	17	8	11	21	22
PF3D7_1003600	10	164945	165790	+	846	254	105	56	107	76	125
PF3D7_1003700	10	166743	170669	-	3927	89	22	33	31	45	37
PF3D7_1003800	10	172723	176430	-	3708	417	92	113	180	170	247
PF3D7_1003900	10	177921	178870	+	950	19	21	11	19	11	13
PF3D7_1004000	10	179344	180226	-	883	51	12	22	17	14	16
PF3D7_1004100	10	182244	187100	+	4857	218	97	65	92	82	94
PF3D7_1004200	10	187669	196954	-	9286	165	70	52	67	84	78
PF3D7_1004300	10	199452	202844	-	3393	189	78	42	62	65	65
PF3D7_1004400	10	207000	209642	-	2643	69	70	38	50	55	45
PF3D7_1004500	10	213986	214594	-	609	0	4	3	1	1	2
PF3D7_1004600	10	215717	219759	+	4043	323	142	140	123	146	171
PF3D7_1004700	10	220018	221353	-	1336	744	271	269	271	231	268
PF3D7_1004800	10	221945	223430	+	1486	2943	1012	1056	982	1137	842
PF3D7_1004900	10	224248	225207	+	960	66	15	21	33	16	23
PF3D7_1005000	10	225456	227705	-	2250	1002	419	316	341	319	336
PF3D7_1005100	10	228798	232193	+	3396	5141	1909	1763	2054	1820	1792
PF3D7_1005200	10	232422	232818	-	397	30	10	7	10	7	12
PF3D7_1005300	10	233285	234473	-	1189	15	4	5	4	8	12
PF3D7_1005400	10	234795	235745	-	951	40	34	33	16	23	27
PF3D7_1005500	10	237506	242245	-	4740	255	95	60	122	81	135
PF3D7_1005600	10	244145	246535	-	2391	1365	501	392	406	460	385
PF3D7_1005700	10	247495	249940	-	2446	2064	717	839	678	917	607
PF3D7_1005800	10	251579	252490	+	912	2362	938	988	642	1156	659
PF3D7_1005900	10	253704	255611	+	1908	888	353	225	362	208	387
PF3D7_1006000	10	256117	257699	-	1583	488	219	177	209	195	208
PF3D7_1006100	10	259060	260304	-	1245	1257	509	492	496	617	463
PF3D7_1006200	10	262150	262997	-	848	4720	1807	1640	1683	1934	1444
PF3D7_1006300	10	265750	266836	-	1087	869	226	312	248	370	225
PF3D7_1006400	10	267219	269831	-	2613	300	131	112	152	124	236
PF3D7_1006500	10	270535	271497	+	963	159	65	69	58	82	54
PF3D7_1006600	10	272243	272824	-	582	42	25	15	14	23	16
PF3D7_1006700	10	274091	275426	+	1336	647	236	264	268	241	231
PF3D7_1006800	10	277621	279168	+	1548	204	77	57	86	89	83
PF3D7_1006900	10	281459	283104	+	1646	1087	465	384	369	421	394
PF3D7_1007000	10	284577	286302	+	1726	424	193	145	180	191	182
PF3D7_1007100	10	286522	287473	-	952	729	283	277	289	295	267
PF3D7_1007200	10	288383	290826	-	2444	284	122	64	111	88	144
PF3D7_1007300	10	293850	295999	+	2150	478	205	184	145	181	150
PF3D7_1007400	10	296906	297565	+	660	157	79	54	47	62	70
PF3D7_1007500	10	298361	298687	+	327	39	15	13	16	15	13
PF3D7_1007600	10	299280	299609	+	330	327	137	115	88	106	135
PF3D7_1007700	10	301126	305919	-	4794	84	40	18	41	49	38
PF3D7_1007800	10	311397	314516	-	3120	36	17	15	9	18	11
PF3D7_1007900	10	316649	318280	+	1632	87	31	54	54	54	60
PF3D7_1008000	10	321011	328150	+	7140	51	24	22	18	38	28
PF3D7_1008100	10	331246	342807	+	11562	291	133	100	100	97	119
PF3D7_1008200	10	343733	344899	-	1167	328	107	96	93	104	129
PF3D7_1008400	10	347206	348667	-	1462	204	95	42	95	64	75
PF3D7_1008500	10	351703	355593	+	3891	1842	822	691	678	701	647
PF3D7_1008600	10	357345	358463	+	1119	83	40	32	40	25	42
PF3D7_1008700	10	360625	362480	-	1856	2173	577	810	735	931	757
PF3D7_1008800	10	365737	367146	-	1410	2302	502	773	663	881	819
PF3D7_1008900	10	369199	370225	-	1027	1406	488	464	438	505	451
PF3D7_1009000	10	371293	372117	+	825	428	149	130	139	169	136
PF3D7_1009100	10	372519	374072	+	1554	145	73	58	54	87	67
PF3D7_1009200	10	374864	377611	+	2748	749	344	214	325	212	353
PF3D7_1009300	10	377906	379708	-	1803	285	85	75	103	77	83
PF3D7_1009400	10	381361	382449	+	1089	121	76	46	69	50	68
PF3D7_1009500	10	383044	384793	-	1750	87	47	29	47	45	39
PF3D7_1009600	10	386976	388442	+	1467	194	54	62	89	79	80
PF3D7_1009700	10	389504	391165	-	1662	63	33	21	28	31	33
PF3D7_1009800	10	393765	397993	-	4229	849	424	400	370	421	396
PF3D7_1009900	10	399207	401778	+	2572	1928	661	606	591	630	506
PF3D7_1010000	10	401876	402711	-	836	445	184	141	161	145	168
PF3D7_1010100	10	403679	404575	+	897	105	41	31	51	21	53
PF3D7_1010200	10	405017	410536	-	5520	212	131	81	122	121	104
PF3D7_1010300	10	414732	415328	+	597	864	305	324	241	376	275
PF3D7_1010400	10	415404	417471	-	2068	856	397	334	270	396	334
PF3D7_1010500	10	417705	419318	+	1614	271	119	113	116	114	108
PF3D7_1010600	10	420185	421056	-	872	626	263	249	225	262	242
PF3D7_1010700	10	422961	424365	+	1405	276	82	82	96	108	90
PF3D7_1010800	10	424866	425765	-	900	231	76	72	66	79	70
PF3D7_1010900	10	426601	428146	+	1546	111	90	43	36	36	57
PF3D7_1011000	10	429204	430140	-	937	731	394	314	341	345	364
PF3D7_1011100	10	432505	435570	-	3066	826	252	282	230	282	301
PF3D7_1011200.1	10	436958	437708	+	751	0	0	0	0	0	0
PF3D7_1011200.2	10	436958	437708	+	751	0	0	0	0	0	0
PF3D7_1011300	10	438446	440380	+	1935	18	19	7	10	11	11
PF3D7_1011400	10	441140	441955	-	816	441	172	183	213	189	258
PF3D7_1011500	10	443874	444401	-	528	813	343	301	404	420	337
PF3D7_1011600	10	445164	447125	-	1962	50	15	10	20	13	9
PF3D7_1011700	10	449154	450323	+	1170	164	60	39	54	49	66
PF3D7_1011800	10	455398	458817	+	3420	3491	1394	1096	1698	1297	1627
PF3D7_1011900	10	460335	461993	-	1659	363	104	123	105	133	106
PF3D7_1012000	10	463493	467006	+	3514	225	111	52	100	67	108
PF3D7_1012100	10	468071	469536	-	1466	125	48	37	64	37	55
PF3D7_1012200	10	470979	471933	+	955	324	182	95	136	154	132
PF3D7_1012300	10	472546	473386	-	841	80	52	40	35	25	43
PF3D7_1012400	10	475327	476563	-	1237	1490	516	548	545	630	490
PF3D7_1012500	10	478758	480539	-	1782	62	45	29	84	37	99
PF3D7_1012600	10	482527	484194	-	1668	4291	1403	1530	1504	1614	1358
PF3D7_1012700	10	487252	491828	+	4577	688	261	258	233	287	233
PF3D7_1012800	10	492550	495144	+	2595	24	9	7	2	2	8
PF3D7_1012900	10	496331	497573	-	1243	89	47	39	33	43	45
PF3D7_1013000	10	500210	502221	+	2012	125	37	36	43	33	59
PF3D7_1013100	10	502634	506392	-	3759	68	55	25	56	51	39
PF3D7_1013200	10	511084	514278	+	3195	64	62	20	31	35	38
PF3D7_1013300	10	515721	517607	-	1887	120	48	32	38	48	40
PF3D7_1013400	10	518542	522252	-	3711	65	37	21	23	28	26
PF3D7_1013500	10	526840	531448	+	4609	818	257	234	229	294	240
PF3D7_1013600	10	533109	539825	+	6717	93	48	27	44	29	50
PF3D7_1013700	10	540622	541694	+	1073	154	84	59	91	75	64
PF3D7_1013800	10	542359	544779	+	2421	62	22	22	23	21	37
PF3D7_1013900	10	545679	548903	-	3225	74	35	32	23	32	21
PF3D7_1014000	10	550839	552571	-	1733	245	90	66	89	97	97
PF3D7_1014100	10	555160	559527	+	4368	33	12	8	14	11	24
PF3D7_1014200	10	560538	563353	+	2816	6406	2568	2559	2701	3007	3056
PF3D7_1014300	10	565805	573060	+	7256	415	180	154	230	210	188
PF3D7_1014400	10	574129	575103	+	975	1423	652	473	668	581	619
PF3D7_1014500	10	576579	580478	+	3900	37	12	14	10	15	16
PF3D7_1014600	10	581354	589090	-	7737	94	49	25	49	44	39
PF3D7_1014700	10	595308	596222	+	915	643	230	171	240	162	238
PF3D7_1014800	10	596497	600413	-	3917	107	26	31	39	43	45
PF3D7_1014900	10	600970	607809	-	6840	103	43	31	60	44	50
PF3D7_1015000	10	611213	612199	+	987	112	42	42	64	51	49
PF3D7_1015100	10	612685	613875	-	1191	5	7	1	9	4	8
PF3D7_1015200.3	10	614872	616796	-	1925	0	0	0	0	0	0
PF3D7_1015200.1	10	614872	617736	-	2865	0	0	0	0	0	0
PF3D7_1015200.2	10	614872	617736	-	2865	0	0	0	0	0	0
PF3D7_1015300	10	618440	619993	+	1554	313	107	78	158	119	193
PF3D7_1015400	10	621305	623626	+	2322	1	3	4	1	2	2
PF3D7_1015500	10	624048	625895	-	1848	640	281	274	163	285	262
PF3D7_1015600	10	627044	629040	-	1997	75	43	29	41	36	79
PF3D7_1015700.1	10	629909	632061	-	2153	66	47	17	25	24	35
PF3D7_1015700.2	10	630310	632061	-	1752	0	0	0	0	0	0
PF3D7_1015800	10	633682	635286	+	1605	172	63	76	76	98	108
PF3D7_1015900	10	637138	639011	+	1874	3365	1130	1231	1469	1487	1509
PF3D7_1016000	10	641390	642751	+	1362	21	8	9	8	8	11
PF3D7_1016100	10	643558	644331	-	774	93	55	42	38	43	46
PF3D7_1016200	10	646054	647736	+	1683	37	12	8	17	14	9
PF3D7_1016300	10	650898	653567	-	2670	170	58	59	73	75	67
PF3D7_1016400	10	656709	659027	-	2319	159	66	47	70	43	79
PF3D7_1016500	10	661742	664201	-	2460	27	13	9	16	9	10
PF3D7_1016600	10	665658	666654	-	997	1	2	0	1	1	4
PF3D7_1016700	10	669202	671853	-	2652	23	8	5	12	6	11
PF3D7_1016800	10	675293	676417	-	1125	13	2	2	8	4	4
PF3D7_1016900	10	682182	682508	-	327	29	19	15	19	5	13
PF3D7_1017000	10	685578	688862	+	3285	219	112	78	135	93	145
PF3D7_1017100	10	689888	690820	-	933	0	4	2	2	0	1
PF3D7_1017200	10	692426	694218	+	1793	1570	631	585	577	574	517
PF3D7_1017300.2	10	694840	696591	-	1752	0	0	0	0	0	0
PF3D7_1017300.1	10	694840	696709	-	1870	2	0	3	3	3	1
PF3D7_1017400	10	697970	699823	-	1854	371	160	157	107	174	140
PF3D7_1017500	10	701746	702422	+	677	313	123	118	106	116	120
PF3D7_1017600	10	705537	708452	+	2916	484	277	136	212	192	211
PF3D7_1017700	10	709507	710826	+	1320	510	183	155	153	159	150
PF3D7_1017800	10	711016	714658	-	3643	427	198	140	159	165	190
PF3D7_1017900	10	715878	717437	+	1560	952	306	337	242	339	263
PF3D7_1018000	10	718454	720136	+	1683	294	122	72	79	86	95
PF3D7_1018100	10	720551	721399	+	849	190	111	77	44	68	65
PF3D7_1018200	10	721734	728331	-	6598	279	131	87	99	123	118
PF3D7_1018300	10	729809	732856	-	3048	1256	593	523	602	486	581
PF3D7_1018400	10	734722	735738	+	1017	488	206	159	164	155	173
PF3D7_1018500	10	735921	736813	-	893	1725	701	524	613	540	575
PF3D7_1018600	10	737692	743406	-	5715	764	278	251	296	330	311
PF3D7_1018700	10	747028	748887	+	1860	318	148	124	141	139	154
PF3D7_1018800	10	750215	752665	+	2451	526	208	217	137	235	192
PF3D7_1018900	10	752760	754910	-	2151	1557	555	433	473	484	489
PF3D7_1019000	10	757795	765158	+	7364	2225	737	835	716	788	635
PF3D7_1019100	10	766168	771954	-	5787	248	98	66	93	105	123
PF3D7_1019200	10	773531	774490	+	960	63	39	21	21	23	28
PF3D7_1019300	10	774929	780732	-	5804	297	143	80	107	108	118
PF3D7_1019400	10	786503	787008	+	506	195	97	78	104	70	85
PF3D7_1019500.1	10	787745	795220	-	7476	0	0	0	0	0	0
PF3D7_1019500.2	10	787745	795220	-	7476	0	0	0	0	0	0
PF3D7_1019600	10	796291	799923	+	3633	164	74	44	61	47	56
PF3D7_1019700	10	800278	803502	-	3225	102	50	34	40	44	50
PF3D7_1019800	10	804328	807582	-	3255	162	68	76	59	80	51
PF3D7_1019900	10	808618	808992	-	375	349	126	159	133	152	136
PF3D7_1020000	10	811106	813484	-	2379	598	307	198	247	263	254
PF3D7_1020100	10	814352	814957	-	606	509	206	228	243	234	214
PF3D7_1020200	10	816066	818972	-	2907	313	139	81	130	102	149
PF3D7_1020300	10	819830	822139	+	2310	838	384	294	405	320	394
PF3D7_1020400	10	822602	824593	-	1992	1198	275	249	300	204	311
PF3D7_1020500	10	825451	826971	+	1521	17	6	9	13	8	7
PF3D7_1020600	10	827488	834231	+	6744	183	132	83	102	105	107
PF3D7_1020700	10	835292	839700	+	4409	76	37	26	42	35	35
PF3D7_1020800	10	840212	843403	+	3192	7269	2856	2531	2821	2742	2676
PF3D7_1020900	10	845086	846192	-	1107	1417	460	521	435	487	401
PF3D7_1021000	10	848859	850404	-	1546	644	235	305	249	325	323
PF3D7_1021100	10	851000	856285	-	5286	97	46	50	40	46	61
PF3D7_1021200	10	857673	859742	-	2070	78	43	25	35	36	39
PF3D7_1021300	10	860960	862449	-	1490	1591	662	631	632	752	529
PF3D7_1021400	10	863907	866742	+	2836	4424	1167	1417	1110	1409	1077
PF3D7_1021500	10	867635	869677	-	2043	71	39	26	22	26	47
PF3D7_1021600	10	871095	871886	+	792	6918	2064	2049	2131	2295	2049
PF3D7_1021700	10	873208	894869	-	21662	500	266	212	188	257	211
PF3D7_1021800	10	896865	903608	-	6744	805	310	246	299	361	261
PF3D7_1021900	10	905473	912345	-	6873	460	189	139	158	169	199
PF3D7_1022000	10	919772	924213	+	4442	15	4	6	3	2	7
PF3D7_1022100	10	925280	926230	-	951	46	6	9	12	12	19
PF3D7_1022200	10	926831	929020	-	2190	392	140	141	149	199	151
PF3D7_1022300	10	932697	934381	+	1685	344	193	148	156	159	147
PF3D7_1022400	10	939938	942234	-	2297	153	81	47	74	64	53
PF3D7_1022500	10	944398	946089	-	1692	1295	470	452	509	574	591
PF3D7_1022600	10	948477	951152	+	2676	33	11	13	4	15	18
PF3D7_1022700	10	951752	952579	-	828	1725	723	532	691	681	680
PF3D7_1022800	10	955883	958357	+	2475	60	17	16	22	9	26
PF3D7_1022900	10	958939	959896	-	958	600	148	202	154	157	151
PF3D7_1023000	10	961066	962307	-	1242	2796	1111	934	1001	1204	917
PF3D7_1023100	10	963497	980560	-	17064	185	90	78	92	56	130
PF3D7_1023200	10	982231	983202	+	972	896	374	356	212	292	317
PF3D7_1023300	10	984228	985330	-	1103	1267	453	436	366	498	344
PF3D7_1023400	10	985350	986988	+	1639	3683	1230	1287	1153	1486	1306
PF3D7_1023500	10	987017	987310	-	294	2719	922	1175	817	1182	944
PF3D7_1023600	10	987358	990148	-	2791	519	259	194	194	237	228
PF3D7_1023700	10	991147	993420	+	2274	73	65	20	32	21	35
PF3D7_1023800	10	994322	996788	+	2467	166	60	42	58	41	52
PF3D7_1023900	10	997475	1007461	-	9987	537	204	175	202	161	183
PF3D7_1024000	10	1014896	1016596	+	1701	92	52	34	33	60	43
PF3D7_1024100	10	1017201	1020515	-	3315	646	249	238	225	307	222
PF3D7_1024200	10	1021292	1021774	-	483	1126	400	312	393	380	333
PF3D7_1024300	10	1022505	1022897	+	393	266	88	62	98	81	95
PF3D7_1024400	10	1023205	1024869	-	1665	365	156	94	114	96	99
PF3D7_1024500	10	1026120	1026914	+	795	879	393	320	296	305	340
PF3D7_1024600	10	1027128	1029367	-	2240	427	134	141	127	143	111
PF3D7_1024700	10	1030044	1031534	+	1491	1521	559	543	444	508	493
PF3D7_1024800	10	1034685	1039079	+	4395	558	236	237	249	222	300
PF3D7_1024900	10	1040289	1045004	-	4716	34	16	13	9	6	13
PF3D7_1025000	10	1045608	1049760	-	4153	1558	423	413	407	445	350
PF3D7_1025100	10	1052844	1055333	+	2490	1056	318	346	407	375	452
PF3D7_1025200	10	1055744	1057030	-	1287	118	54	53	61	53	58
PF3D7_1025300	10	1057890	1060658	-	2769	1532	568	527	438	607	424
